quantitative_observation_id,extraction_case_id,mixed_join_key,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,compensation_type,occupation_unit_classification_rank,rate_value,salary_value,hourly_rate,annual_salary,pay_band,step,grade,percentage_increase,effective_date,currency_or_unit,bounded_evidence_pointer,confidence,reason_code,qa_status
qobs_3b0a17652992b9238f346e70,cexrem_e6343c9ba63f07f57371bac3,mix_0854b475c2903fb479f26388,doc_29aee11acaa53bef34500332,ttd_41e01843f2229b36c75d740b,sr_5f19f82f3b02944a64d6bc5f,NSCQ-CT-20260720-0023,CT,Danbury,CITY OF DANBURY,fire,cba,,,41,step,salary range of his classification,,,,,,2,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0147_sr_5f19f82f3b02944a64d6bc5f.pdf#page=41,medium,FUNDAMENTAL_BASE_PAY_RULE_STEP2_FOR_1_TO,provisional_unverified
qobs_3c1afc99fc0fe5fa53fe0fee,cexrem_e6343c9ba63f07f57371bac3,mix_0854b475c2903fb479f26388,doc_29aee11acaa53bef34500332,ttd_41e01843f2229b36c75d740b,sr_5f19f82f3b02944a64d6bc5f,NSCQ-CT-20260720-0023,CT,Danbury,CITY OF DANBURY,fire,cba,,,41,step,Firefighter classification salary range,,,,,,1,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0147_sr_5f19f82f3b02944a64d6bc5f.pdf#page=41,medium,FUNDAMENTAL_BASE_PAY_RULE_STEP1_FIRE,provisional_unverified
qobs_0fccb5c5673f79c2d40dd6e6,cexrem_e6343c9ba63f07f57371bac3,mix_0854b475c2903fb479f26388,doc_29aee11acaa53bef34500332,ttd_41e01843f2229b36c75d740b,sr_5f19f82f3b02944a64d6bc5f,NSCQ-CT-20260720-0023,CT,Danbury,CITY OF DANBURY,fire,cba,,,41,step,Firefighter classification salary range,,,,,,2,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0147_sr_5f19f82f3b02944a64d6bc5f.pdf#page=41,medium,FUNDAMENTAL_BASE_PAY_RULE_STEP2_FIRE,provisional_unverified
qobs_509f4014ec3e0e5f33fa4851,cexrem_e6343c9ba63f07f57371bac3,mix_0854b475c2903fb479f26388,doc_29aee11acaa53bef34500332,ttd_41e01843f2229b36c75d740b,sr_5f19f82f3b02944a64d6bc5f,NSCQ-CT-20260720-0023,CT,Danbury,CITY OF DANBURY,fire,cba,,,41,step,Firefighter classification salary range,,,,,,3,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0147_sr_5f19f82f3b02944a64d6bc5f.pdf#page=41,medium,FUNDAMENTAL_BASE_PAY_RULE_STEP3_FIRE,provisional_unverified
qobs_c14e5f35c6c493a2ee4615cb,cexrem_14c020965f446057788c02c8,mix_1ac315d0993aef015c535085,doc_a5609eb593cf8d7063d93b2b,ttd_fa0a45ed5b869e67611449b0,sr_0c7496cb87bef660439694be,NSCQ-DE-20260720-0016,DE,Seaford,CITY OF SEAFORD,police,arbitration_award,,,3,percentage_increase,,7 1/8%,,,,,,,7 1/8%,7/1/00,percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0474_sr_0c7496cb87bef660439694be.pdf#page=3,medium,SALARY_YEAR1_GENERAL_INCREASE_7_1_8,provisional_unverified
qobs_8760bed95437525491b21286,cexrem_14c020965f446057788c02c8,mix_1ac315d0993aef015c535085,doc_a5609eb593cf8d7063d93b2b,ttd_fa0a45ed5b869e67611449b0,sr_0c7496cb87bef660439694be,NSCQ-DE-20260720-0016,DE,Seaford,CITY OF SEAFORD,police,arbitration_award,,,3,percentage_increase,,3%,,,,,,,3%,7/1/01,percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0474_sr_0c7496cb87bef660439694be.pdf#page=3,high,SALARY_YEAR2_GENERAL_INCREASE_3,provisional_unverified
qobs_7b52df0932d5af22c660a7e9,cexrem_14c020965f446057788c02c8,mix_1ac315d0993aef015c535085,doc_a5609eb593cf8d7063d93b2b,ttd_fa0a45ed5b869e67611449b0,sr_0c7496cb87bef660439694be,NSCQ-DE-20260720-0016,DE,Seaford,CITY OF SEAFORD,police,arbitration_award,,,3,percentage_increase,,3%,,,,,,,3%,7/1/02,percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0474_sr_0c7496cb87bef660439694be.pdf#page=3,high,SALARY_YEAR3_GENERAL_INCREASE_3,provisional_unverified
qobs_ae232ea5863e119762b9bb03,cexrem_14c020965f446057788c02c8,mix_1ac315d0993aef015c535085,doc_a5609eb593cf8d7063d93b2b,ttd_fa0a45ed5b869e67611449b0,sr_0c7496cb87bef660439694be,NSCQ-DE-20260720-0016,DE,Seaford,CITY OF SEAFORD,police,arbitration_award,,,3,percentage_increase,,2.0%,,,,,,,2.0%,Year 1,percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0474_sr_0c7496cb87bef660439694be.pdf#page=3,medium,STEP_INCREMENT_INCREASE_STEPS1_TO_2_FROM,provisional_unverified
qobs_8695c543f32d2bd8bbba8cfb,cexrem_14c020965f446057788c02c8,mix_1ac315d0993aef015c535085,doc_a5609eb593cf8d7063d93b2b,ttd_fa0a45ed5b869e67611449b0,sr_0c7496cb87bef660439694be,NSCQ-DE-20260720-0016,DE,Seaford,CITY OF SEAFORD,police,arbitration_award,,,3,percentage_increase,,2.0%,,,,,,,2.0%,Year 2,percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0474_sr_0c7496cb87bef660439694be.pdf#page=3,medium,STEP_INCREMENT_INCREASE_STEPS1_THROUGH_3,provisional_unverified
qobs_1c316c2b1f0edd6989940ae1,cexrem_a9e55bc0aa6bfdef69a5909e,,doc_be62b7a63f90e16d399bcf4c,ttd_9ded6041128bb846db55dcbc,sr_c559293254377ab55982205c,NSCQ-DE-20260720-0001,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,,,4,annual_salary,,,"$38,059.25",,"$38,059.25",,,,,7/1/19,USD (salary),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf#page=4,high,FY20_SALARY_TABLE_EFFECTIVE_7_1_19_MUNIS,provisional_unverified
qobs_607aea7d85024b899c0451d6,cexrem_a9e55bc0aa6bfdef69a5909e,,doc_be62b7a63f90e16d399bcf4c,ttd_9ded6041128bb846db55dcbc,sr_c559293254377ab55982205c,NSCQ-DE-20260720-0001,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,,,4,annual_salary,,,"$42,381.43",,"$42,381.43",,,,,7/1/19,USD (salary),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf#page=4,high,FY20_SALARY_TABLE_EFFECTIVE_7_1_19_MUNIS,provisional_unverified
qobs_d4ce04e08316696c3f53c9fd,cexrem_a9e55bc0aa6bfdef69a5909e,,doc_be62b7a63f90e16d399bcf4c,ttd_9ded6041128bb846db55dcbc,sr_c559293254377ab55982205c,NSCQ-DE-20260720-0001,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,,,5,annual_salary,,,"$60,906.55",,"$60,906.55",,,,,7/1/19,USD (salary),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf#page=5,high,FY20_SALARY_TABLE_EFFECTIVE_7_1_19_MUNIS,provisional_unverified
qobs_1023a414cb004adbcd96fd4c,cexrem_a9e55bc0aa6bfdef69a5909e,,doc_be62b7a63f90e16d399bcf4c,ttd_9ded6041128bb846db55dcbc,sr_c559293254377ab55982205c,NSCQ-DE-20260720-0001,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,,,5,annual_salary,,,"$67,128.00",,"$67,128.00",,,,,7/1/19,USD (salary),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf#page=5,high,FY20_SALARY_TABLE_EFFECTIVE_7_1_19_MUNIS,provisional_unverified
qobs_9d2607efbee146824bce505b,cexrem_a9e55bc0aa6bfdef69a5909e,,doc_be62b7a63f90e16d399bcf4c,ttd_9ded6041128bb846db55dcbc,sr_c559293254377ab55982205c,NSCQ-DE-20260720-0001,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,,,5,annual_salary,,,"$73,998.81",,"$73,998.81",,,,,7/1/19,USD (salary),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf#page=5,high,FY20_SALARY_TABLE_EFFECTIVE_7_1_19_MUNIS,provisional_unverified
qobs_8f8235aed6c42cc7015de143,cexrem_81c4d27b98f279b7471da444,,doc_9501004da94d365b12f7f1af,ttd_7fd081383782b2ff5604d370,sr_a6272cb0ace25c12022d3657,NSCQ-FL-20260720-0155,FL,Coconut Creek,CITY OF COCONUT CREEK,police,cba,,,49,percentage_increase,,,,,,,,,2.5%,"October 1, 2007",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0152_sr_a6272cb0ace25c12022d3657.pdf#page=49,medium,P49_S55_7_ONE_TIME_ADJUSTMENT_TO_BASEPAY,provisional_unverified
qobs_5b2430241262e7cf264c7f5d,cexrem_7af30c827c93c34ccaee92ca,mix_3c7dbebdd88c5e607551e879,doc_0a3a497e310c64dda69af9c5,ttd_b07579d3a11bf7c9e6f2801c,sr_4ed758c8b2142655eabb793f,NSCQ-FL-20260720-0039,FL,Coral Springs,CITY OF CORAL SPRINGS,police,cba,,,27,percentage_increase,,100%,,,,,,,100% of their base salary,,base salary,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0150_sr_4ed758c8b2142655eabb793f.pdf#page=27,medium,WS_COMP_LIEU_BASE_SALARY_PERCENT_FOR_UPT,provisional_unverified
qobs_09cd60c5aa682f48ef9a3c1c,cexrem_ce26b64091aa0e4e7c18d845,,doc_2c7c0df5b1957a1ad3783342,ttd_efe2a35ba1aab54ae3b8f894,sr_09a3df847502cc31584ec46c,NSCQ-FL-20260720-0082,FL,Daytona Beach,CITY OF DAYTONA BEACH,non_safety,cba,,,17,percentage_increase,,,,,,,,,up to 15% maximum,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0244_sr_09a3df847502cc31584ec46c.pdf#page=17,medium,ARTICLE_13_4_DEMOTION_FOR_DISCIPLINARY_M,provisional_unverified
qobs_ecbeffd3a26b84ff9b12b1d9,cexrem_ce26b64091aa0e4e7c18d845,,doc_2c7c0df5b1957a1ad3783342,ttd_efe2a35ba1aab54ae3b8f894,sr_09a3df847502cc31584ec46c,NSCQ-FL-20260720-0082,FL,Daytona Beach,CITY OF DAYTONA BEACH,non_safety,cba,,,17,percentage_increase,,,,,,,,,3% for each pay grade difference,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0244_sr_09a3df847502cc31584ec46c.pdf#page=17,medium,ARTICLE_13_5_VOLUNTARY_DEMOTION_PERCENT,provisional_unverified
qobs_60e861c8491a12331fbea1bf,cexrem_f5ec171068921abba0ae8aeb,mix_f177c486ee175d5a251a79a4,doc_8667a1c549cfcdec10592a2a,ttd_d56a6e830a627b78a81fac76,sr_2260803be26cc119dc9e1fe1,NSCQ-FL-20260720-0100,FL,Delray Beach,CITY OF DELRAY BEACH,non_safety,cba,,,29,percentage_increase,,10%,,,,,,,10%,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0101_sr_2260803be26cc119dc9e1fe1.pdf#page=29,medium,BASE_PROMOTION_INCREASE_RULE_PERCENT_OR_,provisional_unverified
qobs_1926afdc36797ebc4b5210e7,cexrem_8d801ada0f56702017bde407,,doc_ddb8af4fb4827755ac6f40dd,ttd_ae32914d637c4b06fdb28989,sr_c3f687ca1b5b3edd39bbbe71,NSCQ-FL-20260720-0157,FL,Dunedin,CITY OF DUNEDIN,fire,cba,,,47,annual_salary,EMT2,,"$ 56,372.51",,"$ 56,372.51",,,EMT2,4.0%,FY25,$,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0086_sr_c3f687ca1b5b3edd39bbbe71.pdf#page=47,medium,EXHIBIT_A_STEP_PLAN_BASE_AMOUNT_BY_GRADE,provisional_unverified
qobs_dee123fe68d94bfcbbc3894c,cexrem_8d801ada0f56702017bde407,,doc_ddb8af4fb4827755ac6f40dd,ttd_ae32914d637c4b06fdb28989,sr_c3f687ca1b5b3edd39bbbe71,NSCQ-FL-20260720-0157,FL,Dunedin,CITY OF DUNEDIN,fire,cba,,,47,annual_salary,EMT3,,"$ 58,627.41",,"$ 58,627.41",,,EMT3,4.0%,FY25,$,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0086_sr_c3f687ca1b5b3edd39bbbe71.pdf#page=47,medium,EXHIBIT_A_STEP_PLAN_BASE_AMOUNT_BY_GRADE,provisional_unverified
qobs_2f9d2e9416ba983beff54211,cexrem_8d801ada0f56702017bde407,,doc_ddb8af4fb4827755ac6f40dd,ttd_ae32914d637c4b06fdb28989,sr_c3f687ca1b5b3edd39bbbe71,NSCQ-FL-20260720-0157,FL,Dunedin,CITY OF DUNEDIN,fire,cba,,,47,annual_salary,EMTS,,"$ 63,411.41",,"$ 63,411.41",,,EMTS,4.0%,FY25,$,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0086_sr_c3f687ca1b5b3edd39bbbe71.pdf#page=47,medium,EXHIBIT_A_STEP_PLAN_BASE_AMOUNT_BY_GRADE,provisional_unverified
qobs_a0c43daffefa66d4089af9cd,cexrem_8d801ada0f56702017bde407,,doc_ddb8af4fb4827755ac6f40dd,ttd_ae32914d637c4b06fdb28989,sr_c3f687ca1b5b3edd39bbbe71,NSCQ-FL-20260720-0157,FL,Dunedin,CITY OF DUNEDIN,fire,cba,,,47,annual_salary,PM1,,"$ 64,096.03",,"$ 64,096.03",,,PM1,5-12%,FY25,$,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0086_sr_c3f687ca1b5b3edd39bbbe71.pdf#page=47,low,EXHIBIT_A_STEP_PLAN_BASE_AMOUNT_BY_GRADE,needs_review
qobs_8ce29ca2e3f6f40cb1fc82ff,cexrem_8d801ada0f56702017bde407,,doc_ddb8af4fb4827755ac6f40dd,ttd_ae32914d637c4b06fdb28989,sr_c3f687ca1b5b3edd39bbbe71,NSCQ-FL-20260720-0157,FL,Dunedin,CITY OF DUNEDIN,fire,cba,,,47,annual_salary,PM6,,"$ 77,235.67",,"$ 77,235.67",,,PM6,3.8%,FY25,$,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0086_sr_c3f687ca1b5b3edd39bbbe71.pdf#page=47,medium,EXHIBIT_A_STEP_PLAN_BASE_AMOUNT_BY_GRADE,provisional_unverified
qobs_eef8184f99a83ea8906c8088,cexrem_0b4d1de0c905c0e502656083,mix_588f63f5fdc85ee0404bbdd0,doc_9206a36b41bfc718d868adcf,ttd_9c2e815c85a7b327f30cf008,sr_4051e7236ed55cae88d2a779,NSCQ-FL-20260720-0180,FL,Hallandale Beach,CITY OF HALLANDALE BEACH,police,cba,,,29,percentage_increase,,,,,,,,,6%,"October 1, 2023",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0158_sr_4051e7236ed55cae88d2a779.pdf#page=29,high,PAGE29_SECTION21_1_STEP_ADJUSTMENT_UP_BY,provisional_unverified
qobs_6249ef3cdf7b905d51728288,cexrem_0b4d1de0c905c0e502656083,mix_588f63f5fdc85ee0404bbdd0,doc_9206a36b41bfc718d868adcf,ttd_9c2e815c85a7b327f30cf008,sr_4051e7236ed55cae88d2a779,NSCQ-FL-20260720-0180,FL,Hallandale Beach,CITY OF HALLANDALE BEACH,police,cba,,,29,percentage_increase,,,,,,,,,3.0%,"October 1, 2023",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0158_sr_4051e7236ed55cae88d2a779.pdf#page=29,high,PAGE29_SECTION21_1_WAGE_INCREASE_ALL_MEM,provisional_unverified
qobs_118fff69001e05a959efda3a,cexrem_0b4d1de0c905c0e502656083,mix_588f63f5fdc85ee0404bbdd0,doc_9206a36b41bfc718d868adcf,ttd_9c2e815c85a7b327f30cf008,sr_4051e7236ed55cae88d2a779,NSCQ-FL-20260720-0180,FL,Hallandale Beach,CITY OF HALLANDALE BEACH,police,cba,,,29,percentage_increase,,,,,,,,,3.0%,"October 1, 2024",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0158_sr_4051e7236ed55cae88d2a779.pdf#page=29,high,PAGE29_SECTION21_1_WAGE_INCREASE_2024,provisional_unverified
qobs_e348a099481120fbe243b64d,cexrem_0b4d1de0c905c0e502656083,mix_588f63f5fdc85ee0404bbdd0,doc_9206a36b41bfc718d868adcf,ttd_9c2e815c85a7b327f30cf008,sr_4051e7236ed55cae88d2a779,NSCQ-FL-20260720-0180,FL,Hallandale Beach,CITY OF HALLANDALE BEACH,police,cba,,,29,percentage_increase,,,,,,,,,3.0%,"October 1, 2025",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0158_sr_4051e7236ed55cae88d2a779.pdf#page=29,high,PAGE29_SECTION21_1_WAGE_INCREASE_2025,provisional_unverified
qobs_3f0891a08b823668d6e97785,cexrem_0b4d1de0c905c0e502656083,mix_588f63f5fdc85ee0404bbdd0,doc_9206a36b41bfc718d868adcf,ttd_9c2e815c85a7b327f30cf008,sr_4051e7236ed55cae88d2a779,NSCQ-FL-20260720-0180,FL,Hallandale Beach,CITY OF HALLANDALE BEACH,police,cba,,,30,annual_salary,,,,,"$2,236.00",,,,,,annual,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0158_sr_4051e7236ed55cae88d2a779.pdf#page=30,medium,PAGE30_APPENDIX_A_STYLE_ANNUAL_VALUE_223,provisional_unverified
qobs_7635976b0d861763cb2fa1eb,cexrem_59dbc58c49bab227835759a8,mix_6e4d4cfe59bd23367bf8ad3f,doc_9819a2cf3b52a40f09f970b7,ttd_83a87fe802f4d6d28a01427a,sr_4df7d032d5e831a67fdfe510,NSCQ-FL-20260720-0229,FL,Lake Wales,CITY OF LAKE WALES,fire,memorandum_or_settlement,,,2,percentage_increase,,,,,,,,,4%,"October 1, 2023 (and first pay period of October 2025)",COLA (percentage of base salary),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf#page=2,medium,COLA,provisional_unverified
qobs_f04182bd3ca55f7109025cae,cexrem_59dbc58c49bab227835759a8,mix_6e4d4cfe59bd23367bf8ad3f,doc_9819a2cf3b52a40f09f970b7,ttd_83a87fe802f4d6d28a01427a,sr_4df7d032d5e831a67fdfe510,NSCQ-FL-20260720-0229,FL,Lake Wales,CITY OF LAKE WALES,fire,memorandum_or_settlement,,,2,hourly_rate,,from $2.22 to $3.00 per hour,,from $2.22 to $3.00 per hour,,,,,,,$/hour (paramedic pay),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf#page=2,medium,MAJOR_CLAUSE_PARAMEDIC_PAY_INCREASE_BASE,provisional_unverified
qobs_25fb85325140469b4fa0cd01,cexrem_b07dd566b242de8eafb00f46,,doc_1f33f9cbf0e93ee06cd4d9e7,ttd_321c7768120c9f5a9c7c0bce,sr_68935d28a1c1406c52c39749,NSCQ-FL-20260720-0121,FL,Oviedo,CITY OF OVIEDO,fire,cba,,,29,hourly_rate,,$1.50,,$1.50 per hour increase,,,,,,,per hour,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0036_sr_68935d28a1c1406c52c39749.pdf#page=29,high,ARTICLE_23_WORKING_OUT_OF_CLASSIFICATION,provisional_unverified
qobs_24ffef991e72480c736af4a1,cexrem_b07dd566b242de8eafb00f46,,doc_1f33f9cbf0e93ee06cd4d9e7,ttd_321c7768120c9f5a9c7c0bce,sr_68935d28a1c1406c52c39749,NSCQ-FL-20260720-0121,FL,Oviedo,CITY OF OVIEDO,fire,cba,,,29,hourly_rate,,$1.75,,$1.75 per hour increase,,,,,,,per hour,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0036_sr_68935d28a1c1406c52c39749.pdf#page=29,high,ARTICLE_23_WORKING_OUT_OF_CLASSIFICATION,provisional_unverified
qobs_5d3ab3444d886ea18afc5b03,cexrem_b07dd566b242de8eafb00f46,,doc_1f33f9cbf0e93ee06cd4d9e7,ttd_321c7768120c9f5a9c7c0bce,sr_68935d28a1c1406c52c39749,NSCQ-FL-20260720-0121,FL,Oviedo,CITY OF OVIEDO,fire,cba,,,29,hourly_rate,,$2.00,,$2.00 per hour increase,,,,,,,per hour,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0036_sr_68935d28a1c1406c52c39749.pdf#page=29,high,ARTICLE_23_WORKING_OUT_OF_CLASSIFICATION,provisional_unverified
qobs_97c37eda8952d50a4df17d6b,cexrem_b07dd566b242de8eafb00f46,,doc_1f33f9cbf0e93ee06cd4d9e7,ttd_321c7768120c9f5a9c7c0bce,sr_68935d28a1c1406c52c39749,NSCQ-FL-20260720-0121,FL,Oviedo,CITY OF OVIEDO,fire,cba,,,29,percentage_increase,,,,,,,,,7%,,percent of base pay,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0036_sr_68935d28a1c1406c52c39749.pdf#page=29,high,ARTICLE_23_WORKING_OUT_OF_CLASSIFICATION,provisional_unverified
qobs_e3011db02f97fde2bbcd2c08,cexrem_664e1a49bc45f7ccd575ea3a,mix_3103bbfdbdb1f6afcd393c9c,doc_ddc72cd0a817c77f151f3ab2,ttd_34709251567676c562de1181,sr_4ac2e5112eccfc66da5a358f,NSCQ-FL-20260720-0120,FL,Oviedo,CITY OF OVIEDO,police,cba,,,24,percentage_increase,,,,,,,,,10%,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0051_sr_4ac2e5112eccfc66da5a358f.pdf#page=24,high,PROMOTION_WAGE_INCREASE_WHICHEVER_GREATH,provisional_unverified
qobs_0ca3a046bf59fc283f5f0170,cexrem_22bf7ad917ea4f62773e2c0f,mix_02d93410c0d3441daf9315f8,doc_e08dd95cb1a77cd5b400bee3,ttd_f4f8cdf366640f261d142511,sr_50c8c8c685dde95ae530de47,NSCQ-FL-20260720-0110,FL,Palm Beach Gardens,CITY OF PALM BEACH GARDENS,police,cba,,,45,percentage_increase,Communications Operators / Communications Supervisors,8%,,,,,,,8%,"first full pay period beginning on or after October 1, 2027",base salaries,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0424_sr_50c8c8c685dde95ae530de47.pdf#page=45,medium,R5_BASE_INCREASE_2027_COMMS_8PCT,provisional_unverified
qobs_59a0ee99e42d0caa0e4946ab,cexrem_22bf7ad917ea4f62773e2c0f,mix_02d93410c0d3441daf9315f8,doc_e08dd95cb1a77cd5b400bee3,ttd_f4f8cdf366640f261d142511,sr_50c8c8c685dde95ae530de47,NSCQ-FL-20260720-0110,FL,Palm Beach Gardens,CITY OF PALM BEACH GARDENS,police,cba,,,45,percentage_increase,Officers / Sergeants,10%,,,,,,,10%,"first full pay period beginning on or after October 1, 2027",base salaries,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0424_sr_50c8c8c685dde95ae530de47.pdf#page=45,medium,R6_BASE_INCREASE_2027_OFFICER_SERGEANT_1,provisional_unverified
qobs_b7bf193737a56fffafcaf524,cexrem_22bf7ad917ea4f62773e2c0f,mix_02d93410c0d3441daf9315f8,doc_e08dd95cb1a77cd5b400bee3,ttd_f4f8cdf366640f261d142511,sr_50c8c8c685dde95ae530de47,NSCQ-FL-20260720-0110,FL,Palm Beach Gardens,CITY OF PALM BEACH GARDENS,police,cba,,,44,percentage_increase,All bargaining unit members,10%,,,,,,,10%,"first full pay period beginning on or after October 1, 2026",base salaries,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0424_sr_50c8c8c685dde95ae530de47.pdf#page=44,medium,R4_BASE_INCREASE_2026_10PCT,provisional_unverified
qobs_b32d636e8208c6234a852f99,cexrem_22bf7ad917ea4f62773e2c0f,mix_02d93410c0d3441daf9315f8,doc_e08dd95cb1a77cd5b400bee3,ttd_f4f8cdf366640f261d142511,sr_50c8c8c685dde95ae530de47,NSCQ-FL-20260720-0110,FL,Palm Beach Gardens,CITY OF PALM BEACH GARDENS,police,cba,,,41,percentage_increase,Sergeant (promotion),5%,,,,,,,5% or to the minimum pay for the position of Sergeant (whichever is greater),,base salary (promotion to Sergeant),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0424_sr_50c8c8c685dde95ae530de47.pdf#page=41,low,R12_PROMOTION_SERGEANT_SALARY_INCREASE_5,needs_review
