municipality,state,unit_type,contract_or_document_period,extraction_queue_count,extracted_ok_count,excluded_or_failed_count
Port Neches,TX,safety_and_non_safety_compensation_units,FY 2021-2022 (effective 10-01-2021),1,1,0
Portage,MI,non_safety_comparator,"2024-27 collective bargaining agreement (includes effective period covering July 1, 2024 through June 30, 2027 — likely)",1,1,0
Portland,ME,non_safety_comparator,2025-2027 (agreement labeled 2025-2027; wage rates revised during term),1,1,0
Portsmouth,RI,safety_and_non_safety_compensation_units,2022–2027 (restated/amended; revision 8/26/2024 referenced on the contracts index page),1,1,0
Potsdam,NY,safety_and_non_safety_compensation_units,Includes contracts with start/end years shown on the page (not determined here),1,1,0
Pottstown,PA,non_safety_comparator,"Three (3) year contract to expire December 31, 2026 (approved/authorized item dated Dec 11, 2023)",1,1,0
Quincy,IL,safety_and_non_safety_bargaining_units,"Existing agreements expired April 30, 2021; successor CBA terms resolved by interest arbitration (Section 14) (period not explicitly confirmed in snippet)",1,1,0
Raynham,MA,safety_and_non_safety_compensation_units,2015-2017 (continued to 2017-2019 as described),1,1,0
Riverside,OH,non_safety_comparator,"Effective July 1, 2019 through June 30, 2022",1,1,0
Riverside,OH,non_safety_comparator,"Effective July 1, 2022 through June 30, 2025",1,1,0
Robbinsdale,MN,safety_and_non_safety_compensation_units,Active contract ending 12-31-2028 (per locator filename),1,1,0
Rock Springs,WY,non_safety_comparator,"2014–2016 (material references resolutions dated 2014; target two-year term July 1, 2014–June 30, 2016)",1,1,0
Rome,NY,non_safety_comparator,"January 1, 2011 - December 31, 2015",1,1,0
Round Lake,IL,non_safety_municipal_units,"Fiscal Year End April 30, 2017 (ordinance/plan confirmation packet)",1,1,0
Round Lake,IL,non_safety_municipal_units,"Fiscal Year Ended April 30, 2020",1,1,0
Rutland,IL,safety_and_non_safety_bargaining_units,FY09 (2009) — outside 2014-2024 target window,1,1,0
Salina,NY,safety_and_non_safety_bargaining_units,Meeting minutes dated 2024-10-15 (bargaining agreement terms not specified in snippet),1,1,0
Schaumburg,IL,safety_and_non_safety_bargaining_units,Not specified in target window (document appears to address successor agreement period earlier than 2014-2024),1,1,0
Scioto,OH,safety_and_non_safety_bargaining_units,"Fact-finding report dated March 18, 2025; includes bargaining history referencing 2024 negotiations/reopener within the document",1,1,0
Seymour,CT,safety_and_non_safety_compensation_units,"Includes language indicating a general wage increase retroactive to July 1, 2014 (full term not extracted)",1,1,0
Shiloh,IL,safety_and_non_safety_compensation_units,"FY 2020 annual reporting (covers interest arbitration awards dataset, including Shiloh reference)",1,1,0
Silver Creek,IN,safety_and_non_safety_compensation_units,"July 1, 2025 - June 30, 2026",1,1,0
Skokie,IL,non_safety_comparator,"School Years 2021-22, 2022-23, 2023-24, 2024-25, and 2025-26",1,1,0
Skokie,IL,non_safety_comparator,"School Years 2022-2023, 2023-2024, 2024-2025, 2025-2026, and 2026-2027",1,1,0
Somerville,MA,non_safety_comparator,Contract period(s) available via DESE download interface for the district/teacher contract; targeted to support finding agreements within 2012–2018,1,1,0
Somerville,MA,non_safety_comparator,"Retroactive to July 1, 2010 – June 30, 2013; and extending through June 30, 2016 (two agreements per unit)",1,1,0
South Burlington,VT,non_safety_comparator,unclear (not retrievable to confirm term/duration clause),1,1,0
Springboro,OH,non_safety_comparator,"2019-2021 (amendment states contract remains in force through June 30, 2021; includes salary schedule changes effective 7/1/2019)",1,1,0
Stallings,NC,safety_and_non_safety_compensation_units,Effective 07-01-2024 (within 2014-2024 target window for cycle/implementation discovery),1,1,0
Sterling,IL,safety_and_non_safety_compensation_units,"May 1, 2016 – April 30, 2020",1,1,0
Suffield,CT,safety_and_non_safety_compensation_units,Document filename indicates 2013-2016; includes year-by-year hourly/salary-related amounts (snippet mentions 2014-15 and 2015-16),1,1,0
Sunnyvale,CA,non_safety_comparator,"July 1, 2022 to June 30, 2026",1,1,0
Swampscott,MA,safety_and_non_safety_compensation_units,"As of July 1, 2014 (plan appears embedded in 2014 ATM minutes)",1,1,0
Swatara,PA,safety_and_non_safety_bargaining_units,"Representation matter; CBA expiration referenced as December 31, 2023 (collective bargaining agreement covering said employes expires on December 31, 2023)",1,1,0
Sweden,NY,safety_and_non_safety_compensation_units,"2016 (salary schedule set via resolution dated January 12, 2016)",1,1,0
Sweden,NY,safety_and_non_safety_compensation_units,"2020 (salary schedule set via resolution dated January 2, 2020)",1,1,0
Texas City,TX,non_safety_comparator,"October 1, 2024 through September 30, 2026",1,1,0
Thompson,NY,safety_and_non_safety_compensation_units,commencing 01/01/2025 to 12/31/2027 (outside the 2014–2024 window but indicates existence of a CBA and where to locate it),1,1,0
Thornton,IL,safety_and_non_safety_bargaining_units,"May 1, 2024 through April 30, 2026 (shown within packet)",1,1,0
Tifton,GA,safety_and_non_safety_compensation_units,2022,1,1,0
Tinley Park,IL,non_safety_comparator,2016-2021 (as indicated by filename/title),1,1,0
Tiverton,RI,safety_and_non_safety_compensation_units,Duration/term contained within Tiverton_Fire.pdf (includes pay/compensation articles and salary table content),1,1,0
Tiverton,RI,safety_and_non_safety_compensation_units,"JULY 1, 2016 — JUNE 30, 2019",1,1,0
Tredyffrin,PA,safety_and_non_safety_bargaining_units,2016-2017 (as indicated by report period),1,1,0
Upper Merion,PA,safety_and_non_safety_bargaining_units,Amending current Collective Bargaining Agreement for contract years 2023 through 2027 (term referenced in agenda/item),1,1,0
Upper Sandusky,OH,non_safety_comparator,"JULY 1, 2021 through JUNE 30, 2024",1,1,0
Upper Sandusky,OH,non_safety_comparator,"effective July 1, 2022 (incorporated into CBA in effect July 1, 2021 - June 30, 2024)",1,1,0
Upper Uwchlan,PA,safety_and_non_safety_compensation_units,MOU period (not specified in the search snippet; likely within 2014-2024),1,1,0
Utica,NY,non_safety_comparator,Four-year agreement retroactive back to 2014 (press release; unit wage/schedule not extracted here),1,1,0
Uvalde,TX,safety_and_non_safety_compensation_units,2022-2023 (context in salary plan development tables referenced in agenda packet),1,1,0
Uvalde,TX,safety_and_non_safety_compensation_units,Unspecified in search snippet; appears tied to district compensation/classification framework,1,1,0
Van Buren,NY,safety_and_non_safety_compensation_units,2014-2024 target window,1,1,0
Vernon,IL,safety_and_non_safety_bargaining_units,2014-2024 target window,2,2,0
Villa Rica,GA,non_safety_municipal_units,2023 (RFP document date/identifier),1,1,0
Wallingford,CT,safety_and_non_safety_bargaining_units,"Interest Arbitration Award effective July 1, 2013 to June 30, 2016",1,1,0
Warminster,PA,safety_and_non_safety_bargaining_units,2018 (final orders page listing; PF-U-17-80-E listed under October 2018),1,1,0
Washington,MO,safety_and_non_safety_compensation_units,Financial Statement 2021,1,1,0
Washington,NJ,safety_and_non_safety_bargaining_units,"January 1, 2021 through December 31, 2025 (successor terms referenced in context of parties to a prior contract covering Jan 1, 2016–Dec 31, 2020)",1,1,0
Washington,NJ,safety_and_non_safety_bargaining_units,"January 1, 2026 through December 31, 2029 (successor CBA referenced)",1,1,0
Washington,OH,safety_and_non_safety_bargaining_units,"Effective July 1, 2019 through June 30, 2022",1,1,0
Waterford charter,MI,safety_and_non_safety_bargaining_units,Contains links indicating: MAP contract 2022-2025; 2016-2018 Dispatchers Contract; Fire Contract-2016-2018 with extensions and Fire Contract 2022-2025 (periods named on the page),1,1,0
Waunakee,WI,non_safety_comparator,Dated 1992-09-10; related to Waunakee School District collective bargaining agreement context,1,1,0
Waunakee,WI,non_safety_comparator,Successor agreement context for 1992 and 1993 (as indicated by search snippet),1,1,0
West Windsor,NJ,safety_and_non_safety_bargaining_units,IA-2019-014 (referenced within 2022 biennial report; arbitration/factfinding/impasse-related procedural record),1,1,0
West Windsor,NJ,safety_and_non_safety_bargaining_units,P.E.R.C. No. 2013-39 (synopsis published 11/19/2012; relates to binding arbitration restraint request—grievance arbitration arbitrability),1,1,0
Westchester,IL,safety_and_non_safety_compensation_units,FY2024 (expected to cover a fiscal year within 2014-2024 window),1,1,0
Wilmington,DE,non_safety_comparator,"CBA referenced as July 7, 2015 through June 30, 2018 (as stated in the amendment)",1,1,0
Winder,GA,non_safety_municipal_units,"Fiscal Year Ending June 30, 2014 (Annual Budget)",1,1,0
Winder,GA,non_safety_municipal_units,"Fiscal Year Ending June 30, 2024 (Annual Budget)",1,1,0
Windsor,CT,safety_and_non_safety_bargaining_units,"2015-MBA-0207 (award dated August 30, 2016)",1,1,0
Yakima,WA,non_safety_comparator,2024 (Final Executed) — includes provisions relevant to 2024–2026 triad-building,1,1,0
Ypsilanti charter,MI,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,0
Ypsilanti charter,MI,safety_and_non_safety_bargaining_units,"AFSCME: July 1, 2013–June 30, 2017 (explicit in snippet)",1,1,0
