selection_rank,extraction_case_id,document_identity_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,content_artifact_path,content_hash,pdf_page_count,text_layer_status,wage_table_signal,extraction_pilot_priority,candidate_wage_pages,selection_score,selection_reason_codes,matched_group_id,matched_non_safety_selected,matched_non_safety_case_id,planned_lane,gate3_category,gate3_confidence,existing_rendered_page_count,selection_status
90,cex_fb56931c22da3938b1933bd7,doc_32bb781f9af9c616cbb0db95,ttd_cc46cb6cfc741068fca7eca8,pr_db953f72eb38073d23959147,sr_b2ae05460c47b9f9f10da3c9,NSCQ-FL-20260720-0173,TRI-427d029f86cebf8c82e7,VER-8c986041442d24ef0097,FL,Key West,CITY OF KEY WEST,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0135_sr_b2ae05460c47b9f9f10da3c9.pdf,25ad7a42148debf3761f406fb1731f85dc3e804350ba8db15be643c6bb42b9ca,51,present,possible,p2,"2,18,26,50",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_d94e7db4f9864737cfdd56ee,yes,cex_fb56931c22da3938b1933bd7,mixed,,,0,frozen
91,cex_d6a170ded45090e9d8d25376,doc_2daf4584ebb435af477e9c25,ttd_55b53b0fa6ecb2a4eaea69fe,pr_5d8946be163bd30170d7247b,sr_08bb5bf6ece06178b95564d6,NSCQ-FL-20260720-0171,TRI-4491814854bbe46205d2,VER-f28dfef5f373c1d4c0ce,FL,Key West,CITY OF KEY WEST,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0157_sr_08bb5bf6ece06178b95564d6.pdf,0bbbbf9c12bbcc0a7205b7b3d57c040b1f8d596873b20c77861a1c8ec131c9a8,73,present,possible,p2,"17,25",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_d94e7db4f9864737cfdd56ee,yes,cex_fb56931c22da3938b1933bd7,mixed,,,0,frozen
92,cex_9910ffe374d823ba0403d682,doc_ab42894adf572e6477b7fc75,ttd_4b44a8211bc86b642529ae50,pr_7e021bc17caa3128063c0fea,sr_c27e34740861ed318c1bcaed,NSCQ-FL-20260720-0048,TRI-b66d4ab2a1082f2440af,VER-e391a6aa1a3a47ecd2eb,FL,Lakeland,CITY OF LAKELAND,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0057_sr_c27e34740861ed318c1bcaed.pdf,a51d901b588e34f6ab2fc983e8f591de2727b201f3f033a2207a24433f26b555,103,present,likely,p1,"1,24,35,58,102",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_2f07ccfe00f736cf066c395b,yes,cex_9910ffe374d823ba0403d682,mixed,,,0,frozen
93,cex_c519f9e8671653136efccf15,doc_0ee05d335f50eab7bcb0862e,ttd_790861324713c01ab5a45039,pr_91af5e4c1cfe7864f5861632,sr_1ea017d3fe2b5af01ba6e78d,NSCQ-FL-20260720-0045,TRI-2c97c2ca6bc5894fef63,VER-6d465a5cba078a4e5e91,FL,Lakeland,CITY OF LAKELAND,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0068_sr_1ea017d3fe2b5af01ba6e78d.pdf,a5843f0a1b4111db9f5e86a71efb80cb60dff6fccafae1b5776199029bcdcc25,82,present,possible,p2,"28,37,42",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_2f07ccfe00f736cf066c395b,yes,cex_9910ffe374d823ba0403d682,mixed,,,0,frozen
94,cex_d311365a123de527d7950e4a,doc_d13b1fc846605822385d8827,ttd_1161bec180f1b73ba765d9ba,pr_9f7245f43817626d4816481d,sr_ac108846d0117628713a0f49,NSCQ-FL-20260720-0010,TRI-e0b58829f943e0b4bfed,VER-cef31e26acece4a91e85,FL,Orlando,CITY OF ORLANDO,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0249_sr_ac108846d0117628713a0f49.pdf,94e53973e0da4e480e96291e9ae092230082f7720d420b41e636346e17dba4ae,102,present,likely,p1,"2,35,46",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_67f82ff38c49c075e8d14ea4,yes,cex_67ac963cc8461a47b7ef21e8,mixed,,,0,frozen
95,cex_67ac963cc8461a47b7ef21e8,doc_593bc061a7cac11f56efbe12,ttd_48febd30262245625d01a92f,pr_48f9d4d77278f0540a131714,sr_bb6a32be4fe9c5326c2419e2,NSCQ-FL-20260720-0011,TRI-da7b0fa3d9ec44a9fbfb,VER-c1166afccaeae38549b8,FL,Orlando,CITY OF ORLANDO,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0227_sr_bb6a32be4fe9c5326c2419e2.pdf,34a0aa0e5baab114e18c0be4ee1675786d37d5ede466e1c895cbf49280bb8277,98,present,likely,p1,"2,23,44,55,97",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_67f82ff38c49c075e8d14ea4,yes,cex_67ac963cc8461a47b7ef21e8,mixed,,,0,frozen
96,cex_31574344d8c91def7c527707,doc_c8d8613594a04fff85aea5a1,ttd_ec17ebf750681531cd0c5e85,pr_f7b353ffe6159a2683ac33c1,sr_dd4a191581c889d0a36561bb,NSCQ-FL-20260720-0009,TRI-aebff195bcf39a77a165,VER-c009461d258f6cc53ced,FL,Orlando,CITY OF ORLANDO,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0013_sr_dd4a191581c889d0a36561bb.pdf,db7cc5744cfd63910125bc25d63d8d845909c882ffdce1f0582fa73c12452fba,115,present,possible,p2,"2,52,58,64,114",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_67f82ff38c49c075e8d14ea4,yes,cex_67ac963cc8461a47b7ef21e8,mixed,,,0,frozen
97,cex_20f3408084c077bae95cece2,doc_5eb5f4bc1fb68ccc46fae517,ttd_08360527300bb847307941b2,pr_017c953f2ba9afcda23c4e1e,sr_840cd0d92fa6dcbf08cbcbe7,NSCQ-FL-20260720-0016,TRI-e383ffb428eed1403d81,VER-e7c36d8ab636431b93a8,FL,Port St. Lucie,CITY OF PORT ST LUCIE,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0420_sr_840cd0d92fa6dcbf08cbcbe7.pdf,ba793024ec0e44d74f24f8583e409d5e45870beee13a38b82373470359039bf5,14,present,likely,p1,"2,4,10,11,13",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_0d098151f002fb467d84ddc5,yes,cex_20f3408084c077bae95cece2,mixed,,,0,frozen
98,cex_9d7f11d5fa651f0549ed3943,doc_a8cbf113b8f507d497ad737c,ttd_5cf8bfb7de4dfc43e1c9e574,pr_9654945517899a092dc43607,sr_3dfee7cc53282a33751dbd9a,NSCQ-FL-20260720-0015,TRI-09d399e4357c0b3d4897,VER-2c93c1653197aefb660b,FL,Port St. Lucie,CITY OF PORT ST LUCIE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0042_sr_3dfee7cc53282a33751dbd9a.pdf,5bc7fd5fc3fbccf7fd9c343e3418d58147be8de716f242b0ce4d70d3306ddf10,61,present,likely,p1,"2,8,21,31,34,60",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_0d098151f002fb467d84ddc5,yes,cex_20f3408084c077bae95cece2,mixed,,,0,frozen
99,cex_cace98a3dbb31551858e03d9,doc_ca85fcc1673db56a99cf500a,ttd_b4025ea2e05d2cc91652da25,pr_6bd916b2eb0a4118e12b1a86,sr_a88167b98cb7755c82d6eec2,NSCQ-FL-20260720-0147,TRI-02fb01febde73a65c2fa,VER-260f57bffe7d7f8f7c77,FL,Riviera Beach,CITY OF RIVIERA BEACH,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0105_sr_a88167b98cb7755c82d6eec2.pdf,36f7ef69a1ad651429cc9a32b42438aab349ec2848404b11e29a7b254f5421d1,83,present,possible,p2,42,12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_e9e5d551a83c9529af0709c6,yes,cex_907a2e5abc8c90a8169908bc,mixed,,,0,frozen
100,cex_907a2e5abc8c90a8169908bc,doc_7fef63dcd2a46995c7266534,ttd_f08a0cb4139142bf077f92b0,pr_61966469dfb79e3b5a757a66,sr_61fa220cdeb7616ec242e8bb,NSCQ-FL-20260720-0148,TRI-e58567110fcf93787625,VER-3b7ca5b736c142b1f22a,FL,Riviera Beach,CITY OF RIVIERA BEACH,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0113_sr_61fa220cdeb7616ec242e8bb.pdf,44968379b0aa1b810105c4cb1f3001a53e322a3bdc435a43a3fb8f4e4cc98b62,75,present,possible,p2,26,12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_e9e5d551a83c9529af0709c6,yes,cex_907a2e5abc8c90a8169908bc,mixed,,,0,frozen
101,cex_4ebc78a3c8301dc8d3b4aab8,doc_e555fe36fd243c4db99f5d56,ttd_0f8e5abaeb147f2259af3cf7,pr_98e471b35616c2a0db20de1c,sr_18002a86c7a511615518c920,NSCQ-FL-20260720-0146,TRI-288218c9b0b0f663b552,VER-130085a82aa891ae5b6d,FL,Riviera Beach,CITY OF RIVIERA BEACH,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0137_sr_18002a86c7a511615518c920.pdf,3b2702b1f4c5142af0376f2125c654300fa3e7edfd2b1bf7754612584d25fdbc,76,present,likely,p1,"18,34,39,43,75",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_e9e5d551a83c9529af0709c6,yes,cex_907a2e5abc8c90a8169908bc,mixed,,,0,frozen
102,cex_994716bf7980126214df9f21,doc_fda438d9f0a62ff239f99fc5,ttd_56c6b36abc04a92a4fa22348,pr_73a6689dc25d9d0b37ec642b,sr_2c7e8d472e7027f77297ddf3,NSCQ-FL-20260720-0013,TRI-3288fb1078f2e8f1b501,VER-d807ec17c27bb9126e2d,FL,St. Petersburg,CITY OF ST PETERSBURG,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0016_sr_2c7e8d472e7027f77297ddf3.pdf,cae97cac26c2a93529c7fa6eada6f99a431cbca078f614fb4c1ab90aac4cb3fc,67,partial,likely,p1,"23,34,38",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_bc06069eae819cd9fb028d62,yes,cex_6bf97f71efc177519f3d0e6e,quantitative,,,0,frozen
103,cex_6bf97f71efc177519f3d0e6e,doc_430e92ddfff44dca952d4b5c,ttd_f4e296202092c3ad6d4cab47,pr_3cb0a41f1ac01db66c6994f9,sr_ad31acd608a346645ce11a35,NSCQ-FL-20260720-0014,TRI-8786e7b6b4f680b984ff,VER-cdfe87b667a32fa9aafc,FL,St. Petersburg,CITY OF ST PETERSBURG,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0048_sr_ad31acd608a346645ce11a35.pdf,aebaec1ff413e32a373930c14d42756d53f8634ba7b8e0a1abec40d229c8165a,108,present,likely,p1,"13,25,37,49,60",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_bc06069eae819cd9fb028d62,yes,cex_6bf97f71efc177519f3d0e6e,mixed,,,0,frozen
104,cex_db21a7a81ef153a937019b6a,doc_b6b994f9916e108e6ea27646,ttd_8784328e5bcfb79777b1298f,pr_8072bd754b337c58ba715e8c,sr_f24f2ab4ded7f5fff8683fae,NSCQ-FL-20260720-0012,TRI-2209a01f82f17c848a86,VER-1c9bfe7826c769b1579c,FL,St. Petersburg,CITY OF ST PETERSBURG,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0033_sr_f24f2ab4ded7f5fff8683fae.pdf,e248b6a68f37201162a2c6ab0ffaf98768fac7770cb03935387bb5d7a898f941,72,partial,likely,p1,"25,33,37,40",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_bc06069eae819cd9fb028d62,yes,cex_6bf97f71efc177519f3d0e6e,mixed,,,0,frozen
105,cex_55b115489500c852f6c7a852,doc_6363672600554c95284de038,ttd_57361956538cd7aa60ed121a,pr_2f72b2ed1d95b9eb90e1cb0d,sr_22e40f08dd50fabb9bc2702d,NSCQ-FL-20260720-0201,TRI-1b3b015308be930e268b,VER-5903e548387323e56719,FL,Venice,CITY OF VENICE,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_22e40f08dd50fabb9bc2702d.pdf,7efec54e1a6d41a1f72be449463f496344ff7e9af78e017a860665289a4cd229,61,present,possible,p2,"2,8",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_9e1f7cb13e64a60b714eb458,yes,cex_9237c602e6f58a80caac9f92,mixed,,,0,frozen
106,cex_9237c602e6f58a80caac9f92,doc_5ac3fd575e839b298121a839,ttd_8b04a3e5c0407acc05d97f8a,pr_9ecc0180f9acb96765a648bf,sr_c727924078e820532ffa576c,NSCQ-FL-20260720-0202,TRI-d8441e697b5753853e12,VER-a2e8878b7f8b21df9170,FL,Venice,CITY OF VENICE,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0073_sr_c727924078e820532ffa576c.pdf,33f303243073fe47651df1c65171534a9a7629f15b91eb19af958d3d3b23ec38,77,present,possible,p2,"18,26,35,39",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_9e1f7cb13e64a60b714eb458,yes,cex_9237c602e6f58a80caac9f92,mixed,,,0,frozen
107,cex_20cbd5f7d3988ffebf6f0f2e,doc_20bc958cb90ccccbc4034a8f,ttd_45008847790f508ca9974e7a,pr_539594ba8952d6d1b3153aff,sr_6c946e47f2fe6e0ab078843c,NSCQ-FL-20260720-0200,TRI-45cd843cae9a0419761b,VER-9dcdaef58817a4ddf956,FL,Venice,CITY OF VENICE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0091_sr_6c946e47f2fe6e0ab078843c.pdf,29e5212740535c415f8d52000b04c29faeee38230ce714e915ce4eedfaec0d98,65,present,likely,p1,"15,29,33,65",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_9e1f7cb13e64a60b714eb458,yes,cex_9237c602e6f58a80caac9f92,mixed,,,0,frozen
108,cex_2ce9517e92408ee877f91bab,doc_f857af8c571569d5cb242a82,ttd_7b79a9b9fe838def91718830,pr_e05dc223a3c188502bab59d0,sr_f74a2db37bf35222c9ce7af1,NSCQ-HI-20260720-0002,TRI-b754db3ccc2654d6177b,VER-9b21dcc57b4f254c297e,HI,Honolulu,CITY AND COUNTY OF HONOLULU,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0005_sr_f74a2db37bf35222c9ce7af1.pdf,8782361035b8b086b7785e6561f3347e5ebfdd78607beac62e8330a1fe55a3d1,64,partial,likely,p1,"36,63,64",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_27a3faa99e6b18a63946f20f,yes,cex_af8d7dc334ba0eec22474847,mixed,,,0,frozen
109,cex_af8d7dc334ba0eec22474847,doc_d1989231667afb85f22d5261,ttd_ab645cccae6fd64aeb603d65,pr_5caf77650985629c95f13ee1,sr_6ee2d286252cc9f56a12ed7a,NSCQ-HI-20260720-0003,TRI-cc3603ce0e1826d8ced5,VER-be5c87a8c1e97d470d4d,HI,Honolulu,CITY AND COUNTY OF HONOLULU,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0043_sr_6ee2d286252cc9f56a12ed7a.pdf,cb10f5c6ee577626403cd815e82c6edc00ffcd53d3fe05c6141e50345b293013,167,present,likely,p1,"2,19,56,75,84,93",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_27a3faa99e6b18a63946f20f,yes,cex_af8d7dc334ba0eec22474847,mixed,,,0,frozen
110,cex_d1a7b465c9b9b3eef0254568,doc_5841984ac2a8da113222ad8b,ttd_25b1eda52f71e20848eb7a0d,pr_d5a06b11af179ea925739831,sr_5eacbb71aa4455fcf99a7e52,NSCQ-HI-20260720-0001,TRI-e6eb451534dea0cf7d02,VER-65e3941f794e1bb52446,HI,Honolulu,CITY AND COUNTY OF HONOLULU,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0037_sr_5eacbb71aa4455fcf99a7e52.pdf,7abd22c58bfb8059c2b5f51cd1f72c2fdea05104563c2c97e7d9b2ae95529dda,114,present,possible,p2,"39,58,64",62.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|GATE3_CALIBRATION_CASE,match_27a3faa99e6b18a63946f20f,yes,cex_af8d7dc334ba0eec22474847,mixed,mixed_quant_qual_ready,high,3,frozen
111,cex_8492d48d29aa385a1727d246,doc_65b0475c4adc178858d6f14a,ttd_f2dff45c638ee126c94f7f6f,pr_f24fb6f184a7f9e61991c825,sr_fe9dfb8e65ec5934baf91ea7,NSCQ-IA-20260720-0037,TRI-81b8020b6c80ea67c715,VER-0a5f7652091b8c5b1d93,IA,Bettendorf,CITY OF BETTENDORF,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0047_sr_fe9dfb8e65ec5934baf91ea7.pdf,81d3ba3f8b923bdbf6854b0e261da5c63d240b39c99f2cddbc25e737b21c942d,47,present,possible,p2,"11,21,24,27,47",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_c8b2362646434416a655ca93,yes,cex_bde2b94e27e0d4232074805a,mixed,,,0,frozen
112,cex_bde2b94e27e0d4232074805a,doc_f58347f5879206113638bcba,ttd_5c5f569d29906b2456891eb7,pr_e266a4032f50a5b0384e5cba,sr_b77b7890da505672ed6020c3,NSCQ-IA-20260720-0038,TRI-17ab37657721765ef44b,VER-941d228392c59ccba5b0,IA,Bettendorf,CITY OF BETTENDORF,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0082_sr_b77b7890da505672ed6020c3.pdf,9ec8fa68d215d4107743ee7758bbb13001bcddca2c9e99783cc6162583ddc63c,64,present,likely,p1,"2,29,64",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_c8b2362646434416a655ca93,yes,cex_bde2b94e27e0d4232074805a,mixed,,,0,frozen
113,cex_f80215a27e5afd1196e23024,doc_18ffa609f03eebd4f00537b8,ttd_2dc82221ac20bb7d85e922b5,pr_56ffe7520988218bfe0a1d63,sr_2336ca708d99340c94d3a53b,NSCQ-IA-20260720-0070,TRI-422c23d636a5c173ec2a,VER-297cce9232c9b97ca891,IA,Boone,CITY OF BOONE,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0176_sr_2336ca708d99340c94d3a53b.pdf,7c2313d8f74323a8c35a5135f9e77ab125ffb6c09923559f22aef63b8466238d,40,present,possible,p2,"2,14",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_9540fe13edcc5d047a4265ba,yes,cex_f80215a27e5afd1196e23024,quantitative,,,0,frozen
114,cex_51501f07ed6b30c1ff55625d,doc_f3e5366b0dc3980eb77a0b1a,ttd_ddc97ff88a747cce98f1939b,pr_067e4e37edede9adf6214030,sr_82274bdd0d73e5c08ce3603d,NSCQ-IA-20260720-0069,TRI-bf2ca020782c34481899,VER-d81d69db67354a2d5af0,IA,Boone,CITY OF BOONE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0012_sr_82274bdd0d73e5c08ce3603d.pdf,606d4554aec9cf8bad6df184fd4181f03948abf2c4ba29a1f2c17ecc1ed66309,164,present,possible,p2,,12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_9540fe13edcc5d047a4265ba,yes,cex_f80215a27e5afd1196e23024,quantitative,,,0,frozen
115,cex_100ff1a536c7cd8a47c93085,doc_9f769e6238d50836a0ac3a92,ttd_e39e36ad652da1cba6898cfa,pr_4bc024c328db122d0a4c81af,sr_1a3510e82a45e3b81d4bc947,NSCQ-IA-20260720-0010,TRI-721fd004bb9b3648802b,VER-cc7f02893d7d401100a0,IA,Cedar Rapids,CITY OF CEDAR RAPIDS,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0042_sr_1a3510e82a45e3b81d4bc947.pdf,02a297b55b6ca8adf4e62b0bb4a1020db87f676d34a2bc9593055f753334f5d8,36,present,likely,p1,"9,19,20,36",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_59f0e4ef7543796a33edcb6b,yes,cex_5c42671b903f2c4c5b1772db,mixed,,,0,frozen
116,cex_5c42671b903f2c4c5b1772db,doc_3c9488a06ac7fa3a19d74424,ttd_4f53a994cb2bd166c80b78f0,pr_2df4399ae482082d95faf299,sr_0d60608a63f5a0142b7e515b,NSCQ-IA-20260720-0011,TRI-88c0bd3b038afe004f5e,VER-792be8b4821e6c34cef9,IA,Cedar Rapids,CITY OF CEDAR RAPIDS,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0060_sr_0d60608a63f5a0142b7e515b.pdf,79d3fecbf90fb9abf2d6e32608c9618de3dd4e8b09f0d1ca94d07c0a8e297cd5,24,present,possible,p2,"6,11,13,23,24",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_59f0e4ef7543796a33edcb6b,yes,cex_5c42671b903f2c4c5b1772db,mixed,,,0,frozen
117,cex_7411e7cfe12346a7d59e30e0,doc_2e5b194dc234b3b8d037bdab,ttd_be0588f8645588a596157aef,pr_c4af08ba55ce013ea86a283a,sr_84ece7576a945d0f12fbaa7c,NSCQ-IA-20260720-0009,TRI-4ab0ed13f8d22ec42afb,VER-f1fc0f73ff078aceb708,IA,Cedar Rapids,CITY OF CEDAR RAPIDS,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0117_sr_84ece7576a945d0f12fbaa7c.pdf,304075252eba9caff031317d4bd9610f978f8a108c4b2f10067799f5082644e7,36,present,likely,p1,"17,20,35,36",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_59f0e4ef7543796a33edcb6b,yes,cex_5c42671b903f2c4c5b1772db,mixed,,,0,frozen
118,cex_3968ffb9964b291bba2ec726,doc_c16b96ae4559b6d80b5d8964,ttd_0be2df44a560d4844c847f0c,pr_6c9c182acf6b5f40b15d05fe,sr_695838eab079c2e7243af1c2,NSCQ-IA-20260720-0005,TRI-305f805f7f9bbe546df0,VER-14fc8e8a99e5d27cdc98,IA,Des Moines,CITY OF DES MOINES,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0212_sr_695838eab079c2e7243af1c2.pdf,4cc0bedfcbb28316c8a1b17a5dbd2d107bbe6d543236017f7ed9d71dee7d2b5b,30,present,likely,p1,"4,14,16,29,30",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_18481b428732ac3b9af50c51,yes,cex_3968ffb9964b291bba2ec726,mixed,,,0,frozen
119,cex_7a9626f998f407c9c69284fb,doc_a15baf87f18bba6fa2891ee0,ttd_8645a41873546b0b7bc32986,pr_6ce4fd6f8f7d8b1a4565084f,sr_dcc2b1972bc6b0b16b0ce555,NSCQ-IA-20260720-0001,TRI-fa337cabeda0c089390a,VER-aa57a61aad92a3104d73,IA,Des Moines,CITY OF DES MOINES,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0078_sr_dcc2b1972bc6b0b16b0ce555.pdf,c279cc924dd36961c3e080173cf57c051f0b6efc9e749f7e28874550bde93e74,42,present,possible,p2,"15,19,41",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_18481b428732ac3b9af50c51,yes,cex_3968ffb9964b291bba2ec726,quantitative,,,0,frozen
