municipality,municipality_id,state,region,county,shard_id,scout_target_count,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_diversification_opportunity_flags,matched_safety_non_safety_opportunity_flag,planned_search_query_families,dashboard_map_inclusion_rule,notes
Max,cog_2025_209016,ND,Midwest,McLean County (38055; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Medina,cog_2025_171471,ND,Midwest,Stutsman County (38093; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Minnewaukan,cog_2025_186823,ND,Midwest,Benson County (38005; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Missouri Ridge,cog_2025_110483,ND,Midwest,Williams County (38105; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Mountain,cog_2025_171437,ND,Midwest,Pembina County (38067; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Mylo,cog_2025_171455,ND,Midwest,Rolette County (38079; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
New Prairie,cog_2025_132168,ND,Midwest,Ward County (38101; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Niagara,cog_2025_171399,ND,Midwest,Grand Forks County (38035; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Nome,cog_2025_193823,ND,Midwest,Barnes County (38003; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Oriska,cog_2025_131865,ND,Midwest,Barnes County (38003; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Osborn,cog_2025_110389,ND,Midwest,Mountrail County (38061; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Oxbow,cog_2025_186828,ND,Midwest,Cass County (38017; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Pekin,cog_2025_131906,ND,Midwest,Nelson County (38063; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Pherrin,cog_2025_172229,ND,Midwest,Williams County (38105; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Pleasant,cog_2025_186848,ND,Midwest,Cass County (38017; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Prairie Rose,cog_2025_209007,ND,Midwest,Cass County (38017; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ross,cog_2025_131904,ND,Midwest,Mountrail County (38061; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Rutland,cog_2025_209023,ND,Midwest,Sargent County (38081; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ryder,cog_2025_110257,ND,Midwest,Ward County (38101; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Scranton,cog_2025_131870,ND,Midwest,Bowman County (38011; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Selfridge,cog_2025_209024,ND,Midwest,Sioux County (38085; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
South Heart,cog_2025_110246,ND,Midwest,Stark County (38089; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
St. John,cog_2025_131916,ND,Midwest,Rolette County (38079; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
St. Mary,cog_2025_171897,ND,Midwest,McLean County (38055; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Stanley,cog_2025_131987,ND,Midwest,Cass County (38017; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Starkweather,cog_2025_171444,ND,Midwest,Ramsey County (38071; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Tappen,cog_2025_171407,ND,Midwest,Kidder County (38043; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Taylor,cog_2025_131920,ND,Midwest,Stark County (38089; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Valley,cog_2025_131947,ND,Midwest,Barnes County (38003; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Van Hook,cog_2025_132079,ND,Midwest,Mountrail County (38061; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Venturia,cog_2025_205103,ND,Midwest,McIntosh County (38051; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Verona,cog_2025_171411,ND,Midwest,LaMoure County (38045; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Westhope,cog_2025_171359,ND,Midwest,Bottineau County (38009; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
White Earth,cog_2025_110234,ND,Midwest,Mountrail County (38061; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Wimbledon,cog_2025_110200,ND,Midwest,Barnes County (38003; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Woodworth,cog_2025_131924,ND,Midwest,Stutsman County (38093; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Zap,cog_2025_131902,ND,Midwest,Mercer County (38057; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Alexandria,cog_2025_169712,NE,Midwest,Thayer County (31169; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Amherst,cog_2025_208688,NE,Midwest,Buffalo County (31019; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ansley,cog_2025_169573,NE,Midwest,Custer County (31041; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Arapahoe,cog_2025_212063,NE,Midwest,Furnas County (31065; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ashland,cog_2025_108545,NE,Midwest,Saunders County (31155; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ashton,cog_2025_108470,NE,Midwest,Sherman County (31163; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Atkinson,cog_2025_186440,NE,Midwest,Holt County (31089; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Beaver Crossing,cog_2025_130286,NE,Midwest,Seward County (31159; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Benkelman,cog_2025_108407,NE,Midwest,Dundy County (31057; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Blue Springs,cog_2025_108416,NE,Midwest,Gage County (31067; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Blue Springs-Wymore,cog_2025_190817,NE,Midwest,Gage County (31067; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bradshaw,cog_2025_169734,NE,Midwest,York County (31185; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Brainard,cog_2025_130201,NE,Midwest,Butler County (31023; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bruning,cog_2025_130288,NE,Midwest,Thayer County (31169; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bushnell,cog_2025_130249,NE,Midwest,Kimball County (31105; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Callaway,cog_2025_108396,NE,Midwest,Custer County (31041; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Campbell,cog_2025_169598,NE,Midwest,Franklin County (31061; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Chester,cog_2025_108471,NE,Midwest,Thayer County (31169; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Clarkson,cog_2025_208695,NE,Midwest,Colfax County (31037; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Cody,cog_2025_169562,NE,Midwest,Cherry County (31031; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Columbus,cog_2025_130371,NE,Midwest,Platte County (31141; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Concord,cog_2025_190793,NE,Midwest,Dixon County (31051; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Crawford,cog_2025_169581,NE,Midwest,Dawes County (31045; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Crofton,cog_2025_204895,NE,Midwest,Knox County (31107; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Davey,cog_2025_169644,NE,Midwest,Lancaster County (31109; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Dawson,cog_2025_169683,NE,Midwest,Richardson County (31147; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
De Witt,cog_2025_169688,NE,Midwest,Saline County (31151; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Dodge,cog_2025_130221,NE,Midwest,Dodge County (31053; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Doniphan,cog_2025_204892,NE,Midwest,Hall County (31079; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Douglas,cog_2025_130264,NE,Midwest,Otoe County (31131; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Dwight,cog_2025_169548,NE,Midwest,Butler County (31023; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Edgar,cog_2025_225824,NE,Midwest,Clay County (31035; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Elgin,cog_2025_108374,NE,Midwest,Antelope County (31003; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Endicott,cog_2025_130245,NE,Midwest,Jefferson County (31095; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ewing,cog_2025_169628,NE,Midwest,Holt County (31089; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Exeter,cog_2025_208699,NE,Midwest,Fillmore County (31059; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Farwell,cog_2025_202130,NE,Midwest,Howard County (31093; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Filley,cog_2025_130235,NE,Midwest,Gage County (31067; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Garland,cog_2025_169705,NE,Midwest,Seward County (31159; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Giltner,cog_2025_130239,NE,Midwest,Hamilton County (31081; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Goehner,cog_2025_225078,NE,Midwest,Seward County (31159; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Greeley Center,cog_2025_169613,NE,Midwest,Greeley County (31077; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Hadar,cog_2025_186418,NE,Midwest,Pierce County (31139; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Harvard,cog_2025_130210,NE,Midwest,Clay County (31035; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Hayes Center,cog_2025_169626,NE,Midwest,Hayes County (31085; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Holbrook,cog_2025_130234,NE,Midwest,Furnas County (31065; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Howard City (Boelus),cog_2025_169631,NE,Midwest,Howard County (31093; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ithaca,cog_2025_169696,NE,Midwest,Saunders County (31155; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lindsay,cog_2025_204898,NE,Midwest,Platte County (31141; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lodgepole,cog_2025_130209,NE,Midwest,Cheyenne County (31033; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lynch,cog_2025_169535,NE,Midwest,Boyd County (31015; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Malcolm,cog_2025_169647,NE,Midwest,Lancaster County (31109; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Mason City,cog_2025_169576,NE,Midwest,Custer County (31041; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Morse Bluff,cog_2025_208726,NE,Midwest,Saunders County (31155; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Newcastle,cog_2025_130219,NE,Midwest,Dixon County (31051; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
North Loup,cog_2025_169722,NE,Midwest,Valley County (31175; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Oconto,cog_2025_169577,NE,Midwest,Custer County (31041; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ord,cog_2025_169970,NE,Midwest,Valley County (31175; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Osceola,cog_2025_169677,NE,Midwest,Polk County (31143; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Overton,cog_2025_169586,NE,Midwest,Dawson County (31047; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Oxford,cog_2025_108414,NE,Midwest,Furnas County (31065; primary); Harlan County (31083),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Page,cog_2025_169629,NE,Midwest,Holt County (31089; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Palisade,cog_2025_108422,NE,Midwest,Hitchcock County (31087; primary); Hayes County (31085),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Pawnee City,cog_2025_130270,NE,Midwest,Pawnee County (31133; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Petersburg,cog_2025_208686,NE,Midwest,Boone County (31011; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Plymouth,cog_2025_130246,NE,Midwest,Jefferson County (31095; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Polk,cog_2025_169678,NE,Midwest,Polk County (31143; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Rosalie,cog_2025_169719,NE,Midwest,Thurston County (31173; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Scribner,cog_2025_130223,NE,Midwest,Dodge County (31053; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Shubert,cog_2025_169685,NE,Midwest,Richardson County (31147; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Snyder,cog_2025_108404,NE,Midwest,Dodge County (31053; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sprague,cog_2025_169649,NE,Midwest,Lancaster County (31109; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Stratton,cog_2025_130242,NE,Midwest,Hitchcock County (31087; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sumner,cog_2025_130217,NE,Midwest,Dawson County (31047; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Table Rock,cog_2025_169668,NE,Midwest,Pawnee County (31133; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Thurston,cog_2025_186430,NE,Midwest,Thurston County (31173; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Township 1,cog_2025_130385,NE,Midwest,Washington County (31177; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Township 5,cog_2025_169977,NE,Midwest,Washington County (31177; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Township 6,cog_2025_193705,NE,Midwest,Washington County (31177; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Township 7,cog_2025_169978,NE,Midwest,Washington County (31177; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Trenton,cog_2025_208706,NE,Midwest,Hitchcock County (31087; primary),broad_4x2500_shard_002,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Valparaiso,cog_2025_169698,NE,Midwest,Saunders County (31155; primary),broad_4x2500_shard_002,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Wakefield,cog_2025_169828,NE,Midwest,Dixon County (31051; primary),broad_4x2500_shard_002,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Wynot,cog_2025_108387,NE,Midwest,Cedar County (31027; primary),broad_4x2500_shard_002,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
American,cog_2025_172701,OH,Midwest,Allen County (39003; primary),broad_4x2500_shard_002,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Andover,cog_2025_172294,OH,Midwest,Ashtabula County (39007; primary),broad_4x2500_shard_002,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Batavia,cog_2025_110713,OH,Midwest,Clermont County (39025; primary),broad_4x2500_shard_002,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bellville,cog_2025_209089,OH,Midwest,Richland County (39139; primary),broad_4x2500_shard_002,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Beverly,cog_2025_110820,OH,Midwest,Washington County (39167; primary),broad_4x2500_shard_002,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Botkins,cog_2025_172611,OH,Midwest,Shelby County (39149; primary),broad_4x2500_shard_002,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bratenahl,cog_2025_172353,OH,Midwest,Cuyahoga County (39035; primary),broad_4x2500_shard_002,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
