root_compensation_event_id,source_implementation_event_id,municipality,state,compensation_cycle_id,side,beneficiary_unit,implementation_status,evidence_excerpt,human_readable_citation,root_action_summary,technical_lineage
ROOTCOMP-b7b4e8db700e3614982cd38c,IMPEVT-13ac9b903586facee80a2611,Dunstable,MA,2023,police,police,implemented,"effective on July 1, 2023, between VADAR Systems, Inc.","Dunstable, MA, Memorandum Of Understanding, 2023.",implemented mechanism only for police,"[""WCM-ae503229f58039dccb81ece0""]"
ROOTCOMP-b217f02f395d71e5bebc9b32,IMPEVT-ae821386d1365676c8115e9e,Gill,MA,2025,police,police,formally_adopted,"approved by a majority vote of the Selectboard, the CHIEF will not be entitled to any COLA","Gill, MA, Memorandum Of Understanding, 2025.",formally adopted cola or indexing for police,"[""WCM-2ce7432ec727b4b51bb87f6f""]"
ROOTCOMP-ed78ce1106175837935ba006,IMPEVT-debf0c85ee0e6564bc38c625,Gill,MA,undated-source-B4X2500LIVE-20260729-001032,remains_unclear,unclear,formally_adopted,Adjusted to reflect Annual Cost of Living Adjustment percentage approved by Annual Town Meeting.,"Gill, MA, Budget Or Pay Plan, period not explicit.",formally adopted across the board raise for remains unclear,"[""WCM-2f957d0cea98c5722a636172""]"
ROOTCOMP-91809057214dbbff510d9a09,IMPEVT-aea1b32fe8e406454089f50f,Groton,MA,2018,fire,fire,implemented,"This new hourly rate would then be increased by 2.5% effective July 1, 2018.","Groton, MA, Council Packet Or Minutes, 2018.",implemented base wage for fire,"[""WCM-1a4722676533867cdb42fb29"",""WCM-8d95b6325fae6d100eb457d6"",""WCM-daa59bfe461eb6c42b14940d""]"
ROOTCOMP-9a7acbbffc6796fbabf214d0,IMPEVT-a25079a5e06d7ab193b4a1f7,Groton,MA,2025,remains_unclear,unclear,implemented,"Interdepartmental Administrative Assistant, effective January 21, 2025.","Groton, MA, Council Packet Or Minutes, 2025.",implemented mechanism only for remains unclear,"[""WCM-4703ebebfa4af948ab2eccaf"",""WCM-496d775da14a6b44f6f8d8c8""]"
ROOTCOMP-0e671f305ce123be4d4054f8,IMPEVT-a7dfcd09d7e277d4b97faefe,Hamilton,MA,2019,remains_unclear,unclear,implemented,"AGREEMENT, effective July 1, 2019, (the ""Effective Date"") by, and between the Town of Hamilton, a","Hamilton, MA, Collective Bargaining Agreement, 2019.",implemented mechanism only for remains unclear,"[""WCM-e0f7bb71ba48bcbf0da00713""]"
ROOTCOMP-2517a0a4ccfcf9f47b906696,IMPEVT-92ab8fa7da40152e0966db63,Hatfield,MA,2022,remains_unclear,unclear,implemented,"20.01 This contract is effective July 1, 2022, to remain in full force and in effect through June","Hatfield, MA, Wage Schedule, 2022.",implemented mechanism only for remains unclear,"[""WCM-7a9b5b79a5300f207ff763e0""]"
ROOTCOMP-d61fe3010c210a4809374627,IMPEVT-0e093c79bef112c23c6a0cab,Leverett,MA,2016,remains_unclear,unclear,implemented,"Effective January 1, 1996, no temporary","Leverett, MA, Wage Schedule, 2016.",implemented mechanism only for remains unclear,"[""WCM-865a5f0f87dbf5248252b461"",""WCM-e7f614c8d8e8168018acbe71""]"
ROOTCOMP-ff860cf8c2d6154842005041,IMPEVT-88545514a17a8a301317f1c9,Marblehead,MA,undated-source-CBSRD-20260728-67034cc7f9613b9151ea,remains_unclear,unclear,formally_adopted,,"Marblehead, MA, Arbitration Award, period not explicit.",formally adopted mechanism only for remains unclear,"[""WCM-2c0e6b88c3c6cf88dc790494""]"
ROOTCOMP-736b2735e9c750971891a342,IMPEVT-8f9483014a88cb105d36280c,Nahant,MA,2023,fire,fire,implemented,"Department effective May 17, 2023.”","Nahant, MA, Council Packet Or Minutes, 2023.",implemented mechanism only for fire,"[""WCM-44a0b1c1641a98fb45a17bd6""]"
ROOTCOMP-fb7c761dca3094aeeb016646,IMPEVT-3f641ee24602864500107ea4,Norfolk,MA,2020,remains_unclear,unclear,implemented,"the Town effective July 1, 2020.","Norfolk, MA, Civil-Service Or Hr Pay Plan, 2020.",implemented mechanism only for remains unclear,"[""WCM-50adbd2763033b3d28defdc5""]"
ROOTCOMP-9ab609991385ffad9c681d73,IMPEVT-ffea37f1c7e00fa371451e9f,Norfolk,MA,2021,remains_unclear,unclear,implemented,or their estate will receive a pro-rated portion of longevity pay based on the,"Norfolk, MA, Civil-Service Or Hr Pay Plan, 2021.",implemented longevity for remains unclear,"[""WCM-47833d47e14a75a7635ad4bd"",""WCM-aca71798514b8e384d7afb2f""]"
ROOTCOMP-30ee4a111079fec1c4fad0ab,IMPEVT-75d247c230433bb0a73fc4bf,Northborough,MA,2023,fire,fire,implemented,of each pay grade: Market Adjustments as defined below: FY2023: Market adjustment as displayed below- 10 Step 1 Step 2 Step 3 Step 4 Step 5 FY2023 Market Adjustment 0.25 0.26 0.28 0.29 0.31 FY2024: Market adjustment as displayed below- Step 1 Step 2 Step 3 Step 4 Step 5 Firefighters: Effective 7/1/22 Effective 7/1/23 Effective 7/1/24 FY2024 Market Adjustment 0.26 0.27 0.28 0.30 0.32 Firefighter Base Pay Increase of 2% Firefighter Base Pay Increase of 2% Firefighter Base Pay,"Northborough, MA, Cba Or Compensation Study Or Classification Study Or Wage Schedule, 2023.",implemented step progression for fire,"[""WCM-44355fa234e4b1341ff555fc"",""WCM-51e3ad22a6c4a945a72ee3e2""]"
ROOTCOMP-c797c755f9a5ce60b4db3463,IMPEVT-e36586d2dad78b51de8ed6a6,Northborough,MA,2024,fire,fire,implemented,4: Market adjustment as displayed below- Step 1 Step 2 Step 3 Step 4 Step 5 Firefighters: Effective 7/1/22 Effective 7/1/23 Effective 7/1/24 FY2024 Market Adjustment 0.26 0.27 0.28 0.30 0.32 Firefighter Base Pay Increase of 2% Firefighter Base Pay Increase of 2% Firefighter Base Pay Increase of 2% Firefighter Wages Step 1 Step 2 Step 3 Step 4 Step 5 FY2023 $ 25.84 $ 27.14 $ 28.48 $ 30.18 $ 31.70 11 FY2024 $ 26.62 $ 27.96 $ 29.35,"Northborough, MA, Cba Or Compensation Study Or Classification Study Or Wage Schedule, 2024.",implemented step progression for fire,"[""WCM-e10192dece22e85778b092d8""]"
ROOTCOMP-e6dfd39f5e8d0cd6584a47ee,IMPEVT-f430e5dae3528e2d7f1c14c9,Orange,MA,2022,remains_unclear,unclear,implemented,"c.41, §108 effective July 1, 2022, as contained in the budget;","Orange, MA, Memorandum Of Understanding, 2022.",implemented mechanism only for remains unclear,"[""WCM-040913eb1b64cb4ccc4be57b"",""WCM-44e3e9aab231b457c2b93bf5""]"
ROOTCOMP-4943379cf3b527e7533a05b0,IMPEVT-7700935e88cc114d46996e10,Orange,MA,2023,remains_unclear,unclear,implemented,Ambulance Receipts for Appropriation Account from 10% to 15% effective 7/1/2023 and from 15% to,"Orange, MA, Memorandum Of Understanding, 2023.",implemented mechanism only for remains unclear,"[""WCM-80bde1825ae67beab4e6da03""]"
ROOTCOMP-c70c94e0952f0a8e39a2d098,IMPEVT-74fa729f8ad0c7a03a3bf1e2,Raynham,MA,2021,remains_unclear,unclear,implemented,"1) Effective July 1, 2021, replace the salary schedule in effect on June 30, 2021 and","Raynham, MA, Wage Schedule, 2021.",implemented base wage for remains unclear,"[""WCM-0d1f2a3c782b220e9caf827c"",""WCM-3658a870a4e7159f8ce4ba3f"",""WCM-d5ff97efe59c14746d8efa50""]"
ROOTCOMP-805f391b6c845e50b364b9fd,IMPEVT-2b9d086d7782afb971c31409,Raynham,MA,2022,remains_unclear,unclear,implemented,"3) Effective July 1, 2022, increase the salary schedule in effect on June 30, 2022 by two","Raynham, MA, Wage Schedule, 2022.",implemented base wage for remains unclear,"[""WCM-f5c2dfcb39c7890aeff32b8e""]"
ROOTCOMP-3648408020a08a437fa18fce,IMPEVT-1d552abc574d8c1181284424,Rowe,MA,2020,remains_unclear,unclear,implemented,"(Effective and retroactive to July 1, 2020)","Rowe, MA, Personnel Policy, 2020.",implemented retroactive pay for remains unclear,"[""WCM-9bbdcca7d420ecc47d83b47d"",""WCM-cf990cbc00216978fa0762bd""]"
ROOTCOMP-0ef59eb0ae8d1bd91a0569a5,IMPEVT-81ed20c706443b88f1aa7033,Rowe,MA,2023,remains_unclear,unclear,implemented,"Regular full-time and regular part-time employees accrue vacation leave as follows: (table effective July 1,","Rowe, MA, Personnel Policy, 2023.",implemented mechanism only for remains unclear,"[""WCM-c712025e41cd82356e484943""]"
ROOTCOMP-cf0d8cbed3b3a803f1733dd1,IMPEVT-f324da4d78ecc7942af72334,Sheffield,MA,undated-source-B4X2500LIVE-20260729-003582,remains_unclear,unclear,implemented,"including maintenance of personnel records, implementation of effective recruitment and","Sheffield, MA, Budget Or Pay Plan, period not explicit.",implemented mechanism only for remains unclear,"[""WCM-9a0cd3b5cda34f15a02eaff3""]"
ROOTCOMP-4402817028a05bff7ddca557,IMPEVT-ab54c19a360c5801753000c3,Sheffield,MA,undated-source-B4X2500LIVE-20260729-003582,remains_unclear,unclear,formally_adopted,"of this chapter or personnel policies adopted pursuant thereto, the provisions of the collective bargaining","Sheffield, MA, Budget Or Pay Plan, period not explicit.",formally adopted mechanism only for remains unclear,"[""WCM-5c9d4fc7ed16a451a9620823""]"
ROOTCOMP-8d14d889b330d0ab052cc12f,IMPEVT-43cafbe1c5444530bc814f7e,Tyngsborough,MA,2022,remains_unclear,unclear,implemented,"If approved tonight, these licenses will be effective January 1, 2022 and will expire as they all do on","Tyngsborough, MA, Memorandum Of Understanding, 2022.",implemented mechanism only for remains unclear,"[""WCM-dd9ee282b04064bc40072731""]"
ROOTCOMP-22981c54976a2c4207f7d1f5,IMPEVT-84ef0b84cbe4f629af362810,Ware,MA,2023,remains_unclear,unclear,implemented,"Effective July 1, 2023 and dependent on agreement by all the Town and School bargaining","Ware, MA, Collective Bargaining Agreement, 2023.",implemented mechanism only for remains unclear,"[""WCM-d27f0c7727239a7231f1a8d6""]"
ROOTCOMP-3a7f6a546e487da0258223ac,IMPEVT-8a0c893179e836a5f1be4f92,Ware,MA,2024,remains_unclear,unclear,implemented,"This Agreement effective July 1, 2024 is by and between the Ware Selecboard, in their","Ware, MA, Collective Bargaining Agreement, 2024.",implemented mechanism only for remains unclear,"[""WCM-b885b288fc2187d51ce40088""]"
ROOTCOMP-0cfff3e21883dd338840e3f6,IMPEVT-1a18d4feccd33c39760de2ea,Warwick,MA,undated-source-B4X2500LIVE-20260729-006107,remains_unclear,unclear,implemented,"Sick Leave accrues, after completion of the six month review period, at the rate of one day per month, retroactive to the first full month of employment, not to exceed 10 days per year.","Warwick, MA, Other Local Government Pay Policy, period not explicit.",implemented retroactive pay for remains unclear,"[""WCM-3a9167269cc32a967d1ab5b2"",""WCM-fdfbe189e02b3388591d922d""]"
ROOTCOMP-2d56ff997e4a034f93c565ba,IMPEVT-4618dd2c6016ff8f7e4bee7f,West Bridgewater,MA,2023,remains_unclear,unclear,implemented,Effective in FY 24 the Winter Season Stand - By Stipend will increase to $1250.00,"West Bridgewater, MA, Memorandum Of Understanding, 2023.",implemented stipend or premium for remains unclear,"[""WCM-952684cf21e82e08dfa10af6""]"
ROOTCOMP-fc57e257ca434cbff83f505d,IMPEVT-e26e70e42c805e8a727db78d,West Bridgewater,MA,2023,police,unclear,implemented,"Perez MOVED to ratify Fernando Colombo as Police Officer, effective July","West Bridgewater, MA, Memorandum Of Understanding, 2023.",implemented mechanism only for police,"[""WCM-8ac82dc5d365e3c45a562ace""]"
ROOTCOMP-dcc8889168c45771bf5140b8,IMPEVT-f6e509f42678058fbeaf562b,West Bridgewater,MA,2023,remains_unclear,unclear,implemented,"shall Effective July 1, 2023, receive increase to each Grade by three hundred fifty dollars ($350.00).","West Bridgewater, MA, Memorandum Of Understanding, 2023.",implemented step progression for remains unclear,"[""WCM-5da0dc19cd6e539117b3b1fc""]"
ROOTCOMP-0b7befe09295af2386e8de2d,IMPEVT-2a3c658e2c76b2d80dc0d358,West Bridgewater,MA,2024,remains_unclear,unclear,implemented,"Effective July 29, 2024, Ms.","West Bridgewater, MA, Memorandum Of Understanding, 2024.",implemented mechanism only for remains unclear,"[""WCM-9348c3e21c08e18989c3c193"",""WCM-b7fa5097bf08e0d627eaf82e""]"
ROOTCOMP-ffdf01350168698b9858ff69,IMPEVT-3ba43364ba11f01122cfa42e,Westhampton,MA,2014,remains_unclear,unclear,formally_adopted,"appointment and retention of employees, maintenance of a classification plan (when adopted),","Westhampton, MA, Collective Bargaining Agreement, 2014.",formally adopted classification band for remains unclear,"[""WCM-50c54e828cdda061f82c5412""]"
ROOTCOMP-714096bbb117ed459edc9588,IMPEVT-8af790ea5dc25b73ba010412,Westhampton,MA,2014,remains_unclear,unclear,implemented,"section 10.10 “Use of Town Vehicles” of this Personnel Policy, effective December","Westhampton, MA, Collective Bargaining Agreement, 2014.",implemented mechanism only for remains unclear,"[""WCM-a99c926cacd9a46915ecae2e""]"
ROOTCOMP-3324346cc6ce0db102f7487a,IMPEVT-2c87c4c3744aadd1d8b2e876,Marydel,MD,undated-source-B4X2500LIVE-20260729-006941,remains_unclear,unclear,implemented,"(1) Two versions of Resolution 2001–01, effective November 13, 2001, were sent to","Marydel, MD, Budget Or Pay Plan, period not explicit.",implemented mechanism only for remains unclear,"[""WCM-4309030c303b3bdcd9606de4""]"
ROOTCOMP-cff20665b1fa89333bdf9c9b,IMPEVT-dbb5713be39cb8be23b345a9,Andover,ME,2020,remains_unclear,unclear,implemented,Overtime - Employees shall receive overtime pay after forty (40) hours of actual r'r'ork,"Andover, ME, Personnel Policy, 2020.",implemented overtime for remains unclear,"[""WCM-4324c72341483777b80d706c""]"
ROOTCOMP-5fbb67e2a5c8c090f9e76bf6,IMPEVT-35e925f55ac1ae1e80f7356e,Andover,ME,2020,remains_unclear,unclear,implemented,"This Revised Policy shall home effective March 22,2011","Andover, ME, Personnel Policy, 2020.",implemented mechanism only for remains unclear,"[""WCM-a0441bd717716a9091ba35de""]"
ROOTCOMP-2a47910ec664815a5dbc5ef7,IMPEVT-86a1f85fcbd80601d306b0b9,Andover,ME,2025,remains_unclear,unclear,implemented,"System (MainePERS) as a Participating Local District effective July 1, 2025 and a) To offer Regular","Andover, ME, Wage Schedule, 2025.",implemented mechanism only for remains unclear,"[""WCM-2b3e82009d434c58dc3b0482"",""WCM-5b2c189c859ae3286a42869d""]"
ROOTCOMP-a1087eef7ddb0a0974afaf7f,IMPEVT-285dec6fabc276360b3776ee,Bradford,ME,2021,remains_unclear,unclear,implemented,"Effective January 1, 2021","Bradford, ME, Personnel Policy, 2021.",implemented mechanism only for remains unclear,"[""WCM-43580425bc8c470324be7538"",""WCM-d98a6e192569a5df228f266b"",""WCM-e3d6f04a30e2eafa3669fa0b""]"
ROOTCOMP-84e33d91754e6c4ecfbc5c62,IMPEVT-2eeea69730f0ea2c018f0b5b,Bradley,ME,2026,remains_unclear,unclear,implemented,Employees not exempt from the overtime provisions of the Fair Labor Standards Act shall receive,"Bradley, ME, Personnel Policy, 2026.",implemented overtime for remains unclear,"[""WCM-f584b1577a23fbacdd1e0ec9""]"
ROOTCOMP-5374544dcbecb89f77eb884d,IMPEVT-ba72b86b01541dd0c6c76621,Bradley,ME,2026,remains_unclear,unclear,formally_adopted,"This policy shall be immediately effective upon its adoption at a legally called and publicly held meeting of the Town Council. Approved by the Bradley Town Council at a duly called meeting on March 12, 2012.","Bradley, ME, Personnel Policy, 2026.",formally adopted mechanism only for remains unclear,"[""WCM-866f2c2a4014650bf1b46330""]"
ROOTCOMP-baa4c0176ff09fc1c81cd946,IMPEVT-fbdcbaad307cb38d5d5546f6,Chebeague Island,ME,2025,remains_unclear,unclear,implemented,"Domestic Partner Coverage: Effective January 15, 2025, the Selectboard approved the addition of domestic","Chebeague Island, ME, Other Local Government Pay Policy, 2025.",implemented mechanism only for remains unclear,"[""WCM-e0175bba8350585ed656f4c9""]"
ROOTCOMP-e432221370c6b39f43edbee7,IMPEVT-3627c76b31562c29f6ce6332,Falmouth,ME,undated-source-CBSRD-20260728-73701efdcca12306952b,remains_unclear,unclear,formally_adopted,,"Falmouth, ME, Arbitration Award, period not explicit.",formally adopted across the board raise for remains unclear,"[""WCM-982f09c4ceb9c477d2f6bf62"",""WCM-a0d0decae30c4d860ece300e""]"
ROOTCOMP-8b83ae2d78a0c9b18d36b3b3,IMPEVT-8e049cdb22aa26c5d5b6df7b,Falmouth,ME,undated-source-CBSRD-20260728-73701efdcca12306952b,remains_unclear,unclear,formally_adopted,,"Falmouth, ME, Arbitration Award, period not explicit.",formally adopted mechanism only for remains unclear,"[""WCM-e284396ef09879b6db86b63f""]"
ROOTCOMP-31694f25fac2d8bc4f28790f,IMPEVT-f6ff2984f9871f5a9944031b,Hiram,ME,2025,fire,unclear,formally_adopted,of paying a stipend to volunteer firefighters in accordance with criteria approved by the,"Hiram, ME, Wage Schedule, 2025.",formally adopted stipend or premium for fire,"[""WCM-2a8b56d47c2ed5cb22dbbd21""]"
ROOTCOMP-638bb75c75312d8b4b9dbefd,IMPEVT-ada1d3c014679ad36e1fd168,Hiram,ME,2025,remains_unclear,unclear,implemented,A late fee of $25.00 per dog become effective February 1st.,"Hiram, ME, Wage Schedule, 2025.",implemented mechanism only for remains unclear,"[""WCM-457661a1fdb488183bf06a00""]"
ROOTCOMP-bf81d98d6da0b743d773e75d,IMPEVT-0b4c0e445f98ac87a909e1f5,Isle au Haut,ME,2026,side_independent,unclear,implemented,"Reserve effective July l , 2026.","Isle au Haut, ME, Council Packet Or Minutes, 2026.",implemented budget or pay plan for side independent,"[""WCM-236af9f881ef0d2511027eb3"",""WCM-f25026876e620412c33e9fd6""]"
ROOTCOMP-3b899afc525e14649b13993f,IMPEVT-c366f2e4d86372193308d4e0,Kingsbury,ME,2026,side_independent,unclear,implemented,"2026 until those taxes are paid in full, effective October 1, 2026.","Kingsbury, ME, Wage Schedule, 2026.",implemented budget or pay plan for side independent,"[""WCM-8e6df4a76d67329090856b62""]"
ROOTCOMP-4e69e7c6ee5d4146fc1afd3c,IMPEVT-7ab68e71a6896733a916ad62,Mapleton,ME,2024,remains_unclear,unclear,implemented,"effective July 1, 1991.","Mapleton, ME, Personnel Policy, 2024.",implemented mechanism only for remains unclear,"[""WCM-0f192cf532d778532345f0a9"",""WCM-6aa24398c694cafb90b8c12b"",""WCM-937ec2783e49b79eb0c23493""]"
ROOTCOMP-42047a1c16684b5887fdb91d,IMPEVT-1246a25792867625bc02c471,Newburgh,ME,undated-source-B4X2500LIVE-20260729-001134,fire,fire,implemented,The Chiefs shall receive a nominal stipend as established in the municipal budget payable no less,"Newburgh, ME, Personnel Policy, period not explicit.",implemented stipend or premium for fire,"[""WCM-8093ebe971582a5b4d34a19d""]"
ROOTCOMP-dfec0385b5f16d6df8483581,IMPEVT-34edb9963f1a24b445974c17,Newcastle,ME,2016,remains_unclear,unclear,implemented,"purposes, you will receive a vehicle allowance equal to the current Town mileage reimbursement","Newcastle, ME, Arbitration Award, 2016.",implemented uniform or equipment allowance for remains unclear,"[""WCM-e4eb40aa77055dbce56e0b86""]"
ROOTCOMP-ee02f67ab9e4334a96da2cbe,IMPEVT-5032cb42c3df6746712948ab,Newcastle,ME,2023,remains_unclear,unclear,implemented,"purposes, you will receive a vehicle allowance equal to the current Town mileage reimbursement","Newcastle, ME, Personnel Policy, 2023.",implemented uniform or equipment allowance for remains unclear,"[""WCM-38d2bf9a76bacec0d8ea4c16""]"
ROOTCOMP-135e07c595cc3742b953a93d,IMPEVT-f01f6839f1e34da1d366b79e,Newcastle,ME,2024,remains_unclear,unclear,implemented,"Effective January 01, 2024, The Town of Newcastle will allow any employee who is eligible to","Newcastle, ME, Personnel Policy, 2024.",implemented mechanism only for remains unclear,"[""WCM-64807ea0323d5e46288a4093""]"
ROOTCOMP-5f8a75a4e5ac3ee350b71c3f,IMPEVT-9478318b0964d970d3cbc1b1,Ogunquit,ME,2017,fire,fire,implemented,"Section 3: Health Care Plan: Effective January 1, 2017, the Town agrees to provide the PPO 500","Ogunquit, ME, Collective Bargaining Agreement, 2017.",implemented benefit cost change for fire,"[""WCM-048028a097fc5af55f04da21"",""WCM-fc381ba34983d3d6fb4bf72f""]"
ROOTCOMP-9ea2140a8ec58a5b926423c7,IMPEVT-099b10dbc6616af59b97eaa3,Ogunquit,ME,2019,fire,fire,implemented,"1) Effective July 1, 2019, Unit employees wages will be increased by 2.5%","Ogunquit, ME, Collective Bargaining Agreement, 2019.",implemented base wage for fire,"[""WCM-930a50cf4d83e814f6af4939""]"
ROOTCOMP-4b64b9065448bd03cc57d4fb,IMPEVT-6a3fd0ea0c592b7b9232e2f8,Ogunquit,ME,2022,fire,fire,implemented,"Section 4: Unit Employees will receive a 4% increase starting on July 1st, 2022 and will be placed","Ogunquit, ME, Collective Bargaining Agreement, 2022.",implemented across the board raise for fire,"[""WCM-0e5cf6487f1eb9827dd8ff43""]"
ROOTCOMP-8719db112ee50faef640b0dc,IMPEVT-9c1221e34f4e80b0415db335,Ogunquit,ME,undated-source-B4X2500LIVE-20260729-001139,fire,fire,implemented,"Unit employees promoted to the rank of Captain [Lead Firefighter] shall receive an annual stipend in the amount of $2,000.00 for assuming the higher level duties &","Ogunquit, ME, Collective Bargaining Agreement, period not explicit.",implemented stipend or premium for fire,"[""WCM-510936a3e6d81989500bdfd1""]"
ROOTCOMP-011b0ab83e5ecaf0399ec6f0,IMPEVT-6e8331b80a3ef3b682d0fb29,Phippsburg,ME,2023,police,police,implemented,The request is increased to reflect the COLA increase of 3.2% for the Assessing Agent.,"Phippsburg, ME, Budget Or Pay Plan, 2023.",implemented cola or indexing for police,"[""WCM-7d52a8163b8f969a6364e25f""]"
ROOTCOMP-cd88de3e64addd216a3870af,IMPEVT-f9c7edf51c6f0b59c114de04,Phippsburg,ME,2023,police,police,implemented,"For the first year since the town wide revaluation was completed effective April 1, 2010","Phippsburg, ME, Budget Or Pay Plan, 2023.",implemented mechanism only for police,"[""WCM-21a3058582b5242f8888afa2"",""WCM-da4bacf32bf8545559fce720""]"
ROOTCOMP-25f544e77aad834cc8e46977,IMPEVT-315099419550631daf22329e,Pownal,ME,2025,remains_unclear,unclear,implemented,"implementation effective May 1, 2003 Plan.","Pownal, ME, Personnel Policy, 2025.",implemented mechanism only for remains unclear,"[""WCM-3bd4255425c3e867d3bdde73"",""WCM-55b63f931c297464d687c7d9"",""WCM-561a041fd2c42c76bfc05fd0"",""WCM-eff507664c9c47fee76c40f7""]"
ROOTCOMP-96fd3e7fc88a863d950012e3,IMPEVT-b31ef4d81c7bbfd7c82e84e9,Sandy River,ME,2025,remains_unclear,unclear,implemented,"purposes, you will receive a vehicle allowance equal to the current Plantation mileage","Sandy River, ME, Civil-Service Or Hr Pay Plan, 2025.",implemented uniform or equipment allowance for remains unclear,"[""WCM-e19c7bb044a60ecf1103cf0b""]"
ROOTCOMP-42ec9ad9218230390a29cf9a,IMPEVT-77f58e1d7cdb3a87c00ea9b8,Shapleigh,ME,2015,remains_unclear,unclear,implemented,"3) Effective June 2, 2015, an employee in a safety-sensitive position is further prohibited","Shapleigh, ME, Personnel Policy, 2015.",implemented mechanism only for remains unclear,"[""WCM-9f429ac48bc2001a51170013"",""WCM-d4d39bfad3e6f27d19a612b4""]"
ROOTCOMP-2c1d8823fcc5103f6b599aa6,IMPEVT-42b6f78fe9f62efbb6532635,Shapleigh,ME,2017,remains_unclear,unclear,implemented,"South term from a 3 year term to a 2 year term, effective March 2017.","Shapleigh, ME, Wage Schedule, 2017.",implemented mechanism only for remains unclear,"[""WCM-7094e0deba68d158069fa06a""]"
ROOTCOMP-325d6c90d379093392908cd2,IMPEVT-9727bc9219a5659216edb4ce,Shapleigh,ME,2025,remains_unclear,unclear,implemented,"These rules, which become effective January 1, 1995, require pre-employment, reasonable","Shapleigh, ME, Personnel Policy, 2025.",implemented mechanism only for remains unclear,"[""WCM-ee8b218880355e7d055e66b4""]"
ROOTCOMP-4b9e2c39fbb9d004283451ec,IMPEVT-609673d0f23d2b6cdeffd921,Strong,ME,2025,remains_unclear,unclear,implemented,"● Clerk’s Certificate of Appointment formally signed, effective June 10, 2025.","Strong, ME, Budget Or Pay Plan, 2025.",implemented mechanism only for remains unclear,"[""WCM-d37b4ea9f909d6b0216ff32b""]"
ROOTCOMP-6e3be4259526d0f2913ad90c,IMPEVT-cb2564d30e9add3e0e3e93a4,Weld,ME,2025,remains_unclear,unclear,implemented,"I understand that the Policy is effective June __, 2025 (as amended by the Select Board as","Weld, ME, Personnel Policy, 2025.",implemented mechanism only for remains unclear,"[""WCM-7978a1360971c2f8ee485f2d""]"
ROOTCOMP-3217f1650f2ef8694d0aad14,IMPEVT-49ddb8e8a14a5bf6adb8e73c,Alaiedon,MI,2022,side_independent,unclear,implemented,"Review and consider the Fee Schedule effective July 1, 2022.","Alaiedon, Michigan, Budget Or Pay Plan, 2022.",implemented budget or pay plan for side independent,"[""WCM-ea5ac818999e7753c4e162ef""]"
ROOTCOMP-bd9efa6235fec0916955d02b,IMPEVT-5c78dca59ad09587afa0adef,Algonac,MI,undated-source-B4X2500LIVE-20260729-002884,remains_unclear,unclear,implemented,covered by this agreement shall receive a COLA adjustment,"Algonac, Michigan, Collective Bargaining Agreement, period not explicit.",implemented cola or indexing for remains unclear,"[""WCM-02251a96eb3cfed35a7b174b"",""WCM-c009de6325048b6f0300df88""]"
ROOTCOMP-562168043ba97e5726882b84,IMPEVT-8b2940a850d6bb91d1b1d083,Algonac,MI,undated-source-B4X2500LIVE-20260729-002884,remains_unclear,unclear,implemented,"Effective July 1, 1991 to June 30, 1994","Algonac, Michigan, Collective Bargaining Agreement, period not explicit.",implemented mechanism only for remains unclear,"[""WCM-6797c9c3f26cfaac3cc019ed"",""WCM-69603ceef074f9e9f8923ce0"",""WCM-8406587b9cce6e01c34c9790""]"
ROOTCOMP-ab95d5104535777d94ca179e,IMPEVT-984b740777858fb6155c2e19,Allegan,MI,2014,police,police,implemented,"(Resolution 13.40 November 28, 2013, effective January 1, 2014)","Allegan, Michigan, Other Local Government Pay Policy, 2014.",implemented other for police,"[""WCM-28c85be10d854ba6c7b13952""]"
ROOTCOMP-faa5b1c1843db3041f71b61b,IMPEVT-be8543c7d119a5589398581c,Allegan,MI,undated-source-BRMGRS-20260802-56ac3cb4c44b6e0f2d10047b,non_safety,non_safety,implemented,"Effective January 1, 2002, if a building is to be vacant for one month or more, the water and sewer","Allegan, Michigan, Other Local Government Pay Policy, period not explicit.",implemented other for non safety,"[""WCM-e8f3fc74b5526d0f985dcf3a""]"
ROOTCOMP-46eda6e35784c8c814a1b892,IMPEVT-80899c9388d1e63ff884e7c6,Allegan,MI,undated-source-BRMGRS-20260802-56ac3cb4c44b6e0f2d10047b,police,police,implemented,"effective January 1, 1989.","Allegan, Michigan, Other Local Government Pay Policy, period not explicit.",implemented other for police,"[""WCM-748041d56b77fb2aba918222""]"
ROOTCOMP-e59e8b0ac9e68bdaa87b1c62,IMPEVT-a60f852dca2106a2eb3bfe78,Allegan,MI,undated-source-BRMGRS-20260802-56ac3cb4c44b6e0f2d10047b,police,police,formally_adopted,City Council approved 08/08/11),"Allegan, Michigan, Other Local Government Pay Policy, period not explicit.",formally adopted budget or pay plan for police,"[""WCM-0d4021002eaf3ffd7da6032b"",""WCM-b68acf1e69bdee08f5e42544"",""WCM-e6f84c50ccfc956fa390a4e4""]"
ROOTCOMP-6ab1ba5ed8eca9812854c6d6,IMPEVT-f720fbfc469b3b51247a538f,Antrim,MI,2025,side_independent,unclear,implemented,afternoon shift and shall receive an additional $0.30 per hour.,"Antrim, Michigan, Wage Schedule, 2025.",implemented budget or pay plan for side independent,"[""WCM-1374b52b0538c93ca8c38057"",""WCM-5159e73d80023921b67bc1f9"",""WCM-5cbc7c5ca765d168017a4720"",""WCM-5d6660a3db836042798d8fdf""]"
