municipality,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
Delano,1,0,0,0,0,1,false
Delcambre,2,2,0,2,0,0,false
Delhi,2,2,1,1,0,0,false
Delhi charter,2,2,0,2,0,0,false
Dell Rapids,3,2,1,1,0,1,false
Delmar,5,4,4,0,0,1,false
Delta,1,0,0,0,0,1,false
Delta Junction,2,2,2,0,0,0,false
Demopolis,2,2,1,1,0,0,false
Denham Springs,2,2,1,1,0,0,false
Denison,4,4,1,3,0,0,false
Dennis,4,0,0,0,0,4,false
Denton,6,2,0,2,0,4,false
Denver,1,1,0,1,0,0,false
Depoe Bay,2,0,0,0,0,2,false
Derby,2,2,1,1,0,0,false
Derry,7,1,0,1,0,6,false
Des Peres,2,0,0,0,0,2,false
Detroit,1,1,1,0,0,0,false
Detroit Lakes,4,3,0,3,0,1,false
Devils Lake,1,0,0,0,0,1,false
Dewey Beach,1,1,0,1,0,0,false
Dewey-Humboldt,2,1,0,1,0,1,false
Diamondhead,2,0,0,0,0,2,false
Diamondville,3,3,0,3,0,0,false
Dickinson,3,3,3,0,0,0,false
Dickson,1,1,0,1,0,0,false
Dickson City,2,2,1,1,0,0,false
Dillingham,5,1,1,0,0,4,false
Dilworth,2,2,0,2,0,0,false
District Heights,3,0,0,0,0,3,false
Dixon,6,0,0,0,0,6,false
Dobbs Ferry,4,3,2,1,0,1,false
Dodgeville,2,1,0,1,0,1,false
Dolton,1,1,0,1,0,0,false
Donald,3,3,3,0,0,0,false
Donna,3,3,0,3,0,0,false
Doraville,1,1,1,0,0,0,false
Dormont,4,4,4,0,0,0,false
Dorr,1,1,0,1,0,0,false
Douglas,5,2,1,1,0,3,false
Douglass Hills,4,0,0,0,0,4,false
Douglasville,1,1,0,1,0,0,false
Dover,3,3,0,3,0,0,false
Dover-Foxcroft,3,1,1,0,0,2,false
Dowagiac,1,1,0,1,0,0,false
Downers Grove,3,3,3,0,0,0,false
Downingtown,2,0,0,0,0,2,false
Doylestown,2,2,0,2,0,0,false
Dracut,6,0,0,0,0,6,false
Drain,3,0,0,0,0,3,false
Drayton,1,1,0,1,0,0,false
Driggs,2,2,2,0,0,0,false
Dryden,2,0,0,0,0,2,false
Du Page,1,1,0,1,0,0,false
DuBois,2,0,0,0,0,2,false
DuPont,4,1,0,1,0,3,false
Dublin,7,4,1,3,0,3,false
Dubois,1,0,0,0,0,1,false
Duchesne,2,2,2,0,0,0,false
Duchouquet,3,3,0,3,0,0,false
Dumfries,2,2,2,0,0,0,false
Dunbar,3,1,0,1,0,2,false
Duncan,4,3,2,1,0,1,false
Dundee,4,3,1,2,0,1,false
Dunkirk,3,3,1,2,0,0,false
Dunwoody,2,0,0,0,0,2,false
Durango,3,0,0,0,0,3,false
Durant,5,1,0,1,0,4,false
Durham,5,1,0,1,0,4,false
Dutton,3,3,2,1,0,0,false
Duvall,3,0,0,0,0,3,false
Duxbury,4,4,4,0,0,0,false
Dyersville,2,0,0,0,0,2,false
Eagar,2,2,0,2,0,0,false
Eagle,2,1,1,0,0,1,false
Eagle Grove,3,3,3,0,0,0,false
Eagle Nest,2,0,0,0,0,2,false
East Aurora,1,1,1,0,0,0,false
East Bethel,3,3,3,0,0,0,false
East Bridgewater,7,0,0,0,0,7,false
East Chicago,6,5,0,4,1,1,false
East Goshen,3,3,0,3,0,0,false
East Grand Forks,3,3,3,0,0,0,false
East Grand Rapids,3,1,1,0,0,2,false
East Greenwich,8,3,0,3,0,5,false
East Haddam,3,1,1,0,0,2,false
East Hampton,2,0,0,0,0,2,false
East Hartford,5,3,3,0,0,2,false
East Haven,3,2,2,0,0,1,false
East Helena,3,3,2,1,0,0,false
East Hempfield,2,2,0,2,0,0,false
East Hills,2,0,0,0,0,2,false
East Lampeter,2,2,0,2,0,0,false
East Longmeadow,3,0,0,0,0,3,false
East Lyme,4,3,0,3,0,1,false
East Montpelier,1,1,1,0,0,0,false
East Pennsboro,2,0,0,0,0,2,false
East Point,2,1,1,0,0,1,false
East Ridge,6,3,0,3,0,3,false
East Rochester,2,1,1,0,0,1,false
East Rutherford,2,0,0,0,0,2,false
East St. Louis,2,1,1,0,0,1,false
East Troy,2,1,1,0,0,1,false
East Whiteland,3,2,0,2,0,1,false
East Windsor,4,2,2,0,0,2,false
Easton,4,1,0,1,0,3,false
Eastport,2,2,2,0,0,0,false
Eaton Rapids,1,1,1,0,0,0,false
Eatonville,3,3,3,0,0,0,false
Eau Claire,3,3,0,3,0,0,false
Economy,2,2,1,1,0,0,false
Ecorse,3,3,0,3,0,0,false
Eden,2,0,0,0,0,2,false
Edgemont,1,1,1,0,0,0,false
Edgewater,1,0,0,0,0,1,false
Edgewood,1,1,1,0,0,0,false
Edinboro,2,2,0,2,0,0,false
Edinburgh,2,2,2,0,0,0,false
Edison,4,2,1,1,0,2,false
Edmonston,3,1,1,0,0,2,false
Edwardsville,4,4,3,1,0,0,false
Effingham,3,3,1,2,0,0,false
El Dorado,6,4,2,0,2,2,false
El Mirage,2,2,1,1,0,0,false
El Monte,2,0,0,0,0,2,false
El Paso,1,1,0,1,0,0,false
El Reno,5,1,0,1,0,4,false
El Segundo,3,1,0,1,0,2,false
Eldon,2,1,1,0,0,1,false
Eldridge,3,2,0,2,0,1,false
Elgin,10,8,4,4,0,2,false
Elim,1,1,1,0,0,0,false
Eliot,2,2,2,0,0,0,false
Elizabeth,1,1,0,1,0,0,false
Elizabeth City,3,3,1,2,0,0,false
Elizabethton,2,2,0,2,0,0,false
Elk Mountain,2,2,0,2,0,0,false
Elk Point,2,0,0,0,0,2,false
Elk Ridge,2,2,2,0,0,0,false
Elkins,6,4,2,1,1,2,false
Elko New Market,1,1,1,0,0,0,false
Elkton,2,2,1,1,0,0,false
Ellendale,4,4,4,0,0,0,false
Ellettsville,4,4,4,0,0,0,false
Ellington,3,2,1,1,0,1,false
Ellisville,3,0,0,0,0,3,false
Ellsworth,6,6,3,3,0,0,false
Elm Grove,5,3,2,1,0,2,false
Elma,1,0,0,0,0,1,false
Elmhurst,3,2,0,2,0,1,false
Elmwood Park,1,1,0,1,0,0,false
Elon,2,2,0,2,0,0,false
Eloy,2,0,0,0,0,2,false
Elsmere,5,2,0,2,0,3,false
Elwood,2,2,1,1,0,0,false
Ely,3,2,2,0,0,1,false
Emerado,2,2,2,0,0,0,false
Emerson,2,2,1,1,0,0,false
Emeryville,4,0,0,0,0,4,false
Emmaus,1,1,0,1,0,0,false
Emmetsburg,1,1,1,0,0,0,false
Emmitsburg,3,3,2,1,0,0,false
Emporia,3,1,0,1,0,2,false
Encampment,3,0,0,0,0,3,false
Enfield,4,0,0,0,0,4,false
Englewood,4,3,2,1,0,1,false
Ennis,9,5,1,4,0,4,false
Enoch,2,2,2,0,0,0,false
Enosburg Falls,1,1,1,0,0,0,false
Enterprise,3,3,3,0,0,0,false
Ephraim,1,1,1,0,0,0,false
Ephrata,1,0,0,0,0,1,false
Epping,1,0,0,0,0,1,false
Epsom,1,0,0,0,0,1,false
Erath,2,2,2,0,0,0,false
Erda,2,2,2,0,0,0,false
Essex,7,0,0,0,0,7,false
Estancia,3,3,3,0,0,0,false
Estherville,2,2,1,1,0,0,false
Eudora,2,2,2,0,0,0,false
Eufaula,3,0,0,0,0,3,false
Eunice,3,2,0,2,0,1,false
Eureka,6,4,1,3,0,2,false
Evans,3,3,1,2,0,0,false
Evansdale,1,1,0,1,0,0,false
Evansville,6,5,3,2,0,1,false
Evergreen Park,4,0,0,0,0,4,false
Everson,3,3,0,3,0,0,false
Excelsior Springs,1,1,0,1,0,0,false
Exeter,14,8,7,1,0,6,false
Exmore,2,2,0,2,0,0,false
Fair Haven,6,6,6,0,0,0,false
Fair Oaks Ranch,2,2,1,1,0,0,false
Fairburn,1,1,0,1,0,0,false
Fairbury,2,2,2,0,0,0,false
Fairfax,3,3,1,2,0,0,false
Fairfield,16,11,9,2,0,5,false
Fairfield Bay,3,3,1,2,0,0,false
Fairhaven,4,4,3,1,0,0,false
Fairhope,2,0,0,0,0,2,false
Fairmont,2,2,1,1,0,0,false
Fairmount Heights,2,1,1,0,0,1,false
Fairport,3,1,1,0,0,2,false
Fairport Harbor,1,0,0,0,0,1,false
Fairview,7,5,1,4,0,2,false
Fairview Heights,8,0,0,0,0,8,false
Falls Church,4,1,0,1,0,3,false
Falls City,3,3,2,1,0,0,false
Fallsburg,1,1,0,1,0,0,false
Falmouth,7,2,2,0,0,5,false
False Pass,2,2,2,0,0,0,false
Farmersville,3,0,0,0,0,3,false
Farmerville,2,2,1,1,0,0,false
Farmingdale,2,1,1,0,0,1,false
Farmington,15,10,3,7,0,5,false
Farmville,1,0,0,0,0,1,false
Farr West,2,2,2,0,0,0,false
Fate,1,1,0,1,0,0,false
Faulkton,4,4,1,3,0,0,false
Fayetteville,9,9,5,4,0,0,false
Federal Heights,2,1,0,1,0,1,false
Federal Way,1,1,0,1,0,0,false
Fellsmere,1,0,0,0,0,1,false
Fenton charter,1,0,0,0,0,1,false
Ferriday,1,1,0,1,0,0,false
Ferrisburgh,4,4,2,2,0,0,false
Ferron,2,2,1,1,0,0,false
Festus,5,4,3,1,0,1,false
Fillmore,6,2,1,1,0,4,false
Fircrest,3,3,2,1,0,0,false
Firebaugh,4,3,3,0,0,1,false
Firestone,3,2,2,0,0,1,false
Flagler Beach,1,1,0,1,0,0,false
Flandreau,5,3,3,0,0,2,false
Flatwoods,1,1,0,1,0,0,false
Flemingsburg,1,1,0,1,0,0,false
Fletcher,3,2,1,1,0,1,false
Flint,2,2,0,2,0,0,false
Florence,11,6,2,4,0,5,false
Florida City,2,0,0,0,0,2,false
Flowery Branch,2,2,0,2,0,0,false
Floyd,1,1,1,0,0,0,false
Folcroft,3,1,1,0,0,2,false
Foley,2,2,0,2,0,0,false
Fontana,2,1,0,1,0,1,false
Forest Acres,2,2,0,2,0,0,false
Forest City,5,5,4,1,0,0,false
Forest Heights,1,1,1,0,0,0,false
Forest Hill,1,1,0,1,0,0,false
Forest Hills,2,2,0,2,0,0,false
Forest Park,10,2,0,2,0,8,false
Forks,4,3,0,3,0,1,false
Forman,2,2,0,2,0,0,false
Forney,7,6,4,2,0,1,false
Forrest City,1,1,0,1,0,0,false
Forsyth,5,4,0,4,0,1,false
Fort Benton,3,3,3,0,0,0,false
Fort Bragg,2,1,1,0,0,1,false
Fort Calhoun,2,2,2,0,0,0,false
Fort Fairfield,3,3,3,0,0,0,false
Fort Kent,1,1,1,0,0,0,false
Fort Laramie,1,1,0,1,0,0,false
Fort Lupton,2,1,1,0,0,1,false
Fort Madison,4,2,1,1,0,2,false
Fort Meade,3,3,0,3,0,0,false
Fort Mill,3,2,1,1,0,1,false
Fort Mitchell,2,2,2,0,0,0,false
Fort Morgan,3,2,1,1,0,1,false
Fort Oglethorpe,3,3,0,3,0,0,false
Fort Payne,4,3,3,0,0,1,false
Fort Pierce,2,0,0,0,0,2,false
Fort Pierre,3,2,2,0,0,1,false
Fort Scott,2,0,0,0,0,2,false
Fort Thomas,2,2,2,0,0,0,false
Fort Wayne,4,3,3,0,0,1,false
Fort Wright,3,2,2,0,0,1,false
Fort Yukon,1,1,1,0,0,0,false
Fortuna,2,2,0,2,0,0,false
Foster,3,3,3,0,0,0,false
Fountain,2,1,0,1,0,1,false
Fountain Hills,4,4,2,2,0,0,false
Fox Lake,4,3,3,0,0,1,false
Foxborough,2,2,2,0,0,0,false
Framingham,3,0,0,0,0,3,false
Francis,2,1,0,1,0,1,false
Frankenmuth,2,2,1,1,0,0,false
Frankfort,4,4,4,0,0,0,false
Franklin,10,7,7,0,0,3,false
Franklin Lakes,2,1,0,1,0,1,false
Franklin Park,7,6,4,1,1,1,false
Frannie,2,2,0,2,0,0,false
Fraser,4,1,0,1,0,3,false
Frederica,2,2,2,0,0,0,false
Frederick,5,1,1,0,0,4,false
Fredericktown,1,1,1,0,0,0,false
Fredonia,4,2,2,0,0,2,false
Freehold,4,4,4,0,0,0,false
Freeman,1,1,0,1,0,0,false
Freeport,4,3,2,1,0,1,false
Fremont,7,3,3,0,0,4,false
Frenchtown,1,0,0,0,0,1,false
Friday Harbor,5,0,0,0,0,5,false
Friendsville,3,3,1,2,0,0,false
Froid,2,2,1,1,0,0,false
Fromberg,1,1,1,0,0,0,false
Front Royal,3,2,0,1,1,1,false
Fruit Heights,2,1,1,0,0,1,false
Fruita,2,0,0,0,0,2,false
Fruitland,4,3,1,2,0,1,false
Fruitland Park,3,1,0,1,0,2,false
Fruitport charter,3,2,0,2,0,1,false
Fryeburg,1,0,0,0,0,1,false
Fullerton,2,0,0,0,0,2,false
Fulton,2,2,1,1,0,0,false
Fultondale,2,2,2,0,0,0,false
Funkstown,1,0,0,0,0,1,false
Gadsden,2,1,1,0,0,1,false
Gaffney,2,1,0,1,0,1,false
Gaines charter,1,1,0,1,0,0,false
Gainesville,5,2,0,2,0,3,false
Galax,1,0,0,0,0,1,false
Galena,4,3,2,1,0,1,false
Galt,5,0,0,0,0,5,false
Gambell,1,1,1,0,0,0,false
Garden City,2,0,0,0,0,2,false
Gardena,2,2,0,2,0,0,false
Gardendale,1,1,0,1,0,0,false
Garfield charter,2,1,0,1,0,1,false
Garibaldi,2,0,0,0,0,2,false
Garland,2,2,2,0,0,0,false
Garner,4,0,0,0,0,4,false
Garretson,2,2,0,2,0,0,false
Garrett,2,2,0,2,0,0,false
Garrettsville,2,2,1,1,0,0,false
Gate City,2,2,0,2,0,0,false
Gatesville,4,4,1,2,1,0,false
Gearhart,2,1,1,0,0,1,false
Geddes,1,0,0,0,0,1,false
Genesee,2,1,1,0,0,1,false
Genesee charter,2,2,0,2,0,0,false
Geneseo,1,1,1,0,0,0,false
Geneva,3,3,2,1,0,0,false
Genoa,6,6,6,0,0,0,false
Genoa City,1,1,1,0,0,0,false
Gentry,3,3,3,0,0,0,false
Georgetown charter,1,0,0,0,0,1,false
Georgia,3,0,0,0,0,3,false
Gering,1,0,0,0,0,1,false
Gettysburg,3,0,0,0,0,3,false
Gibsonburg,3,1,1,0,0,2,false
Gibsonville,6,5,3,2,0,1,false
Gilford,3,0,0,0,0,3,false
Gilmanton,1,0,0,0,0,1,false
Girard,2,0,0,0,0,2,false
Glade Spring,3,3,2,1,0,0,false
Gladstone,2,2,0,2,0,0,false
Glasgow,5,2,1,1,0,3,false
Glassboro,1,1,0,1,0,0,false
Glastonbury,1,0,0,0,0,1,false
Glen Carbon,4,4,0,4,0,0,false
Glen Dale,2,2,2,0,0,0,false
Glen Ridge,2,2,2,0,0,0,false
Glen Rock,3,3,0,3,0,0,false
Glen Ullin,1,1,1,0,0,0,false
Glenarden,5,1,0,1,0,4,false
Glenburn,1,1,1,0,0,0,false
Glencoe,6,6,6,0,0,0,false
Glendale,1,0,0,0,0,1,false
Glendora,2,0,0,0,0,2,false
Glenn Heights,5,0,0,0,0,5,false
Glenolden,3,1,0,1,0,2,false
Glenpool,2,0,0,0,0,2,false
Glenville,1,1,1,0,0,0,false
Glenwood,2,1,1,0,0,1,false
Glenwood Springs,1,0,0,0,0,1,false
Glocester,3,3,3,0,0,0,false
Gloucester City,2,1,1,0,0,1,false
Gluckstadt,1,0,0,0,0,1,false
Goddard,1,0,0,0,0,1,false
Godfrey,3,2,1,1,0,1,false
Goffstown,3,0,0,0,0,3,false
Gold Bar,2,2,1,1,0,0,false
Gold Beach,3,3,3,0,0,0,false
Gold Hill,2,0,0,0,0,2,false
Goldendale,1,1,1,0,0,0,false
Goldsboro,2,2,2,0,0,0,false
Gonzales,4,0,0,0,0,4,false
Goodland,1,1,1,0,0,0,false
Goodlettsville,4,2,0,2,0,2,false
Gordon,1,1,0,1,0,0,false
Gordonsville,2,2,0,2,0,0,false
Gorham,3,2,2,0,0,1,false
Goshen,8,8,4,3,1,0,false
Gosnell,1,1,1,0,0,0,false
Gothenburg,3,3,3,0,0,0,false
Grafton,2,1,1,0,0,1,false
Graham,2,2,1,1,0,0,false
Grain Valley,4,4,2,2,0,0,false
Gramercy,1,1,1,0,0,0,false
Granbury,3,2,0,2,0,1,false
Granby,4,1,1,0,0,3,false
Grand Blanc,3,3,0,3,0,0,false
Grand Blanc charter,1,1,0,0,1,0,false
Grand Chute,6,5,3,2,0,1,false
Grand Haven,3,2,1,1,0,1,false
Grand Haven charter,1,1,0,1,0,0,false
Grand Island,2,1,0,1,0,1,false
Grand Isle,2,2,2,0,0,0,false
Grand Ledge,3,2,1,1,0,1,false
Grand Rapids,3,0,0,0,0,3,false
Grand Rapids charter,2,0,0,0,0,2,false
Granger,2,0,0,0,0,2,false
Grangeville,2,2,2,0,0,0,false
Granite Falls,2,1,0,1,0,1,false
Grant,2,2,1,1,0,0,false
Grant-Valkaria,1,0,0,0,0,1,false
Grantham,3,3,3,0,0,0,false
Grantsville,3,3,2,1,0,0,false
Granville,3,2,0,2,0,1,false
Gray,2,2,1,1,0,0,false
Great Bend,6,4,1,0,3,2,false
Great Neck,2,2,2,0,0,0,false
Great Neck Plaza,1,0,0,0,0,1,false
Green Cove Springs,2,0,0,0,0,2,false
Greendale,2,0,0,0,0,2,false
Greene,1,1,0,1,0,0,false
Greenland,2,1,1,0,0,1,false
Greenleaf,2,0,0,0,0,2,false
Greensboro,1,0,0,0,0,1,false
Greensburg,3,2,2,0,0,1,false
Greenville,4,1,1,0,0,3,false
Greenwich,3,3,3,0,0,0,false
Greenwood,5,5,4,1,0,0,false
Greenwood Village,3,2,1,1,0,1,false
Gregory,2,2,2,0,0,0,false
Gretna,4,4,3,1,0,0,false
Gridley,4,1,0,1,0,3,false
Griffin,5,1,0,1,0,4,false
Grinnell,3,1,1,0,0,2,false
Grosse Pointe Farms,3,3,1,2,0,0,false
Grosse Pointe Park,2,2,1,1,0,0,false
Grosse Pointe Woods,1,1,0,1,0,0,false
Groton,5,1,1,0,0,4,false
Grottoes,4,4,1,3,0,0,false
Grove,2,0,0,0,0,2,false
Grove City,3,2,1,1,0,1,false
Grover Beach,3,0,0,0,0,3,false
Groves,2,0,0,0,0,2,false
Grovetown,5,5,1,1,3,0,false
Grundy Center,3,3,0,3,0,0,false
Guadalupe,8,6,6,0,0,2,false
Guernsey,3,3,3,0,0,0,false
Guilford,4,2,1,0,1,2,false
Gulf Breeze,1,1,1,0,0,0,false
Gulf Shores,4,3,1,2,0,1,false
Gulfport,2,1,0,1,0,1,false
Gunnison,2,1,1,0,0,1,false
Gustavus,3,1,0,1,0,2,false
Guthrie,2,0,0,0,0,2,false
Guymon,2,1,0,1,0,1,false
Gwinner,3,3,1,2,0,0,false
Gypsum,3,3,2,1,0,0,false
Hackettstown,2,1,1,0,0,1,false
Haddon Heights,2,0,0,0,0,2,false
Haddonfield,1,1,0,1,0,0,false
Hailey,2,2,0,2,0,0,false
Haledon,3,1,0,1,0,2,false
Hales Corners,5,3,3,0,0,2,false
Haleyville,2,2,0,2,0,0,false
Half Moon Bay,2,0,0,0,0,2,false
Halfmoon,2,1,0,1,0,1,false
Hallowell,1,1,0,1,0,0,false
Halstead,1,1,0,1,0,0,false
Hamburg,5,5,1,3,1,0,false
Hamden,4,0,0,0,0,4,false
Hamilton,5,3,2,1,0,2,false
Hampden,3,3,3,0,0,0,false
Hampstead,3,0,0,0,0,3,false
Hampton,8,2,0,2,0,6,false
Hanahan,1,1,0,1,0,0,false
Hancock,1,1,1,0,0,0,false
Hankinson,3,0,0,0,0,3,false
Hanover,12,8,6,2,0,4,false
Hanover Park,2,2,2,0,0,0,false
Harahan,1,0,0,0,0,1,false
Harborcreek,2,2,0,2,0,0,false
Hardeeville,2,0,0,0,0,2,false
Hardwick,2,2,2,0,0,0,false
Harlan,1,1,1,0,0,0,false
Harlem,2,1,0,1,0,1,false
Harlingen,1,0,0,0,0,1,false
Harlowton,2,2,1,1,0,0,false
Harper Woods,2,2,0,2,0,0,false
Harpswell,1,1,0,1,0,0,false
Harrah,3,3,0,3,0,0,false
Harriman,1,1,1,0,0,0,false
Harrington,2,1,1,0,0,1,false
Harrisburg,2,2,0,2,0,0,false
Harrison,4,3,0,3,0,1,false
Harrisonville,3,1,1,0,0,2,false
Harrodsburg,2,0,0,0,0,2,false
Hartford,8,1,0,1,0,7,false
Hartford City,1,1,0,1,0,0,false
Hartland,3,3,1,2,0,0,false
Hartselle,2,2,0,2,0,0,false
Hartsville/Trousdale County,2,0,0,0,0,2,false
Harvey,5,4,1,3,0,1,false
Harwich,1,1,0,1,0,0,false
Hasbrouck Heights,1,0,0,0,0,1,false
Haskell,3,3,3,0,0,0,false
Hastings,5,3,3,0,0,2,false
Hastings-on-Hudson,4,1,0,1,0,3,false
Hatch,2,2,1,1,0,0,false
Hatton,2,1,0,1,0,1,false
Haughton,2,2,1,1,0,0,false
Hauser,2,2,2,0,0,0,false
Havelock,2,2,2,0,0,0,false
Haverford,4,1,0,1,0,3,false
Hawaiian Gardens,2,0,0,0,0,2,false
Hawthorne,2,0,0,0,0,2,false
Hayden,4,2,1,1,0,2,false
Haymarket,3,1,0,1,0,2,false
Hazel Park,2,2,0,1,1,0,false
Hazen,3,2,2,0,0,1,false
Healdsburg,5,1,1,0,0,4,false
Heavener,1,1,0,1,0,0,false
Heber,4,3,3,0,0,1,false
Heber Springs,1,0,0,0,0,1,false
Hebron,9,9,7,2,0,0,false
Helena,1,0,0,0,0,1,false
Helena-West Helena,2,1,0,1,0,1,false
Hellertown,4,4,1,3,0,0,false
Helper,1,1,1,0,0,0,false
Hempstead,1,0,0,0,0,1,false
Henderson,6,2,2,0,0,4,false
Hendersonville,3,3,1,2,0,0,false
Henlopen Acres,1,1,1,0,0,0,false
Henniker,1,1,0,1,0,0,false
Henryetta,3,3,3,0,0,0,false
Hereford,1,0,0,0,0,1,false
Herington,1,1,1,0,0,0,false
Herkimer,2,2,2,0,0,0,false
Hermantown,2,2,0,2,0,0,false
Hermon,1,1,1,0,0,0,false
Hermosa Beach,3,1,0,1,0,2,false
Herrin,4,4,0,4,0,0,false
Hewitt,1,0,0,0,0,1,false
Heyburn,2,2,2,0,0,0,false
Hialeah,1,1,0,1,0,0,false
Hiawatha,6,3,0,3,0,3,false
Hickman,2,1,1,0,0,1,false
Hickory Hills,4,4,1,3,0,0,false
Higginsville,1,0,0,0,0,1,false
High Springs,2,2,2,0,0,0,false
Highgate,3,3,3,0,0,0,false
Highland,9,7,5,2,0,2,false
Highland Beach,3,3,1,2,0,0,false
Highland Heights,2,2,0,2,0,0,false
Highland Park,2,2,2,0,0,0,false
Highland Village,3,0,0,0,0,3,false
Highland charter,2,2,0,0,2,0,false
Hightstown,3,2,2,0,0,1,false
Hillsboro,2,2,1,1,0,0,false
Hillsborough,6,2,1,1,0,4,false
Hillsdale,7,1,0,1,0,6,false
Hillsville,2,1,1,0,0,1,false
Hilltown,3,3,1,2,0,0,false
Hillview,1,0,0,0,0,1,false
Hilton,3,3,3,0,0,0,false
Hilton Head Island,4,2,1,0,1,2,false
Hines,1,0,0,0,0,1,false
Hinesburg,3,2,2,0,0,1,false
Hingham,6,0,0,0,0,6,false
Hinsdale,5,4,2,2,0,1,false
Hinton,3,2,0,2,0,1,false
Hobart,3,3,3,0,0,0,false
Hobbs,1,1,0,1,0,0,false
Hoisington,2,2,1,1,0,0,false
Holbrook,3,3,1,2,0,0,false
Holden,4,0,0,0,0,4,false
Holdenville,1,1,0,1,0,0,false
Holdrege,1,1,1,0,0,0,false
Holladay,3,2,2,0,0,1,false
Hollis,3,0,0,0,0,3,false
Hollister,3,2,1,1,0,1,false
Holliston,3,1,1,0,0,2,false
Holly,3,3,2,1,0,0,false
Holly Springs,5,2,0,0,2,3,false
Holmdel,3,2,0,2,0,1,false
Homewood,4,0,0,0,0,4,false
Honea Path,1,1,0,1,0,0,false
Honey Creek,1,1,0,1,0,0,false
Hooksett,4,2,1,1,0,2,false
Hoonah,2,0,0,0,0,2,false
Hooper,2,1,1,0,0,1,false
Hope Mills,4,3,0,3,0,1,false
Hopewell,5,2,1,1,0,3,false
Hopkinton,7,3,2,1,0,4,false
Hoquiam,2,2,1,1,0,0,false
Horicon,2,2,2,0,0,0,false
Horizon City,1,0,0,0,0,1,false
Hornell,3,1,1,0,0,2,false
Horseheads,4,2,2,0,0,2,false
Horseshoe Bend,3,0,0,0,0,3,false
Horsham,1,1,0,1,0,0,false
Hot Springs,6,4,3,1,0,2,false
Houlton,4,4,4,0,0,0,false
Houston,4,2,0,2,0,2,false
Howard,2,2,1,1,0,0,false
Howards Grove,4,3,3,0,0,1,false
Howell,2,2,1,1,0,0,false
Howland,1,1,0,1,0,0,false
Huachuca City,3,0,0,0,0,3,false
Hubbard,2,0,0,0,0,2,false
Huber Heights,2,0,0,0,0,2,false
Hudson,17,2,0,2,0,15,false
Hudson Falls,3,2,2,0,0,1,false
Hudsonville,1,0,0,0,0,1,false
Hueytown,3,3,1,2,0,0,false
Hugo,2,1,0,1,0,1,false
Hulett,5,5,3,2,0,0,false
Humble,2,2,0,2,0,0,false
Humboldt,2,1,1,0,0,1,false
Huntersville,2,1,0,1,0,1,false
Huntertown,2,2,2,0,0,0,false
Huntingburg,1,1,1,0,0,0,false
Huntingdon,2,2,0,2,0,0,false
Huntington,2,2,2,0,0,0,false
Huntington Woods,2,1,0,1,0,1,false
Huntley,3,3,0,3,0,0,false
Huntsville,1,0,0,0,0,1,false
Hurley,3,2,1,1,0,1,false
Huron charter,1,1,0,1,0,0,false
Hurricane,1,1,0,1,0,0,false
Hurstbourne,2,2,2,0,0,0,false
Huslia,1,1,1,0,0,0,false
Hutto,2,2,0,1,1,0,false
Huxley,1,1,0,1,0,0,false
Hyde Park,5,5,3,2,0,0,false
Hyrum,3,1,0,1,0,2,false
Idaho Falls,1,1,0,1,0,0,false
Ilion,1,0,0,0,0,1,false
Imperial,1,1,0,1,0,0,false
Imperial Beach,5,1,0,1,0,4,false
Independence,1,1,0,1,0,0,false
Independence charter,1,1,0,0,1,0,false
Indian Harbour Beach,3,1,1,0,0,2,false
Indian Head,4,2,0,2,0,2,false
Indian River Shores,3,3,0,3,0,0,false
Indian Trail,1,0,0,0,0,1,false
Indianapolis city (balance),2,2,0,2,0,0,false
Indiantown,1,1,1,0,0,0,false
Indio,3,2,0,2,0,1,false
Ingleside,2,1,1,0,0,1,false
Inglewood,2,2,0,2,0,0,false
Inkom,3,3,3,0,0,0,false
Inman,1,1,1,0,0,0,false
International Falls,3,3,3,0,0,0,false
Inver Grove Heights,3,3,0,3,0,0,false
Ione,3,1,0,1,0,2,false
Iowa,3,3,1,2,0,0,false
Iowa Colony,1,0,0,0,0,1,false
Iowa Falls,4,3,1,2,0,1,false
Ipswich,5,3,0,3,0,2,false
Iron Mountain,4,4,3,1,0,0,false
Irondale,4,4,2,2,0,0,false
Ironwood,1,1,0,1,0,0,false
Irrigon,2,2,1,1,0,0,false
Irvine,1,1,0,1,0,0,false
Isanti,2,2,0,2,0,0,false
"Islamorada, Village of Islands",3,0,0,0,0,3,false
Island City,2,0,0,0,0,2,false
Island Lake,2,2,2,0,0,0,false
Isle of Palms,2,2,2,0,0,0,false
Islip,2,0,0,0,0,2,false
Ithaca,2,0,0,0,0,2,false
Itta Bena,1,0,0,0,0,1,false
Ivins,1,1,1,0,0,0,false
Jackson,10,10,9,1,0,0,false
Jacksonville,8,4,0,3,1,4,false
Jaffrey,3,3,3,0,0,0,false
James Island,1,1,1,0,0,0,false
Jamestown,2,2,2,0,0,0,false
Jasper,9,9,5,4,0,0,false
Jay,1,1,1,0,0,0,false
Jeanerette,2,2,0,2,0,0,false
Jeannette,5,5,3,2,0,0,false
Jefferson,10,9,3,4,2,1,false
Jefferson City,2,2,0,2,0,0,false
Jeffersonville,2,2,0,2,0,0,false
Jemez Springs,1,1,1,0,0,0,false
Jena,2,2,1,1,0,0,false
