municipality,state,unit_type,contract_or_document_period,text_extraction_queue_count,extracted_ok_count,span_queue_count,span_extracted_source_count,ambiguous_or_no_span_count
Mount Healthy,OH,non_safety_comparator,"July 1, 2021 through June 30, 2022",1,1,1,0,1
Mount Olive,NJ,safety_and_non_safety_bargaining_units,Not specified in lead (PERC synopsis PDF dated 2022-05-26; Docket No. SN-2022-022),1,1,1,0,1
Mount Olive,NJ,safety_and_non_safety_bargaining_units,Not specified in lead (PERC synopsis dated 2010-09-23; may reference settlement/interest arbitration award procedural history),1,1,1,0,1
Mount Prospect,IL,non_safety_comparator,2024–2029 (PDF labeled as MPESPA CBA 2024–2029),1,1,1,0,1
Mount Washington,KY,non_safety_municipal_units,2014-2024 target window,1,1,1,0,1
Naperville,IL,safety_and_non_safety_bargaining_units,"Retroactive term to January 1, 2021 – December 31, 2025",1,1,1,0,1
Nashville-Davidson County,TN,non_safety_comparator,"Effective July 1, 2023 (pay plan for Board of Health employees)",1,1,1,0,1
New Hartford,NY,non_safety_municipal_units,Calendar year 2017 (Non-union Benefits and Compensation; also mileage rate policy language for FY 2017),1,1,1,0,1
New Hartford,NY,non_safety_municipal_units,Calendar year 2024 (2024 Salary Schedule),1,1,1,0,1
New Port Richey,FL,non_safety_comparator,Fiscal Years 2024-2025; 2025-2026; 2026-2027,1,1,1,0,1
New Providence,NJ,non_safety_comparator,"January 1, 2012 through December 31, 2014",1,1,1,0,1
New Richmond,WI,non_safety_comparator,unclear,1,1,1,0,1
New Rochelle,NY,non_safety_comparator,"January 1, 2021 through December 31, 2026",2,2,2,0,2
Newark,NJ,non_safety_comparator,2010-2015 (includes 2013-2015 years),1,1,1,0,1
Newark,NJ,non_safety_comparator,"July 1, 2011 - June 30, 2015",1,1,1,0,1
Newington,CT,safety_and_non_safety_bargaining_units,multiple (includes contracts covering parts of 2014-2024),1,1,1,0,1
Niceville,FL,non_safety_comparator,"July 1, 2023 through June 30, 2026",1,1,1,0,1
Niceville,FL,non_safety_comparator,Master Contract 2024-2027 (page indicates the 24-27 contract is available),1,1,1,0,1
North Haven,CT,non_safety_municipal_units,"Four-year agreement (retroactive and effective pay increases described; article dated Feb 13, 2014)",1,1,1,0,1
North Kingstown,RI,safety_and_non_safety_bargaining_units,2010 expired CBA context; litigation references multiple negotiation/arbitration periods around 2011-2013,1,1,1,1,0
North Kingstown,RI,safety_and_non_safety_bargaining_units,Contract expiring 4/30/2022 (per filename),1,1,1,1,0
North Platte,NE,non_safety_comparator,"Oct 1, 2024 through Sep 30, 2027 (term stated in agenda)",1,1,1,0,1
North Providence,RI,safety_and_non_safety_bargaining_units,CBA term not fully stated in search snippet; embedded within the PDF contract.,1,1,1,1,0
North Providence,RI,safety_and_non_safety_bargaining_units,"Search snippet indicates the contract term begins July 1, 2015 and ends on a June 30 date (year not fully shown in snippet).",1,1,1,0,1
Northampton,PA,safety_and_non_safety_bargaining_units,Contract listed: 1/1/2016–12/31/2020,1,1,1,0,1
Northville,MI,safety_and_non_safety_bargaining_units,Includes references to IAFF CBA expiration on 2016-03-31; TPOAM CBA expiration on 2018-12-31; Teamsters CBA expiration on 2018-12-31,1,1,1,0,1
Norwich,OH,safety_and_non_safety_bargaining_units,"January 1, 2022 through December 31, 2024 (per document header visible in locator snippet)",1,1,1,1,0
Ocean,NJ,safety_and_non_safety_bargaining_units,"January 1, 2016 through December 31, 2017",1,1,1,0,1
Ocean,NJ,safety_and_non_safety_bargaining_units,"January 1, 2020 through December 31, 2023",1,1,1,0,1
Olean,NY,non_safety_comparator,"Begins: July 1, 2021; Ends: June 30, 2025",1,1,1,0,1
Olean,NY,non_safety_comparator,"Begins: September 1, 2020; Ends: August 31, 2025",1,1,1,0,1
Owasso,OK,non_safety_comparator,2024-2025 (FY 2024-25),1,1,1,0,1
Owasso,OK,non_safety_comparator,2024-2025 (negotiated agreement document),1,1,1,0,1
Owego,NY,non_safety_municipal_units,Audit (2018) referencing employee/payroll documentation (exact period not identified in lead snippet),1,1,1,0,1
Owego,NY,non_safety_municipal_units,Discussion includes 2014-2016 budget context (per lead snippet),1,1,1,0,1
Oxford charter,MI,non_safety_municipal_units,"Adopted March 11, 2014 (with later updates noted)",1,1,1,0,1
Palm Bay,FL,non_safety_comparator,10/01/2021 - 9/30/2024,1,1,1,0,1
Palm Bay,FL,non_safety_comparator,10/1/21 - 09/30/24,1,1,1,0,1
Palm Beach Gardens,FL,non_safety_comparator,2023-2025,1,1,1,0,1
Palmview,TX,safety_and_non_safety_compensation_units,FY24-25 (budget document labeled FY24-25),1,1,1,1,0
Paris,TX,non_safety_municipal_units,2017-2018 fiscal period (ordinance adopting budget),1,1,1,0,1
Park Ridge,IL,non_safety_comparator,"July 19, 2024 through November 15, 2027",1,1,1,1,0
Patton,PA,safety_and_non_safety_compensation_units,Budget year 2023 (mentions police pay governed by CBA; non-uniform merit increase noted),1,1,1,0,1
Pemberton,NJ,non_safety_municipal_units,2021-2024 (agreement period reflected in file title),1,1,1,0,1
Pemberton,NJ,non_safety_municipal_units,CY 2024 (salary ordinance proposed for 2024),1,1,1,0,1
Perry,OH,safety_and_non_safety_bargaining_units,2015 (fact-finding report in the 2015 directory; bargaining-cycle period not extracted),1,1,1,0,1
Pittsburgh,PA,non_safety_comparator,"wage determination includes dated effective wage amounts (e.g., effective Feb 1, 2016; Feb 1, 2017; Feb 1, 2018 shown in snippet)",1,1,1,0,1
Plainfield charter,MI,safety_and_non_safety_bargaining_units,"January 1, 2022 to December 31, 2026",1,1,1,1,0
Plainville,CT,safety_and_non_safety_compensation_units,"July 1, 2023 — June 30, 2026",1,1,1,0,1
Portage,MI,non_safety_comparator,"Effective July 1, 2024 through June 30, 2027",1,1,1,0,1
Portland,TN,safety_and_non_safety_compensation_units,"2024 (RFP posted for a compensation study; solicitation deadline Feb 27, 2024)",1,1,1,1,0
Prichard,AL,non_safety_municipal_units,2014-2024 (document contains jurisdiction-effective entries; Prichard non-public safety referenced for specific effective dates),1,1,1,0,1
Ramsey,NJ,non_safety_comparator,"January 1, 2022 through December 31, 2025",1,1,1,0,1
Ramsey,NJ,non_safety_comparator,"January 1, 2024 through December 31, 2025",1,1,1,0,1
Randolph,NJ,non_safety_municipal_units,2014-2024 window (landing page for agreements; includes 2024 RTEA and PERC non-police/fire summary items),1,1,1,0,1
Reading,PA,non_safety_comparator,"Effective January 1, 2023 and expiring December 31, 2026 (retroactive provisions referenced)",1,1,1,0,1
Rehoboth,MA,safety_and_non_safety_compensation_units,FY24-FY26 for Dispatchers funding (w/ FY24 retro); FY25 first year funding of a 3-year agreement for Patrolmen/Superior Officers,1,1,1,0,1
Ridley,PA,safety_and_non_safety_bargaining_units,2022-2024 (as referenced: “2022 through 2024 Ridley Township Police FOP”),1,1,1,0,1
Ridley,PA,safety_and_non_safety_bargaining_units,Not explicitly stated in snippet; referenced as a police collective bargaining agreement with wage increase/residency/medical benefit modifications (dated within the referenced packet),1,1,1,0,1
Riverside,OH,non_safety_comparator,"2022-2025 (amended by Board of Education on July 28, 2022)",1,1,1,0,1
Rye,NY,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,1,0,1
Saginaw,TX,non_safety_municipal_units,FY 2024-2025 (proposed budget),1,1,1,0,1
Saginaw,TX,non_safety_municipal_units,Proposed pay plan / compensation philosophy effective date tied to resolution (document published for 2024 work plan; explicit mechanism language for annual COLA and step increases),1,1,1,0,1
San Antonio,TX,non_safety_comparator,FY 2024,1,1,1,0,1
San Antonio,TX,non_safety_comparator,FY 2025,1,1,1,0,1
San Benito,TX,non_safety_municipal_units,FY 2014-2015,1,1,1,0,1
San Marcos,TX,non_safety_comparator,"July 1, 2024 – June 30, 2026 (as indicated by source locator metadata)",1,1,1,0,1
San Marcos,TX,non_safety_comparator,"Two-year term beginning July 1, 2024 through June 30, 2026 (as referenced on the page)",1,1,1,0,1
Santa Cruz,CA,non_safety_comparator,Expected to include 2024–(term not confirmed from lead search result snippet),1,1,1,0,1
Scarborough,ME,non_safety_municipal_units,2014-2024 target window,1,1,1,0,1
Seymour,CT,safety_and_non_safety_compensation_units,"Language indicates agreement entered into effective July 1, 2017 (full term not extracted)",1,1,1,0,1
Shepherdsville,KY,safety_and_non_safety_compensation_units,"Term beginning July 1, 2023; ending June 30, 2025 (within expected 2014-2024 window overlap via July 1, 2023 portion)",1,1,1,0,1
Smithfield,RI,non_safety_municipal_units,Appears entered in 2017 (effective year visible in locator/snippet); specific end date not confirmed here,1,1,1,0,1
Somerville,MA,non_safety_comparator,"July 1, 2010 – June 30, 2013",1,1,1,0,1
South Brunswick,NJ,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,1,0,1
Southold,NY,non_safety_municipal_units,2014-2024 (access point to specific CBA documents/periods),1,1,1,0,1
Southold,NY,non_safety_municipal_units,"includes explicit compensation mechanism; snippet indicates force through December 31, 2016",1,1,1,0,1
Springfield,PA,non_safety_municipal_units,2016-2020 (document); CBA-related wage increases referenced for at least 2015 within narrative,1,1,1,0,1
St. Clair,IL,safety_and_non_safety_bargaining_units,2016 arbitration award (exact effective start/end not captured in lead snippet),1,1,1,0,1
St. Marys,GA,non_safety_municipal_units,FY2018 budget document,1,1,1,0,1
Stallings,NC,safety_and_non_safety_compensation_units,2018-07-09 (document date; pay plan development phase),1,1,1,1,0
Stallings,NC,safety_and_non_safety_compensation_units,2018-09-10 (study scope; implementation timing not determined here),1,1,1,1,0
State College,PA,non_safety_comparator,07/01/2023 - 06/30/2028,2,2,2,0,2
State College,PA,non_safety_comparator,2022 - 2027,1,1,1,0,1
Stony Point,NY,safety_and_non_safety_compensation_units,"Memorandum of Agreement commencing January 1, 2014 for four (4) years (successor CBA period referenced by meeting minutes)",1,1,1,0,1
Stony Point,NY,safety_and_non_safety_compensation_units,"Wage increases Memorandum of Agreement (successor/supplemental wage MOA referenced; current PBA CBA noted as expired Dec 31, 2017)",1,1,1,0,1
Sugar Hill,GA,non_safety_municipal_units,Fiscal Year 2014 budget,1,1,1,0,1
Sugar Hill,GA,non_safety_municipal_units,Fiscal Year 2019 budget,1,1,1,0,1
Swatara,PA,safety_and_non_safety_bargaining_units,"Representation/certification matter referenced around incumbent agreement in its fourth year (petition filed January 30, 2018; NOC June 4, 2018; final order likely 2018 cycle)",1,1,1,0,1
Sweden,NY,safety_and_non_safety_compensation_units,"2014 (salary schedule set via resolution dated January 2, 2014)",1,1,1,0,1
Tacoma,WA,non_safety_comparator,"January 1, 2015 to December 31, 2016",1,1,1,0,1
Tacoma,WA,non_safety_comparator,"January 1, 2015 to December 31, 2018 (includes 2015-2016)",1,1,1,0,1
Tega Cay,SC,safety_and_non_safety_compensation_units,2023–2024 (Budget Summary document),1,1,1,0,1
Tega Cay,SC,safety_and_non_safety_compensation_units,Fiscal Year 2014–2015 (FY2014–2015; budget year described in document),1,1,1,0,1
Tega Cay,SC,safety_and_non_safety_compensation_units,Fiscal Year 2014–2015 (document describes budget year and appropriations sections),1,1,1,0,1
Texas City,TX,non_safety_comparator,"October 1, 2024 through September 30, 2026",1,1,1,0,1
Thompson,NY,safety_and_non_safety_compensation_units,2014-2024 target window,1,1,1,0,1
Thornton,IL,safety_and_non_safety_bargaining_units,"May 1, 2024 through April 30, 2026",1,1,1,1,0
Tomball,TX,safety_and_non_safety_compensation_units,2023 (study scope/engagement materials),1,1,1,1,0
Tonawanda,NY,safety_and_non_safety_bargaining_units,2016-2018 (referenced standoff; exact PERB report period not extracted),1,1,1,0,1
Tredyffrin,PA,safety_and_non_safety_bargaining_units,Not stated (fact finding listed without dates on resume snippet),1,1,1,0,1
Trophy Club,TX,safety_and_non_safety_compensation_units,Approved 2/12/2024,1,1,1,0,1
Trophy Club,TX,safety_and_non_safety_compensation_units,Approved 8/26/2024,1,1,1,0,1
Upper Allen,PA,non_safety_municipal_units,"FY ended December 31, 2021 (ACFR coverage)",1,1,1,0,1
Upper Macungie,PA,safety_and_non_safety_bargaining_units,"CBA and Act 111 interest arbitration referenced in opinion; the interest arbitration award referenced in related procedural history is dated Jan 24, 2011 with retroactive effective period through Dec 31, 2013 (as described in search snippets for related decisions)",1,1,1,1,0
Upper Macungie,PA,safety_and_non_safety_bargaining_units,"May 1, 2017 through April 30, 2020 (current CBA term referenced on page)",1,1,1,0,1
Upper Moreland,PA,non_safety_municipal_units,Collective Bargaining Agreement (exact contract term/expiration not captured in the minutes excerpt shown by the crawl),1,1,1,0,1
Upper Moreland,PA,non_safety_municipal_units,"Four-year collective bargaining contract term; minutes state expiration on December 31, 2020",1,1,1,0,1
Upper Providence,PA,non_safety_municipal_units,Five-year plan shown with compensation line items across 2015-2020 (per snippet text),1,1,1,1,0
Villa Rica,GA,non_safety_municipal_units,2024-08-20 (meeting packet date in filename),1,1,1,0,1
Warminster,PA,safety_and_non_safety_bargaining_units,"petition filed Oct 26, 2017; hearing continued to Apr 20, 2018 (from document metadata/heading)",1,1,1,0,1
Warwick,PA,non_safety_municipal_units,2019 budget (document),1,1,1,0,1
Warwick,PA,non_safety_municipal_units,2020 budget (worksheets document),1,1,1,0,1
Warwick,PA,non_safety_municipal_units,2021 budget (worksheets document),1,1,1,0,1
Washington,PA,safety_and_non_safety_compensation_units,"Contract term referenced as effective January 1, 2020 until December 31, 2024",1,1,1,0,1
Waynesboro,VA,non_safety_municipal_units,2014-2024 relevant governing code sections (period not confirmed here),1,1,1,0,1
Waynesboro,VA,non_safety_municipal_units,Fiscal year budgets within 2014-2024 window (specific FY period not selected here),1,1,1,0,1
Weddington,NC,safety_and_non_safety_compensation_units,FY2017 budget approval context (referenced in July 2016 journal),1,1,1,0,1
Wentzville,MO,non_safety_comparator,"Effective October 28, 2016 (contract period/duration not established from search snippet)",1,1,1,0,1
West Columbia,SC,non_safety_municipal_units,FY 2019-2020 budget (ordinance; as listed in City of West Columbia document center),1,1,1,0,1
West Deptford,NJ,non_safety_municipal_units,"Ordinance #2014-03 (2014 salaries and compensation of officials and employees) — referenced within Jan 16, 2014 meeting minutes",1,1,1,0,1
West Deptford,NJ,non_safety_municipal_units,"Ordinance #O-2016-21 (2016 salaries and compensation of officers and employees) — referenced within Oct 19, 2016 minutes",1,1,1,0,1
West Memphis,AR,non_safety_municipal_units,2016 (report archive item),1,1,1,0,1
West Memphis,AR,non_safety_municipal_units,FY2024 (budget archive item),1,1,1,0,1
West Orange,NJ,safety_and_non_safety_bargaining_units,2012-2014 (referenced in arbitration award context),1,1,1,0,1
West Park,FL,safety_and_non_safety_compensation_units,Not determined (document published ~6.7 years ago; contains comparative classification/compensation tables referencing West Park),1,1,1,1,0
West Seneca,NY,safety_and_non_safety_bargaining_units,"Effective January 1, 2020 to December 31, 2022",1,1,1,1,0
White Lake charter,MI,safety_and_non_safety_bargaining_units,"January 1, 2022 through December 31, 2026",1,1,1,1,0
Whitehall,PA,safety_and_non_safety_bargaining_units,"Term beginning January 1, 2017; expiring December 31, 2019",1,1,1,0,1
Willard,OH,non_safety_comparator,"Effective July 1, 2017 through June 30, 2020",1,1,1,0,1
Willard,OH,non_safety_comparator,"Effective July 1, 2019 through June 30, 2022",1,1,1,0,1
Willard,OH,non_safety_comparator,"Effective July 1, 2021 through June 30, 2024",1,1,1,0,1
Williamsburg,VA,safety_and_non_safety_compensation_units,FY 2018 (CAFR narrative about study implementation effects),1,1,1,1,0
Windham,CT,non_safety_municipal_units,tentative/approved proposed CBA(s) adopted on 2024-05-21 (exact successor terms not visible in search snippet),1,1,1,0,1
Winter Garden,FL,non_safety_comparator,"October 1, 2024 to September 30, 2027",1,1,1,0,1
Woolwich,NJ,safety_and_non_safety_compensation_units,"Year 2024 (effective “As of January 1, 2024” per the ordinance structure)",1,1,1,0,1
York,PA,safety_and_non_safety_bargaining_units,Final Order (case PF-C-17-63-E; in 2018 final-orders folder),1,1,1,0,1
York,PA,safety_and_non_safety_bargaining_units,Proposed Decision and Order (case PF-C-22-48-E; in 2023 proposed-orders folder),1,1,1,0,1
Zion,IL,non_safety_municipal_units,Fiscal year 2019–2020 referenced for compensation-related adjustments (MOU/addendum context),1,1,1,0,1
Zion,IL,non_safety_municipal_units,"May 1, 2018 through April 30, 2021 (referenced in minutes)",1,1,1,0,1
