staffing_evidence_id,municipality,state,compensation_cycle_id,side,staffing_reduction_language,vacancy_language,recruitment_language,retention_language,minimum_staffing_language,overtime_response_language,outsourcing_language,consolidation_language,attrition_language,hiring_freeze_language,position_elimination_language,authorized_headcount_language,filled_headcount_language,pressure_direction,implementation_status,evidence_quality,bounded_evidence_excerpt,technical_lineage_id
STAFF-b9dc92c0defc945da57852b9,Milaca,MN,undated-source-B4X2500LIVE-20260729-003054,police,,,,,,Overtime is up.,,,,,,,,upward,negotiated_term,moderate,Overtime is up.,WCM-615e9b218bc09f5e0cf66b7a
STAFF-9c99fd8df0cb5d79c055d189,Milaca,MN,undated-source-B4X2500LIVE-20260729-003054,police,,,,,,3.10 OVERTIME: Work performed at the express authorization of the EMPLOYER in,,,,,,,,upward,negotiated_term,moderate,3.10 OVERTIME: Work performed at the express authorization of the EMPLOYER in,WCM-a0fb8a52883458d6075222b2
STAFF-c8c24d9be831facc58ddcb52,Blandford,MA,2022,unclear,,,,,,Department who works 40 hours per week and earns overtime pay for hours beyond the,,,,,,,,upward,unclear_status,moderate,Department who works 40 hours per week and earns overtime pay for hours beyond the,WCM-7ba2067b874fe5bce7d9a963
STAFF-1e9c52add4b6fd1adc8b9bc4,Hamilton,OH,2019,fire,,,,,,Overtime 22,,,,,,,,upward,negotiated_term,moderate,Overtime 22,WCM-2c7ce2339ba12a82755abb6f
STAFF-9a7efd65d7eda0f4a4626438,Hamilton,OH,2019,fire,,,,,,Mandatory Overtime 23,,,,,,,,upward,negotiated_term,moderate,Mandatory Overtime 23,WCM-cab4ca0935b1f55ba838d077
STAFF-9ba60a518298bd1b347b6c00,Plainfield,VT,2026,unclear,,●​ A current employee will be promoted to fill the vacancy if they are fully qualified and,,,,,,,,,,,,unclear,unclear_status,moderate,●​ A current employee will be promoted to fill the vacancy if they are fully qualified and,WCM-ddd685d65c5f52d57135a7c7
STAFF-130d7de3efe9d8ed01c3b723,Plainfield,VT,2026,unclear,,,"Policy: When open recruitment for a position is in the best interest of the town, the town",,,,,,,,,,,unclear,unclear_status,moderate,"Policy: When open recruitment for a position is in the best interest of the town, the town",WCM-129c3bc3aab7d0afb1343b94
STAFF-acf13601e3049d9c23a5c7fa,Liverpool,NY,undated-source-B4X2500LIVE-20260729-003967,police,,,,,,compensatory time off (at time plus one-half) or overtime pay (at time plus one-half) for each of,,,,,,,,upward,negotiated_term,moderate,compensatory time off (at time plus one-half) or overtime pay (at time plus one-half) for each of,WCM-546a5b4a4e94ebb96aa5b7e3
STAFF-64f7ee3832bc3c5dd03ae6cd,Liverpool,NY,undated-source-B4X2500LIVE-20260729-003967,police,,,,,,The officer will receive overtime pay for any,,,,,,,,upward,implemented,high,The officer will receive overtime pay for any,WCM-af4c9fbc09091c2f58353201
STAFF-9f24cc7d56824f27af83168d,Orchard Park,NY,2018,police,,,,,,OVERTIME 10,,,,,,,,upward,negotiated_term,moderate,OVERTIME 10,WCM-163d1fa2aa55eec7dc658a34
STAFF-f24578ecc24689d98d2bd3e3,Nekoosa,WI,2024,unclear,,,,,,wage and overtime exemption.,,,,,,,,upward,negotiated_term,moderate,wage and overtime exemption.,WCM-01227e6bbe7dbb7f25e7a335
STAFF-1788a66b7429c5386c9d831c,Cedar Bluff,AL,2025,unclear,,,,,,TRAFFIC OVERTIME HOURS 74,,,,,,,,upward,unclear_status,moderate,TRAFFIC OVERTIME HOURS 74,WCM-cf003b206a102e03e81a6614
STAFF-8309f66ec357ece8171cc5ca,Madison,OH,2020,fire,,,,,,To determine the necessity to schedule overtime and the amount required,,,,,,,,upward,negotiated_term,moderate,To determine the necessity to schedule overtime and the amount required,WCM-317f7ca2b44aa5d95bbcb940
STAFF-9ca4df8403bf507ebce1abb8,Lakeview,AL,2023,unclear,,,,,,"10-45-195 OVERTIME .00 .00 .00 1,500.00",,,,,,,,upward,unclear_status,moderate,"10-45-195 OVERTIME .00 .00 .00 1,500.00",WCM-def2cffdaab2c1fe385ee7ad
STAFF-e3f16162268d3adfd2ce75f0,Lakeview,AL,2023,unclear,,,,,,"10-55-195 OVERTIME 14,428.11 24,293.08 5,000.00 .00",,,,,,,,upward,unclear_status,moderate,"10-55-195 OVERTIME 14,428.11 24,293.08 5,000.00 .00",WCM-87fe36a08301b8291a3702e6
STAFF-0dc68edaf1958270b3f9f8a0,Lakeview,AL,2023,unclear,,,,,,10-64-195 OVERTIME .00 .00 .00 .00,,,,,,,,upward,unclear_status,moderate,10-64-195 OVERTIME .00 .00 .00 .00,WCM-e74ea48f140e58a1e411cfbc
STAFF-67b7e4ffc7d5e05c9965a0a3,Tryon,NC,2014,police,,,,,,Overtime and Compensatory Time .........................................................................5,,,,,,,,upward,unclear_status,moderate,Overtime and Compensatory Time .........................................................................5,WCM-e9da88f8ad05871de31e8cd4
STAFF-13e92921c9d0dc5b126600b7,Tryon,NC,2014,police,,,,,,Overtime and Compensatory Time,,,,,,,,upward,unclear_status,moderate,Overtime and Compensatory Time,WCM-6a2e301ac325295ca7a8b40f
STAFF-9b8908bbe28b39d2aa528060,Onondaga,NY,2024,unclear,,,"recruitment initiatives, serving in the Onondaga County and New York State",,,,,,,,,,,unclear,unclear_status,moderate,"recruitment initiatives, serving in the Onondaga County and New York State",WCM-078f67ca3e5aa12fe193f320
STAFF-fb92073b2244558e4e94841a,Onancock,VA,2023,unclear,,,,,,Overtime ...........................................................................................................................................,,,,,,,,upward,unclear_status,moderate,Overtime ...........................................................................................................................................,WCM-3d6c142bb6a40ff2a5ab9ee4
STAFF-ba51faabe04cc1779e04cfb0,Onancock,VA,2023,unclear,,,,,,Exempt Employee – Employees whose compensation is not subject to the overtime requirements of,,,,,,,,upward,unclear_status,moderate,Exempt Employee – Employees whose compensation is not subject to the overtime requirements of,WCM-eebe0936db01704087fa476e
STAFF-02fea269d5811bce25d9bacf,Onancock,VA,2023,unclear,,,"• Recruiting, hiring, and promoting in all job classifications without regard to race, color, religion,",,,,,,,,,,,unclear,unclear_status,moderate,"• Recruiting, hiring, and promoting in all job classifications without regard to race, color, religion,",WCM-be51937123e764d7c4c0d03d
STAFF-19227f1087052385ba8e0cba,Russell,OH,2020,police,,,,,,HOURS OF WORK AND OVERTIME,,,,,,,,upward,negotiated_term,moderate,HOURS OF WORK AND OVERTIME,WCM-5bff1f95d5c6d06161b333c9
STAFF-6b80b286cfa6c0d80560b8e9,Russell,OH,2020,police,,,,,,Overtime,,,,,,,,upward,negotiated_term,moderate,Overtime,WCM-480f1d48a900f75208cf933e
STAFF-8699ef5e1ced06d3904d8c7b,Chuathbaluk,AK,undated-source-B4X2500LIVE-20260729-004780,unclear,,,,,,so scheduled that overtime not be paid.,,,,,,,,upward,negotiated_term,moderate,so scheduled that overtime not be paid.,WCM-eeea8388cd5441e05414ac9b
STAFF-bef8f53971d09bc8872a9f41,Chuathbaluk,AK,undated-source-B4X2500LIVE-20260729-004780,unclear,,,,,,such time in lieu of paid overtime and is otherwise allowed by law.,,,,,,,,upward,negotiated_term,moderate,such time in lieu of paid overtime and is otherwise allowed by law.,WCM-a79acc162027e6db07558856
STAFF-3f186d75c35e3bb493ed0679,San Juan Bautista,CA,2023,unclear,,,"$26.72 per hour, and authorize the recruitment of this position.",,,,,,,,,,,unclear,unclear_status,moderate,"$26.72 per hour, and authorize the recruitment of this position.",WCM-4c534641aad3630f58234726
STAFF-4d3d5db7b3568e54113f61d2,Paynesville,MN,2024,unclear,,,,Procedures Board felt it was necessary to retain employees.,,,,,,,,,,unclear,negotiated_term,moderate,Procedures Board felt it was necessary to retain employees.,WCM-b635f3ff218f3cd706d6ffbd
STAFF-fe5ea124a0fb719514eaccdc,Leyden,MA,2025,unclear,,,hiring pay band based on the qualifications of an applicant and/or changes in the,,,,,,,,,,,unclear,negotiated_term,moderate,hiring pay band based on the qualifications of an applicant and/or changes in the,WCM-854ce5eb840e912c8a0dfbf7
STAFF-6546db76fc71405a3edc1f0a,Bethlehem,CT,undated-source-B4X2500LIVE-20260729-003497,unclear,,,,,,overtime/other hours must be approved by the Department Head prior to submitting them for,,,,,,,,upward,formally_adopted,high,overtime/other hours must be approved by the Department Head prior to submitting them for,WCM-f5a5598a76bf52773b07cc14
STAFF-4d427e704e277888a875b810,Bethalto,IL,2021,fire,,,,,,"POLICE OFFICER’S OVERTIME, at request of Police Chief or superior Officer in",,,,,,,,upward,negotiated_term,moderate,"POLICE OFFICER’S OVERTIME, at request of Police Chief or superior Officer in",WCM-e5fb04d05ee6ff800a09413e
STAFF-d634992ee280c6cafe44002e,Ogunquit,ME,2022,fire,,,,,,"hours for overtime purposes), to be disbursed as part of the pay period in which they occur:",,,,,,,,upward,negotiated_term,moderate,"hours for overtime purposes), to be disbursed as part of the pay period in which they occur:",WCM-a3d89725df4ec65f2849f204
STAFF-afbd834edf82d27777daece0,Franklin,IN,undated-source-B4X2500LIVE-20260729-007700,unclear,,,,,,(f) Overtime based on 28 day tour of duty,,,,,,,,upward,unclear_status,moderate,(f) Overtime based on 28 day tour of duty,WCM-0573edd78dd0d76a1e9e85cb
STAFF-4abfe80db831f3f84a152417,Franklin,IN,undated-source-B4X2500LIVE-20260729-007700,unclear,,,,,,(f) Overtime based on 28 day tour of duty,,,,,,,,upward,unclear_status,moderate,(f) Overtime based on 28 day tour of duty,WCM-62e309e7ec36b5f3942c9ba7
STAFF-894c696dbb9c24dadb275ac5,Haslet,TX,undated-source-B4X2500LIVE-20260729-004673,unclear,,,,,,3.4 Overtime Pay Pg.,,,,,,,,upward,unclear_status,moderate,3.4 Overtime Pay Pg.,WCM-ecde914ce9ccd12e234f9c8b
STAFF-601bc5f4e90760b1e378ea34,Haslet,TX,undated-source-B4X2500LIVE-20260729-004673,unclear,,,,,,eligible for overtime pay.,,,,,,,,upward,unclear_status,moderate,eligible for overtime pay.,WCM-f282fb6b948b954ff47e18f4
STAFF-57de6e02f69783f5afe5c7a2,Haslet,TX,undated-source-B4X2500LIVE-20260729-004673,unclear,,,,,,classification is generally eligible for overtime pay.,,,,,,,,upward,unclear_status,moderate,classification is generally eligible for overtime pay.,WCM-abfb537ad066d4b0dae0e7d8
STAFF-85d349efd915df28f8ce97eb,Evans,NY,2024,police,,,,,,"uniforms to increase from $550 to $700, A2, overtime police work to be",,,,,,,,upward,unclear_status,moderate,"uniforms to increase from $550 to $700, A2, overtime police work to be",WCM-37560b14529a446b2132100b
STAFF-7e5a86ae65dafd8e16ecbab7,Evans,NY,2024,police,,,,,,"payor compensatory time off at the overtime rate, A3, longevity to be",,,,,,,,upward,unclear_status,moderate,"payor compensatory time off at the overtime rate, A3, longevity to be",WCM-9ea816367f1bf72eb72a30d0
STAFF-0508df0d7c8b563814deaa44,Evans,NY,2024,police,,,,,,"if approved, shall not be eligible for overtime pay, A9, officers with",,,,,,,,upward,unclear_status,moderate,"if approved, shall not be eligible for overtime pay, A9, officers with",WCM-5b52a529922db3dae28093a9
STAFF-fec84ba4c2778c967b2cd895,Copley,OH,2020,unclear,,,,,,OVERTIME,,,,,,,,upward,negotiated_term,moderate,OVERTIME,WCM-d6ea762905ba051ce291750c
STAFF-e28a51b87af09ef4a8db5f86,Chester,NY,2025,police,,"vacancy as a split shift, to be split in hours at the employee' s convenience, as long as the whole",,,,,,,,,,,,unclear,negotiated_term,moderate,"vacancy as a split shift, to be split in hours at the employee' s convenience, as long as the whole",WCM-a9adb34fad5ede9439b07b94
STAFF-11d0730353f7f48632e051f0,Union,OH,2019,fire,,,,,,(8) To schedule overtime as well as to determine the amount required.,,,,,,,,upward,negotiated_term,moderate,(8) To schedule overtime as well as to determine the amount required.,WCM-a67e6eb0d9450236b1b03593
STAFF-a3804a7a78b39dc443ce4689,Franklin,NJ,undated-source-B4X2500LIVE-20260729-003769,unclear,,,,,,work alone they be compensated at the overtime rate for the first,,,,,,,,upward,unclear_status,moderate,work alone they be compensated at the overtime rate for the first,WCM-348cd0ac7189ebe469a1b1ca
STAFF-885476ad3a6a294f6e34db37,Valley Falls,KS,2022,police,,,,,,"perform their job, including compensation for the hours worked overtime.",,,,,,,,upward,unclear_status,moderate,"perform their job, including compensation for the hours worked overtime.",WCM-98b72ca3ef9891a7c8756f0d
STAFF-79f9257c60295997d5dbc20e,Danby,VT,2026,unclear,,Advertising Road Crew Vacancy/Report on applicants/Recommendation,Advertising Road Crew Vacancy/Report on applicants/Recommendation,,,,,,,,,,,unclear,recommendation,moderate,Advertising Road Crew Vacancy/Report on applicants/Recommendation,WCM-6866f0e5fa8d98f4e34cb736
STAFF-3960df3c8101b9c80316941b,East Jordan,MI,undated-source-B4X2500LIVE-20260729-005385,unclear,,,,,,12.2: Overtime Payment.,,,,,,,,upward,negotiated_term,moderate,12.2: Overtime Payment.,WCM-21613f543cdda6b1bddaabbe
STAFF-1d20723efaa108b2a33b4d09,Whispering Pines,NC,2023,police,,,The recruitment and retention of police officers has become extremely challenging over,The recruitment and retention of police officers has become extremely challenging over,,,,,,,,,,unclear,unclear_status,moderate,The recruitment and retention of police officers has become extremely challenging over,WCM-131fe1bdae9c527d1bc4f8f0
STAFF-e8c3d4b7227ed36810fa0c3a,Whispering Pines,NC,2023,police,,,having vacancies and recruiting from the same limited talent pool.,,,,,,,,,,,unclear,unclear_status,moderate,having vacancies and recruiting from the same limited talent pool.,WCM-5b7556a12911ef4823d7c7b9
STAFF-7a4de21f269d333e3d1e59c4,Raymondville,TX,2025,unclear,,,,,,4-10-112 Clerical Overtime - - - -,,,,,,,,upward,unclear_status,moderate,4-10-112 Clerical Overtime - - - -,WCM-785e5b8efa8b0d83301e4bbd
STAFF-b46101e837b5e3cbaa8965f0,Raymondville,TX,2025,unclear,,,,,,4-10-113 Operational Overtime - - - -,,,,,,,,upward,unclear_status,moderate,4-10-113 Operational Overtime - - - -,WCM-8fa2d8d4733e5e32ba3932e9
STAFF-4d5f336af841afb6b2034690,Raymondville,TX,2025,unclear,,,,,,"4-11-112 Clerical Overtime - 4,000 - - 4,000 4,000",,,,,,,,upward,unclear_status,moderate,"4-11-112 Clerical Overtime - 4,000 - - 4,000 4,000",WCM-685cbedd96a3dda17f769b0d
STAFF-ad79ca52ba75ecefe43a4e51,Kingsville,TX,2024,fire,,,,,,ARTICLE 16 OVERTIME AND CALLBACK ...........................................................................11,,,,,,,,upward,negotiated_term,moderate,ARTICLE 16 OVERTIME AND CALLBACK ...........................................................................11,WCM-c8ed47c6dc880907831b0137
STAFF-e6e1cbe45f2b88c47c6529a8,Pleasant Hill,TN,undated-source-B4X2500LIVE-20260729-007164,unclear,,,,,,An employee required to work overtime shall be,,,,,,,,upward,unclear_status,moderate,An employee required to work overtime shall be,WCM-4fb286dddfd59764761dbd75
STAFF-36ab83815eae227ce8181614,Edna Bay,AK,2016,unclear,,,,,,NONEXEMPT employees are entitled to overtime pay,,,,,,,,upward,unclear_status,moderate,NONEXEMPT employees are entitled to overtime pay,WCM-565815e4cca99ca4b9a222e9
STAFF-577f3229cb6fa934b3965874,Montville,OH,2020,police,,,,,,(m) Determine and schedule overtime as required in the manner most,,,,,,,,upward,negotiated_term,moderate,(m) Determine and schedule overtime as required in the manner most,WCM-3c720be98f12ca24817bb50c
STAFF-30dbff77f3e971c03d1f095b,Montville,OH,2020,police,,,,,,The Township shall not have to pay overtime as a result of any member's,,,,,,,,upward,negotiated_term,moderate,The Township shall not have to pay overtime as a result of any member's,WCM-89745c23c442438c38b18a91
STAFF-c0d2e3719a786c4d431317bf,Mifflin,OH,2024,unclear,,"Fiscal, Administration and Service Departments: Out of class pay is determined on a long-term vacancy/absence",,,,,,,,,,,,unclear,unclear_status,moderate,"Fiscal, Administration and Service Departments: Out of class pay is determined on a long-term vacancy/absence",WCM-8cc8df6e6303ebaa1e6a5be6
STAFF-19ee224ce5f0cb37dd5ff6a1,Mifflin,OH,2024,unclear,,on a case-by-case basis and is only effective during the long-term vacancy/absence.,,,,,,,,,,,,unclear,implemented,high,on a case-by-case basis and is only effective during the long-term vacancy/absence.,WCM-b1b80f8e6915f5ac6b1cb949
STAFF-b7acb11d47bf1dc1aff18adf,Mifflin,OH,2024,unclear,,, When recruitment for the position has not yielded suitable or qualified candidates;,,,,,,,,,,,unclear,unclear_status,moderate, When recruitment for the position has not yielded suitable or qualified candidates;,WCM-0709127e010828bc29239a73
STAFF-ceef51720dde4520e1647166,Newburgh,NY,undated-source-B4X2500LIVE-20260729-003985,police,,,,,,Overtime ...............................................................................4,,,,,,,,upward,negotiated_term,moderate,Overtime ...............................................................................4,WCM-1956441e8e3be5c8c4efc17a
STAFF-c752631b5dafeb9ba08ec9bd,Newburgh,NY,undated-source-B4X2500LIVE-20260729-003985,police,,,,,,OVERTIME,,,,,,,,upward,negotiated_term,moderate,OVERTIME,WCM-d43505d4a669b325e6840df1
STAFF-22845dd4da205c6114d25a91,Schuylkill Haven,PA,undated-source-B4X2500LIVE-20260729-001635,police,"he adoption of a successor CBA and, in accordance with Act 111, a Board of Arbitrators was appointed.3 At the hearing, Employer alleged, among other things, that provisions in the expired CBA regarding mandatory employer contributions to an employee deferred compensation plan, limitations on the amount of employee pension contributions and a no-layoff clause were either not authorized by The Borough Code 4 and/or illegal and/or infringed on Employer's managerial rights.",,,,,,,,,,,,,downward,unclear_status,moderate,"he adoption of a successor CBA and, in accordance with Act 111, a Board of Arbitrators was appointed.3 At the hearing, Employer alleged, among other things, that provisions in the expired CBA regarding mandatory employer contributions to an employee deferred compensation plan, limitations on the amount of employee pension contributions and a no-layoff clause were either not authorized by The Borough Code 4 and/or illegal and/or infringed on Employer's managerial rights.",WCM-fc594361fcb5575a35d1be9c
STAFF-2e8467b2db3e4e5e412c9d54,Schuylkill Haven,PA,undated-source-B4X2500LIVE-20260729-001635,police,,,,,,"8. Reopener-In 2005, for effect in 2006, there will be a reopener in the contract solely to address issues of officer pension contributions and part-timer participation in overtime opportunities.",,,,,,,,upward,unclear_status,moderate,"8. Reopener-In 2005, for effect in 2006, there will be a reopener in the contract solely to address issues of officer pension contributions and part-timer participation in overtime opportunities.",WCM-ca46872f1382f86b12e5dd55
STAFF-81c03e4ff163d853279aec66,Schuylkill Haven,PA,undated-source-B4X2500LIVE-20260729-001635,police,,,,,,,,,,,"licy Committee, 904 A.2d 61 (Pa.Cmwlth.2006), we addressed the effect of Act 30's amendment of Act 600 on when employee contributions to the police pension fund could be eliminated or reduced, albeit in the context of whether Act 30 applied retroactively to a collective bargaining agreement entered before its enactment.",,,upward,unclear_status,moderate,"licy Committee, 904 A.2d 61 (Pa.Cmwlth.2006), we addressed the effect of Act 30's amendment of Act 600 on when employee contributions to the police pension fund could be eliminated or reduced, albeit in the context of whether Act 30 applied retroactively to a collective bargaining agreement entered before its enactment.",WCM-72a0f48bb08bf94722707b15
STAFF-ab0ba95c92d3763f0c8edc96,Schuylkill Haven,PA,undated-source-B4X2500LIVE-20260729-001635,police,,,,,,The percentage contribution by [Employer] shall be the aforementioned percentages of the officer's gross wages including Borough related overtime (specifically excluding drug task force overtime)․ The aforementioned [Employer] contributions will match the officer's contribution up to the aforementioned percentages for the appropriate year.(Reproduced Record at 51a.),,,,,,,,upward,unclear_status,moderate,The percentage contribution by [Employer] shall be the aforementioned percentages of the officer's gross wages including Borough related overtime (specifically excluding drug task force overtime)․ The aforementioned [Employer] contributions will match the officer's contribution up to the aforementioned percentages for the appropriate year.(Reproduced Record at 51a.),WCM-122a4bacc67f3837615aa7f9
STAFF-1ed0155fefcd18403f1c2e01,Geneseo,IL,2024,unclear,,,,,,ARTICLE XV - OVERTIME AND MEAL ALLOWANCE ..............................................................................23,,,,,,,,upward,negotiated_term,moderate,ARTICLE XV - OVERTIME AND MEAL ALLOWANCE ..............................................................................23,WCM-6d8b41c722af02e730dc5428
STAFF-4412720a2d37a9770013de68,Geneseo,IL,2024,unclear,,,,,,"standards and, from time to time, to change those standards, to assign overtime;",,,,,,,,upward,negotiated_term,moderate,"standards and, from time to time, to change those standards, to assign overtime;",WCM-b464be025e96bd7ccd243080
STAFF-ea1071823446b114223b1860,Oak Park Heights,MN,2025,police,,,,,,3.8 OVERTIME: Work performed at the express authorization of the Employer in excess of,,,,,,,,upward,negotiated_term,moderate,3.8 OVERTIME: Work performed at the express authorization of the Employer in excess of,WCM-98fa6d8df1a88bc0b1a4f44d
STAFF-19830524485eb93413f76738,Oak Park Heights,MN,2025,police,,,,,,"overtime, longevity, educational incentive, or other fringe benefits premium payments.",,,,,,,,upward,negotiated_term,moderate,"overtime, longevity, educational incentive, or other fringe benefits premium payments.",WCM-6999cb5e0d920be12aeaa08a
STAFF-5d142d83a64cc0c3520dc247,Lakesite,TN,2020,unclear,,,,,,classified as exempt do not receive overtime pay;,,,,,,,,upward,unclear_status,moderate,classified as exempt do not receive overtime pay;,WCM-c68da00be8f82d151fcef3fb
STAFF-ea64c65bffd92ae8d02f2642,Berrien Springs,MI,2022,unclear,,,,,,Overtime hours beyond a regular workday will,,,,,,,,upward,unclear_status,moderate,Overtime hours beyond a regular workday will,WCM-01b11e3fddc6667487095f53
STAFF-ef8b762790458d9ecb8b9f9b,Pink,OK,2021,unclear,,,establish and carry out recruitment and training programs for purposes of developing,,,,,,,,,,,unclear,negotiated_term,moderate,establish and carry out recruitment and training programs for purposes of developing,WCM-61a02a0e3304fc1a01eb3b1f
STAFF-c3e0cbf723f17ce14f163d2e,Malcolm,NE,2023,unclear,,,,,,Overtime (100% General),,,,,,,,upward,unclear_status,moderate,Overtime (100% General),WCM-923a812de94f0e09531f2aa8
STAFF-3f68dc58c0397b47fac39e2e,Malcolm,NE,2023,unclear,,,,,,Overtime: charged to applicable department,,,,,,,,upward,unclear_status,moderate,Overtime: charged to applicable department,WCM-f188dfc650e7e6f940e8f455
STAFF-b8129a095c81bc86f9d17b5a,Berne,IN,2025,police,,,,,,overtime should be calculated for work in excess of 40 hours per week of,,,,,,,,upward,unclear_status,moderate,overtime should be calculated for work in excess of 40 hours per week of,WCM-69c74cac3df04c0e512aebf2
STAFF-0306062773a11284b93d79e3,Audubon Park,KY,2020,unclear,,,,,,Overtime .................................................................................................................................................,,,,,,,,upward,unclear_status,moderate,Overtime .................................................................................................................................................,WCM-63cefaf2f51d66eceb1751c4
STAFF-f9faf5066744b2cff16946e9,Audubon Park,KY,2020,unclear,,,,,,HR Form 05 – Agreement to Accept Compensatory Time Off in Lieu of Overtime Pay ..................,,,,,,,,upward,unclear_status,moderate,HR Form 05 – Agreement to Accept Compensatory Time Off in Lieu of Overtime Pay ..................,WCM-cc24340eb9d1d11a831967c3
STAFF-202e8273d7ebc62e2f8dea0e,Audubon Park,KY,2020,unclear,,,,,,for purposes of determining whether overtime compensation is due to the employee,,,,,,,,upward,unclear_status,moderate,for purposes of determining whether overtime compensation is due to the employee,WCM-dc2db6cf4d6fc387aba3eb3c
STAFF-d77de2a2d42c27d3e99ddf6d,Holtville,CA,2023,fire,,,,,,Employees covered by this agreement shall be entitled to overtime in accordance with the,,,,,,,,upward,negotiated_term,moderate,Employees covered by this agreement shall be entitled to overtime in accordance with the,WCM-45d479e8809fc706d8c1cd73
STAFF-a109b1c88747fcb421e93bd8,Eagle Lake,FL,2023,unclear,,,,"B Crime 6807H35081A 2/27/2023 2/27/2024 Retention 10,000",,,,,,,,,,unclear,negotiated_term,moderate,"B Crime 6807H35081A 2/27/2023 2/27/2024 Retention 10,000",WCM-b88dd403c352571706886c9a
STAFF-c4c4a6fad75a97be187a0d45,Eagle Lake,FL,undated-source-B4X2500LIVE-20260729-009265,unclear,,,,,,"511.113 · Emergency Management Overtime 7,796.21",,,,,,,,upward,negotiated_term,moderate,"511.113 · Emergency Management Overtime 7,796.21",WCM-d04c639baf4bfce88b960a4b
STAFF-dda3ca8006fd7f4a5f8ed56c,Eagle Lake,FL,undated-source-B4X2500LIVE-20260729-009265,unclear,,,,,,"513.140 · Overtime 1,456.26 300.00 1,156.26 485.4%",,,,,,,,upward,negotiated_term,moderate,"513.140 · Overtime 1,456.26 300.00 1,156.26 485.4%",WCM-36111789a09292ddffa0e375
STAFF-06b44b72bca4915cd50444f8,Eagle Lake,FL,undated-source-B4X2500LIVE-20260729-009265,unclear,,,,,,"541.140 · Overtime 331.50 2,000.00 -1,668.50 16.6%",,,,,,,,upward,negotiated_term,moderate,"541.140 · Overtime 331.50 2,000.00 -1,668.50 16.6%",WCM-30affd1157c81a95c7240ce9
STAFF-758d5edcce20ca312cd03002,Montgomery,TX,2022,police,,,,"The purpose of the Compensation Plan is to ensure that the City is able to attract, retain and motivate",,,,,,,,,,unclear,unclear_status,moderate,"The purpose of the Compensation Plan is to ensure that the City is able to attract, retain and motivate",WCM-facda6ba4533eda9b735f102
STAFF-b469fb3b77f0452fff86cf78,Wyckoff,NJ,2018,police,,,,,,8.00 WORK DAY WORK WEEK AND OVERTIME .........................................,,,,,,,,upward,negotiated_term,moderate,8.00 WORK DAY WORK WEEK AND OVERTIME .........................................,WCM-bc59186aeeb296a68fe18ab5
STAFF-9f7d87bf5f993bc4f0de673e,Wyckoff,NJ,2018,police,,,,,,14.00 PRIORITY FOR OVERTIME .......................................................................,,,,,,,,upward,negotiated_term,moderate,14.00 PRIORITY FOR OVERTIME .......................................................................,WCM-0953ddd12e049dd025f76018
STAFF-c5a19b573ba4bae794ed08ca,Wyckoff,NJ,2018,police,,,,,,insurance and other program information concerning overtime worked by,,,,,,,,upward,negotiated_term,moderate,insurance and other program information concerning overtime worked by,WCM-154ad12f1d32ea281be2ccde
STAFF-abbf221c74c3bb5d53d4e885,Bruceton,TN,undated-source-B4X2500LIVE-20260729-007127,unclear,,,,,,to basic minimum wage and payment of overtime except as is inconsistent with,,,,,,,,upward,unclear_status,moderate,to basic minimum wage and payment of overtime except as is inconsistent with,WCM-16f880cdd6bc821c2bf2c0c9
STAFF-998576159fd2b49cf3968ab9,Bruceton,TN,undated-source-B4X2500LIVE-20260729-007127,unclear,,appropriate vacancy occurs within one (1) year of the date of such,,,,,,,,,,,,unclear,unclear_status,moderate,appropriate vacancy occurs within one (1) year of the date of such,WCM-2c4435905f60d0020bc6e875
STAFF-4f78f66b9d26622f2a2de120,Bruceton,TN,undated-source-B4X2500LIVE-20260729-007127,unclear,,,,"such as the use of auxiliary treatment facilities, retention of",,,,,,,,,,unclear,unclear_status,moderate,"such as the use of auxiliary treatment facilities, retention of",WCM-1edee554054df018798911a3
STAFF-f291a0c6697ab19984338e9e,Hawley,MN,2025,police,,,,,,3 .5 Overtime: Work performed at the express authorization of the Employer in excess of 160 homs in,,,,,,,,upward,negotiated_term,moderate,3 .5 Overtime: Work performed at the express authorization of the Employer in excess of 160 homs in,WCM-3e38956424463584a2e12bca
STAFF-e1c55e256a03e7cf07ce3542,Paynesville,MN,undated-source-B4X2500LIVE-20260729-000548,police,,,,,,Overtime and Premium Pay ............................................,,,,,,,,upward,negotiated_term,moderate,Overtime and Premium Pay ............................................,WCM-59f6cfdc4f486a23059937ae
STAFF-d195df09579ba9ddc88e4850,Paynesville,MN,undated-source-B4X2500LIVE-20260729-000548,police,,,,,,basis for the calculation of overtime or other premium pay.,,,,,,,,upward,negotiated_term,moderate,basis for the calculation of overtime or other premium pay.,WCM-d8fdf5943b450af4b036c886
STAFF-491d010c14fb8c589f389ed8,Ravenna,OH,2020,fire,,,,Retention/mandating does not apply to employees with childcare issues or,,,,,,,,,,unclear,negotiated_term,moderate,Retention/mandating does not apply to employees with childcare issues or,WCM-570a67ac8089df5e477939e5
STAFF-ae0aa609b0c37578488f72a7,Ravenna,OH,2020,fire,,,,,,(1 ½) times the base rate of pay for the remaining overtime hours per this section.,,,,,,,,upward,negotiated_term,moderate,(1 ½) times the base rate of pay for the remaining overtime hours per this section.,WCM-f96e996ae17d82ad36f5ad0c
