technical_lineage_id,source_span_lineage_id,municipality,state,region,source_family,source_title,source_url,mechanism_class,side,bounded_evidence_excerpt,claim_boundary,structure_type,table_identity,row_column_labels,step_rank_grade_label,effective_period,structured_value_elements,formula_text,caps_floors,fake_scalar_created
WCM-68ee850906f20bc2cddd8736,WCRS-51b9de3c24de5f804e04203e,Colma,CA,West,wage_schedule,"Town of Colma Pay Schedule (Effective December 26, 2021) (approved)",https://storage.googleapis.com/proudcity/colmaca/uploads/2017/03/Attachment-E-Exhibit-A-Proposed-Pay-Schedule-Dec-2021-thru-June-2024-approved.pdf,non_base_compensation,unclear,(11) These positions may receive retention pay (2.5% @ 10 years;,supporting_example_ready,percentage,,,,2021,"[""11"", ""2.5%"", ""10""]",,,false
WCM-f340afe7d4823e3cf4a4280e,WCRS-c3a175bfb4a0ab870546d13d,East Greenbush,NY,Northeast,cba,"East Greenbush, Town of and East Greenbush Police Officers Union, Security and Law Enforcement Employees, Council 82, AFSCME, AFL-CIO, Local 1951 (2004)",https://cf003.cdn.4science.cloud/4s-assetstore-prod--cornell--ecommons/24/75/22/24752273857235064249840514655924689737,retroactivity_implementation,police,"Effective September 1, 1997, a member who is scheduled t o",mechanism_only,table_or_formula,,,,,"[""1,"", ""1997,""]",,,false
WCM-956bf548f62c0ebc44ff253c,WCRS-f49d0fb11a3aac77fc658a6c,East Greenbush,NY,Northeast,cba,"East Greenbush, Town of and East Greenbush Police Officers Union, Security and Law Enforcement Employees, Council 82, AFSCME, AFL-CIO, Local 1951 (2004)",https://cf003.cdn.4science.cloud/4s-assetstore-prod--cornell--ecommons/24/75/22/24752273857235064249840514655924689737,across_the_board_raise,police,the rate of forty-five ($45.00) dollars per day up t o a maximum,repair_needed,table_or_formula,,,,,"[""$45.00""]",,,false
WCM-009ed64a04999edc03e00e64,WCRS-04a03a6a3b266c5778456b19,Dunnellon,FL,South,wage_schedule,"Resolution #RES2024-21 (Exhibit A): Personnel Manual Amendment — Article X, Section 6 (Salary Plan/Pay Classifications for Non-Bargaining Unit Personnel)",https://d3n9y02raazwpg.cloudfront.net/dunnellon/9884c3b7-7f34-11ee-852f-0050569183fa-9d1c9d12-5944-4646-8b73-67ee507091b3-1722549076.pdf,across_the_board_raise,unclear,"adjustments shall reflect the percentage change in the Garbage and Trash CPI,",mechanism_only,percentage,,,,2024,[],"adjustments shall reflect the percentage change in the Garbage and Trash CPI,",,false
WCM-49e8827f2d97743f67e68c1f,WCRS-c0da50c166aa7965b7b3660e,Dunnellon,FL,South,wage_schedule,"Resolution #RES2024-21 (Exhibit A): Personnel Manual Amendment — Article X, Section 6 (Salary Plan/Pay Classifications for Non-Bargaining Unit Personnel)",https://d3n9y02raazwpg.cloudfront.net/dunnellon/9884c3b7-7f34-11ee-852f-0050569183fa-9d1c9d12-5944-4646-8b73-67ee507091b3-1722549076.pdf,across_the_board_raise,unclear,"If the Garbage and Trash CPI is discontinued or substantially altered, the Owner",mechanism_only,table_or_formula,,,,2024,[],"If the Garbage and Trash CPI is discontinued or substantially altered, the Owner",,false
WCM-c75aaec328058d10ad86e364,WCRS-84f188202551789b8e181a39,Bayou La Batre,AL,South,wage_schedule,Bayou La Batre (City of Bayou La Batre) Pay Table - Salary Schedule for 40 & 56 hour work week (Pay Table BL - 000),https://personnelboard.org/uploads/TableBL.pdf,across_the_board_raise,unclear,Salary Schedule for 40 & 56 hour work week.,mechanism_only,annual_salary,PP2300 THE MOBILE COUNTY PERSONNEL BOARD PAGE 1,,,,"[""40"", ""56""]",,,false
WCM-e14a94ae877fcf8886131455,WCRS-df16f3f27c118fecf9276048,Bayou La Batre,AL,South,wage_schedule,Bayou La Batre (City of Bayou La Batre) Pay Table - Salary Schedule for 40 & 56 hour work week (Pay Table BL - 000),https://personnelboard.org/uploads/TableBL.pdf,across_the_board_raise,unclear,Salary Schedule for 40 & 56 hour work week.,repair_needed,annual_salary,PP2300 THE MOBILE COUNTY PERSONNEL BOARD PAGE 2,,,,"[""40"", ""56""]",,,false
WCM-5676e58832c8b071179e8f90,WCRS-9b4f8cc5c1fb8473bd2cefd6,Bayou La Batre,AL,South,wage_schedule,Bayou La Batre (City of Bayou La Batre) Pay Table - Salary Schedule for 40 & 56 hour work week (Pay Table BL - 000),https://personnelboard.org/uploads/TableBL.pdf,across_the_board_raise,unclear,Salary Schedule for 40 & 56 hour work week.,mechanism_only,annual_salary,PP2300 THE MOBILE COUNTY PERSONNEL BOARD PAGE 3,,,,"[""40"", ""56""]",,,false
WCM-649827963f60d193241f8eda,WCRS-ca5bee33d5ae47472ac50c8f,Owego,NY,Northeast,arbitration_award,In the Matter of the Interest Arbitration between Village of Owego and Owego Police Benevolent Association — Award (Case # IA91-037; M91-320),https://perb.ny.gov/system/files/documents/2024/03/ia91-037-award-7-22-92.pdf,step_schedule_seniority,police,MUNY YEAR STEP 6 DIFF. OWEGO FY 90-91 $23.112,repair_needed,step_schedule,SALARY AT PERCENT,,,2024,"[""6"", ""90"", ""91"", ""$23.112""]",,,false
WCM-3100c8ef30958ad6f6755714,WCRS-7fda28627a9cf381ea6fd0b3,Foley,MN,Midwest,cba,ActiveContract - Foley PD - 12-31-2027 (Law Enforcement Labor Services listing),https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/67929fe9b542821446901129/1737662453210/ActiveContract+-+Foley+PD+-+12-31-2027.pdf,non_base_compensation,police,to schedule working hours and assign overtime;,mechanism_only,table_or_formula,"Section 2. Except as limited by the specific provisions of this Agreement, the Employer shall retain",,,,[],,,false
WCM-59ab50aab491defff9ecf091,WCRS-a395ea73bd9b93f160d3700e,Foley,MN,Midwest,cba,ActiveContract - Foley PD - 12-31-2027 (Law Enforcement Labor Services listing),https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/67929fe9b542821446901129/1737662453210/ActiveContract+-+Foley+PD+-+12-31-2027.pdf,across_the_board_raise,police,"In the event that there is a rounding difference between the attached wage schedule and payroll, payroll shall govern.",mechanism_only,table_or_formula,Appendix A Employees below the top step will move to the next step on the pay plan,,,,[],,,false
WCM-ca662cefee9d7a762355c408,WCRS-339d0631686d360c52e28bfb,Foley,MN,Midwest,cba,ActiveContract - Foley PD - 12-31-2027 (Law Enforcement Labor Services listing),https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/67929fe9b542821446901129/1737662453210/ActiveContract+-+Foley+PD+-+12-31-2027.pdf,step_schedule_seniority,police,6-mo Step1 Step2 Step3 Step4 Steps Step6 Step 7 Steps Step9 Step 10 $25.80 $27.09 $28.04 $29.03 $30.04 $31.10 $32.18 $33.14 $34.14 $35.16 $36.22 $37.30,repair_needed,step_schedule,APPENDIX A,,,,"[""6"", ""1"", ""2"", ""3"", ""4"", ""6"", ""7"", ""9"", ""10"", ""$25.80"", ""$27.09"", ""$28.04"", ""$29.03"", ""$30.04"", ""$31.10"", ""$32.18"", ""$33.14"", ""$34.14"", ""$35.16"", ""$36.22"", ""$37.30""]",,,false
WCM-511605446a51e40e42c36501,WCRS-d8714e03e586552aeedfdc39,Foley,MN,Midwest,cba,ActiveContract - Foley PD - 12-31-2027 (Law Enforcement Labor Services listing),https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/67929fe9b542821446901129/1737662453210/ActiveContract+-+Foley+PD+-+12-31-2027.pdf,step_schedule_seniority,police,6-mo Step1 Step2 Step3 Step4 Steps Step6 Step7 Step8 Step9 Step 10 $26.90 $28.24 29.23 $30.26 $31.31 $32.42 $33.55 $34.55 $35.59 $36.66 $37.76 $38.89,repair_needed,step_schedule,APPENDIX A,,,,"[""6"", ""1"", ""2"", ""3"", ""4"", ""6"", ""7"", ""8"", ""9"", ""10"", ""$26.90"", ""$28.24"", ""29.23"", ""$30.26"", ""$31.31"", ""$32.42"", ""$33.55"", ""$34.55"", ""$35.59"", ""$36.66"", ""$37.76"", ""$38.89""]",,,false
WCM-0e76d3c69d06c12c5dab0a10,WCRS-d8c3d1d222c2882103d0b015,Foley,MN,Midwest,cba,ActiveContract - Foley PD - 12-31-2027 (Law Enforcement Labor Services listing),https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/67929fe9b542821446901129/1737662453210/ActiveContract+-+Foley+PD+-+12-31-2027.pdf,step_schedule_seniority,police,6-mo Step1 Step2 Step3 Step4 Steps Step6 Step7 Steps Step9 Step 10 $28.11 $29.51 $30.55 $31.62 $32.72 $33.88 $35.05 $36.11 $37.20 $38.31 $39.46 $40.64,repair_needed,step_schedule,,,,,"[""6"", ""1"", ""2"", ""3"", ""4"", ""6"", ""7"", ""9"", ""10"", ""$28.11"", ""$29.51"", ""$30.55"", ""$31.62"", ""$32.72"", ""$33.88"", ""$35.05"", ""$36.11"", ""$37.20"", ""$38.31"", ""$39.46"", ""$40.64""]",,,false
WCM-3cfa65b55c86eec8a2cf11f1,WCRS-1a2a1d83b920be48ef67f7fe,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,across_the_board_raise,police,to the Consumer Price Index for the metropolitan area plus five (5) percent.,repair_needed,percentage,VOTE:,,,2024,"[""5""]",,,false
WCM-97506939fb89bb2a1b4be132,WCRS-395f829d4f0c80067e190720,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,across_the_board_raise,police,to the Consumer Price Index for the metrop~litan area plus five (5) percent.,repair_needed,percentage,,,,2024,"[""5""]",,,false
WCM-3de3ca3baa0eda727c870002,WCRS-8f3da875389fffac2736ec12,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,across_the_board_raise,police,The Town proposes to increase the number of steps in the salary schedule frolll,mechanism_only,annual_salary,,,,2024,[],,,false
WCM-615e2f38fc41fa5516e26221,WCRS-71594c2d97acd2ce1ec0a76c,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,step_schedule_seniority,police,"Under the Town's proposal a top grade patrolman currently receiving $17,178 would get $1,000 to $18,178 or a increase of 5.8%",repair_needed,percentage,,,,2024,"[""$17,178"", ""$1,000"", ""$18,178"", ""5.8%""]",,,false
WCM-c143da41a1df164820b6e4e3,WCRS-0354f0f60d3078b9ebaffaef,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,across_the_board_raise,police,"currently receiving $17,178 would get $1,000 to $18,178 or a increase of 5.8%",repair_needed,percentage,,,,2024,"[""$17,178"", ""$1,000"", ""$18,178"", ""5.8%""]",,,false
WCM-91a1aefa2baa5f0f24175f4d,WCRS-b776d65ba0c780358f207257,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,step_schedule_seniority,police,"A first step patrolman currently receiving $12,103",repair_needed,step_schedule,,,,2024,"[""$12,103""]",,,false
WCM-510cd2d45e8fda1b00294757,WCRS-32067796bd9d17406e736d80,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,step_schedule_seniority,police,"A third step employee currently receiving $14,971 would increase",repair_needed,step_schedule,,,,2024,"[""$14,971""]",,,false
WCM-1f2fc6615f0875ac0c51797c,WCRS-e26d66fedf8e65eeb7a035d7,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,across_the_board_raise,police,The 8% wage increase given in 7/1/81 would be applicable for 6 months;,repair_needed,percentage,,,,2024,"[""8%"", ""7"", ""1"", ""81"", ""6""]",,,false
WCM-f56699139deb11ee414886c9,WCRS-406fe299c27283a9d9f6a633,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,across_the_board_raise,police,More upsetting is his granting of an 8% increase effective,repair_needed,percentage,,,,2024,"[""8%""]",,,false
WCM-7cfb55cca503a3003586ee20,WCRS-36990d16c0a93b86c8a3d3d5,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,retroactivity_implementation,police,"More upsetting is his granting of an 8% increase effective on July 1, 1981.",repair_needed,percentage,,,,2024,"[""8%"", ""1,"", ""1981""]",,,false
WCM-9aab78ffa9835ca14c53e325,WCRS-11a8da79d418a2b0cc58f107,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,across_the_board_raise,police,"Coupled with the 2% rollover from 1980 and the 4% increase effective on January 1, 1981, the resultant impact is a 10%",repair_needed,percentage,,,,2024,"[""2%"", ""1980"", ""4%"", ""1,"", ""1981,"", ""10%""]",,,false
WCM-30343c2c26afe7557a39b1fc,WCRS-01848ad6843ea9b0f95f749a,Putnam Valley,NY,Northeast,arbitration_award,Compulsory Interest Arbitration Award — Town of Putnam Valley and Putnam Valley Police Association (Case No. IA80-025; M80-242),https://perb.ny.gov/system/files/documents/2024/03/ia80-025-award-9-17-81.pdf,retroactivity_implementation,police,"increase effective on January 1, 1981, the resultant impact is a 10%",repair_needed,percentage,,,,2024,"[""1,"", ""1981,"", ""10%""]",,,false
WCM-62e98befdfbe79d76872b476,WCRS-dbd0e8399835a7c69c2b60cb,Shawnee,OH,Midwest,cba,Collective Bargaining Agreement — Shawnee Township P.D. Dispatchers (2019-2022),https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-06-0581.pdf,market_recruitment_retention,unclear,"schedule, promote or retain employees;",mechanism_only,table_or_formula,,,,2019,[],,,false
WCM-2444ec16585400a119505a29,WCRS-249ad3146f70a5c3bfde06a5,Eastborough,KS,Midwest,wage_schedule,"Minutes of the Proceedings (March 25, 2025) — Police Chief report requests step pay increase for sworn officers",https://eastborough-ks.gov/wp-content/uploads/2025/04/03.25.25-Minutes.pdf,step_schedule_seniority,police,back of officer’s step pay schedule. Wants Starting pay $26.59 and top pay will be $35.73.,repair_needed,step_schedule,POLICE CHIEF’S REPORT,,,2025,"[""$26.59"", ""$35.73""]",,,false
WCM-880c74a5373508d43725a120,WCRS-3f6eaca866679f122c799aef,Eastborough,KS,Midwest,wage_schedule,"Minutes of the Proceedings (March 25, 2025) — Police Chief report requests step pay increase for sworn officers",https://eastborough-ks.gov/wp-content/uploads/2025/04/03.25.25-Minutes.pdf,step_schedule_seniority,police,Arredondo) I move to approve step pay increase to $26.59 for sworn officers.,repair_needed,step_schedule,MOTION: (J.,,,2025,"[""$26.59""]",,,false
WCM-33207c4c74f587dc278b7f72,WCRS-6ee3e109741dd5bc07d69a39,Eagle Bend,MN,Midwest,other_local_government_pay_policy,City of Eagle Bend Ordinances — Chapter 2 (Operations and Administration),https://eaglebendmn.com/documents/709/Chapter_2.pdf,strike_no_strike_dispute_process,unclear,City Council a minimum of one week prior to negotiations.,mechanism_only,table_or_formula,,,,,[],,,false
WCM-b3afddaf9374726e749b59b8,WCRS-265ce7b42d057d6f651752d5,Pleasantville,IA,Midwest,agenda_packet_or_minutes,"Pleasantville City Council Meeting Minutes (3% COLA for all employees effective July 1, 2025)",https://discoverpleasantville.com/files/meetings/2025-06-17_minutes_810.pdf,retroactivity_implementation,unclear,"approve a 3% COLA for all employees effective July 1, 2025.",repair_needed,percentage,,,,2025,"[""3%"", ""1,"", ""2025""]",,,false
WCM-cad80a1a362d757b17b8037e,WCRS-40caf2862c588a7ddb8a6989,Berlin,OH,Midwest,cba,"2024-2026 Agreement Between Berlin Township and IAFF, Local No. 5225",https://webgen1files1.revize.com/berlintwpoh/2023-2026%20CBA%20Berlin%20Township%20and%20IAFF%20-%20TS%2023-MED-03-0192.pdf,across_the_board_raise,unclear,to all base wage rates plus an increase of 3.50%:,repair_needed,percentage,WAGES,,,2024,"[""3.50%""]",,,false
WCM-ff41e944bd3cb2c254f54fa4,WCRS-e3f1b1afb5ec08e4048de9a2,Berlin,OH,Midwest,cba,"2024-2026 Agreement Between Berlin Township and IAFF, Local No. 5225",https://webgen1files1.revize.com/berlintwpoh/2023-2026%20CBA%20Berlin%20Township%20and%20IAFF%20-%20TS%2023-MED-03-0192.pdf,across_the_board_raise,unclear,Section 29.2 Step Advancement.,mechanism_only,step_schedule,,,,2024,"[""29.2""]",,,false
WCM-43b23e41b036a37405fc8b89,WCRS-ec9664348b3d908bf054d58a,Nimishillen,OH,Midwest,cba,"AMENDED LABOR AGREEMENT BETWEEN NIMISHILLEN TOWNSHIP BOARD OF TRUSTEES AND UTILITY WORKERS UNION OF AMERICA, AFL-CIO LOCAL 578-A",https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-06-0631.pdf,across_the_board_raise,unclear,"1, 2016: The Road Department employees will receive 2% increase.",repair_needed,percentage,COMPENSATION,,,2016,"[""1,"", ""2016"", ""2%""]",,,false
WCM-e8e95b8309c4badf9d53ade3,WCRS-48b395b0a68df0c5d69717cc,Nimishillen,OH,Midwest,cba,"AMENDED LABOR AGREEMENT BETWEEN NIMISHILLEN TOWNSHIP BOARD OF TRUSTEES AND UTILITY WORKERS UNION OF AMERICA, AFL-CIO LOCAL 578-A",https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-06-0631.pdf,across_the_board_raise,unclear,"I, 2017: The Road Department employees will receive 2% increase.",repair_needed,percentage,,,,2017,"[""2017"", ""2%""]",,,false
WCM-53ff0cc36224eabb75fad17e,WCRS-a275fdc74bd8c7a1355d8ac0,Nimishillen,OH,Midwest,cba,"AMENDED LABOR AGREEMENT BETWEEN NIMISHILLEN TOWNSHIP BOARD OF TRUSTEES AND UTILITY WORKERS UNION OF AMERICA, AFL-CIO LOCAL 578-A",https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-06-0631.pdf,across_the_board_raise,unclear,"1, 2018: The Road Department employees will receive 2% increase.",repair_needed,percentage,,,,2018,"[""1,"", ""2018"", ""2%""]",,,false
WCM-8eab1c6ec99574da303822b4,WCRS-46b5a53b696668711330b115,Bishop,CA,West,wage_schedule,"2025-2026 Full Time Salary Schedule (incl. Captain rate changes) — attached to Bishop City Council agenda item (item referenced as 'Full-Time Salary Schedule - July 1, 2025 - June 30, 2026')",https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/3550602/2025-2026_Full_Time_Salary_Schedule-Captain_rate_changes.pdf,across_the_board_raise,unclear,MONTHLY SALARY SCHEDULE,mechanism_only,annual_salary,DRAFT CITY OF BISHOP DRAFT,,,2025,[],,,false
WCM-8bd2e4fbcdb833f364d03302,WCRS-fad1e3ac43d2585bca748d72,Bishop,CA,West,wage_schedule,"2025-2026 Full Time Salary Schedule (incl. Captain rate changes) — attached to Bishop City Council agenda item (item referenced as 'Full-Time Salary Schedule - July 1, 2025 - June 30, 2026')",https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/3550602/2025-2026_Full_Time_Salary_Schedule-Captain_rate_changes.pdf,step_schedule_seniority,unclear,"Position Step 1 Step 2 Step 3 Step 4 Fixed City Administrator $15,745",repair_needed,step_schedule,ADMINISTRATION,,,2025,"[""1"", ""2"", ""3"", ""4"", ""$15,745""]",,,false
WCM-b45be0765c9d36a15c0a418b,WCRS-31867c1b6ad0d70c5efb7046,Bishop,CA,West,wage_schedule,"2025-2026 Full Time Salary Schedule (incl. Captain rate changes) — attached to Bishop City Council agenda item (item referenced as 'Full-Time Salary Schedule - July 1, 2025 - June 30, 2026')",https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/3550602/2025-2026_Full_Time_Salary_Schedule-Captain_rate_changes.pdf,step_schedule_seniority,unclear,"Position Step 1 Step 2 Step 3 Step 4 Fixed Finance Director $8,865 $9,752 $10,726",repair_needed,step_schedule,FINANCE DEPARTMENT,,,2025,"[""1"", ""2"", ""3"", ""4"", ""$8,865"", ""$9,752"", ""$10,726""]",,,false
WCM-22a0e4f810dc0a8a39599f62,WCRS-696ebf5a5bf9b62bd5b96f53,Bishop,CA,West,wage_schedule,"2025-2026 Full Time Salary Schedule (incl. Captain rate changes) — attached to Bishop City Council agenda item (item referenced as 'Full-Time Salary Schedule - July 1, 2025 - June 30, 2026')",https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/3550602/2025-2026_Full_Time_Salary_Schedule-Captain_rate_changes.pdf,step_schedule_seniority,unclear,"Position Step 1 Step 2 Step 3 Step 4 Fixed Community Services Director (Not Filled) $11,913",mechanism_only,step_schedule,COMMUNITY SERVICES DEPARTMENT,,,2025,"[""1"", ""2"", ""3"", ""4"", ""$11,913""]",,,false
WCM-defb6b804adb540fe483ffa7,WCRS-2c01bf58612c1b35c5b3fe85,Bishop,CA,West,wage_schedule,"2025-2026 Full Time Salary Schedule (incl. Captain rate changes) — attached to Bishop City Council agenda item (item referenced as 'Full-Time Salary Schedule - July 1, 2025 - June 30, 2026')",https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/3550602/2025-2026_Full_Time_Salary_Schedule-Captain_rate_changes.pdf,across_the_board_raise,unclear,MONTHLY SALARY SCHEDULE,mechanism_only,annual_salary,DRAFT CITY OF BISHOP DRAFT,,,2025,[],,,false
WCM-880ea2cd4658f4bd0ba01231,WCRS-bddea81c42d33d1f19030b07,Tolono,IL,Midwest,agenda_packet_or_minutes,Village of Tolono Board of Trustees — Regular Meeting Minutes (proposed Police Union Contract; Teamsters Local #26; 2017–2019),https://tolonoil.us/wp-content/uploads/2017/08/2017.08.01-minutes.pdf,across_the_board_raise,police,"After some analysis was done, it is not going to be an increase of 5% like he",mechanism_only,percentage,,,,2017,"[""5%""]",,,false
WCM-b92adaa452042325176d7bb1,WCRS-4b19b209dd1ede3f949d5b39,Larchmont,NY,Northeast,arbitration_award,"In the Matter of the Public Arbitration between Incorporated Village of Larchmont and Larchmont Police Benevolent Association, Inc. — Interest Arbitration Award",https://perb.ny.gov/system/files/documents/2024/03/ia86-013-award-7-13-87.pdf,retroactivity_implementation,police,"7% wage increase effective June 1, 1986",repair_needed,percentage,,,,2024,"[""7%"", ""1,"", ""1986""]",,,false
WCM-2e00d10548d1965dd7c4d5a6,WCRS-4294601de072dc8eb598d9c0,Larchmont,NY,Northeast,arbitration_award,"In the Matter of the Public Arbitration between Incorporated Village of Larchmont and Larchmont Police Benevolent Association, Inc. — Interest Arbitration Award",https://perb.ny.gov/system/files/documents/2024/03/ia86-013-award-7-13-87.pdf,retroactivity_implementation,police,"7% wage increase effective June 1, 1987",repair_needed,percentage,,,,2024,"[""7%"", ""1,"", ""1987""]",,,false
WCM-528f5156f8a821acf27e0771,WCRS-b3e3639b06cb8bd7425d372a,Larchmont,NY,Northeast,arbitration_award,"In the Matter of the Public Arbitration between Incorporated Village of Larchmont and Larchmont Police Benevolent Association, Inc. — Interest Arbitration Award",https://perb.ny.gov/system/files/documents/2024/03/ia86-013-award-7-13-87.pdf,step_schedule_seniority,police,"$25,000 for the 5th grade police officer and thereafter pro­ gress as follows: $27,000 upon becoming a 4th grade police",repair_needed,pay_grade,,,,2024,"[""$25,000"", ""5"", ""$27,000"", ""4""]",,,false
WCM-daf667eda84b67e97545a26f,WCRS-1ef40d507d1060289ecdef8e,Larchmont,NY,Northeast,arbitration_award,"In the Matter of the Public Arbitration between Incorporated Village of Larchmont and Larchmont Police Benevolent Association, Inc. — Interest Arbitration Award",https://perb.ny.gov/system/files/documents/2024/03/ia86-013-award-7-13-87.pdf,step_schedule_seniority,police,"gress as follows: $27,000 upon becoming a 4th grade police officer~ $29,000 upon becoming a 3rd grade police officer~",repair_needed,pay_grade,,,,2024,"[""$27,000"", ""4"", ""$29,000"", ""3""]",,,false
WCM-b839b047b18c136a495dc4ac,WCRS-2a7276ac147adc738774a5de,Larchmont,NY,Northeast,arbitration_award,"In the Matter of the Public Arbitration between Incorporated Village of Larchmont and Larchmont Police Benevolent Association, Inc. — Interest Arbitration Award",https://perb.ny.gov/system/files/documents/2024/03/ia86-013-award-7-13-87.pdf,step_schedule_seniority,police,"officer~ $29,000 upon becoming a 3rd grade police officer~ $31,000 upon becoming a 2nd grade police officer;",repair_needed,pay_grade,,,,2024,"[""$29,000"", ""3"", ""$31,000"", ""2""]",,,false
WCM-c7b53a9c3f6904214349cfc6,WCRS-4011d960fbdeb83bd9be1cc2,Larchmont,NY,Northeast,arbitration_award,"In the Matter of the Public Arbitration between Incorporated Village of Larchmont and Larchmont Police Benevolent Association, Inc. — Interest Arbitration Award",https://perb.ny.gov/system/files/documents/2024/03/ia86-013-award-7-13-87.pdf,across_the_board_raise,police,Annual Salary Schedule - Appendix A,mechanism_only,annual_salary,,,,2024,[],,,false
WCM-bf0f9fad59e1cba796920eb1,WCRS-811c8b61c143f2669ac5cdaa,Larchmont,NY,Northeast,arbitration_award,"In the Matter of the Public Arbitration between Incorporated Village of Larchmont and Larchmont Police Benevolent Association, Inc. — Interest Arbitration Award",https://perb.ny.gov/system/files/documents/2024/03/ia86-013-award-7-13-87.pdf,across_the_board_raise,police,"Works) for a 6% increase for each of three years, i.e.,",repair_needed,percentage,,,,2024,"[""6%""]",,,false
WCM-8d694d779328a907b00ef5c0,WCRS-2bf1931b57cdffe931e60710,Larchmont,NY,Northeast,arbitration_award,"In the Matter of the Public Arbitration between Incorporated Village of Larchmont and Larchmont Police Benevolent Association, Inc. — Interest Arbitration Award",https://perb.ny.gov/system/files/documents/2024/03/ia86-013-award-7-13-87.pdf,across_the_board_raise,police,"wage increases be granted to the Larchmont Village police officers, all members of the bargaining unit, as follows: 1. A 7% wage increase over and above the wages",claim_ready,percentage,,,,2024,"[""1"", ""7%""]",,,false
WCM-66bd5f58a4cf9f0b8e0b30b8,WCRS-271dd8a20432e2c02ef16d1a,Larchmont,NY,Northeast,arbitration_award,"In the Matter of the Public Arbitration between Incorporated Village of Larchmont and Larchmont Police Benevolent Association, Inc. — Interest Arbitration Award",https://perb.ny.gov/system/files/documents/2024/03/ia86-013-award-7-13-87.pdf,across_the_board_raise,police,1987) • Thus the percentage increase of 7% for Larchmont is,repair_needed,percentage,,,,2024,"[""1987"", ""7%""]",,,false
