qualitative_observation_id,extraction_case_id,mixed_join_key,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,mechanism_type,bargaining_logic,indexing_formula,comparability_basis,parity_logic,step_progression_rule,eligibility_rule,implementation_rule,fiscal_constraint,reopener_clause,differentiation_logic,bounded_evidence_pointer,confidence,reason_code,qa_status
lobs_29c007a360af8210044a008f,cexrem_a98173af2e3ebccef60aa4c3,,doc_bb6c8acff414d0298828402f,ttd_e1098b16aa7d0d64689906b4,sr_e317c6fd88a1543dfa7b1ef1,NSCQ-FL-20260720-0161,FL,Fort Pierce,CITY OF FORT PIERCE,police,cba,,,24,certification_or_education_incentive,Promotional eligibility requirements for vacancies in higher positions.,,,,,Promotion requires minimum 2.5 years experience with Fort Pierce and a rating of satisfactory or higher on the last three performance passing score of seventy (70) on the promotional examination and/or assessment.,Vacancies in higher positions filled by promotion from lower positions meeting specified experience and performance requirements.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0115_sr_e317c6fd88a1543dfa7b1ef1.pdf#page=24,low,ARTICLE_16_PROMOTION_EXPERIENCE_AND_RAT,needs_review
lobs_eef8184f99a83ea8906c8088,cexrem_0b4d1de0c905c0e502656083,mix_588f63f5fdc85ee0404bbdd0,doc_9206a36b41bfc718d868adcf,ttd_9c2e815c85a7b327f30cf008,sr_4051e7236ed55cae88d2a779,NSCQ-FL-20260720-0180,FL,Hallandale Beach,CITY OF HALLANDALE BEACH,police,cba,,,29,step_movement_or_seniority,,,,,Wage advancements in base salary may occur on the first full pay period after the employment anniversary date (with anniversary for step increases for members hired after 3/7/06 tied to certification).,Advance subject to requirements of Section 21.2.,First full pay period after the employment anniversary date.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0158_sr_4051e7236ed55cae88d2a779.pdf#page=29,medium,PAGE29_WAGE_ADVANCEMENTS_IMPLEMENTATION_,provisional_unverified
lobs_6249ef3cdf7b905d51728288,cexrem_0b4d1de0c905c0e502656083,mix_588f63f5fdc85ee0404bbdd0,doc_9206a36b41bfc718d868adcf,ttd_9c2e815c85a7b327f30cf008,sr_4051e7236ed55cae88d2a779,NSCQ-FL-20260720-0180,FL,Hallandale Beach,CITY OF HALLANDALE BEACH,police,cba,,,31,implementation_or_effective_date_logic,,,,,,,Schedule changes or wage adjustments/payments effective at beginning of a pay period or on the first full pay period after the change.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0158_sr_4051e7236ed55cae88d2a779.pdf#page=31,high,PAGE31_EFFECTIVE_AT_BEGINNING_OF_PAYPER,provisional_unverified
lobs_7635976b0d861763cb2fa1eb,cexrem_59dbc58c49bab227835759a8,mix_6e4d4cfe59bd23367bf8ad3f,doc_9819a2cf3b52a40f09f970b7,ttd_83a87fe802f4d6d28a01427a,sr_4df7d032d5e831a67fdfe510,NSCQ-FL-20260720-0229,FL,Lake Wales,CITY OF LAKE WALES,fire,memorandum_or_settlement,,,2,CPI_or_COLA_indexing,,4% cost of living adjustment (COLA); later COLA aligned to general Employees’ COLA,,,,Members,"Effective October 1, 2023: 4% COLA; Effective October 1, 2024: same COLA as general Employees; Effective first pay period of October 2025: 4% COLA; Effective first pay period of October 2026: same COLA as general Employees",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf#page=2,medium,COLA_IMPLEMENTATION,provisional_unverified
lobs_c997d5f40b72b25fa7e49e60,cexrem_45ab25a87ab4d0af7ab8c313,,doc_596505179c91d27f1e2b83d3,ttd_f93ea72ea26074f91adb1714,sr_ce4669e4c20151558a9ba1b4,NSCQ-FL-20260720-0209,FL,New Port Richey,CITY OF NEW PORT RICHEY,police,cba,,,23,step_movement_or_seniority,,,,,Experience listed is converted to step credit (one step credit for each five (5) years of previous experience) with a maximum of four (4) steps; experience categories are combined but total does not exceed four (4) steps.,Applies when listing previous experience (United States Federal Government officer reference appears immediately before).,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0156_sr_ce4669e4c20151558a9ba1b4.pdf#page=23,medium,CBA_24_23__STEP_CREDIT_PER_FIVE_YEARS__C,provisional_unverified
lobs_3851c8b8d279ac16a40e27eb,cexrem_45ab25a87ab4d0af7ab8c313,,doc_596505179c91d27f1e2b83d3,ttd_f93ea72ea26074f91adb1714,sr_ce4669e4c20151558a9ba1b4,NSCQ-FL-20260720-0209,FL,New Port Richey,CITY OF NEW PORT RICHEY,police,cba,,,23,step_movement_or_seniority,,,,,Re-hires within twelve (12) months are placed in the step they left from to receive the same salary they were earning when they left; step advancement requires completion of a refresher Field Training Program prior to their anniversary.,Separation and return within twelve (12) months; step advancement requires refresher Field Training Program before anniversary.,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0156_sr_ce4669e4c20151558a9ba1b4.pdf#page=23,medium,CBA_24_23__REHIRE_PLACEMENT_STEP_LEFT__E,provisional_unverified
lobs_e3011db02f97fde2bbcd2c08,cexrem_664e1a49bc45f7ccd575ea3a,mix_3103bbfdbdb1f6afcd393c9c,doc_ddc72cd0a817c77f151f3ab2,ttd_34709251567676c562de1181,sr_4ac2e5112eccfc66da5a358f,NSCQ-FL-20260720-0120,FL,Oviedo,CITY OF OVIEDO,police,cba,,,24,step_movement_or_seniority,"Upon promotion to Sergeant, employee is placed at the Sergeant starting salary in the pay plan or granted a 10% increase over police officer pay, whichever is greater.",,,,Use whichever is greater: Sergeant starting salary or 10% over police officer pay.,,Applied when an employee is promoted to Sergeant.,,,Based on movement from police officer to sergeant; assignment pay not utilized for this purpose.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0051_sr_4ac2e5112eccfc66da5a358f.pdf#page=24,medium,PROMOTION_WAGES_STARTING_SALARY_VS_10PCT,provisional_unverified
lobs_0ca3a046bf59fc283f5f0170,cexrem_22bf7ad917ea4f62773e2c0f,mix_02d93410c0d3441daf9315f8,doc_e08dd95cb1a77cd5b400bee3,ttd_f4f8cdf366640f261d142511,sr_50c8c8c685dde95ae530de47,NSCQ-FL-20260720-0110,FL,Palm Beach Gardens,CITY OF PALM BEACH GARDENS,police,cba,,,41,implementation_or_effective_date_logic,,,,,,"Selection for promotions made from the promotion register composed of officers scoring at least 75% on the written examination and receiving a ""pass"" on the assessment center component.",The Chief may select any officer from the register; City may delay an investigation.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0424_sr_50c8c8c685dde95ae530de47.pdf#page=41,medium,Q_SELECTION_REGISTER_75PASS_ASSESSMENT,provisional_unverified
lobs_59a0ee99e42d0caa0e4946ab,cexrem_22bf7ad917ea4f62773e2c0f,mix_02d93410c0d3441daf9315f8,doc_e08dd95cb1a77cd5b400bee3,ttd_f4f8cdf366640f261d142511,sr_50c8c8c685dde95ae530de47,NSCQ-FL-20260720-0110,FL,Palm Beach Gardens,CITY OF PALM BEACH GARDENS,police,cba,,,41,implementation_or_effective_date_logic,,,,,,,All promotions have a probationary period of twelve (12) months.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0424_sr_50c8c8c685dde95ae530de47.pdf#page=41,high,Q_PROBATION_12MONTHS_PROMOTIONS,provisional_unverified
lobs_b7bf193737a56fffafcaf524,cexrem_22bf7ad917ea4f62773e2c0f,mix_02d93410c0d3441daf9315f8,doc_e08dd95cb1a77cd5b400bee3,ttd_f4f8cdf366640f261d142511,sr_50c8c8c685dde95ae530de47,NSCQ-FL-20260720-0110,FL,Palm Beach Gardens,CITY OF PALM BEACH GARDENS,police,cba,,,41,arbitration_or_factfinding_reasoning,,,,,,,"Chief of Police, with City Manager's approval, may extend the probationary period up to twelve (12) months to further evaluate performance or if mandatory educational requirements have not been met within the probationary period.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0424_sr_50c8c8c685dde95ae530de47.pdf#page=41,low,Q_EXTEND_PROBATION_UP_TO_12MONTHS_EDUC_Y,needs_review
lobs_1ac808fb0fcde6081ddf7df0,cexrem_a42e85c41930c5292d2a5555,mix_fda34d70050cd79ec29f5d9d,doc_00f189ad9659a24159a223b5,ttd_b20d67e96806f6c0ccaf488a,sr_3283b5fca0e170f8265f266b,NSCQ-FL-20260720-0112,FL,Pensacola,CITY OF PENSACOLA,fire,cba,,,17,implementation_or_effective_date_logic,,,,,,Lieutenant to the rank of Captain promotion,"Base pay increased 10% or moved to the new minimum of the pay scale for the new rank, whichever is greater",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0216_sr_3283b5fca0e170f8265f266b.pdf#page=17,medium,PROMOTION_BASE_PAY_INCREASE_OR_NEW_MIN,provisional_unverified
lobs_8623c8df1363dd9c571c7a1b,cexrem_a69df6dc79896f76b34ad21a,mix_2132fb753747dc707e929251,doc_c80078ebb08dca3c8c13bd3e,ttd_7466918efa7c45e8bf1a2132,sr_a0cf04650a1978eb5668a094,NSCQ-FL-20260720-0230,FL,Safety Harbor,CITY OF SAFETY HARBOR,fire,cba,,,7,step_movement_or_seniority,,,,,Appendix A implements a step-based pay plan with credit for years of service,,Implemented via Appendix A (Step Plan),,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0093_sr_a0cf04650a1978eb5668a094.pdf#page=7,medium,CBA_7_APPENDIX_A_STEP_PLAN_CREDIT_YEARS,provisional_unverified
lobs_850a6509b629be4f2c73358f,cexrem_e53e006ab799c35b732250fe,mix_62489ae688fba53f71f14ad4,doc_e762e210a35576354c2ad89f,ttd_f9dd5aac9d6e34813a80c1fc,sr_2bb540ef1776c52ac16a475c,NSCQ-FL-20260720-0179,FL,West Melbourne,CITY OF WEST MELBOURNE,police,cba,,,16,implementation_or_effective_date_logic,,"Effective October 1, 2023, annual base wages are increased by 5.5% (with exception for employees below bottom range: increased to bottom range for classification).",,,,Exception applies to employees earning less than the bottom range of their classification.,"Annual base wages increased by 5.5% effective October 1, 2023; those below bottom range moved to bottom range.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0140_sr_2bb540ef1776c52ac16a475c.pdf#page=16,medium,BASE_WAGE_INCREASE_RULE_5_5_PERCENT_BASE,provisional_unverified
lobs_3d35eff8fc567725cab7829e,cexrem_e53e006ab799c35b732250fe,mix_62489ae688fba53f71f14ad4,doc_e762e210a35576354c2ad89f,ttd_f9dd5aac9d6e34813a80c1fc,sr_2bb540ef1776c52ac16a475c,NSCQ-FL-20260720-0179,FL,West Melbourne,CITY OF WEST MELBOURNE,police,cba,,,17,implementation_or_effective_date_logic,,"Effective July 1, 2024, annual base wages increased by 7% for each employee with at least six (6) months of service from time they are sworn in (with exception for employees below bottom range).",,,,At least six (6) months of service from time sworn in.,"7% base wage increase effective July 1, 2024; employees below bottom range receive increase to bottom range.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0140_sr_2bb540ef1776c52ac16a475c.pdf#page=17,medium,BASE_WAGE_INCREASE_RULE_7_PERCENT_WITH_6,provisional_unverified
lobs_c4dfa1d000a9b0132cc067d6,cexrem_e53e006ab799c35b732250fe,mix_62489ae688fba53f71f14ad4,doc_e762e210a35576354c2ad89f,ttd_f9dd5aac9d6e34813a80c1fc,sr_2bb540ef1776c52ac16a475c,NSCQ-FL-20260720-0179,FL,West Melbourne,CITY OF WEST MELBOURNE,police,cba,,,38,implementation_or_effective_date_logic,,"Effective October 1, 2023, wage increase on base wages only of 5.5% (with exception where increase would place member below bottom range).",,,,Applies to bargaining unit members; exception if 5.5% would place them below bottom range.,"Base-wage-only 5.5% increase effective October 1, 2023; below-bottom-range exception.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0140_sr_2bb540ef1776c52ac16a475c.pdf#page=38,medium,BASE_WAGE_ONLY_5_5_EXCEPTION_BOTTOM,provisional_unverified
lobs_d33ea515b4176866492b00eb,cexrem_9dbf7710355ded47959c1c9d,,doc_71bf36b61d95f191d3b7a1e3,ttd_b254cdb153cce98748e1ac73,sr_cbf56f506c650a1e07c95f61,NSCQ-IA-20260720-0004,IA,Des Moines,CITY OF DES MOINES,non_safety,cba,,,9,step_movement_or_seniority,,,,,"Upon first occasion during any calendar year, employee is paid at the rate of one step (~5%) above present rate or first step of the higher classification. Temporary upgrades accumulate time; after total of six full months in higher-class, ",Temporary upgrades accumulate time toward step increases; six full months in the higher classification makes employee eligible for a one-half (1/2) step increase; additional one-half (1/2) step increases until reaching top step.,Applies to seasonal or annual temporary upgrades to a classification; employee then paid the higher rate for subsequent seasonal temporary appointments.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0160_sr_cbf56f506c650a1e07c95f61.pdf#page=9,medium,STEP_INCREASES_FROM_TEMPORARY_UPGRADES,provisional_unverified
lobs_a9da8677ddb91811e06c5ae1,cexrem_b825de58157f3ac5c320fa6c,mix_911eb05673dbd1e28efd214e,doc_ea2f111c62e2b2c09fcc727b,ttd_b4b9ac4354bc6f5444c37a76,sr_14a719294983d39462d4aa03,NSCQ-IA-20260720-0033,IA,Marion,CITY OF MARION,police,cba,,,31,implementation_or_effective_date_logic,,,,,,,"Salary schedule effective July 1, 2025.",,,Sworn 6.00% / Non-sworn 3.00%.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0373_sr_14a719294983d39462d4aa03.pdf#page=31,medium,EFFECTIVE_DATE_AND_PERCENTAGE_APPLIED_TO,provisional_unverified
lobs_3ab68b031670fb399f538869,cexrem_b825de58157f3ac5c320fa6c,mix_911eb05673dbd1e28efd214e,doc_ea2f111c62e2b2c09fcc727b,ttd_b4b9ac4354bc6f5444c37a76,sr_14a719294983d39462d4aa03,NSCQ-IA-20260720-0033,IA,Marion,CITY OF MARION,police,cba,,,32,implementation_or_effective_date_logic,,,,,,,"Salary schedule effective July 1, 2026.",,,Sworn 6.00% / Non-sworn 3.00%.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0373_sr_14a719294983d39462d4aa03.pdf#page=32,medium,EFFECTIVE_DATE_AND_PERCENTAGE_APPLIED_TO,provisional_unverified
lobs_1542090aec0ae417a714cb2e,cexrem_bc003451d8f670262c031511,mix_9b034e0fae60bd5d7dad64e0,doc_741d42489c0a63ac3f92c94c,ttd_061738b35675f91a4a62378e,sr_d52b4b96c793e8aab32ecf55,NSCQ-ID-20260720-0016,ID,Lewiston,CITY OF LEWISTON,fire,cba,,,12,implementation_or_effective_date_logic,,,,,,,"Effective October 1, 2021 the appended salary schedule for the City of Lewiston will be in effect.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0067_sr_d52b4b96c793e8aab32ecf55.pdf#page=12,medium,EFFECTIVE_DATE_SALARY_SCHEDULE_IN_EFFECT,provisional_unverified
lobs_29cffb2730f0f7e4e9210da8,cexrem_bc003451d8f670262c031511,mix_9b034e0fae60bd5d7dad64e0,doc_741d42489c0a63ac3f92c94c,ttd_061738b35675f91a4a62378e,sr_d52b4b96c793e8aab32ecf55,NSCQ-ID-20260720-0016,ID,Lewiston,CITY OF LEWISTON,fire,cba,,,12,step_movement_or_seniority,,,,,Yearly salary steps shall be 3% above previous steps.,,Advancement between salary steps will be determined by time in service (one year) and jointly develop/maintain an evaluation process/model.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0067_sr_d52b4b96c793e8aab32ecf55.pdf#page=12,medium,SALARY_STEPS_TIME_IN_SERVICE_EVALUATION_,provisional_unverified
lobs_9082b7601a968656a2b6e652,cexrem_bc003451d8f670262c031511,mix_9b034e0fae60bd5d7dad64e0,doc_741d42489c0a63ac3f92c94c,ttd_061738b35675f91a4a62378e,sr_d52b4b96c793e8aab32ecf55,NSCQ-ID-20260720-0016,ID,Lewiston,CITY OF LEWISTON,fire,cba,,,12,comparability_or_market_study,,"U.S. Cities CPI-W, rolling average index for the quarter ended in March (January, February, and March)",U.S. Cities CPI-W,,,,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0067_sr_d52b4b96c793e8aab32ecf55.pdf#page=12,low,COLA_CPI_W_ROLLING_AVERAGE_GUIDELINES,needs_review
lobs_525f3957473fdc58b6a6a52d,cexrem_bc003451d8f670262c031511,mix_9b034e0fae60bd5d7dad64e0,doc_741d42489c0a63ac3f92c94c,ttd_061738b35675f91a4a62378e,sr_d52b4b96c793e8aab32ecf55,NSCQ-ID-20260720-0016,ID,Lewiston,CITY OF LEWISTON,fire,cba,,,13,implementation_or_effective_date_logic,,,,,"Each step of the pay matrix shall be increased by a minimum of 1% to maximum of 2.5% (October 1, 2021); minimum of 1% and a maximum of 2.5% (October 1, 2022); minimum of 1% and a maximum of 2.5% (October 1, 2023).",,Applied to each step of the pay matrix on the listed October 1 dates.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0067_sr_d52b4b96c793e8aab32ecf55.pdf#page=13,medium,PAY_MATRIX_STEP_RANGE_INCREASE_OCTOBER_1,provisional_unverified
lobs_084e13ec44cc38cc47d18109,cexrem_1f45e4026ae378bc0dfaebc5,,doc_b2849bf5a5608434da04cc3f,ttd_a0bb0e7c98af6a285e285643,sr_cc3a7e98fda1adbf8b54f56c,NSCQ-IL-20260720-0156,IL,Buffalo Grove,VILLAGE OF BUFFALO GROVE,fire,cba,,,20,rank_or_classification_differentiation,,,,,Temporary assignment to higher level position is compensated at a rate equal to a step that provides a five percent (5%) or ten (10) step (text appears truncated).,,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0179_sr_cc3a7e98fda1adbf8b54f56c.pdf#page=20,medium,TEMP_HIGHER_LEVEL_STEP_RULE_VISIBLE_BUT_,provisional_unverified
lobs_4a6b8943d4fd820bdad42ca3,cexrem_fed0a9d3d0231cbeaf2ed74f,mix_0806fb4413d5aafe9f32d0b6,doc_ddf83440281c05bb4d211e41,ttd_c8f34877a488aca873f1703c,sr_79b68a27a5157112741b3c40,NSCQ-IL-20260720-0069,IL,Carbondale,CITY OF CARBONDALE,police,cba,,,19,CPI_or_COLA_indexing,"If CPI-U for the Midwest Region increased by greater than 12% from May 1, 2024 through April 30, 2027, the union may request bargaining for an adjustment to the agreed wages; City will bargain in good faith; any amendment applies prospect  ","CPI-U Midwest Region > 12% from May 1, 2024 through April 30, 2027",,,,Union may request to bargain if CPI-U condition is met,Any agreement as to an amendment applied prospectively from time of agreement or as parties otherwise agree,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0103_sr_79b68a27a5157112741b3c40.pdf#page=19,medium,CPIU_REOPENER_GT12_BARGAIN_ADJUSTMENT_AP,provisional_unverified
lobs_05f168b6592855b18784b552,cexrem_1430c134e49af3018b21fc73,,doc_894bfcdf9e76bf0b47104557,ttd_e86fb9b60c644bcc47587344,sr_7312435e24d18e5d856eed6b,NSCQ-IL-20260720-0288,IL,Grayslake,VILLAGE OF GRAYSLAKE,non_safety,cba,,,3,arbitration_or_factfinding_reasoning,"New classifications: rates are established by mutual agreement; if not agreed before work starts, the Village may start at its believed proper rate; if the mutually agreed rate differs, it is retroactive to the start date; if no agreement/r",,,,,,"If agreement is not reached by the time work must be started, the Village may start work at the rate it believes proper; if the mutually agreed rate differs, it is retroactive to the start of work in the new classification; if parties fail ",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0148_sr_7312435e24d18e5d856eed6b.pdf#page=3,medium,NEW_CLASSIFICATION_RATE_MUTUAL_AGREEMENT,provisional_unverified
lobs_51753ef59e0d255ff5949fcc,cexrem_31574721c173676aa7bc9225,mix_feaab0933f3fd8757d62d242,doc_78eb74414637d2ac0327cfd7,ttd_6764fc5b4defc08849b1b70e,sr_a5c8ec277a2e32039e76af55,NSCQ-IL-20260720-0062,IL,Normal,TOWN OF NORMAL,fire,cba,,,19,longevity_or_service_based_pay,,,,,longevity step adjustments shall be granted on employment anniversary dates,,granted on employment anniversary dates,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0176_sr_a5c8ec277a2e32039e76af55.pdf#page=19,medium,LONGEVITY_STEP_ADJUSTMENTS_ON_EMPLOYMENT,provisional_unverified
lobs_4c054f9e72080158a9b0f11d,cexrem_919e86c0e3e72613d0ad658d,,doc_15f28c41d10d753d3241badd,ttd_444293e47a52034a46fea9c5,sr_d950ee809737f7cc9ed93a71,NSCQ-IL-20260720-0176,IL,North Chicago,CITY OF NORTH CHICAGO,non_safety,memorandum_or_settlement,,,15,implementation_or_effective_date_logic,,,,,,"Employees on layoff are placed on a recall list for a period equal to their seniority or eighteen (18) months, whichever is less.","If there is a recall, employees still on the recall list shall be recalled in the inverse order of their layoff, provided they are fully qualified to perform the work without further training.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0495_sr_d950ee809737f7cc9ed93a71.pdf#page=15,medium,L2472_RECALL_LIST_DURATION_AND_ORDER,provisional_unverified
lobs_4f998b47b6287d43c2674cfa,cexrem_919e86c0e3e72613d0ad658d,,doc_15f28c41d10d753d3241badd,ttd_444293e47a52034a46fea9c5,sr_d950ee809737f7cc9ed93a71,NSCQ-IL-20260720-0176,IL,North Chicago,CITY OF NORTH CHICAGO,non_safety,memorandum_or_settlement,,,15,implementation_or_effective_date_logic,,,,,,Employees eligible for recall receive ten (10) calendar days' notice of recall; notice is postmarked to the employee.,The notice to the employee is postmarked on the first of the ten (10) days; employee must notify the department head/designee of intent to return to work within three (3) calendar days after receiving notice; City deems obligations met by U,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0495_sr_d950ee809737f7cc9ed93a71.pdf#page=15,medium,L2473_RECALL_NOTICE_TIMING_AND_EMPLOYEE_,provisional_unverified
lobs_f98b6d9a5a8391a20f391312,cexrem_919e86c0e3e72613d0ad658d,,doc_15f28c41d10d753d3241badd,ttd_444293e47a52034a46fea9c5,sr_d950ee809737f7cc9ed93a71,NSCQ-IL-20260720-0176,IL,North Chicago,CITY OF NORTH CHICAGO,non_safety,memorandum_or_settlement,,,15,step_movement_or_seniority,,,,,,Laid-off employees who are qualified for a vacancy following the layoff are given preference over new hires and other applicants under Section 15.3.,Vacancies in a bargaining unit position following the layoff trigger the preference rule for qualified laid-off employees.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0495_sr_d950ee809737f7cc9ed93a71.pdf#page=15,medium,L2474_VACANCY_PREFERENCE_AFTER_LAYOFF,provisional_unverified
lobs_d94ae64b6688b0b041c816ac,cexrem_919e86c0e3e72613d0ad658d,,doc_15f28c41d10d753d3241badd,ttd_444293e47a52034a46fea9c5,sr_d950ee809737f7cc9ed93a71,NSCQ-IL-20260720-0176,IL,North Chicago,CITY OF NORTH CHICAGO,non_safety,memorandum_or_settlement,,,15,implementation_or_effective_date_logic,,,,,,City provides employees to be laid off at least four (4) weeks' prior notice or pay in lieu thereof.,"City offers the Union effective input with respect to scheduled layoffs, including opportunity to suggest alternatives to layoff.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0495_sr_d950ee809737f7cc9ed93a71.pdf#page=15,medium,L2475_LAYOFF_NOTICE_AND_UNION_INPUT,provisional_unverified
lobs_b0ff40e6d9630538c7ad0e17,cexrem_3d5510942fe6da816f40b86f,,doc_6e492da517db01a8c878604f,ttd_43966f271ff5f4ed92432c33,sr_46563ad156388775f30f3a6c,NSCQ-IL-20260720-0191,IL,Ottawa,CITY OF OTTAWA,fire,cba,,,1,implementation_or_effective_date_logic,,,,,,,Contract effective period specified for the labor agreement.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0146_sr_46563ad156388775f30f3a6c.pdf#page=1,unknown,COVER_PAGE_EFFECTIVE_PERIOD_ONLY_NO_WAGE,needs_review
lobs_abefac6a4936ad27b6064b27,cexrem_3d5510942fe6da816f40b86f,,doc_6e492da517db01a8c878604f,ttd_43966f271ff5f4ed92432c33,sr_46563ad156388775f30f3a6c,NSCQ-IL-20260720-0191,IL,Ottawa,CITY OF OTTAWA,fire,cba,,,1,other,,,,,,,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0146_sr_46563ad156388775f30f3a6c.pdf#page=1,unknown,CONTRACT_DATES_GIVEN_WITHOUT_COMPENSSTN_,needs_review
lobs_e74f1d145a31b8a15c93f24a,cexrem_3d5510942fe6da816f40b86f,,doc_6e492da517db01a8c878604f,ttd_43966f271ff5f4ed92432c33,sr_46563ad156388775f30f3a6c,NSCQ-IL-20260720-0191,IL,Ottawa,CITY OF OTTAWA,fire,cba,,,1,implementation_or_effective_date_logic,,,,,,,"Effective May 1, 2021 to April 30, 2024 for the labor agreement terms.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0146_sr_46563ad156388775f30f3a6c.pdf#page=1,unknown,EFFECTIVE_DATE_RANGE_TOKEN_ONLY,needs_review
lobs_f748713d284c85102c14e8cf,cexrem_4b7930faa9295221b271789e,mix_a675ad46befc2f847bb76ce5,doc_dbe16f66d924ff4aa0791731,ttd_3baf55557ed7318f91358b3f,sr_cfc4dd12e1f1f056ef10b208,NSCQ-IL-20260720-0075,IL,Quincy,CITY OF QUINCY,non_safety,cba,,,9,step_movement_or_seniority,,,,,"If, after thirty (30) days worked in the new classification, the Superintendent feels the employee is qualified and the employee scored a minimum of seventy percent (70%) on the exam, the employee’s regular hourly rate is increased to the (",Superintendent feels qualified AND exam score minimum seventy percent (70%),After thirty (30) days worked in the new classification,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0073_sr_cfc4dd12e1f1f056ef10b208.pdf#page=9,medium,QUALIFICATION_TEST_CONDITION_BEFORE_RATE,provisional_unverified
