candidate_id,lane_id,priority_tier,quality_label,gap_priority_score,gap_priority_reason,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,candidate_only_lineage_status,review_candidate_quality_score,review_queue_rank,secondary_mechanism_families,match_priority_tier,review_disposition
TS4L-87f79f5040f21023d8d8,lane_2,tier_c,verification_ready_low,111,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.spectrumlocalnews.com/nys/buffalo/news/2018/03/28/standoff-between-town-of-tonawanda-and-salaried-workers-association-continues-after-6-years-without-a-union-contract,Spectrum News: Standoff between Town of Tonawanda and Salaried Workers Association continues after 6 years without a union contract (news lead pointing to PERB fact-finding),Tonawanda,NY,Northeast,safety_and_non_safety_bargaining_units,Salaried workers (non-safety unit lead capacity),Salaried Workers Association,2016-2018 (referenced standoff; exact PERB report period not extracted),2016,2018,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match,expected_overlap_2014_2024,candidate_only_not_verified,79,1531,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-bb543fd098f10086649a,lane_2,tier_c,verification_ready_low,111,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://ciceronewyork.net/contracts/,"Town of Cicero, NY — Agreements (Collective Bargaining Agreements & Employment Contracts)",Cicero,NY,Northeast,safety_and_non_safety_bargaining_units,Public safety (police) + non-safety (highway/CSEA) bargaining units (document index page),Cicero Police Benevolent Association (PBA) / CSEA (Highway),Includes PBA contract 01.01.2023–12.31.2027; CSEA Highway Agreement 01.01.2022–12.31.2025 (page also lists other agreements outside 2014-2024),2022-01-01,2027-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same municipality (Town of Cicero, NY) lead page for bargaining-unit documents",Overlaps target window (contains 2022-2025 and 2023-2027 items; not limited strictly to 2014-2024),candidate_only_not_verified,79,1568,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-c0ee8e56ae4ea60b672f,lane_2,tier_c,verification_ready_low,111,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/proposed/2012/documents/pf10-7499.pdf,Commonwealth of Pennsylvania PA Labor Relations Board — Proposed Decision and Order: Police Association of Falls Township v. Falls Township (PF-C-10-74-E / PF-C-10-99-E),Falls,PA,Northeast,safety_and_non_safety_bargaining_units,police (Act 111),Police Association of Falls Township,"2010-era unfair labor practice proceedings (May 10, 2010 charge; proposed decision/order document)",,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same municipality (Falls Township, Bucks County, PA)","outside 2014-2024 (document appears 2010), but may still be useful to trace later arbitration/impasse history within the same municipality/unit",candidate_only_not_verified,79,1574,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-c2506387585ad72ea671,lane_2,tier_c,verification_ready_low,111,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.scribd.com/document/656407160/Police-PBA-Contract-TownofManlius-P-2023,Police PBA Contract Town of Manlius — PBA (document labeled 2023; hosted on Scribd),Manlius,NY,Northeast,safety_and_non_safety_bargaining_units,Police (public safety),Town of Manlius Police Benevolent Association (PBA),"Appears to cover Jan 1, 2021 through Dec 31, 2023 (as shown in the hosted document text snippet)",2021,2023,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlaps_expected_window,candidate_only_not_verified,79,1576,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-ddd25a195b04435fe63c,lane_2,tier_c,verification_ready_low,111,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.nj.gov/perc/documents/NJ_PERC_Synopses_2012.09.27.pdf,"NJ PERC Synopses (27 September 2012) — Township of South Brunswick / AFSCME Council 73, Local 2242 (P.E.R.C. NO. 2013-23)",South Brunswick,NJ,Northeast,safety_and_non_safety_bargaining_units,AFSCME public employees (non-safety likely),"AFSCME Council 73, Local 2242",2014-2024 target window,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,yes_same_municipality,uncertain_outside_2014_2024,candidate_only_not_verified,79,1599,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-eed936bd9234936fcade,lane_2,tier_c,verification_ready_low,111,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.nj.gov/perc/conciliation/policeandfire/,NJ PERC - Police and Fire Interest Arbitration (process page; includes 'Interest Arbitration Awards' link/table locator),Monroe,NJ,Northeast,safety_and_non_safety_bargaining_units,Police/Fire (interest arbitration impasse resolution),,2014-2024 (award periods vary; table used to find Monroe Township specific dockets within target window),2014-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Monroe Township, NJ (same city match depends on searching the awards table for 'Monroe Township')",Covers target window via searchable awards listings (unknown without table filtering; intended).,candidate_only_not_verified,79,1618,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-f66d025da77c732069af,lane_2,tier_c,verification_ready_low,111,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.pacourts.us/assets/opinions/Commonwealth/out/520CD17_4-4-18.pdf?cb=1,Pennsylvania Commonwealth Court opinion (Cheltenham Township / related police dispute; includes arbitration-award review context),Cheltenham,PA,Northeast,safety_and_non_safety_bargaining_units,police (Cheltenham Township police-related dispute; Act 111/arbitration review signals in opinion),,Opinion date appears to fall within 2014-2024 window (2018 in URL/path and snippet),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same city (Cheltenham Township, Cheltenham, PA)",likely overlaps 2014-2024 (opinion dated 2018),candidate_only_not_verified,79,1626,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-3d658f09d33d25ffc2ec,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-06-0808.pdf,"Collective Bargaining Agreement — City of Franklin, Ohio & Local 3742, International Association of Fire Fighters (IAFF) (Fire & EMS)",Franklin,OH,Midwest,safety_and_non_safety_bargaining_units,Public safety (fire/EMS),IAFF Local 3742 — Firefighter/EMT or Paramedic (and ranks incl. Lieutenant/Captain as defined),Not fully confirmed from snippet alone (SERB contract PDF; target window is 2014-2024).,2021-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlapping_with_2014_2024_target_window,candidate_only_not_verified,86,853,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-4736ad5ffea15095127b,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0017.pdf,"Collective Bargaining Agreement — City of Franklin & Franklin Law Enforcement Association (Lieutenants, Sergeants, Patrol Officers and Dispatchers) (SERB Case Numbers incl. 20-MED-01-0017/0018/0019/0020)",Franklin,OH,Midwest,safety_and_non_safety_bargaining_units,Public safety (law enforcement),"Franklin Law Enforcement Association (FLEA) — Lieutenants, Sergeants, Patrol Officers and Dispatchers","Effective January 1, 2021 through June 30, 2023 (per document header)",2021-01-01,2023-06-30,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlapping_with_2014_2024_target_window,candidate_only_not_verified,86,856,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-85eb57ad62cb37b515b5,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://teamsterslocal222.org/wp-content/uploads/2023/05/magna-water-contract-2023-2027.pdf,"Magna Water District Labor Agreement (Teamsters Local 222) — June 1, 2023 through May 31, 2027",Magna metro,UT,West,safety_and_non_safety_bargaining_units,Teamsters-represented classifications (public works / utility operations),Teamsters Local No. 222 (recognized bargaining agent for listed classifications),"June 1, 2023 through May 31, 2027",2019-06-01 (overlap ,2023-05-31 (overlap ,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same municipality keyword match: Magna (UT) utilities district,overlaps expected 2014-2024 window (covers 2023-2024 portion),candidate_only_not_verified,86,877,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-86a9d88bce31d2aa7e5f,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://elrb.illinois.gov/content/dam/soi/en/web/elrb/documents/decisions/2025/Wooten%20Bremen%20CHSD228%202025-CA-0012-C.pdf,"Illinois Educational Labor Relations Board — Wooten / Bremen Community High School Dist. 228, Case No. 2025-CA-0012-C (Opinion and Order)",Bremen,IL,Midwest,safety_and_non_safety_bargaining_units,educational employee (union-related dispute; not specified as safety),Bremen Community High School Dist. 228 bargaining representation unit (implied by IELRB charge context),"unfair labor practice charge with events in 2024 (filed Aug 22, 2024; meeting March 7, 2024)",2024-03-07,2024-08-22,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same municipality name match (Bremen Community High School District 228 in Bremen, IL)",overlaps target window (events in 2024 within 2014-2024),candidate_only_not_verified,86,878,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-8fd111d3d86df418c258,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://govinfo.gov/content/pkg/USCOURTS-azd-2_23-cv-00612/pdf/USCOURTS-azd-2_23-cv-00612-0.pdf,"Glynn v. El Mirage, City of et al — Document 17 (GovInfo) (Case 2:23-cv-00612-MTL) (mentions a December 2021 arbitration decision relating to the MOU)",El Mirage,AZ,West,safety_and_non_safety_bargaining_units,Firefighters (IAFF Local 4361),"Northwest Valley Firefighters Association, International Association of Fire Fighters Local 4361",Referenced arbitration decision: December 2021 (MOU referenced; contract dates not confirmed in the locator result),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same municipality (El Mirage, AZ) indicated by case caption",overlaps target window via referenced December 2021 arbitration decision (exact bargaining-cycle dates not confirmed from search snippet),candidate_only_not_verified,86,880,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-90a7c71651e4e5b52257,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|cycle_metadata_value,https://www.umtownship.org/wp-content/uploads/2023/06/06-08-2023_BOS_Business_Packet.pdf,"Upper Merion Township Board of Supervisors - BOS Business Packet (June 8, 2023)",Upper Merion,PA,Northeast,safety_and_non_safety_bargaining_units,Police,Police of Upper Merion Township (MOU amending current Police CBA referenced),Contract years 2023 through 2027 (Police CBA amendment via MOU referenced),2023,2027,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Exact city match (Upper Merion Township, PA).",Overlaps expected 2014-2024 window via 2023-2024 portion.,candidate_only_not_verified,86,881,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-ac2af3d76a0aca49e0ab,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.antioch.il.gov/download/Approved%20Resolutions/2021/Resolution-No.-20-57-Ratifying-the-Renewal-and-Extension-of-the-Collective-bargaining-Agreement-with-the-Fraternal-Order-of-Police-1_27_2021.pdf,"Resolution No. 20-57 — Ratifying the Renewal and Extension of the Collective Bargaining Agreement with the FOP (Memorandum of Understanding) (Village of Antioch, IL)",Antioch,IL,Midwest,safety_and_non_safety_bargaining_units,Police (sworn full-time peace officers),Illinois Fraternal Order of Police Labor Council (FOP),2020–2024,2020,2024,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,overlaps_2014_2024,candidate_only_not_verified,86,892,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-ad13cfcc4290e44bb978,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://elrb.illinois.gov/content/dam/soi/en/web/elrb/documents/minutes-July-2015.pdf,Illinois Educational Labor Relations Board — Meeting Minutes (July 2015) including Bremen Community High School District 228 / Melanie Gengo,Bremen,IL,Midwest,safety_and_non_safety_bargaining_units,educational employee (union-related dispute; individual case reference),Bremen Community High School District 228 (unit implied by IELRB docket reference to employee/charge),2015 meeting minutes referencing Bremen District 228 matter (exact bargaining cycle not visible from snippet),2015,2015,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same municipality name match (Bremen Community High School District 228 in Bremen, IL)",within broader historical window but outside 2014-2024 only if interpreting strict years; included because it is the only additional Bremen-specific IELRB minute locator found,candidate_only_not_verified,86,894,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-c45efd5de8ba91f730fc,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-10-1189.pdf,"Collective Bargaining Agreement (Clearcreek Township & OPBA - Sergeants), Contract 2021, 2022 and 2023 (SERB/mediation contract PDF: 20-MED-10-1189)",Clear Creek,OH,Midwest,safety_and_non_safety_bargaining_units,Police sergeants (OPBA),OPBA - Sergeants,2021-2023,2021-01-01,2023-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_found_in_document,overlaps_2014_2024_window,candidate_only_not_verified,86,902,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-07cc564030df0497a505,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.newtown-ct.gov/human-resources/pages/collective-bargaining-agreements,Collective Bargaining Agreements | Newtown CT (Human Resources) — (includes public safety unit contracts),Newtown,CT,Northeast,safety_and_non_safety_bargaining_units,"Public safety (e.g., police and other town safety-related bargaining groups, where listed)",Unspecified on landing page (likely includes police/finder-of-public-safety contracts listed on-page),"Includes entries covering at least 2024–2028 (e.g., “Final Police Department Contract 2024-28”)",2024,2028,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,overlaps_target_window_partially_(2024-2024),candidate_only_not_verified,78,1644,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-08c341a03fdc41c49e69,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.danversma.gov/DocumentCenter/View/396/Police-Department---Contract-PDF,"Police Department - Contract (Danvers, MA) (PDF)",Danvers,MA,Northeast,safety_and_non_safety_bargaining_units,Police,Police Department bargaining unit (Danvers),Not stated in lead listing (source appears to be a multi-year/continuing fiscal-year contract; target window inferred),2014,2024,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlaps_2014_2024,candidate_only_not_verified,78,1645,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-0c6ddde88e4816eecb2e,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.freeholdboroughnj.gov/government/documents/forms-documents/financial-documents/labor-agreements/1421-2022-2026-pba-mou-agreement/file,"BOROUGH OF FREEHOLD & FREEHOLD (PBA Local 159) MEMORANDUM OF UNDERSTANDING (Jan 1, 2022 – Dec 31, 2026) [PDF]",Freehold,NJ,Northeast,safety_and_non_safety_bargaining_units,Public safety (police),Police Benevolent Association (PBA) Local 159,"January 1, 2022 through December 31, 2026",2022,2024,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_freehold_borough_nj,overlaps_target_window_2014_2024 (2022-2024 overlap),candidate_only_not_verified,78,1647,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-0edb78518096eea7b06b,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://ibew375.org/upper-macungie-township/,IBEW Local Union #375 — Upper Macungie Township (unit page referencing current CBA term),Upper Macungie,PA,Northeast,safety_and_non_safety_bargaining_units,"Non-safety (Parks, Roads, and Sewer Department employees represented by IBEW Local Union #375)",IBEW Local Union #375 — Upper Macungie Township unit,"May 1, 2017 through April 30, 2020 (current CBA term referenced on page)",2017-05-01,2020-04-30,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same_municipality_match: Upper Macungie Township, PA",overlaps_expected_window_2014-2024,candidate_only_not_verified,78,1648,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-1203ca4368f14eaf6a90,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.easthartfordct.gov/human-resources/files/teamsters-cba-2019-2022,Emergency Dispatchers (Teamsters Local #671) — Working Agreement 2019–2022 (hosted CBA landing/PDF source),East Hartford,CT,Northeast,safety_and_non_safety_bargaining_units,Emergency Dispatchers (public safety communications),Teamsters Local #671 (Telecommunicators) — Emergency Dispatchers,"July 1, 2019 through June 30, 2022",2019-07-01,2022-06-30,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_east_hartford_ct,overlaps_target_window_2014_2024,candidate_only_not_verified,78,1649,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-348610033d1fdf4ba378,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.gtnj.org/index.php/i-want-to/find-a-form-or-document/employee-contracts/police,Galloway Township Municipal Government - Police (Employee Contracts) / Document Library,Galloway,NJ,Northeast,safety_and_non_safety_bargaining_units,Safety (Police),PBA Superior Officers; Rank & File Police (as listed in the document library),2014-2024 target window,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,exact_same_city_municipality_locator,unknown_overlap_with_2014_2024_target_window,candidate_only_not_verified,78,1688,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-3e87aa1823fbe0e290ba,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.westseneca.gov/Archive/ViewFile/Item/94,"PBA Contract: 2017 to 2020 (Part 1) — Town of West Seneca, NY / West Seneca Police Benevolent Association",West Seneca,NY,Northeast,safety_and_non_safety_bargaining_units,police (safety),West Seneca Police Benevolent Association (PBA),2017 to 2020 (Part 1),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,overlaps_2014_2024,candidate_only_not_verified,78,1693,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-448fc9c2de3ee9d6fa68,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/compulsory-interest-arbitration-awards?page=60,PERB: Compulsory Interest Arbitration Awards (index; includes a Town of Colonie / Colonie Police Benevolent Association entry),Colonie,NY,Northeast,safety_and_non_safety_bargaining_units,Police (indexed arbitration awards),Colonie Police Benevolent Association,2014-2018 filter context shown on the index page (exact award year not confirmed in snippet),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match,potential_overlap_with_2014_2018_via_index_filter_context,candidate_only_not_verified,78,1699,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-4ed332cf1b6f2b86f8e7,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.manheimtownship.org/DocumentCenter/View/10356/2024-Audit-Report---Township-of-Manheim-,Township of Manheim (PA) 2024 Audit Report — commitments note referencing police CBA and firefighters agreement,Manheim,PA,Northeast,safety_and_non_safety_bargaining_units,police (sworn/uniformed) and firefighters,Manheim Township Police Benevolent Association; Manheim Township Professional Firefighters Association Local #5423,Police CBA effective 1/1/2023–12/31/2025; Firefighters agreement effective 9/23/2024–12/31/2027 (as described in the audit report),2023-01-01,2025-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,overlaps_2014_2024_target_window,candidate_only_not_verified,78,1710,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-565f31cfceea66fef544,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.falmouthma.gov/DocumentCenter/View/21734/Fire-Union---July-1-2022---June-30-2025,"Fire Union — July 1, 2022 — June 30, 2025 (Falmouth Firefighters Local 1397, IAFF) — Memorandum of Agreement / CBA supplement",Falmouth,MA,Northeast,safety_and_non_safety_bargaining_units,Fire (Public Safety),"Falmouth Firefighters Local 1397, IAFF","July 1, 2021–June 30, 2022 and July 1, 2022–June 30, 2025 (includes FY23–FY25 coverage spanning 2014–2024 target window)",2022-07-01,2025-06-30,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match,overlaps_2014_2024,candidate_only_not_verified,78,1725,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-5add75b527a041d03bb9,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.dracutma.gov/920/Contracts-Agreements,"Contracts & Agreements | Dracut, MA",Dracut,MA,Northeast,safety_and_non_safety_bargaining_units,safety_and_non_safety_bargaining_units,,2014-2024 target window,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same-city-match,target_window_not_yet_confirmed,candidate_only_not_verified,78,1731,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-637afc237711c2b4c2f9,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/city-newburgh-and-pba-newburgh-new-york-inc,"Compulsory Interest Arbitration Awards listing (City of Newburgh and PBA of Newburgh, New York, Inc.)",Newburgh,NY,Northeast,safety_and_non_safety_bargaining_units,public safety (police),"PBA of Newburgh, New York, Inc.",2014-2018 (indexed by received fiscal year on PERB awards page),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,within_expected_window,candidate_only_not_verified,78,1737,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-77ebb0fa10a11f332095,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.newtown-ct.gov/board-education/pages/board-education-agreements-and-administrative-contracts,Board of Education Agreements and Administrative Contracts | Newtown CT (includes paraeducators and related contracts),Newtown,CT,Northeast,safety_and_non_safety_bargaining_units,"Non-safety education support staff (e.g., paraeducators); potentially other bargaining groups listed on the same page",Paraeducators (explicitly mentioned); other bargaining/admin groups may be listed on the page,Paraeducators contract: 7-1-22 to 6-30-25 (explicitly shown on the page snippet),2022-07-01,2025-06-30,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,overlaps_target_window_(2022-2024),candidate_only_not_verified,78,1749,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-7c4369d1b328a6efd26a,lane_2,tier_c,verification_ready_low,110,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/impasse-between-town-mt-pleasant-westchester-county-and-international-brotherhood-teamsters-local,PERB Page: Impasse between Town of Mount Pleasant (Westchester County) and International Brotherhood of Teamsters Local 456 (Fact Finder Recommendation excerpt),Mount Pleasant,NY,Northeast,safety_and_non_safety_bargaining_units,Police (PBA) + Highway/DPW (Teamsters Local 456) + CSEA non-safety units referenced in same impasse record,International Brotherhood of Teamsters Local 456 (Mt. Pleasant Highway Dept.); police PBA and CSEA units referenced within the underlying impasse matter,"Fact-finder recommendation content references wage changes effective July 1, 2016 with additional wage schedule through January 2020 (as shown on the page)",2014-08-21,2020-01-01,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match,overlaps_expected_window_(2014-2024),candidate_only_not_verified,78,1754,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
