municipality,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
White City metro,1,1,0,1879374,false
White House,1,1,0,819860,false
White Mountain,1,1,0,958755,false
White Oak,3,3,0,234794,false
White Sulphur Springs,2,2,0,145168,false
Whitehall,2,2,0,13155030,false
Whitestown,3,3,0,387951,false
Whitewood,1,1,0,126421,false
Whittier,2,2,0,108397,false
Wichita,1,1,0,55295209,false
Wilber,2,1,1,86127,false
Wilder,2,2,0,393654,false
Willamina,2,2,0,36404029,false
Willard,4,4,0,13802855,false
Willcox,2,2,0,1622901,false
Williams,4,4,0,2696228,false
Williamsburg,7,6,1,730924,false
Williamston,2,2,0,206767,false
Williamstown,3,3,0,8306182,false
Williston,7,7,0,7731575,false
Williston Park,1,0,1,0,false
Wilmington,5,1,4,585245,false
Wilmore,1,1,0,72930,false
Wilton,5,4,1,6669478,false
Wilton Manors,1,1,0,133290,false
Winchester,5,4,1,8566829,false
Winder,1,1,0,37523646,false
Windham,3,3,0,14714035,false
Windsor,1,1,0,3288,false
Windsor Locks,2,2,0,3116718,false
Winfield,5,5,0,875486,false
Winifred,1,1,0,949154,false
Winlock,2,2,0,23791000,false
Winner,1,1,0,981457,false
Winnfield,2,1,1,5760984,false
Winnsboro,1,0,1,0,false
Winslow,3,3,0,6408335,false
Winston,1,1,0,190316,false
Winterport,2,2,0,2787937,false
Winterset,2,2,0,268386,false
Winterville,2,2,0,17178468,false
Winthrop,1,1,0,15514877,false
Wiscasset,3,3,0,221887,false
Wisconsin Dells,2,2,0,1367522,false
Wisner,2,0,2,0,false
Wolcott,2,1,1,126035,false
Wolfeboro,1,1,0,91937,false
Wood River,2,2,0,4085321,false
Wood-Ridge,2,2,0,521199,false
Woodbridge,1,1,0,233460,false
Woodbury,5,5,0,24674713,false
Woodhaven,3,3,0,598673,false
Woodlake,1,0,1,0,false
Woodland Park,2,2,0,52968420,false
Woods Cross,2,0,2,0,false
Woodsfield,2,2,0,172059,false
Woodstock,8,7,1,80778570,false
Woodward,4,4,0,293224,false
Woolwich,1,1,0,88444,false
Worthing,1,1,0,187584,false
Wright,1,1,0,410955,false
Wyckoff,3,3,0,24305294,false
Wymore,2,2,0,218537,false
Wyndmere,2,2,0,209967,false
Wynne,2,2,0,635704,false
Wyoming,4,4,0,1448825,false
Wytheville,1,1,0,772070,false
Yamhill,1,1,0,1936670,false
Yarmouth,5,5,0,5278788,false
Yerington,2,2,0,7819370,false
York,3,1,2,1241619,false
Yorktown,1,1,0,164012,false
Youngsville,2,2,0,1056526,false
Youngtown,3,2,1,4450201,false
Yukon,2,1,1,6022818,false
Yutan,2,0,2,0,false
Zachary,1,1,0,1807544,false
Zeeland,1,1,0,5802359,false
Zillah,3,3,0,18449089,false
Zimmerman,2,2,0,644126,false
Zumbrota,2,2,0,12342256,false
