source_domain,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
cityofsomerton.civicweb.net,1,1,0,13668124,false
cityofsouthelmonte.org,1,1,0,145949,false
cityofsouthfield.com,1,1,0,4622636,false
cityofsouthlake.com,3,3,0,675071,false
cityofsouthside.com,3,3,0,510396,false
cityofspartanburg.org,2,2,0,196581,false
cityofspiritlake.org,2,2,0,239008,false
cityofstcharlesmn.gov,1,1,0,10038005,false
cityofstclairmi.gov,2,2,0,1763111,false
cityofstilwell.com,1,1,0,164985,false
cityofstjohn.org,1,1,0,398673,false
cityofstjohnsmi.com,1,1,0,134518,false
cityofstorycity.org,4,4,0,1543876,false
cityofsugarhill.com,1,1,0,1188464,false
cityofswartzcreekmi.gov,2,2,0,14651619,false
cityoftahlequah.com,2,2,0,17794790,false
cityofthomaston.com,1,1,0,179744,false
cityoftomahawkwi.com,1,1,0,1466246,false
cityoftrenton.com,1,1,0,6568955,false
cityofunionky.org,2,2,0,567287,false
cityofvale.com,2,2,0,405467,false
cityofvalleysprings.com,1,1,0,43470,false
cityofvalleyspringssd.gov,1,1,0,35302,false
cityofvancouver.us,5,5,0,3316677,false
cityofvidaliala.com,3,3,0,1138209,false
cityofvilonia.net,3,3,0,3875194,false
cityofvinton.com,1,1,0,143297,false
cityofwabash.com,1,1,0,153719,false
cityofwallowa.weebly.com,2,2,0,303585,false
cityofwalton.org,3,3,0,777541,false
cityofwapatofiredepartment.org,1,0,1,0,false
cityofwarden.org,1,1,0,3784043,false
cityofwarren.us,2,2,0,918724,false
cityofwarrenpa.gov,3,3,0,303598,false
cityofwauchula.gov,1,1,0,72118,false
cityofwayne.org,3,3,0,126823,false
cityofweatherford.com,4,4,0,1393563,false
cityofweiser.net,2,2,0,304729,false
cityofwessingtonsprings.com,1,1,0,375939,false
cityofwestmiamifl.com,1,1,0,93014,false
cityofwilber.com,1,1,0,86127,false
cityofwinlock.com,2,2,0,23791000,false
cityofwoodlake.com,1,0,1,0,false
cityofwoodward-ok.gov,4,4,0,293224,false
cityofwymore.com,2,2,0,218537,false
cityofwyndmere.com,2,2,0,209967,false
cityofwynne.gov,2,2,0,635704,false
cityofyamhill.org,1,1,0,1936670,false
cityofzeeland.com,1,1,0,5802359,false
cityquitman.net,1,1,0,138237,false
cityvadnaisheights.com,1,0,1,0,false
cityview.springfieldmo.gov,1,1,0,144057,false
claremore.com,3,3,0,15206216,false
clarendonvt.gov,1,1,0,1486379,false
clarioniowa.gov,1,1,0,127293,false
clarkforkidaho.gov,2,2,0,770562,false
clarkston-wa.com,3,3,0,31711854,false
clarkstonga.gov,2,2,0,744634,false
clawson.granicus.com,1,0,1,0,false
clearlakesd.com,2,2,0,89263,false
cleat.org,5,5,0,12164187,false
cleelum.gov,2,2,0,4077272,false
clemmons.org,3,3,0,1624639,false
clemsoncity.org,2,2,0,1419233,false
clerk.kcmo.gov,1,0,1,0,false
clerkshq.com,2,2,0,161029,false
clevelandohio.gov,3,3,0,13377498,false
clevelandtexas.com,1,1,0,3945994,false
clients.municipalimpact.com,1,1,0,911867,false
cliftonforgeva.gov,2,2,0,889060,false
clintonma.gov,1,1,0,336479,false
clintonmo.com,2,2,0,1909720,false
cloudcroftvillage.com,3,3,0,520984,false
cloversc.org,2,2,0,181110,false
clydehill.civicweb.net,2,2,0,323032,false
clydeparkmt.net,2,2,0,467327,false
cms1files.revize.com,12,12,0,17024891,false
cms2.revize.com,55,54,1,337415531,false
cms2files.revize.com,1,1,0,9467002,false
cms3.revize.com,51,51,0,172260811,false
cms4files.revize.com,6,6,0,69213977,false
cms4files1.revize.com,5,5,0,23625369,false
cms5.revize.com,27,27,0,197660709,false
cms6.revize.com,22,22,0,106202877,false
cms7files.revize.com,24,24,0,110574026,false
cms7files1.revize.com,4,4,0,22008785,false
cms8.revize.com,38,38,0,99488421,false
cms9files.revize.com,28,27,1,89331628,false
cms9files1.revize.com,1,1,0,204698,false
cmsarchive.civicplus.com,1,1,0,12051,false
co-parkerintranet.civicplus.com,1,1,0,107862,false
coab.civicweb.net,1,1,0,4112191,false
cocoabeach.granicus.com,1,0,1,0,false
codelibrary.amlegal.com,13,0,13,0,false
codemgmt.net,1,1,0,78597,false
coffeyville.com,2,2,0,7197989,false
colchesterct.gov,5,5,0,4160763,false
coldspringky.gov,2,2,0,37404246,false
coldspringmn.gov,1,1,0,130101,false
collingdaleborough.org,2,2,0,380044,false
colonialheightsva.gov,1,0,1,0,false
columbiacity.net,3,3,0,11045116,false
columbiatn.gov,1,1,0,1690424,false
columbusgrove.org,1,1,0,430030,false
columbusks.gov,2,2,0,485353,false
combinedlocks.org,1,1,0,75679,false
commerce.alaska.gov,21,20,1,28992051,false
connellsville.us,3,3,0,490421,false
conovernc.gov,1,1,0,18253669,false
conovernc.govoffice2.com,1,0,1,0,false
conshohockenpa.gov,1,1,0,114324,false
content.govdelivery.com,1,1,0,78277,false
conwaynh.gov,1,1,0,418211,false
conwaysc.gov,1,1,0,3191306,false
coolbaughtwp.org,1,1,0,424561,false
coolidgeaz.com,4,4,0,810352,false
coonrapidsmn.gov,1,1,0,155932,false
cooperstownnd.com,3,3,0,96731,false
corcoranmn.gov,2,2,0,59520221,false
corcoranmn.granicus.com,1,0,1,0,false
core-docs.s3.amazonaws.com,5,5,0,52169267,false
core-docs.s3.us-east-1.amazonaws.com,11,11,0,27508079,false
cornelius.novusagenda.com,1,0,1,0,false
coronado.ca.us,6,6,0,12741392,false
corrypa.org,2,2,0,9111768,false
cortezco.gov,2,2,0,294345,false
cottagecitymd.gov,1,1,0,2656287,false
countryclubhills.org,3,3,0,377811,false
courts.ri.gov,1,1,0,420143,false
coventry-ct.gov,2,2,0,173441,false
coventryri.civicweb.net,2,2,0,10630418,false
covinaca.gov,2,2,0,1133359,false
covla.com,2,2,0,590561,false
cowtx.org,1,1,0,63137322,false
cppschools-cdn.fxbrt.com,1,1,0,60967,false
cpsm.us,1,1,0,415617,false
creighton.org,1,1,0,531248,false
crescentcity.org,1,1,0,23007937,false
cresskillboro.com,3,3,0,272077,false
crestonvillage.org,1,1,0,233990,false
crestwood.granicus.com,1,0,1,0,false
crgov.com,1,1,0,317400,false
cromwellct.gov,1,1,0,106893,false
crookston.mn.us,2,0,2,0,false
crooksville.com,3,3,0,396822,false
cross-plains.wi.us,1,1,0,2823,false
crossvilletn.legistar.com,1,0,1,0,false
csboro.org,1,1,0,2876955,false
csea7555.org,1,1,0,10470,false
csealocal834.org,5,5,0,1503973,false
cubanm.gov,2,2,0,513398,false
culbertsonmt.com,1,1,0,1023064,false
culpeperva.gov,1,1,0,1090830,false
cumrutownship.com,2,1,1,195,false
cutbankpioneerpress.com,1,1,0,44807,false
cwa1031.org,1,1,0,3523219,false
d16k74nzx9emoe.cloudfront.net,1,1,0,443468,false
d2kbkoa27fdvtw.cloudfront.net,2,2,0,266997,false
d3ciwvs59ifrt8.cloudfront.net,1,1,0,455590,false
d3n9y02raazwpg.cloudfront.net,35,35,0,561555022,false
daconoco.gov,2,0,2,0,false
dadecityfl.civicweb.net,4,4,0,885155,false
dailyherald.com,2,2,0,110055,false
dailyleader.com,1,1,0,525100,false
dalharttx.gov,1,1,0,93986,false
dam.assets.ohio.gov,93,93,0,298883769,false
danversma.gov,3,3,0,2058844,false
danvillein.gov,3,3,0,414804,false
danvilleky.org,1,1,0,4168578,false
darbymt.net,2,2,0,290656,false
dartmouthma.gov,2,2,0,6612592,false
data.mo.gov,1,1,0,982872,false
davidcityne.com,2,2,0,3998309,false
daytonky.com,1,1,0,85383,false
dbshores.org,1,1,0,105533,false
dca.georgia.gov,2,2,0,841814,false
decatur.civicweb.net,2,2,0,184694,false
decatur.novusagenda.com,1,1,0,4466,false
deerfield.granicus.com,1,0,1,0,false
dehayf5mhw1h7.cloudfront.net,1,1,0,330185,false
delcocog.wordpress.com,5,5,0,6029590,false
delhitownshipmi.gov,1,1,0,3130,false
delrionews.com,1,0,1,0,false
delta.creativecirclecdn.com,1,1,0,6442405,false
deltajunction.us,2,2,0,1248567,false
demopolisal.gov,1,1,0,353192,false
denisonia.com,2,2,0,258811,false
denisontx.gov,1,1,0,6101684,false
dentonisd.org,1,1,0,289630,false
dentonmaryland.com,1,1,0,77626,false
denver.legistar.com,1,0,1,0,false
deperewi.gov,1,1,0,77903,false
derbyvt.org,2,2,0,3383103,false
derrytownship.org,1,1,0,139849,false
detroitlakesmn.govoffice3.com,2,2,0,40557883,false
detroitmi.gov,1,1,0,1083226,false
dewittmi.gov,1,1,0,3053929,false
dewitttownship.gov,2,0,2,0,false
dhaz.granicus.com,1,0,1,0,false
diamondvillewyo.com,3,3,0,489157,false
diberville.ms.us,1,1,0,381781,false
dickinsontexas.gov,3,3,0,34854745,false
dicksoncity-pa.gov,1,1,0,147947,false
digitalarchives.wa.gov,1,1,0,580259,false
district65.net,1,1,0,1676154,false
dlg.usg.edu,7,7,0,2137027,false
dobbsferry.com,1,0,1,0,false
docs.cityofbrenham.org,2,2,0,12309129,false
docs.elkridgecity.org,2,2,0,74540325,false
docs.elsegundo.org,1,0,1,0,false
docs.google.com,1,1,0,200183,false
docs.steamboatsprings.net,1,1,0,3146,false
docs.stjvt.com,3,3,0,794509,false
documentcloud.org,1,1,0,38412,false
dol.ny.gov,3,3,0,20836514,false
donaldoregon.gov,3,3,0,4474647,false
dorrtownship.com,1,1,0,230271,false
douglasaz.gov,1,1,0,380216,false
dover-foxcroft.org,1,1,0,101737,false
doverboroughpa.com,3,0,3,0,false
doylestownpa.org,2,2,0,5273472,false
draytonnd.com,1,1,0,87733,false
driggsidaho.org,1,1,0,349983,false
drive.google.com,24,24,0,4515244,false
dropbox.com,5,5,0,1007669,false
dublinohiousa.gov,1,1,0,217974,false
dumfries.granicus.com,1,0,1,0,false
duncanaz.us,2,2,0,5473521,false
dundeecity.org,1,1,0,9428903,false
dupagecounty.gov,1,1,0,15606049,false
dupontwa.gov,1,1,0,96313,false
durant.org,1,1,0,83185,false
eab.iowa.gov,22,22,0,3224465,false
eaglegrove.gov,2,2,0,6482230,false
eaglene.gov,1,1,0,1962054,false
eastchicago.com,5,5,0,2394965,false
eastgoshen.org,3,3,0,25751320,false
eastgrandforks.gov,3,3,0,61897259,false
eastgrmi.gov,1,1,0,3955311,false
easthaddam.org,1,1,0,297766,false
easthartfordct.gov,3,1,2,1237593,false
easthaven-ct.gov,2,2,0,239746,false
easthelenamt.us,2,2,0,262484,false
eastlampetertownship.org,2,2,0,1512216,false
eastmontpeliervt.org,1,1,0,799252,false
eastpennsd.org,1,1,0,419724,false
eastpointga.gov,1,1,0,76590,false
eastport-me.gov,2,2,0,467878,false
eastridgetn.gov,3,3,0,4232463,false
eastwindsor-ct.gov,1,1,0,3135,false
eatonville-wa.gov,3,3,0,11507491,false
ecasd.us,1,1,0,81326,false
ecommons.cornell.edu,32,9,23,14826352,false
economyborough.org,1,1,0,274219,false
edgewoodky.gov,1,1,0,1289686,false
edinboro.net,2,2,0,1444933,false
edinburgh.in.us,2,2,0,502602,false
edmonstonmd.gov,1,1,0,132399,false
egovlink.com,2,2,0,10105772,false
ehop.org,1,1,0,163038,false
eldoks.gov,2,2,0,13825546,false
elizabethcitync.gov,3,3,0,2243381,false
elkins.arkansas.gov,3,3,0,4074618,false
elkonewmarketmn.gov,1,1,0,1705819,false
elktonsd.com,2,2,0,956377,false
ellendale.delaware.gov,1,1,0,231484,false
ellendalend.gov,3,3,0,400175,false
ellettsville.in.us,4,4,0,4933065,false
ellington-ct.gov,2,2,0,15453582,false
ellsworthks.net,2,2,0,7139537,false
elmgrovewi.org,3,2,1,1322294,false
elmhurst205.org,2,2,0,2874302,false
elmwoodpark.org,1,1,0,172981,false
elpasotexas.gov,1,1,0,39401,false
elrb.illinois.gov,1,1,0,228879,false
elrenook.gov,1,1,0,6435480,false
eltownhall.com,2,2,0,7274817,false
elwood-in.com,1,1,0,205114,false
emerson-village.nebraska.gov,2,2,0,16072506,false
emmetsburg.lib.ia.us,1,1,0,315044,false
employee.siloamsprings.com,1,1,0,744822,false
emrb.nv.gov,9,9,0,23216557,false
englewoodgov.civicweb.net,3,3,0,5324443,false
ennismontana.org,1,1,0,64332,false
ennistx.civicweb.net,2,2,0,1141934,false
ennistx.gov,1,1,0,590323,false
enterpriseutah.org,1,1,0,524007,false
epsilon.creativecirclecdn.com,1,1,0,44954073,false
erd.dli.mt.gov,1,1,0,76422,false
eureka-mt.gov,1,1,0,86548,false
eurekasd.com,1,0,1,0,false
evanscolorado.gov,2,2,0,215452,false
evansdale.govoffice.com,1,1,0,8369966,false
evocloud-prod3-public.s3.us-east-2.amazonaws.com,2,2,0,2916651,false
evogov.s3.amazonaws.com,1,1,0,3817003,false
evogov.s3.us-west-2.amazonaws.com,4,4,0,61478803,false
evscschools.com,1,1,0,48163,false
excelsiorsprings.novusagenda.com,1,1,0,1548,false
exeternh.gov,1,1,0,535381,false
exmore.org,2,2,0,172536,false
fairburyne.org,2,2,0,825941,false
fairfield-me.gov,2,2,0,1461891,false
fairfield.novusagenda.com,1,0,1,0,false
fairfieldbayar.com,3,3,0,2261725,false
fairfieldct.qscend.com,1,1,0,582212,false
fairhaven-ma.gov,4,4,0,4447691,false
fairhavennj.org,3,0,3,0,false
fairhavenvt.gov,3,3,0,1174283,false
fairmont.org,2,1,1,865218,false
fairmountheightsmd.gov,1,1,0,216536,false
fairoaksranchtx.org,2,2,0,34971012,false
fairview-tn.org,1,1,0,2338909,false
fairviewmt.com,1,1,0,162873,false
fallschurch-va.granicus.com,1,0,1,0,false
fallscitynebraska.org,2,2,0,7988255,false
farmgov.com,3,3,0,22414742,false
farmingdalevillage.gov,1,1,0,118978,false
farmington-maine.org,1,1,0,2383623,false
farmington.nh.us,1,1,0,151914,false
fatetx.gov,1,1,0,110586,false
faulktonsd.com,4,3,1,20398565,false
fayetteville-ga.gov,5,5,0,44850538,false
fayettevillewv.gov,3,3,0,308244,false
fcjournal.net,1,1,0,124255,false
ferrisburghvt.org,4,3,1,957614,false
festusmo.gov,4,4,0,4246790,false
files-backend.assets.thrillshare.com,16,16,0,17412089,false
files.amlegal.com,1,1,0,2054706,false
files.cityofredding.gov,1,1,0,1009651,false
files.culpeperva.gov,2,2,0,4008998,false
files.frontdeskgworks.com,2,2,0,369990,false
files.heygov.com,9,9,0,54414292,false
files.hollister.ca.gov,1,1,0,360850,false
files.lasvegasnevada.gov,3,3,0,5378334,false
files.municipalone.com,3,3,0,23593608,false
fillmoreca.gov,1,1,0,4771708,false
fillmoreutah.gov,1,1,0,503774,false
fire.org,1,1,0,248235,false
firebaugh.org,3,3,0,4085016,false
firestoneco.gov,2,2,0,248582,false
flauditor.gov,1,1,0,2209301,false
fletchernc.org,2,2,0,2605097,false
fliphtml5.com,1,1,0,159163,false
folcroftborough.com,1,1,0,476436,false
fontanaca.gov,1,1,0,97805,false
fop.org,1,1,0,19181,false
forestacres.net,2,2,0,111268,false
forestheightsmd.gov,1,1,0,356975,false
forkstownship.org,2,2,0,338070,false
formannd.com,2,2,0,134699,false
forms.wytheville.org,1,1,0,772070,false
forneytx.gov,6,3,3,321142,false
forsythmt.info,3,3,0,717454,false
fortcalhoun.org,2,2,0,10439754,false
fortfairfield.org,1,1,0,209905,false
fortluptonco.gov,1,0,1,0,false
fortmadison-ia.com,1,1,0,99377,false
fortmadisonpd.com,1,1,0,732261,false
fortmillsc.gov,2,2,0,286288,false
fortmitchell.com,2,2,0,1424338,false
fortogov.com,1,1,0,889023,false
fortpayne.org,3,3,0,1582130,false
fortpierre.com,2,2,0,419618,false
fortthomasky.org,2,2,0,485200,false
fortwrightky.gov,2,2,0,490445,false
fountainhillsaz.gov,4,4,0,25297162,false
foxboroughma.gov,2,1,1,1615989,false
foxlake.org,3,3,0,754536,false
fpdcops.com,1,1,0,577556,false
frankfort-in.gov,4,4,0,729688,false
franklin-townshipohio.gov,2,2,0,3295496,false
franklin.in.gov,1,1,0,220773,false
franklinlakes.org,1,1,0,59257,false
franklinpa.gov,3,3,0,147343,false
franniewy.govoffice2.com,2,1,1,19047,false
fraser.k12.mi.us,1,1,0,51936,false
frederica.delaware.gov,2,2,0,343382,false
frederickco.gov,1,1,0,1322848,false
fredericktownohio.net,1,1,0,240881,false
fredoniaaz.gov,2,2,0,303338,false
freeholdboroughnj.gov,4,4,0,6298834,false
freemanjournal.net,1,1,0,122058,false
fremont.nh.gov,2,2,0,157239,false
friendsville.org,3,3,0,2876060,false
frontroyalva.com,2,2,0,177070,false
fruitheights.gov,1,1,0,1220406,false
fruitland.org,3,3,0,257648,false
fwps.org,1,1,0,114069,false
ga-jesup.civicplus.com,1,1,0,120041,false
gainesville.tx.us,1,1,0,85669,false
galenaks.gov,2,2,0,254317,false
garfieldmi.gov,1,1,0,1455652,false
garlandutah.gov,2,2,0,1064762,false
garretsongazette.com,2,2,0,949845,false
garrettsville.org,2,2,0,2387795,false
gatesvilletx.com,3,1,2,4,false
gateway.ifionline.org,4,4,0,19598191,false
gbtribune.com,1,1,0,132713,false
gcc.sco.ca.gov,1,1,0,29938,false
geneseetwpmi.gov,2,2,0,174795,false
geneseony.org,1,1,0,1727191,false
geneva.il.us,1,1,0,1384987,false
genevane.org,2,2,0,1914540,false
genoa.org,1,1,0,412589,false
genoaohio.org,2,2,0,2009393,false
gentryar.gov,3,3,0,1791193,false
gibsonburgohio.org,1,1,0,228593,false
gibsonvillenc.org,5,5,0,1373885,false
gladespringva.org,3,3,0,5309162,false
glasgowcourier.com,1,1,0,62206,false
glassboro.schoolboard.net,1,1,0,106444,false
glenburn.org,1,1,0,143395,false
glencarbonil.gov,2,2,0,159145,false
glencoemn.org,3,3,0,22516204,false
glendalewv.gov,2,2,0,70285,false
glenridgenj.org,2,2,0,199742,false
glenrocknj.net,3,3,0,1506290,false
glenvillewv.gov,1,1,0,80933,false
gocolumbiamo.legistar.com,1,0,1,0,false
godfreyil.org,1,1,0,1424705,false
goeldorado.com,2,2,0,271501,false
goldbeachoregon.gov,2,2,0,4883692,false
goldsboronc.gov,2,0,2,0,false
goodlandks.gov,1,1,0,7129800,false
goodlettsville.gov,2,2,0,185106,false
gorhammaine.gov,2,2,0,1971766,false
gorockingham.com,1,1,0,338171,false
govdocs.nebraska.gov,1,1,0,13968191,false
governmentjobs.com,4,4,0,338088,false
grafton-ma.gov,1,0,1,0,false
granbury.org,1,1,0,103808,false
grandchutewi.gov,3,3,0,845831,false
grandhaven.org,3,3,0,5058555,false
grandislevt.org,2,2,0,996213,false
grangeville.us,2,2,0,313863,false
granthamnh.gov,3,3,0,13772558,false
grantnebraska.com,2,0,2,0,false
granvilleschools.org,1,1,0,46003,false
greatbendks.gov,1,1,0,216449,false
greatbendks.net,2,0,2,0,false
greatneckvillage.gov,2,2,0,1077940,false
greenland.nh.gov,1,1,0,304796,false
greenwichct.gov,3,3,0,1602588,false
greenwood.delaware.gov,2,2,0,8434961,false
greenwoodla.org,2,2,0,152825,false
greenwoodvillage.com,1,1,0,95181,false
gretnane.org,1,1,0,115199,false
grinnelliowa.gov,1,0,1,0,false
grotonsd.gov,1,0,1,0,false
grovecityonline.com,2,2,0,400091,false
grundycenter.com,3,3,0,2593346,false
gsaindexed.apps.lara.state.mi.us,4,4,0,526059,false
gulfport.granicus.com,1,0,1,0,false
gulfshoresal.gov,3,1,2,10061109,false
gwinnernd.com,3,3,0,196056,false
hackettstown.net,1,1,0,44844,false
haileycityhall.org,2,2,0,1198137,false
hallowell.govoffice.com,1,1,0,1089247,false
hamiltonnj.com,1,1,0,93568,false
hampdenmaine.gov,1,1,0,4994416,false
hamptonchronicle.com,1,1,0,633976,false
hamptonnh.gov,1,1,0,120880,false
hanover-ma.gov,2,2,0,15117510,false
hanovermn.gov,1,1,0,11800930,false
hanovermn.org,1,1,0,3737119,false
hanovernh.org,3,3,0,343397,false
hanoverparkillinois.org,2,2,0,14704985,false
hanovertownship.com,1,1,0,138645,false
hardwickvt.gov,2,2,0,351270,false
harlowton.municipalimpact.com,2,2,0,248447,false
harperwoodscity.org,1,1,0,4422586,false
harpswell.govoffice.com,1,1,0,1430970,false
harrington.delaware.gov,1,1,0,337381,false
harrisburgnc.gov,1,1,0,107133,false
harrisburgnc.org,1,1,0,530538,false
hartfordsd.us,1,1,0,5305001,false
hartlandvt.gov,2,2,0,2206383,false
hartselle.org,1,1,0,101005,false
hartsellecity.smartsiteshost.com,1,1,0,198029,false
harveynd.com,1,1,0,1321754,false
haskellar.gov,3,3,0,135847,false
hastingsmi.gov,3,3,0,25827637,false
hattonnd.com,1,1,0,33196,false
havelocknc.us,2,2,0,16878990,false
haverfordtownship.org,1,0,1,0,false
hazennd.gov,2,2,0,323299,false
hcsd.iu5.org,2,0,2,0,false
hdl.handle.net,2,2,0,905337,false
healdsburg.gov,1,1,0,46884072,false
heberut.gov,1,1,0,114740,false
hebron.municipalimpact.com,2,2,0,4611289,false
hebronct.com,2,2,0,2540205,false
hebronnd.org,1,1,0,26344066,false
hebronvillage.org,3,3,0,2220447,false
hellertownborough.org,4,4,0,6822370,false
hendersontn.gov,2,2,0,663662,false
hendersonvillenc.gov,2,2,0,12440979,false
henlopenacres.delaware.gov,1,1,0,425412,false
henniker.org,1,0,1,0,false
henrycountyva.gov,1,1,0,1477047,false
henryetta.gov,2,2,0,172083,false
hermantownmn.com,1,1,0,5943053,false
hermosabeach.legistar.com,1,1,0,19,false
heyburn.id.gov,2,2,0,340037,false
hhky.com,2,2,0,704822,false
hhparkdistrict.org,1,1,0,68218,false
hialeahfl.gov,1,0,1,0,false
hiawatha-iowa.com,3,3,0,2381505,false
hickoryhillsil.org,2,2,0,550657,false
highergov.com,1,1,0,97754,false
highgatevt.org,3,3,0,5739857,false
highland.in.gov,2,2,0,8483291,false
highlandil.gov,3,0,3,0,false
highlandparkmi.gov,2,2,0,4146731,false
highlandtwp.net,2,2,0,17116381,false
highsprings.gov,2,2,0,2276074,false
hightstownborough.com,2,2,0,8750111,false
hillsboroks.citycode.net,1,1,0,17538,false
hillsboroughnh.org,2,2,0,5247773,false
hillsdalenj.org,1,1,0,588922,false
hilltown.org,3,3,0,845357,false
hiltonheadislandsc.gov,1,1,0,139269,false
hiltonny.gov,3,3,0,1788128,false
hinesburg.org,2,2,0,457751,false
hmpgloballearningnetwork.com,1,1,0,3038,false
hobbsschools.net,1,1,0,1199365,false
hohny.gov,1,1,0,128590,false
hoisingtonks.citycode.net,1,1,0,9923,false
hoisingtonks.org,1,1,0,574041,false
holbrookaz.gov,1,1,0,109500,false
holdenvillecityhall.com,1,1,0,550512,false
hollyvillage.org,3,3,0,129071,false
holmdeltownship.com,2,2,0,2988229,false
honeapathsc.com,1,1,0,93982,false
hooksett.org,2,2,0,1811279,false
hoopercity.gov,1,1,0,1058774,false
hopewellva.gov,2,2,0,30157578,false
horiconwi.gov,1,1,0,1199702,false
horsham.org,1,1,0,191629,false
howardsgrovewi.gov,3,3,0,314839,false
howlandtownship.org,1,1,0,1631473,false
hr.sao.texas.gov,1,1,0,172967,false
hssd.community.diligentoneplatform.com,1,1,0,24934,false
hueytownal.gov,1,1,0,30374616,false
hugook.com,1,1,0,71211,false
huntertown.org,2,2,0,163120,false
huntingburg-in.gov,1,1,0,225651,false
huntingdontn.com,1,1,0,166577,false
huntington.in.us,2,2,0,737616,false
huntley.diligent.community,1,1,0,634610,false
hurontownshipmi.civicweb.net,1,1,0,189403,false
hurstbourne.org,2,2,0,2014661,false
huttofirefighters.org,1,1,0,44946,false
ibew1245.com,3,3,0,5280936,false
ibew375.org,1,1,0,136132,false
ibew702.org,2,2,0,1228093,false
ibrattleboro.com,2,2,0,186080,false
icops.org,2,2,0,13579609,false
ilcourtsaudio.blob.core.windows.net,1,1,0,48480,false
ilga.gov,1,1,0,692655,false
illinoiscourts.gov,1,1,0,373614,false
ilrb.illinois.gov,27,27,0,12671957,false
img1.wsimg.com,24,24,0,28006744,false
imperialbeachca.gov,1,1,0,123415,false
in.gov,13,13,0,15697339,false
indianharbourbeach.org,1,1,0,17661762,false
indianheadmd.govoffice2.com,2,2,0,94922,false
indiantown.novusagenda.com,1,0,1,0,false
indio.civicweb.net,2,2,0,302694,false
inglesidetx.gov,1,1,0,34524425,false
inkomcity.org,3,3,0,457923,false
iowala.org,3,3,0,517895,false
ipswich-sd.com,2,2,0,72118,false
ipswichma.gov,1,1,0,100459,false
ironmountainmi.gov,2,2,0,286958,false
irp-cdn.multiscreensite.com,2,2,0,567283,false
irp.cdn-website.com,5,5,0,1917705,false
irshores.com,3,3,0,31390270,false
isleofpalms.gov,2,2,0,542936,false
itsmarta.com,1,1,0,442375,false
iuoe70.org,1,0,1,0,false
ivins.granicus.com,1,0,1,0,false
jacksontwp.com,1,1,0,500159,false
jacksonville-al.org,2,0,2,0,false
jacksonvilletx.org,1,1,0,1611351,false
jamesislandsc.us,1,1,0,71265,false
jaspercity.com,4,4,0,742039,false
jasperindiana.gov,3,3,0,187878,false
jay-maine.org,1,1,0,99737,false
jcky.us,3,3,0,1953804,false
jcper.org,1,1,0,336025,false
jeanerette.com,1,1,0,690498,false
jeffersonwis.com,3,3,0,545563,false
jeffvillagevt.com,2,2,0,1594393,false
jemezsprings-nm.gov,1,1,0,6298102,false
jenks.com,1,1,0,13261169,false
jesupga.gov,1,1,0,37455,false
jesupiowa.com,1,1,0,520479,false
johnscreekga.gov,1,1,0,1564704,false
johnsoncreekwi.civicweb.net,1,1,0,748169,false
johnstownco.gov,1,1,0,113537,false
joplinmo.org,3,1,2,302820,false
jordan-mn.granicus.com,1,0,1,0,false
junctioncityoregon.gov,2,2,0,5648099,false
jupiter.fl.us,1,1,0,152704,false
justice.gov,1,1,0,213076,false
kadokasd.com,4,4,0,150301,false
kanab.utah.gov,1,1,0,82228,false
keansburgnj.gov,2,2,0,862577,false
kechiks.gov,1,1,0,8762602,false
keedysvillemd.com,3,3,0,1012914,false
kemmerer.org,3,3,0,805472,false
kendallvillein.gov,2,2,0,61307,false
kenmarend.com,1,1,0,502704,false
kernersvillepd.com,1,1,0,141958,false
keybiscayne.granicus.com,1,0,1,0,false
killdeer.com,3,3,0,2366767,false
killingly.org,4,4,0,10961319,false
kindrednd.com,2,2,0,2006144,false
kingsfordmi.gov,1,1,0,117340,false
kingslandgeorgia.com,1,1,0,19559,false
kingstontn.gov,1,1,0,7058100,false
kingstree.org,1,1,0,273132,false
kingwoodwv.org,1,1,0,55433,false
kinnelonboro.org,3,2,1,1302781,false
kinstonnc.gov,2,2,0,67851466,false
kitzmillermd.org,3,3,0,385210,false
kmffa.org,1,1,0,2600374,false
knightdalenc.gov,1,1,0,206246,false
knoxvilleia.gov,1,0,1,0,false
ksstradio.com,3,3,0,347155,false
kypublicnotice.com,5,5,0,12303974,false
kypublicnotices.newzgroup.com,3,3,0,3690188,false
l416.com,1,1,0,392689,false
labor.alaska.gov,1,1,0,105951,false
labor.state.ak.us,1,1,0,94325,false
labordecisions.dol.ks.gov,5,5,0,1257619,false
laborwebapps.mo.gov,1,1,0,102366,false
lafayetteco.gov,2,2,0,44153828,false
lafayetteoregon.gov,2,2,0,19877191,false
lafollettetn.gov,1,1,0,326075,false
lagrangeky.gov,1,1,0,86437,false
lagunabeachcity.granicus.com,1,0,1,0,false
lagunawoods.gov,1,1,0,1974516,false
lakecitysc.gov,1,1,0,134189,false
lakecounty.legistar.com,1,0,1,0,false
lakeelmo.gov,2,0,2,0,false
lakehallie.us,2,2,0,313821,false
lakejackson-tx.gov,3,3,0,35607049,false
lakemills-wi.granicus.com,1,0,1,0,false
lakemoreohio.org,1,1,0,412720,false
lakenorden.govoffice.com,1,1,0,227590,false
lakesrpc.nh.gov,1,1,0,5155449,false
lakeway-tx.civicweb.net,1,1,0,537238,false
