state,municipality,geography_type
KS,Pleasanton,municipality
KS,Pomona,municipality
KS,Pottawatomie,municipality
KS,Potwin,municipality
KS,Pratt,municipality
KS,Pretty Prairie,municipality
KS,Ramona,municipality
KS,Richmond,municipality
KS,Robinson,municipality
KS,Rose Hill,municipality
KS,Rossville,municipality
KS,Scranton,municipality
KS,Sedan,municipality
KS,Sedgwick,municipality
KS,Seneca,municipality
KS,Shawnee,municipality
KS,Silver Lake,municipality
KS,Smith,municipality
KS,Soldier,municipality
KS,Solomon,municipality
KS,South Hutchinson,municipality
KS,Spearville,municipality
KS,Spring Hill,municipality
KS,St. Francis,municipality
KS,St. George,municipality
KS,St. John,municipality
KS,St. Marys,municipality
KS,Sterling,municipality
KS,Sylvia,municipality
KS,Syracuse,municipality
KS,Towanda,municipality
KS,Troy,municipality
KS,Udall,municipality
KS,Valley Falls,municipality
KS,Victoria,municipality
KS,Wakefield,municipality
KS,Washington,municipality
KS,Wellington,municipality
KS,West Mineral,municipality
KS,Westwood Hills,municipality
KS,Wetmore,municipality
KS,White City,municipality
KS,Wichita,municipality
KS,Williamsburg,municipality
KS,Wilson,municipality
KS,Winchester,municipality
KS,Yates Center,municipality
KY,Alexandria,municipality
KY,Ashland,municipality
KY,Audubon Park,municipality
KY,Bardstown,municipality
KY,Beattyville,municipality
KY,Bedford,municipality
KY,Beechwood Village,municipality
KY,Bellefonte,municipality
KY,Bellemeade,municipality
KY,Bellevue,municipality
KY,Benton,municipality
KY,Berry,municipality
KY,Bloomfield,municipality
KY,Blue Ridge Manor,municipality
KY,Brandenburg,municipality
KY,Bromley,municipality
KY,Burkesville,municipality
KY,Calvert City,municipality
KY,Carrollton,municipality
KY,Catlettsburg,municipality
KY,Centertown,municipality
KY,Cold Spring,municipality
KY,Crittenden,municipality
KY,Cumberland,municipality
KY,Danville,municipality
KY,Dayton,municipality
KY,Drakesboro,municipality
KY,Dry Ridge,municipality
KY,Earlington,municipality
KY,Edgewood,municipality
KY,Flemingsburg,municipality
KY,Fort Mitchell,municipality
KY,Fort Thomas,municipality
KY,Fort Wright,municipality
KY,Fox Chase,municipality
KY,Goshen,municipality
KY,Grand Rivers,municipality
KY,Greensburg,municipality
KY,Guthrie,municipality
KY,Heritage Creek,municipality
KY,Highland Heights,municipality
KY,Hills and Dales,municipality
KY,Hurstbourne,municipality
KY,Hustonville,municipality
KY,Indian Hills,municipality
KY,Jamestown,municipality
KY,Junction City,municipality
KY,Kingsley,municipality
KY,La Grange,municipality
KY,Lancaster,municipality
KY,Lawrenceburg,municipality
KY,Leitchfield,municipality
KY,London,municipality
KY,Louisa,municipality
KY,Loyall,municipality
KY,Ludlow,municipality
KY,Marion,municipality
KY,Mayfield,municipality
KY,Meadow Vale,municipality
KY,Melbourne,municipality
KY,Metro Government Of Louisville-Jefferson County,municipality
KY,Morganfield,municipality
KY,Mount Olivet,municipality
KY,Mount Washington,municipality
KY,Munfordville,municipality
KY,New Castle,municipality
KY,Newport,municipality
KY,Norwood,municipality
KY,Oak Grove,municipality
KY,Orchard Grass Hills,municipality
KY,Paducah,municipality
KY,Paris,municipality
KY,Park City,municipality
KY,Park Hills,municipality
KY,Pikeville,municipality
KY,Plantation,municipality
KY,Pleasureville,municipality
KY,Prestonville,municipality
KY,Princeton,municipality
KY,Radcliff,municipality
KY,Richlawn,municipality
KY,Riverwood,municipality
KY,Rolling Hills,municipality
KY,Russell Springs,municipality
KY,Russellville,municipality
KY,Ryland Heights,municipality
KY,Sacramento,municipality
KY,Salt Lick,municipality
KY,Shelbyville,municipality
KY,Shepherdsville,municipality
KY,Shively,municipality
KY,Silver Grove,municipality
KY,Simpsonville,municipality
KY,Smiths Grove,municipality
KY,Somerset,municipality
KY,Southgate,municipality
KY,Springfield,municipality
KY,St. Matthews,municipality
KY,Stamping Ground,municipality
KY,Stanford,municipality
KY,Sycamore,municipality
KY,Taylor Mill,municipality
KY,Union,municipality
KY,Vine Grove,municipality
KY,Walton,municipality
KY,Watterson Park,municipality
KY,West Buechel,municipality
KY,West Liberty,municipality
KY,West Point,municipality
KY,Wilder,municipality
KY,Williamstown,municipality
KY,Wilmore,municipality
KY,Woodland Hills,municipality
KY,Woodlawn,municipality
LA,Abbeville,municipality
LA,Abita Springs,municipality
LA,Alexandria,municipality
LA,Anacoco,municipality
LA,Arcadia,municipality
LA,Athens,municipality
LA,Baker,municipality
LA,Bastrop,municipality
LA,Belcher,municipality
LA,Bernice,municipality
LA,Berwick,municipality
LA,Blanchard,municipality
LA,Breaux Bridge,municipality
LA,Brusly,municipality
LA,Carencro,municipality
LA,Chataignier,municipality
LA,Choudrant,municipality
LA,Church Point,municipality
LA,Cotton Valley,municipality
LA,Covington,municipality
LA,Creola,municipality
LA,Delcambre,municipality
LA,Delhi,municipality
LA,Denham Springs,municipality
LA,Dixie Inn,municipality
LA,Doyline,municipality
LA,Dry Prong,municipality
LA,Elton,municipality
LA,Erath,municipality
LA,Farmerville,municipality
LA,Ferriday,municipality
LA,Forest Hill,municipality
LA,French Settlement,municipality
LA,Gilbert,municipality
LA,Goldonna,municipality
LA,Gramercy,municipality
LA,Grand Cane,municipality
LA,Grand Isle,municipality
LA,Greenwood,municipality
LA,Grosse Tete,municipality
LA,Gueydan,municipality
LA,Harrisonburg,municipality
LA,Haughton,municipality
LA,Hosston,municipality
LA,Ida,municipality
LA,Iowa,municipality
LA,Jackson,municipality
LA,Jean Lafitte,municipality
LA,Jeanerette,municipality
LA,Jena,municipality
LA,Jennings,municipality
LA,Killian,municipality
LA,Kinder,municipality
LA,Lake Arthur,municipality
LA,Lecompte,municipality
LA,Livingston,municipality
LA,Logansport,municipality
LA,Loreauville,municipality
LA,Mansfield,municipality
LA,Maringouin,municipality
LA,Maurice,municipality
LA,Mer Rouge,municipality
LA,Mermentau,municipality
LA,Morganza,municipality
LA,Morse,municipality
LA,Napoleonville,municipality
LA,New Llano,municipality
LA,Norwood,municipality
LA,Oberlin,municipality
LA,Oil City,municipality
LA,Patterson,municipality
LA,Pearl River,municipality
LA,Pineville,municipality
LA,Pioneer,municipality
LA,Plain Dealing,municipality
LA,Plaquemine,municipality
LA,Pollock,municipality
LA,Ponchatoula,municipality
LA,Port Barre,municipality
LA,Richwood,municipality
LA,Rosepine,municipality
LA,Sibley,municipality
LA,Sikes,municipality
LA,Simmesport,municipality
LA,Simsboro,municipality
LA,Springfield,municipality
LA,Springhill,municipality
LA,St. Martinville,municipality
LA,Sterlington,municipality
LA,Stonewall,municipality
LA,Tullos,municipality
LA,Vidalia,municipality
LA,Vienna,municipality
LA,Ville Platte,municipality
LA,Vinton,municipality
LA,Vivian,municipality
LA,Walker,municipality
LA,Washington,municipality
LA,Westwego,municipality
LA,White Castle,municipality
LA,Winnfield,municipality
LA,Youngsville,municipality
LA,Zachary,municipality
LA,Zwolle,municipality
MA,Abington,municipality
MA,Andover,municipality
MA,Arlington,municipality
MA,Ashby,municipality
MA,Auburn,municipality
MA,Bedford,municipality
MA,Belchertown,municipality
MA,Berkley,municipality
MA,Blandford,municipality
MA,Bourne,municipality
MA,Braintree Town,municipality
MA,Brewster,municipality
MA,Brimfield,municipality
MA,Brockton,municipality
MA,Brookfield,municipality
MA,Brookline,municipality
MA,Burlington,municipality
MA,Carver,municipality
MA,Charlemont,municipality
MA,Chelmsford,municipality
MA,Chilmark,municipality
MA,Clarksburg,municipality
MA,Clinton,municipality
MA,Cohasset,municipality
MA,Colrain,municipality
MA,Conway,municipality
MA,Dalton,municipality
MA,Danvers,municipality
MA,Dartmouth,municipality
MA,Dracut,municipality
MA,Dunstable,municipality
MA,Duxbury,municipality
MA,Easton,municipality
MA,Fairhaven,municipality
MA,Fall River,municipality
MA,Foxborough,municipality
MA,Georgetown,municipality
MA,Gill,municipality
MA,Groton,municipality
MA,Hamilton,municipality
MA,Hancock,municipality
MA,Hanover,municipality
MA,Harwich,municipality
MA,Hatfield,municipality
MA,Hawley,municipality
MA,Holland,municipality
MA,Holliston,municipality
MA,Hopkinton,municipality
MA,Hull,municipality
MA,Ipswich,municipality
MA,Leicester,municipality
MA,Leverett,municipality
MA,Leyden,municipality
MA,Lincoln,municipality
MA,Ludlow,municipality
MA,Lynn,municipality
MA,Marblehead,municipality
MA,Marshfield,municipality
MA,Mashpee,municipality
MA,Medway,municipality
MA,Mendon,municipality
MA,Merrimac,municipality
MA,Middleborough,municipality
MA,Milford,municipality
MA,Millbury,municipality
MA,Millis,municipality
MA,Montague,municipality
MA,Monterey,municipality
MA,Nahant,municipality
MA,Nantucket,municipality
MA,Needham,municipality
MA,New Ashford,municipality
MA,New Braintree,municipality
MA,Newton,municipality
MA,Norfolk,municipality
MA,North Andover,municipality
MA,North Reading,municipality
MA,Northborough,municipality
MA,Northbridge,municipality
MA,Norwell,municipality
MA,Orange,municipality
MA,Oxford,municipality
MA,Pelham,municipality
MA,Raynham,municipality
MA,Rehoboth,municipality
MA,Rowe,municipality
MA,Russell,municipality
MA,Sandisfield,municipality
MA,Sheffield,municipality
MA,Shelburne,municipality
MA,Shirley,municipality
MA,Shutesbury,municipality
MA,Somerset,municipality
MA,Somerville,municipality
MA,Southampton,municipality
MA,Spencer,municipality
MA,Sturbridge,municipality
MA,Sudbury,municipality
MA,Swampscott,municipality
MA,Tyngsborough,municipality
MA,Ware,municipality
MA,Wareham,municipality
MA,Warwick,municipality
MA,West Bridgewater,municipality
MA,West Brookfield,municipality
MA,Westford,municipality
MA,Westhampton,municipality
MA,Westport,municipality
MA,Williamstown,municipality
MA,Worcester,municipality
MA,Yarmouth,municipality
MD,Boonsboro,municipality
MD,Brookeville,municipality
MD,Cecilton,municipality
MD,Church Hill,municipality
MD,Cottage City,municipality
MD,Denton,municipality
MD,Edmonston,municipality
MD,Emmitsburg,municipality
MD,Fairmount Heights,municipality
MD,Forest Heights,municipality
MD,Friendsville,municipality
MD,Galena,municipality
MD,Glen Echo,municipality
MD,Glenarden,municipality
MD,Hagerstown,municipality
MD,Indian Head,municipality
MD,Keedysville,municipality
MD,Kensington,municipality
MD,Kitzmiller,municipality
MD,Landover Hills,municipality
MD,Loch Lynn Heights,municipality
MD,Lonaconing,municipality
MD,Mardela Springs,municipality
MD,Marydel,municipality
MD,New Market,municipality
MD,North Chevy Chase,municipality
MD,North East,municipality
MD,Perryville,municipality
MD,Pittsville,municipality
MD,Pocomoke City,municipality
MD,Poolesville,municipality
MD,Port Deposit,municipality
MD,Preston,municipality
MD,Queenstown,municipality
MD,Rock Hall,municipality
MD,Seat Pleasant,municipality
MD,Sharpsburg,municipality
MD,Sharptown,municipality
MD,St. Michaels,municipality
MD,Sudlersville,municipality
MD,Trappe,municipality
MD,University Park,municipality
MD,Washington Grove,municipality
MD,Westernport,municipality
ME,Alna,municipality
ME,Amherst,municipality
ME,Andover,municipality
ME,Anson,municipality
ME,Arrowsic,municipality
ME,Augusta,municipality
ME,Baileyville,municipality
ME,Baldwin,municipality
ME,Bar Harbor,municipality
ME,Beaver Cove,municipality
ME,Beddington,municipality
ME,Belgrade,municipality
ME,Berwick,municipality
ME,Blue Hill,municipality
ME,Boothbay,municipality
ME,Bradford,municipality
ME,Bradford|Kingsbury,municipality
ME,Bradley,municipality
ME,Brewer,municipality
ME,Bridgton,municipality
ME,Brooks,municipality
ME,Brunswick,municipality
ME,Buxton,municipality
ME,Calais,municipality
ME,Camden,municipality
ME,Canaan,municipality
ME,Caratunk,municipality
ME,Carrabassett Valley,municipality
ME,Casco,municipality
ME,Chebeague Island,municipality
ME,Chelsea,municipality
ME,Chesterville,municipality
ME,China,municipality
ME,Clinton,municipality
ME,Corinna,municipality
ME,Cranberry Isles,municipality
ME,Crystal,municipality
ME,Dayton,municipality
ME,Dover-Foxcroft,municipality
ME,Eastport,municipality
ME,Edgecomb,municipality
ME,Eliot,municipality
ME,Fairfield,municipality
ME,Falmouth,municipality
ME,Farmingdale,municipality
ME,Farmington,municipality
ME,Fort Fairfield,municipality
ME,Fort Kent,municipality
ME,Frankfort,municipality
ME,Freeport,municipality
ME,Glenburn,municipality
ME,Gorham,municipality
ME,Gray,municipality
ME,Greene,municipality
ME,Guilford,municipality
ME,Hallowell,municipality
ME,Hampden,municipality
ME,Hancock,municipality
ME,Harpswell,municipality
ME,Hartland,municipality
ME,Hermon,municipality
ME,Hiram,municipality
ME,Houlton,municipality
ME,Howland,municipality
ME,Island Falls,municipality
ME,Isle au Haut,municipality
ME,Jackman,municipality
ME,Jay,municipality
ME,Jonesport,municipality
ME,Kennebunk,municipality
ME,Kingsbury,municipality
ME,Kittery,municipality
ME,Lebanon,municipality
ME,Limerick,municipality
ME,Lincoln,municipality
ME,Lincolnville,municipality
ME,Lisbon,municipality
ME,Livermore,municipality
ME,Lubec,municipality
ME,Machias,municipality
ME,Madawaska,municipality
ME,Madison,municipality
ME,Mapleton,municipality
ME,Mechanic Falls,municipality
ME,Mercer,municipality
ME,Mexico,municipality
ME,Millinocket,municipality
ME,Monhegan,municipality
ME,Monmouth,municipality
ME,New Gloucester,municipality
ME,Newburgh,municipality
ME,Newcastle,municipality
ME,Nobleboro,municipality
ME,Norridgewock,municipality
ME,North Berwick,municipality
ME,North Yarmouth,municipality
ME,Oakland,municipality
ME,Ogunquit,municipality
ME,Old Orchard Beach,municipality
ME,Orono,municipality
ME,Orrington,municipality
ME,Oxford,municipality
ME,Palmyra,municipality
ME,Paris,municipality
ME,Phippsburg,municipality
ME,Pittsfield,municipality
ME,Poland,municipality
ME,Portland,municipality
ME,Pownal,municipality
ME,Presque Isle,municipality
ME,Raymond,municipality
ME,Readfield,municipality
ME,Rockport,municipality
ME,Rumford,municipality
ME,Sabattus,municipality
ME,Sandy River,municipality
ME,Sangerville,municipality
ME,Scarborough,municipality
ME,Searsmont,municipality
ME,Searsport,municipality
ME,Sebago,municipality
ME,Sebec,municipality
ME,Sedgwick,municipality
ME,Shapleigh,municipality
ME,Skowhegan,municipality
ME,Smithfield,municipality
ME,Solon,municipality
ME,South Berwick,municipality
ME,Southwest Harbor,municipality
ME,Strong,municipality
ME,Thomaston,municipality
ME,Topsham,municipality
ME,Turner,municipality
ME,Vassalboro,municipality
ME,Veazie,municipality
ME,Verona Island,municipality
ME,Vienna,municipality
ME,Waldoboro,municipality
ME,Wales,municipality
ME,Warren,municipality
ME,Waterboro,municipality
ME,Wayne,municipality
ME,Weld,municipality
ME,West Bath,municipality
ME,Westfield,municipality
ME,Whitefield,municipality
ME,Wilton,municipality
ME,Winslow,municipality
ME,Winterport,municipality
ME,Winthrop,municipality
ME,Wiscasset,municipality
ME,York,municipality
MI,Aetna,municipality
MI,Alaiedon,municipality
MI,Albion,municipality
MI,Algonac,municipality
MI,Allegan,municipality
MI,Allendale charter,municipality
MI,Alma,municipality
MI,Almont,municipality
MI,Alpena,municipality
MI,Antrim,municipality
MI,Antwerp,municipality
MI,Arbela,municipality
MI,Arlington,municipality
MI,Armada,municipality
MI,Ashley,municipality
MI,Assyria,municipality
MI,Atlas,municipality
MI,Au Gres,municipality
MI,Au Sable,municipality
MI,Au Train,municipality
MI,Augusta charter,municipality
MI,Bad Axe,municipality
MI,Baldwin,municipality
MI,Bangor,municipality
MI,Bangor charter,municipality
MI,Bay,municipality
MI,Bay Mills,municipality
MI,Beaverton,municipality
MI,Belding,municipality
MI,Belknap,municipality
MI,Bellaire,municipality
MI,Belleville,municipality
MI,Bellevue,municipality
MI,Benona,municipality
MI,Bentley,municipality
MI,Benton charter,municipality
MI,Bergland,municipality
MI,Berrien,municipality
MI,Berrien Springs,municipality
MI,Bertrand,municipality
MI,Beverly Hills,municipality
MI,Big Rapids,municipality
MI,Big Rapids charter,municipality
MI,Bingham,municipality
MI,Birch Run,municipality
MI,Blair,municipality
MI,Blissfield,municipality
MI,Bloomfield,municipality
MI,Bloomfield Hills,municipality
MI,Bloomfield charter,municipality
MI,Blue Lake,municipality
MI,Boyne City,municipality
MI,Brampton,municipality
MI,Brevort,municipality
MI,Brighton,municipality
MI,Briley,municipality
MI,Bronson,municipality
MI,Brooklyn,municipality
MI,Brownstown charter,municipality
MI,Buchanan,municipality
MI,Buena Vista charter,municipality
MI,Bunker Hill,municipality
MI,Burdell,municipality
MI,Burt,municipality
MI,Butman,municipality
MI,Cadillac,municipality
MI,Caledonia,municipality
MI,Calumet,municipality
MI,Calumet charter,municipality
MI,Carp Lake,municipality
MI,Carrollton,municipality
MI,Casco,municipality
MI,Casnovia,municipality
MI,Cassopolis,municipality
MI,Cement City,municipality
MI,Center Line,municipality
MI,Centreville,municipality
MI,Charlotte,municipality
MI,Cheboygan,municipality
MI,Chelsea,municipality
MI,Chesaning,municipality
MI,Chestonia,municipality
MI,Clarksville,municipality
MI,Claybanks,municipality
MI,Clayton charter,municipality
MI,Clinton charter,municipality
MI,Clyde,municipality
MI,Coldsprings,municipality
MI,Coldwater,municipality
MI,Columbia,municipality
MI,Commerce charter,municipality
MI,Comstock charter,municipality
MI,Concord,municipality
MI,Convis,municipality
MI,Conway,municipality
MI,Coopersville,municipality
MI,Corunna,municipality
MI,Covert,municipality
MI,Cross Village,municipality
MI,Croswell,municipality
MI,Crystal,municipality
MI,Crystal Falls,municipality
MI,Crystal Lake,municipality
MI,Cumming,municipality
MI,Davison,municipality
MI,DeWitt,municipality
MI,DeWitt charter,municipality
MI,Decatur,municipality
MI,Deerfield,municipality
MI,Delhi charter,municipality
MI,Delta charter,municipality
MI,Detroit,municipality
MI,Dexter,municipality
MI,Dimondale,municipality
MI,Dowagiac,municipality
MI,Drummond,municipality
MI,Eagle Harbor,municipality
MI,East China,municipality
MI,East Grand Rapids,municipality
MI,East Jordan,municipality
MI,Eastpointe,municipality
MI,Eaton Rapids,municipality
MI,Eckford,municipality
MI,Ecorse,municipality
MI,Egelston,municipality
MI,Elk,municipality
MI,Ellsworth,municipality
MI,Elmer,municipality
MI,Elmira,municipality
MI,Elmwood charter,municipality
MI,Elsie,municipality
MI,Emmett,municipality
MI,Empire,municipality
MI,Essexville,municipality
MI,Estral Beach,municipality
MI,Eureka,municipality
MI,Evart,municipality
MI,Fairgrove,municipality
MI,Farmington,municipality
MI,Felch,municipality
MI,Fife Lake,municipality
MI,Filer charter,municipality
MI,Fillmore,municipality
MI,Flint,municipality
MI,Flint charter,municipality
MI,Fork,municipality
MI,Forsyth,municipality
MI,Fort Gratiot charter,municipality
MI,Foster,municipality
MI,Fowler,municipality
MI,Frankenmuth,municipality
MI,Frankfort,municipality
MI,Franklin,municipality
MI,Fraser,municipality
MI,Fredonia,municipality
MI,Frenchtown,municipality
MI,Friendship,municipality
MI,Fruitport charter,municipality
MI,Gaines,municipality
MI,Gaines charter,municipality
MI,Garfield,municipality
MI,Garfield charter,municipality
MI,Gaylord,municipality
MI,Genesee charter,municipality
MI,Genoa,municipality
MI,Gibraltar,municipality
MI,Gladstone,municipality
MI,Gladwin,municipality
MI,Glen Arbor,municipality
MI,Golden,municipality
MI,Goodland,municipality
MI,Goodrich,municipality
MI,Grand Beach,municipality
MI,Grand Blanc,municipality
MI,Grand Blanc charter,municipality
MI,Grand Haven,municipality
MI,Grand Haven charter,municipality
MI,Grand Ledge,municipality
MI,Grand Rapids charter,municipality
MI,Grant,municipality
MI,Grass Lake charter,municipality
MI,Grayling,municipality
MI,Grayling charter,municipality
MI,Greenbush,municipality
MI,Greendale,municipality
MI,Greenwood,municipality
MI,Grosse Ile,municipality
MI,Grosse Pointe Farms,municipality
MI,Grosse Pointe Park,municipality
MI,Grosse Pointe Woods,municipality
MI,Grout,municipality
MI,Gun Plain,municipality
MI,Hamburg,municipality
MI,Hancock,municipality
MI,Handy,municipality
MI,Harbor Beach,municipality
MI,Harper Woods,municipality
MI,Harrison,municipality
MI,Hart,municipality
MI,Hartford,municipality
MI,Hartland,municipality
MI,Hastings,municipality
MI,Hatton,municipality
MI,Hay,municipality
MI,Hazel Park,municipality
MI,Heath,municipality
MI,Helena,municipality
MI,Henrietta,municipality
MI,Highland Park,municipality
MI,Highland charter,municipality
MI,Holland charter,municipality
MI,Holly,municipality
MI,Honor,municipality
MI,Hope,municipality
MI,Hopkins,municipality
MI,Howard City,municipality
MI,Howell,municipality
MI,Hudson,municipality
MI,Hume,municipality
MI,Huntington Woods,municipality
MI,Huron charter,municipality
MI,Imlay,municipality
MI,Imlay City,municipality
MI,Independence charter,municipality
MI,Ingham,municipality
MI,Inkster,municipality
MI,Inverness,municipality
MI,Iron Mountain,municipality
MI,Ironwood,municipality
MI,Isabella,municipality
MI,Ishpeming,municipality
MI,Ithaca,municipality
MI,James,municipality
MI,Jamestown charter,municipality
MI,Jefferson,municipality
MI,Johnstown,municipality
MI,Kalamazoo charter,municipality
MI,Kasson,municipality
MI,Kearney,municipality
MI,Keeler,municipality
MI,Kenockee,municipality
MI,Kinderhook,municipality
MI,Kingsford,municipality
MI,Kinross charter,municipality
MI,L'Anse,municipality
MI,Laingsburg,municipality
MI,Lake City,municipality
MI,Lake Isabella,municipality
MI,Lake Orion,municipality
MI,Lakewood Club,municipality
MI,Lansing charter,municipality
MI,Lapeer,municipality
MI,Lathrup Village,municipality
MI,Lawton,municipality
MI,Leavitt,municipality
MI,Leelanau,municipality
MI,Leoni,municipality
MI,Lexington,municipality
MI,Liberty,municipality
MI,Lincoln,municipality
MI,Lincoln charter,municipality
MI,Littlefield,municipality
MI,Lovells,municipality
MI,Ludington,municipality
MI,Luna Pier,municipality
MI,Lyon charter,municipality
MI,Lyons,municipality
MI,Mackinac Island,municipality
MI,Macomb,municipality
MI,Mancelona,municipality
MI,Manistee,municipality
MI,Marilla,municipality
MI,Marion,municipality
MI,Markey,municipality
MI,Marquette charter,municipality
MI,Marshall,municipality
MI,Marysville,municipality
MI,Mason,municipality
MI,Mastodon,municipality
MI,Mayville,municipality
MI,Melvindale,municipality
MI,Meridian charter,municipality
MI,Mesick,municipality
MI,Michiana,municipality
MI,Middle Branch,municipality
MI,Milan,municipality
MI,Milford,municipality
MI,Millington,municipality
MI,Minden,municipality
MI,Moffatt,municipality
MI,Monroe charter,municipality
MI,Montague,municipality
MI,Moorland,municipality
MI,Morrice,municipality
MI,Morton,municipality
MI,Mundy,municipality
MI,Munro,municipality
MI,Muskegon Heights,municipality
MI,Muskegon charter,municipality
MI,Nashville,municipality
MI,Negaunee,municipality
MI,New Baltimore,municipality
MI,New Buffalo,municipality
MI,New Haven,municipality
MI,Niles,municipality
MI,North Branch,municipality
MI,Northfield,municipality
MI,Northville,municipality
MI,Norvell,municipality
MI,Norway,municipality
MI,Nottawa,municipality
MI,Novi,municipality
MI,Oakland charter,municipality
MI,Ogden,municipality
MI,Olive,municipality
MI,Oneida charter,municipality
MI,Onekama,municipality
MI,Onondaga,municipality
MI,Orchard Lake Village,municipality
MI,Orion charter,municipality
MI,Ortonville,municipality
MI,Oscoda charter,municipality
MI,Otisco,municipality
MI,Otsego,municipality
MI,Otter Lake,municipality
MI,Ovid,municipality
MI,Oxford charter,municipality
MI,Palmyra,municipality
MI,Paradise,municipality
MI,Parma,municipality
MI,Paw Paw,municipality
MI,Peaine,municipality
MI,Pennfield charter,municipality
MI,Pentland,municipality
MI,Pentwater,municipality
MI,Pere Marquette charter,municipality
MI,Petersburg,municipality
MI,Petoskey,municipality
MI,Pewamo,municipality
MI,Pinconning,municipality
MI,Pine Grove,municipality
MI,Pine River,municipality
MI,Plainfield,municipality
MI,Plainfield charter,municipality
MI,Pleasant Ridge,municipality
MI,Pleasantview,municipality
MI,Plymouth charter,municipality
MI,Port Austin,municipality
MI,Port Huron charter,municipality
MI,Port Sanilac,municipality
MI,Portage,municipality
MI,Portage charter,municipality
MI,Potterville,municipality
MI,Prairieville,municipality
MI,Pulawski,municipality
MI,Putnam,municipality
MI,Quincy,municipality
MI,Reading,municipality
MI,Reed City,municipality
MI,Resort,municipality
MI,Rich,municipality
MI,Richfield,municipality
MI,Richland,municipality
MI,Richmond,municipality
MI,Riley,municipality
MI,Riverton,municipality
MI,Riverview,municipality
MI,Rives,municipality
MI,Rockford,municipality
MI,Rockwood,municipality
MI,Rogers City,municipality
MI,Rolland,municipality
MI,Roosevelt Park,municipality
MI,Royalton,municipality
MI,Salem,municipality
MI,Saline,municipality
MI,Sanborn,municipality
MI,Sand Lake,municipality
MI,Sands,municipality
MI,Sanilac,municipality
MI,Saranac,municipality
MI,Sauble,municipality
MI,Schoolcraft,municipality
MI,Scio,municipality
MI,Sebewaing,municipality
MI,Shelby,municipality
MI,Sheridan,municipality
MI,Sherman,municipality
MI,Shiawassee,municipality
MI,Silver Creek,municipality
MI,Sims,municipality
MI,Solon,municipality
MI,Somerset,municipality
MI,Soo,municipality
MI,South Branch,municipality
MI,South Lyon,municipality
MI,South Range,municipality
MI,Southfield,municipality
MI,Sparta,municipality
MI,Speaker,municipality
MI,Spring Arbor,municipality
MI,Spring Lake,municipality
MI,Springfield,municipality
MI,Springfield charter,municipality
MI,Springvale,municipality
MI,St. Clair,municipality
MI,St. Johns,municipality
MI,St. Louis,municipality
MI,Standish,municipality
MI,Stanton,municipality
MI,Sterling Heights,municipality
MI,Stevensville,municipality
MI,Stockbridge,municipality
MI,Sturgis,municipality
MI,Summit,municipality
MI,Superior charter,municipality
MI,Surrey,municipality
MI,Suttons Bay,municipality
MI,Swartz Creek,municipality
MI,Texas charter,municipality
MI,Thomas,municipality
MI,Thornapple,municipality
MI,Three Oaks,municipality
MI,Tompkins,municipality
MI,Torch Lake,municipality
MI,Trout Lake,municipality
MI,Tuscarora,municipality
MI,Tyrone,municipality
MI,Unadilla,municipality
MI,Union charter,municipality
MI,Unionville,municipality
MI,Utica,municipality
MI,Van Buren charter,municipality
MI,Vermontville,municipality
MI,Vicksburg,municipality
MI,Victor,municipality
MI,Victory,municipality
MI,Village of Clarkston,municipality
MI,Village of Grosse Pointe Shores,municipality
MI,Walled Lake,municipality
MI,Walton,municipality
MI,Warren,municipality
MI,Washington,municipality
MI,Waterford charter,municipality
MI,Waterloo,municipality
MI,Watersmeet,municipality
MI,Weare,municipality
MI,Webster,municipality
MI,Weldon,municipality
MI,West Bloomfield charter,municipality
MI,West Branch,municipality
MI,Wheatfield,municipality
MI,White Lake charter,municipality
MI,Whitewater,municipality
MI,Whitney,municipality
MI,Williams charter,municipality
MI,Williamston,municipality
MI,Williamstown,municipality
MI,Windsor charter,municipality
MI,Woodhaven,municipality
MI,Woodland,municipality
MI,Yale,municipality
MI,York charter,municipality
MI,Ypsilanti charter,municipality
MI,Zeeland,municipality
MI|OH,Bay,multi_municipality
MN,Adams,municipality
MN,Albany,municipality
MN,Amo,municipality
MN,Andover,municipality
MN,Anoka,municipality
MN,Appleton,municipality
MN,Austin,municipality
MN,Avon,municipality
MN,Backus,municipality
MN,Badger,municipality
MN,Bagley,municipality
MN,Balaton,municipality
MN,Baldwin,municipality
MN,Balkan,municipality
MN,Barnesville,municipality
MN,Battle Lake,municipality
MN,Baxter,municipality
MN,Beaver Bay,municipality
MN,Becker,municipality
MN,Belgrade,municipality
MN,Belle Plaine,municipality
MN,Bemidji,municipality
MN,Benson,municipality
MN,Bethel,municipality
MN,Big Lake,municipality
MN,Bigfork,municipality
MN,Bird Island,municipality
MN,Biwabik,municipality
MN,Blackberry,municipality
MN,Blackduck,municipality
MN,Blooming Prairie,municipality
MN,Blue Earth,municipality
MN,Braham,municipality
MN,Brainerd,municipality
MN,Breitung,municipality
MN,Brooklyn Park,municipality
MN,Browns Valley,municipality
MN,Brownsdale,municipality
MN,Brownsville,municipality
MN,Buhl,municipality
MN,Burnsville,municipality
MN,Byron,municipality
MN,Caledonia,municipality
MN,Callaway,municipality
MN,Candor,municipality
MN,Cannon Falls,municipality
MN,Canosia,municipality
MN,Canton,municipality
MN,Carlos,municipality
MN,Carver,municipality
MN,Cass Lake,municipality
