rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,population,total_priority_score,priority_tier,priority_confidence,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,data_completeness_score,evidence_signal_score,retry_flag,retry_priority,priority_reason_summary,recommended_future_wave
1,NV,Las Vegas,cog_2025_169988,169988,CITY OF LAS VEGAS,municipal,660929,79.537,Tier 1,low,27.137,10.000,17.256,12.360,6.783,5.000,1.000,yes,high,population percentile 99.9; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
87,ME,Waterville,cog_2025_166164,166164,CITY OF WATERVILLE,municipal,16823,74.110,Tier 1,low,22.003,10.000,16.731,11.464,8.912,5.000,0.000,no,not_applicable,population percentile 91.7; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
88,MT,Anaconda-Deer Lodge County,cog_2025_169444,169444,COUNTY OF ANACONDA-DEER LODGE,municipal,9673,74.100,Tier 1,low,20.837,10.000,17.294,12.360,8.610,5.000,0.000,no,not_applicable,population percentile 87.2; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
89,OH,Canfield,cog_2025_172516,172516,CITY OF CANFIELD,municipal,7610,74.100,Tier 1,high,20.260,10.000,19.353,15.076,4.411,5.000,0.000,no,not_applicable,population percentile 84.7; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
90,OH,Cortland,cog_2025_172633,172633,CITY OF CORTLAND,municipal,7062,74.099,Tier 1,high,20.080,10.000,19.353,15.076,4.590,5.000,0.000,no,not_applicable,population percentile 83.9; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
91,MO,St. Joseph,cog_2025_212058,212058,CITY OF ST JOSEPH,municipal,70634,74.088,Tier 1,low,24.410,10.000,15.797,10.173,8.708,5.000,0.000,no,not_applicable,population percentile 98.3; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
92,OH,Belpre,cog_2025_132541,132541,CITY OF BELPRE,municipal,6614,74.086,Tier 1,high,19.920,10.000,19.353,15.076,4.736,5.000,0.000,no,not_applicable,population percentile 83.2; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
93,NM,Deming,cog_2025_204942,204942,CITY OF DEMING,municipal,14603,74.081,Tier 1,low,21.719,10.000,17.299,11.771,8.291,5.000,0.000,no,not_applicable,population percentile 90.7; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
94,MT,Belgrade,cog_2025_169447,169447,CITY OF BELGRADE,municipal,12509,74.060,Tier 1,low,21.397,10.000,17.294,12.360,8.010,5.000,0.000,no,not_applicable,population percentile 89.5; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
95,OH,Jackson,cog_2025_110758,110758,CITY OF JACKSON,municipal,6206,74.032,Tier 1,high,19.763,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 82.4; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
96,MT,Havre,cog_2025_130006,130006,CITY OF HAVRE,municipal,9330,74.020,Tier 1,low,20.757,10.000,17.294,12.360,8.610,5.000,0.000,no,not_applicable,population percentile 86.9; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
97,OH,Greenfield,cog_2025_110754,110754,VILLAGE OF GREENFIELD,municipal,4336,74.001,Tier 1,high,18.795,10.000,19.353,15.076,5.777,5.000,0.000,no,not_applicable,population percentile 77.7; municipal/place; state evidence high; smoothed yield component 19.4/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
98,OH,Ontario,cog_2025_132515,132515,CITY OF ONTARIO,municipal,6653,73.996,Tier 1,high,19.934,10.000,19.353,15.076,4.633,5.000,0.000,no,not_applicable,population percentile 83.2; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
99,MS,Tupelo,cog_2025_184185,184185,CITY OF TUPELO,municipal,37675,73.990,Tier 1,low,23.455,10.000,16.122,10.554,8.860,5.000,0.000,no,not_applicable,population percentile 96.2; municipal/place; state evidence low; smoothed yield component 16.1/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
100,OH,Grandview Heights,cog_2025_172403,172403,CITY OF GRANDVIEW HEIGHTS,municipal,8841,73.984,Tier 1,high,20.622,10.000,19.353,15.076,3.933,5.000,0.000,no,not_applicable,population percentile 86.3; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
101,NV,Mesquite,cog_2025_108907,108907,CITY OF MESQUITE,municipal,22786,73.980,Tier 1,low,22.581,10.000,17.256,12.360,6.783,5.000,0.000,no,not_applicable,population percentile 93.7; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
102,OH,Martins Ferry,cog_2025_172309,172309,CITY OF MARTINS FERRY,municipal,6076,73.977,Tier 1,high,19.708,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 82.2; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
103,DE,Middletown,cog_2025_194930,194930,TOWN OF MIDDLETOWN,municipal,25022,73.955,Tier 1,low,22.753,10.000,16.608,10.945,8.650,5.000,0.000,no,not_applicable,population percentile 94.2; municipal/place; state evidence low; smoothed yield component 16.6/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
104,MO,St. Charles,cog_2025_169095,169095,CITY OF ST CHARLES,municipal,71800,73.935,Tier 1,low,24.434,10.000,15.797,10.173,8.532,5.000,0.000,no,not_applicable,population percentile 98.3; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
105,OH,Oberlin,cog_2025_172504,172504,CITY OF OBERLIN,municipal,7697,73.935,Tier 1,high,20.284,10.000,19.353,15.076,4.222,5.000,0.000,no,not_applicable,population percentile 84.8; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
106,OH,Port Clinton,cog_2025_191180,191180,CITY OF PORT CLINTON,municipal,5933,73.916,Tier 1,high,19.646,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 81.9; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
107,OH,Crestline,cog_2025_172348,172348,VILLAGE OF CRESTLINE,municipal,4460,73.909,Tier 1,high,18.874,10.000,19.353,15.076,5.606,5.000,0.000,no,not_applicable,population percentile 78.1; municipal/place; state evidence high; smoothed yield component 19.4/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
108,MT,Livingston,cog_2025_108119,108119,CITY OF LIVINGSTON,municipal,8908,73.906,Tier 1,low,20.642,10.000,17.294,12.360,8.610,5.000,0.000,no,not_applicable,population percentile 86.4; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
109,WY,Sheridan,cog_2025_209939,209939,CITY OF SHERIDAN,municipal,19543,73.904,Tier 1,low,22.301,10.000,16.729,11.054,8.819,5.000,0.000,no,not_applicable,population percentile 92.8; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
110,MA,North Adams,cog_2025_128101,128101,CITY OF NORTH ADAMS,municipal,12483,73.884,Tier 1,high,21.392,10.000,17.977,13.214,6.301,5.000,0.000,no,not_applicable,population percentile 89.4; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
111,OH,Rossford,cog_2025_110830,110830,CITY OF ROSSFORD,municipal,6333,73.879,Tier 1,high,19.810,10.000,19.353,15.076,4.640,5.000,0.000,no,not_applicable,population percentile 82.6; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
112,NY,Kiryas Joel,cog_2025_109557,109557,VILLAGE OF KIRYAS JOEL,municipal,41857,73.873,Tier 1,medium,23.629,10.000,16.739,10.760,7.745,5.000,0.000,no,not_applicable,population percentile 96.7; municipal/place; state evidence medium; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
113,NM,Española,cog_2025_170400,170400,CITY OF ESPANOLA,municipal,10431,73.870,Tier 1,low,21.008,10.000,17.299,11.771,8.791,5.000,0.000,no,not_applicable,population percentile 87.9; municipal/place; state evidence low; smoothed yield component 17.3/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
114,MD,Cambridge,cog_2025_166385,166385,CITY OF CAMBRIDGE,municipal,13176,73.866,Tier 1,low,21.504,10.000,17.456,11.487,8.420,5.000,0.000,no,not_applicable,population percentile 89.9; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
115,NM,Sunland Park,cog_2025_131028,131028,CITY OF SUNLAND PARK,municipal,17689,73.864,Tier 1,low,22.103,10.000,17.299,11.771,7.691,5.000,0.000,no,not_applicable,population percentile 92.1; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
116,SD,Brandon,cog_2025_113003,113003,CITY OF BRANDON,municipal,10958,73.863,Tier 1,low,21.115,10.000,16.907,12.054,8.787,5.000,0.000,no,not_applicable,population percentile 88.4; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
117,VT,Rutland,cog_2025_135936,135936,CITY OF RUTLAND,municipal,15630,73.856,Tier 1,low,21.855,10.000,16.605,11.443,8.953,5.000,0.000,no,not_applicable,population percentile 91.2; municipal/place; state evidence low; smoothed yield component 16.6/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
118,NY,Valley Stream,cog_2025_131254,131254,VILLAGE OF VALLEY STREAM,municipal,40007,73.855,Tier 1,medium,23.559,10.000,16.739,10.760,7.798,5.000,0.000,no,not_applicable,population percentile 96.5; municipal/place; state evidence medium; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
119,DE,Milford,cog_2025_161538,161538,CITY OF MILFORD,municipal,13289,73.849,Tier 1,low,21.522,10.000,16.608,10.945,9.775,5.000,0.000,no,not_applicable,population percentile 89.9; municipal/place; state evidence low; smoothed yield component 16.6/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
120,OH,Plain City,cog_2025_202334,202334,VILLAGE OF PLAIN CITY,municipal,4338,73.849,Tier 1,high,18.798,10.000,19.353,15.076,5.622,5.000,0.000,no,not_applicable,population percentile 77.8; municipal/place; state evidence high; smoothed yield component 19.4/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
121,NM,Las Vegas,cog_2025_170407,170407,CITY OF LAS VEGAS,municipal,12905,73.825,Tier 1,low,21.464,10.000,17.299,11.771,8.291,5.000,0.000,no,not_applicable,population percentile 89.7; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
122,OH,Carlisle,cog_2025_172662,172662,CITY OF CARLISLE,municipal,5740,73.825,Tier 1,high,19.560,10.000,19.353,15.076,4.836,5.000,0.000,no,not_applicable,population percentile 81.5; municipal/place; state evidence high; smoothed yield component 19.4/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
123,PA,Monroeville,cog_2025_209221,209221,MUNICIPALITY OF MONROEVILLE,municipal,27974,73.812,Tier 1,medium,22.957,10.000,17.177,10.934,7.743,5.000,0.000,no,not_applicable,population percentile 94.9; municipal/place; state evidence medium; smoothed yield component 17.2/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
124,OH,Clyde,cog_2025_212236,212236,CITY OF CLYDE,municipal,6337,73.809,Tier 1,high,19.812,10.000,19.353,15.076,4.567,5.000,0.000,no,not_applicable,population percentile 82.7; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
125,MS,Meridian,cog_2025_208582,208582,CITY OF MERIDIAN,municipal,33551,73.804,Tier 1,low,23.268,10.000,16.122,10.554,8.860,5.000,0.000,no,not_applicable,population percentile 95.8; municipal/place; state evidence low; smoothed yield component 16.1/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
126,OH,Willard,cog_2025_212982,212982,CITY OF WILLARD,municipal,6122,73.789,Tier 1,high,19.727,10.000,19.353,15.076,4.633,5.000,0.000,no,not_applicable,population percentile 82.3; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
127,IL,Huntley,cog_2025_162476,162476,VILLAGE OF HUNTLEY,municipal,28269,73.787,Tier 1,high,22.979,10.000,17.147,12.269,5.392,5.000,1.000,yes,high,population percentile 95.0; municipal/place; state evidence high; smoothed yield component 17.1/20; 3 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
128,MS,Biloxi,cog_2025_168635,168635,CITY OF BILOXI,municipal,48235,73.783,Tier 1,low,23.847,10.000,16.122,10.554,8.260,5.000,0.000,no,not_applicable,population percentile 97.2; municipal/place; state evidence low; smoothed yield component 16.1/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
129,OH,Oakwood,cog_2025_194865,194865,CITY OF OAKWOOD,municipal,9378,73.780,Tier 1,high,20.769,10.000,19.353,15.076,3.582,5.000,0.000,no,not_applicable,population percentile 86.9; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
130,MT,Miles City,cog_2025_186339,186339,CITY OF MILES CITY,municipal,8438,73.773,Tier 1,low,20.509,10.000,17.294,12.360,8.610,5.000,0.000,no,not_applicable,population percentile 85.8; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
131,NH,Somersworth,cog_2025_211223,211223,CITY OF SOMERSWORTH,municipal,12192,73.770,Tier 1,low,21.343,10.000,17.280,11.851,8.296,5.000,0.000,no,not_applicable,population percentile 89.3; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
132,OH,Granville,cog_2025_110764,110764,VILLAGE OF GRANVILLE,municipal,6281,73.767,Tier 1,high,19.791,10.000,19.353,15.076,4.547,5.000,0.000,no,not_applicable,population percentile 82.6; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
133,WV,Weirton,cog_2025_209756,209756,CITY OF WEIRTON,municipal,18386,73.758,Tier 1,low,22.181,10.000,15.952,10.674,9.951,5.000,0.000,no,not_applicable,population percentile 92.4; municipal/place; state evidence low; smoothed yield component 16.0/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
134,DE,Smyrna,cog_2025_161525,161525,TOWN OF SMYRNA,municipal,13277,73.745,Tier 1,low,21.518,10.000,16.608,10.945,9.675,5.000,0.000,no,not_applicable,population percentile 89.9; municipal/place; state evidence low; smoothed yield component 16.6/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
135,OH,Bellbrook,cog_2025_205126,205126,CITY OF BELLBROOK,municipal,7409,73.743,Tier 1,high,20.194,10.000,19.353,15.076,4.120,5.000,0.000,no,not_applicable,population percentile 84.4; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
136,OH,Geneva,cog_2025_194857,194857,CITY OF GENEVA,municipal,5866,73.725,Tier 1,high,19.618,10.000,19.353,15.076,4.678,5.000,0.000,no,not_applicable,population percentile 81.8; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
137,OH,Huron,cog_2025_172388,172388,CITY OF HURON,municipal,6685,73.716,Tier 1,high,19.947,10.000,19.353,15.076,4.340,5.000,0.000,no,not_applicable,population percentile 83.3; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
138,PA,Plum,cog_2025_133475,133475,BOROUGH OF PLUM,municipal,26391,73.708,Tier 1,medium,22.853,10.000,17.177,10.934,7.743,5.000,0.000,no,not_applicable,population percentile 94.6; municipal/place; state evidence medium; smoothed yield component 17.2/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
139,OH,Wellston,cog_2025_209066,209066,CITY OF WELLSTON,municipal,5457,73.702,Tier 1,high,19.433,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 80.9; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
140,AK,Wasilla,cog_2025_122718,122718,CITY OF WASILLA,municipal,9945,73.698,Tier 1,low,20.897,10.000,16.907,12.054,8.840,5.000,0.000,no,not_applicable,population percentile 87.4; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
141,LA,Monroe,cog_2025_127842,127842,CITY OF MONROE,municipal,46616,73.693,Tier 1,low,23.795,10.000,15.814,10.317,8.767,5.000,0.000,no,not_applicable,population percentile 97.0; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
142,WV,Morgantown,cog_2025_225856,225856,CITY OF MORGANTOWN,municipal,30429,73.680,Tier 1,low,23.103,10.000,15.952,10.674,8.951,5.000,0.000,no,not_applicable,population percentile 95.3; municipal/place; state evidence low; smoothed yield component 16.0/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
143,NH,Berlin,cog_2025_130732,130732,CITY OF BERLIN,municipal,9459,73.676,Tier 1,low,20.787,10.000,17.280,11.851,8.757,5.000,0.000,no,not_applicable,population percentile 87.0; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
144,MO,St. Peters,cog_2025_194619,194619,CITY OF ST PETERS,municipal,59413,73.661,Tier 1,low,24.160,10.000,15.797,10.173,8.532,5.000,0.000,no,not_applicable,population percentile 97.8; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
145,VA,Lynchburg,cog_2025_205577,205577,CITY OF LYNCHBURG,municipal,79535,73.655,Tier 1,low,24.574,10.000,15.297,10.272,8.512,5.000,0.000,no,not_applicable,population percentile 98.5; municipal/place; state evidence low; smoothed yield component 15.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
146,NM,Portales,cog_2025_170401,170401,CITY OF PORTALES,municipal,11859,73.647,Tier 1,low,21.285,10.000,17.299,11.771,8.291,5.000,0.000,no,not_applicable,population percentile 89.0; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
147,OH,Ada,cog_2025_172445,172445,VILLAGE OF ADA,municipal,5302,73.627,Tier 1,high,19.358,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 80.5; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
148,NY,Spring Valley,cog_2025_109563,109563,VILLAGE OF SPRING VALLEY,municipal,32969,73.622,Tier 1,medium,23.239,10.000,16.739,10.760,7.885,5.000,0.000,no,not_applicable,population percentile 95.7; municipal/place; state evidence medium; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
149,OH,Mount Healthy,cog_2025_132444,132444,CITY OF MOUNT HEALTHY,municipal,6853,73.619,Tier 1,high,20.010,10.000,19.353,15.076,4.180,5.000,0.000,no,not_applicable,population percentile 83.6; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
150,MO,Florissant,cog_2025_169130,169130,CITY OF FLORISSANT,municipal,51128,73.615,Tier 1,low,23.937,10.000,15.797,10.173,8.708,5.000,0.000,no,not_applicable,population percentile 97.4; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
151,NY,Long Beach,cog_2025_131248,131248,CITY OF LONG BEACH,municipal,34595,73.614,Tier 1,medium,23.318,10.000,16.739,10.760,7.798,5.000,0.000,no,not_applicable,population percentile 95.9; municipal/place; state evidence medium; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
152,WV,Parkersburg,cog_2025_177048,177048,CITY OF PARKERSBURG,municipal,29025,73.599,Tier 1,low,23.023,10.000,15.952,10.674,8.951,5.000,0.000,no,not_applicable,population percentile 95.1; municipal/place; state evidence low; smoothed yield component 16.0/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
153,OH,Chardon,cog_2025_191165,191165,CITY OF CHARDON,municipal,5239,73.597,Tier 1,high,19.328,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 80.4; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
154,MN,White Bear Lake,cog_2025_167606,167606,CITY OF WHITE BEAR LAKE,municipal,23363,73.589,Tier 1,medium,22.625,10.000,16.681,10.550,8.732,5.000,0.000,no,not_applicable,population percentile 93.8; municipal/place; state evidence medium; smoothed yield component 16.7/20; 3 county relationship(s); unscouted,next_two_to_four_priority_waves
155,LA,Alexandria,cog_2025_185750,185750,CITY OF ALEXANDRIA,municipal,43466,73.585,Tier 1,low,23.687,10.000,15.814,10.317,8.767,5.000,0.000,no,not_applicable,population percentile 96.8; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
156,OH,Fairlawn,cog_2025_172632,172632,CITY OF FAIRLAWN,municipal,7682,73.581,Tier 1,high,20.280,10.000,19.353,15.076,3.872,5.000,0.000,no,not_applicable,population percentile 84.7; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
157,OH,New Carlisle,cog_2025_172328,172328,CITY OF NEW CARLISLE,municipal,5494,73.569,Tier 1,high,19.450,10.000,19.353,15.076,4.690,5.000,0.000,no,not_applicable,population percentile 81.0; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
158,MO,Chesterfield,cog_2025_202069,202069,CITY OF CHESTERFIELD,municipal,49166,73.555,Tier 1,low,23.877,10.000,15.797,10.173,8.708,5.000,0.000,no,not_applicable,population percentile 97.2; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
159,MO,Blue Springs,cog_2025_168922,168922,CITY OF BLUE SPRINGS,municipal,60539,73.551,Tier 1,low,24.189,10.000,15.797,10.173,8.393,5.000,0.000,no,not_applicable,population percentile 97.9; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
160,OH,Blanchester,cog_2025_209040,209040,VILLAGE OF BLANCHESTER,municipal,4221,73.546,Tier 1,high,18.721,10.000,19.353,15.076,5.396,5.000,0.000,no,not_applicable,population percentile 77.4; municipal/place; state evidence high; smoothed yield component 19.4/20; 3 county relationship(s); unscouted,next_two_to_four_priority_waves
161,KS,Lenexa,cog_2025_208109,208109,CITY OF LENEXA,municipal,58536,73.540,Tier 1,low,24.137,10.000,15.729,10.349,8.325,5.000,0.000,no,not_applicable,population percentile 97.8; municipal/place; state evidence low; smoothed yield component 15.7/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
162,OH,Waterville,cog_2025_172511,172511,CITY OF WATERVILLE,municipal,6003,73.539,Tier 1,high,19.679,10.000,19.353,15.076,4.431,5.000,0.000,no,not_applicable,population percentile 82.1; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
163,LA,Bossier City,cog_2025_166038,166038,CITY OF BOSSIER CITY,municipal,62738,73.538,Tier 1,low,24.240,10.000,15.814,10.317,8.167,5.000,0.000,no,not_applicable,population percentile 98.0; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
164,OH,Swanton,cog_2025_194866,194866,VILLAGE OF SWANTON,municipal,3856,73.531,Tier 1,high,18.466,10.000,19.353,15.076,5.635,5.000,0.000,no,not_applicable,population percentile 76.1; municipal/place; state evidence high; smoothed yield component 19.4/20; 3 county relationship(s); unscouted,next_two_to_four_priority_waves
165,OH,Bluffton,cog_2025_132386,132386,VILLAGE OF BLUFFTON,municipal,3903,73.525,Tier 1,high,18.499,10.000,19.353,15.076,5.597,5.000,0.000,no,not_applicable,population percentile 76.3; municipal/place; state evidence high; smoothed yield component 19.4/20; 3 county relationship(s); unscouted,next_two_to_four_priority_waves
166,KS,Salina,cog_2025_225794,225794,CITY OF SALINA,municipal,45792,73.521,Tier 1,low,23.771,10.000,15.729,10.349,8.671,5.000,0.000,no,not_applicable,population percentile 97.0; municipal/place; state evidence low; smoothed yield component 15.7/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
167,OH,South Lebanon,cog_2025_172660,172660,CITY OF SOUTH LEBANON,municipal,6793,73.506,Tier 1,high,19.987,10.000,19.353,15.076,4.090,5.000,0.000,no,not_applicable,population percentile 83.5; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
168,CA,Lincoln,cog_2025_161230,161230,CITY OF LINCOLN,municipal,54538,73.499,Tier 1,high,24.031,10.000,18.043,13.079,3.346,5.000,0.000,no,not_applicable,population percentile 97.5; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
169,SD,Harrisburg,cog_2025_209478,209478,CITY OF HARRISBURG,municipal,9435,73.498,Tier 1,low,20.781,10.000,16.907,12.054,8.755,5.000,0.000,no,not_applicable,population percentile 87.0; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
170,CA,San Bruno,cog_2025_161265,161265,CITY OF SAN BRUNO,municipal,41327,73.478,Tier 1,high,23.610,10.000,18.043,13.079,3.746,5.000,0.000,no,not_applicable,population percentile 96.6; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
171,MN,Hastings,cog_2025_194570,194570,CITY OF HASTINGS,municipal,22121,73.476,Tier 1,medium,22.530,10.000,16.681,10.550,8.714,5.000,0.000,no,not_applicable,population percentile 93.5; municipal/place; state evidence medium; smoothed yield component 16.7/20; 3 county relationship(s); unscouted,next_two_to_four_priority_waves
172,OH,Toronto,cog_2025_172472,172472,CITY OF TORONTO,municipal,5190,73.476,Tier 1,high,19.301,10.000,19.353,15.076,4.746,5.000,0.000,no,not_applicable,population percentile 80.3; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_two_to_four_priority_waves
173,MN,Northfield,cog_2025_167620,167620,CITY OF NORTHFIELD,municipal,21020,73.474,Tier 1,medium,22.438,10.000,16.681,10.550,8.805,5.000,0.000,no,not_applicable,population percentile 93.2; municipal/place; state evidence medium; smoothed yield component 16.7/20; 3 county relationship(s); unscouted,next_two_to_four_priority_waves
