source_domain,verification_rows,verified_reachable,unavailable,blocked_or_timeout,verification_error,global_analysis_readiness
cityofhobart.org,2,2,0,0,0,false
cityofhoonah.org,2,0,2,0,0,false
cityofhorseshoebendar.com,1,0,1,0,0,false
cityofhoward.com,1,1,0,0,0,false
cityofhubbard.org,2,0,2,0,0,false
cityofhumbletx.gov,2,2,0,0,0,false
cityofinman.org,1,1,0,0,0,false
cityofirondaleal.gov,2,2,0,0,0,false
cityofithacany.gov,1,0,1,0,0,false
cityofittabena.gov,1,0,1,0,0,false
cityofjeannette.com,4,4,0,0,0,false
cityofjeffersoniowa.org,2,2,0,0,0,false
cityofjennings.com,1,1,0,0,0,false
cityofkasson.com,1,1,0,0,0,false
cityofkaty.com,1,0,1,0,0,false
cityofkennettmo.com,1,1,0,0,0,false
cityofkeokuk.org,2,2,0,0,0,false
cityofkettlefalls.org,2,2,0,0,0,false
cityofkewanee.com,1,1,0,0,0,false
cityofkilgore.civicweb.net,1,1,0,0,0,false
cityofkilgore.com,1,0,1,0,0,false
cityofkingsburg-ca.gov,3,2,1,0,0,false
cityofkingsville.com,3,3,0,0,0,false
cityofkittitas.com,1,0,0,1,0,false
cityofkm.com,1,0,1,0,0,false
cityoflacey.org,1,1,0,0,0,false
cityoflacrescent-mn.gov,1,0,1,0,0,false
cityofladysmithwi.com,2,2,0,0,0,false
cityoflakeside.org,2,0,2,0,0,false
cityoflakewood.us,1,1,0,0,0,false
cityoflamesa.gov,1,1,0,0,0,false
cityoflancasterky.com,2,2,0,0,0,false
cityoflandrumsc.com,1,1,0,0,0,false
cityoflanett.com,1,1,0,0,0,false
cityoflangdon.com,2,2,0,0,0,false
cityoflapwai.gov,2,0,2,0,0,false
cityoflawrence.org,1,1,0,0,0,false
cityoflead.com,1,1,0,0,0,false
cityofleavenworth.com,2,2,0,0,0,false
cityoflennoxsd.community.highbond.com,1,1,0,0,0,false
cityoflenoir.com,1,1,0,0,0,false
cityoflesueur.com,2,2,0,0,0,false
cityoflex.com,1,1,0,0,0,false
cityoflibby.com,1,1,0,0,0,false
cityoflilburn.com,1,0,1,0,0,false
cityoflincolnnd.com,1,0,1,0,0,false
cityoflittlefalls.com,1,1,0,0,0,false
cityoflittleflock.com,2,2,0,0,0,false
cityoflivingston.org,3,0,3,0,0,false
cityoflonetree.civicweb.net,2,2,0,0,0,false
cityoflonoke.squarespace.com,3,3,0,0,0,false
cityoflosalamitos.org,2,0,2,0,0,false
cityofloudontn.org,2,2,0,0,0,false
cityoflovelock.com,1,1,0,0,0,false
cityoflucedale.com,2,2,0,0,0,false
cityoflumberton.com,1,1,0,0,0,false
cityofluverne.legistar.com,1,1,0,0,0,false
cityoflyndon.org,1,0,1,0,0,false
cityoflyons.org,1,1,0,0,0,false
cityofmabton.com,1,0,1,0,0,false
cityofmacomb.com,1,1,0,0,0,false
cityofmacon-mo.gov,2,0,2,0,0,false
cityofmaize.org,1,0,1,0,0,false
cityofmalta.com,2,2,0,0,0,false
cityofmanchestertn.gov,1,0,1,0,0,false
cityofmandeville.com,3,0,0,3,0,false
cityofmannford.com,1,1,0,0,0,false
cityofmannington.com,3,1,2,0,0,false
cityofmansfield.net,3,3,0,0,0,false
cityofmanvel.com,2,0,2,0,0,false
cityofmarianna.com,1,0,1,0,0,false
cityofmartinsd.com,1,0,0,1,0,false
cityofmarysvilleks.com,3,3,0,0,0,false
cityofmauldin.org,2,2,0,0,0,false
cityofmccook.com,1,0,1,0,0,false
cityofmedinatn.org,1,1,0,0,0,false
cityofmena.org,1,0,1,0,0,false
cityofmendota.com,2,2,0,0,0,false
cityofmillbrook.org,2,2,0,0,0,false
cityofmillvalley.gov,4,1,3,0,0,false
cityofmilton.net,1,0,1,0,0,false
cityofminnetrista.gov,2,0,2,0,0,false
cityofmoberly.com,1,0,1,0,0,false
cityofmonessen.com,3,3,0,0,0,false
cityofmontevallo.com,1,1,0,0,0,false
cityofmontrose.org,3,0,3,0,0,false
cityofmorrilton.com,1,0,0,1,0,false
cityofmountainhome.com,1,0,1,0,0,false
cityofmoxee.us,2,2,0,0,0,false
cityofmtvernon-ia.gov,2,2,0,0,0,false
cityofmulberryfl.org,1,0,1,0,0,false
cityofmuscleshoals.com,2,2,0,0,0,false
cityofnegaunee.com,1,1,0,0,0,false
cityofnenana.com,2,2,0,0,0,false
cityofnevadaiowa.org,1,1,0,0,0,false
cityofnewbaltimore.org,1,1,0,0,0,false
cityofnewcastle.net,5,5,0,0,0,false
cityofnewman.gov,1,1,0,0,0,false
cityofnewport-tn.com,1,1,0,0,0,false
cityofnewrockford.gov,2,2,0,0,0,false
cityofnitro.org,1,1,0,0,0,false
cityofnoble.org,2,2,0,0,0,false
cityofnorthfield.org,5,5,0,0,0,false
cityofnorton.com,2,0,2,0,0,false
cityofoakgrove.com,1,0,1,0,0,false
cityofocontofalls.com,2,2,0,0,0,false
cityofodessamo.com,1,1,0,0,0,false
cityofoneonta.us,3,3,0,0,0,false
cityoforangecove.com,1,1,0,0,0,false
cityoforinda.gov,4,2,2,0,0,false
cityoforland.com,1,1,0,0,0,false
cityoforofino.org,2,2,0,0,0,false
cityoforting.org,1,0,1,0,0,false
cityofpadencity.com,1,1,0,0,0,false
cityofpage.org,2,2,0,0,0,false
cityofpalestinetx.com,3,2,1,0,0,false
cityofpaola.com,1,0,0,1,0,false
cityofparkriver.com,1,1,0,0,0,false
cityofparkston.org,4,4,0,0,0,false
cityofparsonswv.com,2,2,0,0,0,false
cityofpattersonla.gov,1,1,0,0,0,false
cityofpdc.com,2,2,0,0,0,false
cityofpearidge.com,1,0,1,0,0,false
cityofperryville.com,2,2,0,0,0,false
cityofperu.org,1,1,0,0,0,false
cityofpetal.com,1,0,0,1,0,false
cityofpetersburgwv.gov,2,2,0,0,0,false
cityofpevelymo.gov,1,0,1,0,0,false
cityofpg.com,2,2,0,0,0,false
cityofpickens.com,3,2,1,0,0,false
cityofpigeonforgetn.gov,1,1,0,0,0,false
cityofpilotrock.org,4,0,4,0,0,false
cityofplacerville.org,3,3,0,0,0,false
cityofplainviewne.com,1,1,0,0,0,false
cityofplankinton.com,1,1,0,0,0,false
cityofplanoil.com,1,1,0,0,0,false
cityofponderay.org,2,2,0,0,0,false
cityofportlandtn.gov,1,1,0,0,0,false
cityofportstjoe.com,1,1,0,0,0,false
cityofpowdersprings.org,1,1,0,0,0,false
cityofprattks.com,1,1,0,0,0,false
cityofprosser.com,1,0,1,0,0,false
cityofpsl.com,1,0,1,0,0,false
cityofrainier.com,1,1,0,0,0,false
cityofravenswood.com,1,0,0,1,0,false
cityofraymond.com,1,1,0,0,0,false
cityofredding.gov,2,2,0,0,0,false
cityofredlodge.net,1,0,1,0,0,false
cityofreedsport.org,1,0,1,0,0,false
cityofrichardtonnd.com,3,3,0,0,0,false
cityofrichmond.net,1,0,1,0,0,false
cityofrichwoodwv.com,1,1,0,0,0,false
cityofrigby.gov,1,1,0,0,0,false
cityofripon.org,4,0,4,0,0,false
cityofritzville.com,1,1,0,0,0,false
cityofrobertsidaho.gov,1,1,0,0,0,false
cityofrobins.org,1,1,0,0,0,false
cityofrogueriver.org,2,2,0,0,0,false
cityofrosehill.com,2,2,0,0,0,false
cityofroxboro.com,2,0,2,0,0,false
cityofsachse.com,1,0,1,0,0,false
cityofsafford.us,1,0,1,0,0,false
cityofsalemnj.gov,1,1,0,0,0,false
cityofsalida.com,1,0,1,0,0,false
cityofsanmateo.org,2,0,2,0,0,false
cityofsanteeca.gov,2,1,1,0,0,false
cityofsatsuma.com,2,2,0,0,0,false
cityofsavannah.org,2,2,0,0,0,false
cityofscobey.com,1,0,1,0,0,false
cityofscotland.com,2,0,0,2,0,false
cityofscottsville.org,1,0,1,0,0,false
cityofsearcy.org,2,2,0,0,0,false
cityofsebastian.org,1,0,1,0,0,false
cityofsebastopol.gov,2,2,0,0,0,false
cityofseymourwi.org,2,2,0,0,0,false
cityofshastalake.gov,3,1,2,0,0,false
cityofshelley.org,1,1,0,0,0,false
cityofsheridanor.com,1,1,0,0,0,false
cityofsidney.org,1,1,0,0,0,false
cityofsignalhill.legistar.com,1,1,0,0,0,false
cityofsimpsonvilleky.com,1,1,0,0,0,false
cityofskiatook.com,1,1,0,0,0,false
cityofsolanabeach.ca.gov,2,2,0,0,0,false
cityofsomerset.com,2,2,0,0,0,false
cityofsomerton.civicweb.net,1,1,0,0,0,false
cityofsouthelmonte.org,2,1,1,0,0,false
cityofsouthfield.com,1,1,0,0,0,false
cityofsouthgate.org,1,0,1,0,0,false
cityofsouthlake.com,2,2,0,0,0,false
cityofsouthside.com,2,2,0,0,0,false
cityofspartanburg.org,1,1,0,0,0,false
cityofspencerok.gov,2,0,2,0,0,false
cityofspiritlake.org,1,1,0,0,0,false
cityofstanfield.com,1,0,1,0,0,false
cityofstcharlesmn.gov,1,1,0,0,0,false
cityofstclairmi.gov,2,2,0,0,0,false
cityofstgabriel.us,1,0,0,1,0,false
cityofstilwell.com,1,1,0,0,0,false
cityofstjohn.org,1,1,0,0,0,false
cityofstorycity.org,3,3,0,0,0,false
cityofsublimity.org,2,0,2,0,0,false
cityofsugarhill.com,1,1,0,0,0,false
cityofsuperior.org,2,0,2,0,0,false
cityofswartzcreek.org,1,0,1,0,0,false
cityofswartzcreekmi.gov,2,2,0,0,0,false
cityoftahlequah.com,4,1,3,0,0,false
cityoftalent.org,1,0,1,0,0,false
cityoftarrant.com,1,0,0,1,0,false
cityofterrell.org,4,0,4,0,0,false
cityofthomaston.com,1,1,0,0,0,false
cityoftoledo.org,1,0,1,0,0,false
cityoftomahawkwi.com,1,1,0,0,0,false
cityoftrenton.com,1,1,0,0,0,false
cityofulysses.com,2,0,2,0,0,false
cityofunionky.org,1,1,0,0,0,false
cityofvale.com,2,2,0,0,0,false
cityofvalleysprings.com,1,1,0,0,0,false
cityofvalleyspringssd.gov,1,1,0,0,0,false
cityofvanburenar.gov,1,0,1,0,0,false
cityofvancouver.us,4,4,0,0,0,false
cityofvidaliala.com,2,2,0,0,0,false
cityofvilonia.net,2,2,0,0,0,false
cityofvinton.com,1,1,0,0,0,false
cityofwallowa.weebly.com,1,1,0,0,0,false
cityofwalton.org,3,3,0,0,0,false
cityofwapatofiredepartment.org,1,1,0,0,0,false
cityofwarden.org,1,1,0,0,0,false
cityofwarren.us,1,1,0,0,0,false
cityofwarrenpa.gov,2,2,0,0,0,false
cityofwauchula.gov,1,1,0,0,0,false
cityofwayne.org,2,2,0,0,0,false
cityofweatherford.com,3,3,0,0,0,false
cityofweiser.net,1,1,0,0,0,false
cityofwessingtonsprings.com,1,1,0,0,0,false
cityofwestfield.org,1,0,1,0,0,false
cityofwestmiamifl.com,1,1,0,0,0,false
cityofwestonwv.com,1,0,1,0,0,false
cityofwestpark.org,1,0,1,0,0,false
cityofwilber.com,1,1,0,0,0,false
cityofwillows.org,2,0,2,0,0,false
cityofwinder.com,1,0,1,0,0,false
cityofwinlock.com,2,1,1,0,0,false
cityofwoodlake.com,1,1,0,0,0,false
cityofwoodward-ok.gov,2,2,0,0,0,false
cityofwymore.com,1,1,0,0,0,false
cityofwyndmere.com,2,2,0,0,0,false
cityofwynne.gov,2,2,0,0,0,false
cityofyamhill.org,1,1,0,0,0,false
cityofyork.ne.gov,1,0,1,0,0,false
cityofypsilanti.com,3,0,3,0,0,false
cityofzachary.thinkx.net,1,0,0,1,0,false
cityofzeeland.com,1,0,1,0,0,false
cityquitman.net,1,1,0,0,0,false
cityview.springfieldmo.gov,1,1,0,0,0,false
civiciq.com,2,0,2,0,0,false
claremore.com,1,1,0,0,0,false
clarendonvt.gov,1,1,0,0,0,false
clarioniowa.gov,1,1,0,0,0,false
clarkdale.az.gov,2,0,2,0,0,false
clarkforkidaho.gov,1,1,0,0,0,false
clarkston-wa.com,3,3,0,0,0,false
clarkstonga.gov,1,1,0,0,0,false
clayalabama.org,2,0,0,2,0,false
clearlakesd.com,2,2,0,0,0,false
cleat.org,4,3,1,0,0,false
cleelum.gov,1,1,0,0,0,false
clemmons.org,2,2,0,0,0,false
clemsoncity.org,2,2,0,0,0,false
clerk.kcmo.gov,1,1,0,0,0,false
clerkshq.com,1,1,0,0,0,false
clevelandohio.gov,2,2,0,0,0,false
clevelandtexas.com,2,1,1,0,0,false
clewiston-fl.gov,1,0,1,0,0,false
clients.municipalimpact.com,1,1,0,0,0,false
cliftonforgeva.gov,1,1,0,0,0,false
clintonct.org,2,0,2,0,0,false
clintonma.gov,2,1,1,0,0,false
clintonmo.com,1,1,0,0,0,false
clintontownship.com,4,0,4,0,0,false
clintonvillewi.org,1,0,1,0,0,false
cloudcroftvillage.com,3,3,0,0,0,false
cloverdale.net,2,0,2,0,0,false
cloversc.org,1,1,0,0,0,false
clydehill.civicweb.net,2,2,0,0,0,false
clydeparkmt.net,2,2,0,0,0,false
cms1files.revize.com,9,9,0,0,0,false
cms2.revize.com,45,41,4,0,0,false
cms2files.revize.com,1,1,0,0,0,false
cms3.revize.com,50,38,12,0,0,false
cms4files.revize.com,5,5,0,0,0,false
cms4files1.revize.com,5,4,1,0,0,false
cms5.revize.com,26,19,7,0,0,false
cms6.revize.com,17,16,1,0,0,false
cms7files.revize.com,20,19,1,0,0,false
cms7files1.revize.com,5,3,2,0,0,false
cms8.revize.com,30,27,3,0,0,false
cms9files.revize.com,27,20,7,0,0,false
cms9files1.revize.com,1,1,0,0,0,false
cmsarchive.civicplus.com,1,1,0,0,0,false
co-parkerintranet.civicplus.com,1,1,0,0,0,false
coalvillecity.gov,1,0,1,0,0,false
cocoabeach.granicus.com,1,1,0,0,0,false
codelibrary.amlegal.com,142,12,130,0,0,false
codemgmt.net,1,1,0,0,0,false
codepublishing.com,1,0,1,0,0,false
coffeyville.com,2,2,0,0,0,false
cofh.org,6,0,6,0,0,false
colchesterct.gov,4,4,0,0,0,false
colchestervt.gov,2,0,2,0,0,false
coldspringky.gov,1,1,0,0,0,false
colerain.org,1,0,1,0,0,false
colleyville.com,3,0,3,0,0,false
collingdaleborough.org,1,1,0,0,0,false
colonialbeachva.gov,1,0,1,0,0,false
colonialheightsva.gov,1,1,0,0,0,false
columbiacity.net,2,2,0,0,0,false
columbiail.gov,3,0,3,0,0,false
columbiatn.gov,1,0,1,0,0,false
columbus.gov,3,0,3,0,0,false
columbusgrove.org,1,1,0,0,0,false
columbusks.gov,1,1,0,0,0,false
combinedlocks.org,1,1,0,0,0,false
commerce.alaska.gov,16,16,0,0,0,false
commerceca.gov,1,0,1,0,0,false
concordma.gov,3,0,3,0,0,false
connellsville.us,2,2,0,0,0,false
conovernc.gov,1,1,0,0,0,false
conshohockenpa.gov,1,1,0,0,0,false
content.govdelivery.com,1,1,0,0,0,false
conwaysc.gov,1,1,0,0,0,false
conyersga.com,1,0,1,0,0,false
coolbaughtwp.org,1,1,0,0,0,false
coolidgeaz.com,2,2,0,0,0,false
coonrapidsmn.gov,1,1,0,0,0,false
cooperstownnd.com,2,2,0,0,0,false
corcoranmn.gov,2,1,1,0,0,false
corcoranmn.granicus.com,1,1,0,0,0,false
cordelega.gov,2,0,2,0,0,false
core-docs.s3.amazonaws.com,4,4,0,0,0,false
core-docs.s3.us-east-1.amazonaws.com,8,8,0,0,0,false
cornelius.novusagenda.com,1,1,0,0,0,false
coronado.ca.us,5,5,0,0,0,false
corrypa.org,2,1,1,0,0,false
cortemadera.gov,1,0,1,0,0,false
cortezco.gov,2,1,1,0,0,false
cotaticity.gov,3,0,3,0,0,false
cottagecitymd.gov,1,0,1,0,0,false
cottonwoodheights.utah.gov,1,0,1,0,0,false
countryclubhills.org,2,2,0,0,0,false
courts.ri.gov,1,1,0,0,0,false
coventry-ct.gov,3,2,1,0,0,false
coventryri.civicweb.net,2,1,1,0,0,false
covinaca.gov,2,2,0,0,0,false
covla.com,2,2,0,0,0,false
cowtx.org,3,1,2,0,0,false
cpsm.us,1,1,0,0,0,false
craigak.com,2,0,2,0,0,false
cranfordnj.org,1,0,1,0,0,false
creditriver-mn.gov,1,0,1,0,0,false
creighton.org,1,1,0,0,0,false
cresskillboro.com,2,2,0,0,0,false
crestonvillage.org,1,1,0,0,0,false
crestwood.granicus.com,1,1,0,0,0,false
crgov.com,1,1,0,0,0,false
cromwellct.com,1,0,1,0,0,false
cromwellfd.org,2,0,2,0,0,false
crookston.mn.us,2,2,0,0,0,false
crooksville.com,2,2,0,0,0,false
crossvilletn.legistar.com,1,1,0,0,0,false
crystalriverfl.org,3,0,3,0,0,false
csboro.org,1,1,0,0,0,false
csealocal834.org,4,4,0,0,0,false
ctdol.state.ct.us,2,0,0,2,0,false
cubanm.gov,1,1,0,0,0,false
culbertsonmt.com,2,1,0,1,0,false
cullmanal.gov,1,0,1,0,0,false
culpeperva.gov,1,1,0,0,0,false
cumberlandmaine.com,3,0,3,0,0,false
cumrutownship.com,2,2,0,0,0,false
currycountynm.gov,2,0,2,0,0,false
cwa1031.org,1,1,0,0,0,false
d2kbkoa27fdvtw.cloudfront.net,2,2,0,0,0,false
d3n9y02raazwpg.cloudfront.net,28,27,1,0,0,false
daconoco.gov,2,1,1,0,0,false
dadecityfl.civicweb.net,3,3,0,0,0,false
dailyherald.com,2,2,0,0,0,false
dailyleader.com,1,1,0,0,0,false
dalharttx.gov,1,0,1,0,0,false
dallasga.gov,1,0,0,1,0,false
dalycity.org,2,0,2,0,0,false
dam.assets.ohio.gov,67,67,0,0,0,false
danversma.gov,3,3,0,0,0,false
danvillein.gov,2,2,0,0,0,false
danvilleky.org,2,1,1,0,0,false
danvillevt.gov,2,0,2,0,0,false
daphneal.com,2,0,2,0,0,false
darbymt.net,1,1,0,0,0,false
darienct.gov,2,0,2,0,0,false
dartmouthma.gov,2,1,1,0,0,false
data.mo.gov,1,1,0,0,0,false
davidcityne.com,2,2,0,0,0,false
daytonky.com,1,1,0,0,0,false
daytonva.us,2,0,0,2,0,false
dbshores.org,2,1,1,0,0,false
dca.georgia.gov,2,2,0,0,0,false
decatur.civicweb.net,1,1,0,0,0,false
decatur.novusagenda.com,1,1,0,0,0,false
dedham-ma.gov,1,0,1,0,0,false
deerfield.granicus.com,1,1,0,0,0,false
defuniaksprings.net,1,0,1,0,0,false
dehayf5mhw1h7.cloudfront.net,1,1,0,0,0,false
delcocog.wordpress.com,4,4,0,0,0,false
delhitownshipmi.gov,1,1,0,0,0,false
delrionews.com,1,1,0,0,0,false
delta.utah.gov,1,0,0,1,0,false
deltajunction.us,2,2,0,0,0,false
demopolisal.gov,1,1,0,0,0,false
denisonia.com,1,1,0,0,0,false
denisontx.gov,1,1,0,0,0,false
dentonisd.org,1,1,0,0,0,false
dentonmaryland.com,1,1,0,0,0,false
denver.legistar.com,1,1,0,0,0,false
deperewi.gov,1,1,0,0,0,false
derbyvt.org,1,1,0,0,0,false
derrynh.gov,3,0,3,0,0,false
desperesmo.org,2,0,2,0,0,false
detroitlakesmn.govoffice3.com,2,2,0,0,0,false
detroitmi.gov,1,1,0,0,0,false
dewittmi.gov,1,1,0,0,0,false
dewitttownship.gov,1,1,0,0,0,false
dhaz.gov,1,0,1,0,0,false
dhaz.granicus.com,1,1,0,0,0,false
diamondvillewyo.com,3,3,0,0,0,false
dickinsontexas.gov,2,2,0,0,0,false
dicksoncity-pa.gov,1,1,0,0,0,false
dillinghamak.us,1,0,0,1,0,false
district65.net,1,1,0,0,0,false
districtheights.org,2,0,2,0,0,false
dixongov.com,4,0,3,1,0,false
dlg.usg.edu,6,6,0,0,0,false
dobbsferry.com,1,1,0,0,0,false
docs.cityofbrenham.org,1,1,0,0,0,false
docs.elkridgecity.org,1,1,0,0,0,false
docs.google.com,1,1,0,0,0,false
docs.stjvt.com,3,3,0,0,0,false
documentcloud.org,1,1,0,0,0,false
doczz.net,1,0,1,0,0,false
dodgevillewi.gov,1,0,0,1,0,false
dol.ny.gov,3,3,0,0,0,false
donaldoregon.gov,2,2,0,0,0,false
dorrtownship.com,1,1,0,0,0,false
douglasaz.gov,2,0,2,0,0,false
dover-foxcroft.org,2,1,1,0,0,false
doverboroughpa.com,2,2,0,0,0,false
downingtown.org,1,0,1,0,0,false
doylestownpa.org,1,1,0,0,0,false
dracutma.gov,5,0,5,0,0,false
driggsidaho.org,1,1,0,0,0,false
drive.google.com,18,18,0,0,0,false
dropbox.com,4,4,0,0,0,false
drydenvillageny.gov,1,0,1,0,0,false
dublinohiousa.gov,1,1,0,0,0,false
dublintown.org,2,0,2,0,0,false
duncanaz.us,2,2,0,0,0,false
dundeevillagemi.gov,1,0,1,0,0,false
dunwoodyga.gov,2,0,2,0,0,false
dupagecounty.gov,1,1,0,0,0,false
dupontwa.gov,1,0,1,0,0,false
durangoco.gov,2,0,2,0,0,false
durant.org,4,1,3,0,0,false
duvallwa.gov,2,0,2,0,0,false
dvlnd.com,1,0,1,0,0,false
eab.iowa.gov,17,17,0,0,0,false
eaglegrove.gov,1,1,0,0,0,false
eaglene.gov,1,1,0,0,0,false
eastbridgewaterma.gov,5,0,5,0,0,false
eastchicago.com,4,4,0,0,0,false
eastgoshen.org,2,2,0,0,0,false
eastgrandforks.gov,2,2,0,0,0,false
eastgreenwichri.gov,4,0,4,0,0,false
eastgrmi.gov,2,1,1,0,0,false
easthaddam.org,2,1,1,0,0,false
easthamptonct.gov,1,0,1,0,0,false
easthartfordct.gov,2,2,0,0,0,false
easthaven-ct.gov,1,1,0,0,0,false
easthelenamt.us,2,2,0,0,0,false
eastlampetertownship.org,2,2,0,0,0,false
eastlongmeadowma.gov,2,0,2,0,0,false
eastpennsd.org,1,1,0,0,0,false
eastpointga.gov,1,1,0,0,0,false
eastport-me.gov,2,2,0,0,0,false
eastridgetn.gov,2,2,0,0,0,false
eastrutherfordnj.net,1,0,1,0,0,false
eastwhiteland.org,1,0,1,0,0,false
eastwindsor-ct.gov,1,0,1,0,0,false
eatonville-wa.gov,3,3,0,0,0,false
ecasd.us,1,1,0,0,0,false
ecode360.com,228,0,228,0,0,false
ecommons.cornell.edu,24,24,0,0,0,false
economyborough.org,1,1,0,0,0,false
edgewaterco.gov,1,0,1,0,0,false
edgewoodky.gov,1,1,0,0,0,false
edinboro.net,1,1,0,0,0,false
edinburgh.in.us,1,1,0,0,0,false
edmonstonmd.gov,1,1,0,0,0,false
egovlink.com,2,2,0,0,0,false
ehop.org,1,1,0,0,0,false
eldoks.gov,3,1,2,0,0,false
elgintexas.gov,1,0,1,0,0,false
elizabethcitync.gov,2,2,0,0,0,false
elkins.arkansas.gov,2,2,0,0,0,false
elkonewmarketmn.gov,1,1,0,0,0,false
elkpoint.org,1,0,1,0,0,false
elktonsd.com,2,2,0,0,0,false
ellendale.delaware.gov,1,1,0,0,0,false
ellendalend.gov,2,2,0,0,0,false
ellettsville.in.us,3,3,0,0,0,false
ellington-ct.gov,1,1,0,0,0,false
ellisville.mo.us,2,0,2,0,0,false
ellsworthks.net,2,2,0,0,0,false
elmgrovewi.org,3,2,1,0,0,false
elmhurst205.org,2,2,0,0,0,false
elmonteca.gov,1,0,1,0,0,false
elmwoodpark.org,1,1,0,0,0,false
eloyaz.gov,1,0,1,0,0,false
elpasotexas.gov,1,1,0,0,0,false
elrb.illinois.gov,2,1,1,0,0,false
elrenook.gov,4,1,3,0,0,false
elsegundo.gov,1,0,1,0,0,false
eltownhall.com,3,2,1,0,0,false
elwood-in.com,1,1,0,0,0,false
emerson-village.nebraska.gov,1,1,0,0,0,false
emeryville.org,3,0,3,0,0,false
emmetsburg.lib.ia.us,1,1,0,0,0,false
employee.siloamsprings.com,1,1,0,0,0,false
emrb.nv.gov,6,6,0,0,0,false
enfield-ct.gov,1,0,1,0,0,false
enfieldnh.gov,1,0,1,0,0,false
englewoodgov.civicweb.net,3,3,0,0,0,false
ennismontana.org,3,0,3,0,0,false
ennistx.civicweb.net,2,2,0,0,0,false
ennistx.gov,1,1,0,0,0,false
enterpriseutah.org,1,1,0,0,0,false
epsilon.creativecirclecdn.com,1,1,0,0,0,false
epsomnh.gov,1,0,1,0,0,false
erd.dli.mt.gov,1,1,0,0,0,false
essexct.gov,3,0,3,0,0,false
essexvt.gov,2,0,2,0,0,false
eufaulaalabama.com,2,0,2,0,0,false
eureka-mt.gov,1,1,0,0,0,false
eurekasd.com,1,1,0,0,0,false
evanscolorado.gov,2,2,0,0,0,false
evansvillewi.gov,1,0,1,0,0,false
evergreenpark-ill.com,3,0,3,0,0,false
evocloud-prod3-public.s3.us-east-2.amazonaws.com,1,1,0,0,0,false
evogov.s3.amazonaws.com,1,1,0,0,0,false
evogov.s3.us-west-2.amazonaws.com,3,3,0,0,0,false
evscschools.com,1,1,0,0,0,false
exeternh.gov,3,0,0,3,0,false
exeterri.gov,1,0,1,0,0,false
exmore.org,1,1,0,0,0,false
fairburyne.org,1,1,0,0,0,false
fairfield-me.gov,2,2,0,0,0,false
fairfield.ca.gov,1,0,1,0,0,false
fairfieldbayar.com,3,3,0,0,0,false
fairfieldct.qscend.com,1,1,0,0,0,false
fairhaven-ma.gov,3,3,0,0,0,false
fairhavennj.org,2,2,0,0,0,false
fairhavenvt.gov,3,3,0,0,0,false
fairhopeal.gov,1,0,1,0,0,false
fairmont.org,1,1,0,0,0,false
fairmountheightsmd.gov,2,1,1,0,0,false
fairoaksranchtx.org,1,1,0,0,0,false
fairportharbor.org,1,0,1,0,0,false
fairview-tn.org,1,1,0,0,0,false
fairviewmt.com,1,1,0,0,0,false
fallschurch-va.granicus.com,1,1,0,0,0,false
fallschurchva.gov,2,0,2,0,0,false
fallscitynebraska.org,1,1,0,0,0,false
falmouthma.gov,2,0,2,0,0,false
farmgov.com,2,2,0,0,0,false
farmingdalevillage.gov,1,1,0,0,0,false
farmington-ct.org,3,0,3,0,0,false
farmington-maine.org,1,1,0,0,0,false
farmvilleva.gov,1,0,1,0,0,false
fatetx.gov,1,1,0,0,0,false
faulktonsd.com,3,3,0,0,0,false
fayetteville-ga.gov,4,4,0,0,0,false
fayettevillewv.gov,2,2,0,0,0,false
fcjournal.net,1,1,0,0,0,false
fclib.org,1,0,0,1,0,false
fentontownship.org,1,0,1,0,0,false
ferrisburghvt.org,3,3,0,0,0,false
festusmo.gov,3,3,0,0,0,false
files-backend.assets.thrillshare.com,15,12,3,0,0,false
files.cityofredding.gov,1,1,0,0,0,false
files.culpeperva.gov,2,2,0,0,0,false
files.frontdeskgworks.com,2,2,0,0,0,false
files.heygov.com,8,7,1,0,0,false
files.lasvegasnevada.gov,3,3,0,0,0,false
files.municipalone.com,2,2,0,0,0,false
fillmoreca.gov,3,1,2,0,0,false
fillmoreutah.gov,1,1,0,0,0,false
firebaugh.org,4,3,0,1,0,false
firestoneco.gov,2,2,0,0,0,false
flauditor.gov,1,1,0,0,0,false
fletchernc.org,2,1,1,0,0,false
fliphtml5.com,1,0,1,0,0,false
florenceaz.gov,3,0,0,3,0,false
floridacityfl.gov,1,0,1,0,0,false
folcroftborough.com,1,1,0,0,0,false
fontanaca.gov,1,1,0,0,0,false
fop.org,1,1,0,0,0,false
forestacres.net,1,1,0,0,0,false
forestheightsmd.gov,1,1,0,0,0,false
forestpark.net,6,0,6,0,0,false
forkstownship.org,1,1,0,0,0,false
formannd.com,2,2,0,0,0,false
forms.wytheville.org,1,1,0,0,0,false
forneytx.gov,4,4,0,0,0,false
forsythmt.info,2,2,0,0,0,false
fortcalhoun.org,2,2,0,0,0,false
fortluptonco.gov,2,1,1,0,0,false
fortmadison-ia.com,2,1,1,0,0,false
fortmadisonpd.com,1,1,0,0,0,false
fortmillsc.gov,1,1,0,0,0,false
fortmitchell.com,1,1,0,0,0,false
fortogov.com,1,1,0,0,0,false
fortpayne.org,2,2,0,0,0,false
fortpierre.com,1,1,0,0,0,false
fortthomasky.org,2,2,0,0,0,false
fortwrightky.gov,1,1,0,0,0,false
