path,size_bytes,git_status,tracked_or_ignored,classification,proposed_action,safety_basis,active_reference_count,manifest_or_hash_coverage,archive_target_path,deletion_allowed_flag,requires_manual_confirmation_flag,reason,verification_kind,verification_reference,sha256
tmp/combined_broad_text_extraction_4051_relay_2026-07-28_a59b21fa800057e3a060f6dde183cf5c5f5c47e7.zip,49907,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_bounded_pdf_text_span_capture_system_hardening_relay_2026-07-25_f891aea59d129ec533ee781088cf844bbe37811e,2968221,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_bounded_pdf_text_span_capture_system_hardening_relay_2026-07-25_f891aea59d129ec533ee781088cf844bbe37811e.zip,62ff65b9b5790d0b3fd6fecdce8289bfb7a590bc1f5f2f39bbabdc4671367feb
tmp/compensation_evidence_bounded_pdf_text_span_capture_system_hardening_relay_2026-07-25_f891aea59d129ec533ee781088cf844bbe37811e.zip,762643,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_bounded_qualitative_span_disambiguation_followup_relay_2026-07-25_e08035d.zip,711137,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_bounded_qualitative_span_residual_metadata_repair_relay_2026-07-25_5b14af5,2760610,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_bounded_qualitative_span_residual_metadata_repair_relay_2026-07-25_5b14af5.zip,95568f55845e3c3b46b1c02068d28e4352257fbde4976535ce3009ad4cb809d4
tmp/compensation_evidence_bounded_qualitative_span_residual_metadata_repair_relay_2026-07-25_5b14af5.zip,703921,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_bounded_schema_repair_followup_relay_2026-07-25_579cf0f,4917358,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_bounded_schema_repair_followup_relay_2026-07-25_579cf0f.zip,21fc1f914dbba2cc38b1851e6225044e8d8f00fe9b45c672d486be9bfcc7a619
tmp/compensation_evidence_bounded_schema_repair_followup_relay_2026-07-25_579cf0f.zip,1076111,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_claim_oriented_qa_rating_phase_close_relay_2026-07-25_4c6b816,48092,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_claim_oriented_qa_rating_phase_close_relay_2026-07-25_4c6b816.zip,9b5367d7be49f15fe58b98ddd957d6837b3bace90ce436e4c5b5b743a4b154f2
tmp/compensation_evidence_claim_oriented_qa_rating_phase_close_relay_2026-07-25_4c6b816.zip,29188,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_extraction_1000_onecase_relay_2026-07-25_b15e73f.zip,764809,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_extraction_1000_onecase_relay_2026-07-25_b15e73f_metadata,6498,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_extraction_1000_relay_2026-07-25_505306c,5778071,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_extraction_1000_relay_2026-07-25_505306c.zip,14a36d3b8df18ce06b66d0887a148252487fb17fe4a83e715a46e3de3e55f47e
tmp/compensation_evidence_extraction_1000_relay_2026-07-25_505306c.zip,1124433,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_extraction_1000_repair_relay_2026-07-25_b00c797,3953,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_extraction_1000_repair_relay_2026-07-25_b00c797.zip,1082752,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_extraction_500_relay_2026-07-25_a569606.zip,1958123,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_final_provisional_merge_prompt_prep_relay_2026-07-25_acfc1e817aa8b3fc32d108ccaf33d1c38d7f50d5,3196810,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_final_provisional_merge_prompt_prep_relay_2026-07-25_acfc1e817aa8b3fc32d108ccaf33d1c38d7f50d5.zip,5fb0810e827b496aca3d252f430dfe69545f8d1facc49164d41e15b366eb5b4a
tmp/compensation_evidence_final_provisional_merge_prompt_prep_relay_2026-07-25_acfc1e817aa8b3fc32d108ccaf33d1c38d7f50d5.zip,744913,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_final_provisional_merge_relay_2026-07-25_02a239d8b8529a27258b127d4fd49f304b0da989,2674988,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_final_provisional_merge_relay_2026-07-25_02a239d8b8529a27258b127d4fd49f304b0da989.zip,5c9c176870523cfb9a25aedf9c4d33e89a563c3ede113f241a8fb380282fed5a
tmp/compensation_evidence_final_provisional_merge_relay_2026-07-25_02a239d8b8529a27258b127d4fd49f304b0da989.zip,683990,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_6d03c37fbf2e3b98073f6b35c5298f5c7a6cb784,2682310,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_6d03c37fbf2e3b98073f6b35c5298f5c7a6cb784.zip,2bb914e33c9879ca3b2b81f8ac9cb3384f7964b81e95dd2dcd46a85789dd507a
tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_6d03c37fbf2e3b98073f6b35c5298f5c7a6cb784.zip,688292,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_aa2a473f0f997a37fb764587683955b738d306b3,2683112,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_aa2a473f0f997a37fb764587683955b738d306b3.zip,d1f461f078b77467f79b028262b7f40158c57c37cb5b39f044e2d8761516520a
tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_aa2a473f0f997a37fb764587683955b738d306b3.zip,688578,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_final_qa_categorization_gabriel_readiness_relay_2026-07-25_5b1e883,25796,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_final_qa_categorization_gabriel_readiness_relay_2026-07-25_5b1e883.zip,010e16cc33891c998762c0037497506ca527f37f0d22b61c810819eeb915986f
tmp/compensation_evidence_final_qa_categorization_gabriel_readiness_relay_2026-07-25_5b1e883.zip,20456,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_gabriel_claim_rating_35_quarantine_repair_relay_2026-07-25_9f252b9,15369,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_gabriel_claim_rating_35_quarantine_repair_relay_2026-07-25_9f252b9.zip,c599d4110d0f76148d2c0a4be680090ea517566dba7ca888da7106de3feb29a2
tmp/compensation_evidence_gabriel_claim_rating_35_quarantine_repair_relay_2026-07-25_9f252b9.zip,16181,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_gabriel_claim_rating_643_relay_2026-07-25_19bc7ca,21152,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_gabriel_claim_rating_643_relay_2026-07-25_19bc7ca.zip,eba1cbf2a7bdc79123958cb0ab7912ebce852d886fcb6bff7cf2631cc6bc6a0a
tmp/compensation_evidence_gabriel_claim_rating_643_relay_2026-07-25_19bc7ca.zip,16842,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_gabriel_claim_rating_summary_review_636_relay_2026-07-25_6751002,49084,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_gabriel_claim_rating_summary_review_636_relay_2026-07-25_6751002.zip,e1dbd3af6d2087868bb1bd47102de050d3aa7747be3a4f81b5b3268310888c08
tmp/compensation_evidence_gabriel_claim_rating_summary_review_636_relay_2026-07-25_6751002.zip,30482,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_limited_exact_span_qualitative_promotion_relay_2026-07-25_9052a30,88012,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_limited_exact_span_qualitative_promotion_relay_2026-07-25_9052a30.zip,d36d667ba2cb6ca49d22b8728b69532aa8e28b2747a319ee2e317de775cec994
tmp/compensation_evidence_limited_exact_span_qualitative_promotion_relay_2026-07-25_9052a30.zip,40211,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_limited_exact_span_qualitative_readiness_review_relay_2026-07-25_9767732798f4d5a9e0cb08c1edefee45dbccdae0,2812193,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_limited_exact_span_qualitative_readiness_review_relay_2026-07-25_9767732798f4d5a9e0cb08c1edefee45dbccdae0.zip,8dfddfdbddbe78bb5978843d0c999377b8cd125bf80f7969c670e4cf292ec3cd
tmp/compensation_evidence_limited_exact_span_qualitative_readiness_review_relay_2026-07-25_9767732798f4d5a9e0cb08c1edefee45dbccdae0.zip,716376,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_limited_exact_span_qualitative_usage_review_relay_2026-07-25_f723623,2890250,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_limited_exact_span_qualitative_usage_review_relay_2026-07-25_f723623.zip,76e2c0fe79ed5f1a30040e4ad09906e5d4fe94afc27116ae66cbb87f73a001b5
tmp/compensation_evidence_limited_exact_span_qualitative_usage_review_relay_2026-07-25_f723623.zip,727500,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_limited_qualitative_usage_layer_acceptance_relay_2026-07-25_016bc1b,2919887,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_limited_qualitative_usage_layer_acceptance_relay_2026-07-25_016bc1b.zip,bdbcb87f858b21227567bbd81c50a3343078618f5169bea246d60af982555461
tmp/compensation_evidence_limited_qualitative_usage_layer_acceptance_relay_2026-07-25_016bc1b.zip,719976,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_limited_qualitative_usage_layer_qa_review_relay_2026-07-25_8953392,2968469,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_limited_qualitative_usage_layer_qa_review_relay_2026-07-25_8953392.zip,a8cf8e135bf36a00791ac219cd938414df391415e0937e1dd612b0a63db8cb1a
tmp/compensation_evidence_limited_qualitative_usage_layer_qa_review_relay_2026-07-25_8953392.zip,743290,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_limited_qualitative_usage_layer_relay_2026-07-25_b6f97c0,2944555,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_limited_qualitative_usage_layer_relay_2026-07-25_b6f97c0.zip,15a937890b5578cfef0b3a5eafb9ac75cb29278d074f70c63f37b7707d7e2a90
tmp/compensation_evidence_limited_qualitative_usage_layer_relay_2026-07-25_b6f97c0.zip,740961,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_limited_qualitative_usage_registry_acceptance_relay_2026-07-25_02d3710,24720,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_limited_qualitative_usage_registry_acceptance_relay_2026-07-25_02d3710.zip,5d9fe50894c92cfbf3a3d621d8f76dfcee09179c7bb34ee6810cffd12d340113
tmp/compensation_evidence_limited_qualitative_usage_registry_acceptance_relay_2026-07-25_02d3710.zip,18824,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_limited_qualitative_usage_registry_review_relay_2026-07-25_f6c66ed,24665,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_limited_qualitative_usage_registry_review_relay_2026-07-25_f6c66ed.zip,3dcf057577168e478451fd92dfd1e30efaab424158c9c590f4bf97c52799cbea
tmp/compensation_evidence_limited_qualitative_usage_registry_review_relay_2026-07-25_f6c66ed.zip,20084,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_pipeline_hardening_readiness_accelerator_relay_2026-07-25_cf06781,107878,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_pipeline_hardening_readiness_accelerator_relay_2026-07-25_cf06781.zip,2e01175632d291d6dc2749763c6459fb0513cefb16966f1b41854c147bd629c5
tmp/compensation_evidence_pipeline_hardening_readiness_accelerator_relay_2026-07-25_cf06781.zip,60460,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_provisional_claim_review_636_relay_2026-07-25_a42b556.zip,28418,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_provisional_claim_review_636_relay_2026-07-25_a42b556_metadata,1971,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_qualitative_evidence_contract_followup_relay_2026-07-25_593d5e8.zip,715183,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_evidence_schema_repair_relay_2026-07-25_b6407970bbb69f11af4e8fa3b6692ae323890a8a,2743740,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_evidence_schema_repair_relay_2026-07-25_b6407970bbb69f11af4e8fa3b6692ae323890a8a.zip,50534198ff4da70438f12cb52f8d64b2672bdb2ee2c4a7e5165f25ddcef8baa8
tmp/compensation_evidence_schema_repair_relay_2026-07-25_b6407970bbb69f11af4e8fa3b6692ae323890a8a.zip,704360,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_extraction_1000_targeted_qa_relay_2026-07-25_0fc3ae5.zip,750036,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_extraction_1000_targeted_qa_relay_2026-07-25_0fc3ae5_metadata,5357,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_extraction_500_targeted_qa_relay_2026-07-25_513f6b8,6166210,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_extraction_500_targeted_qa_relay_2026-07-25_513f6b8.zip,c4d3481757401dac448c45b82f16a1ec10b95ca5f677e549fb68193ca97690dc
tmp/compensation_extraction_500_targeted_qa_relay_2026-07-25_513f6b8.zip,1358339,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_extraction_readable_parse_text_1826_independent_bounded_review_relay_2026-07-25_30fc55db984e7a4de8837e6534b327a87a42403c,3231439,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_extraction_readable_parse_text_1826_independent_bounded_review_relay_2026-07-25_30fc55db984e7a4de8837e6534b327a87a42403c.zip,2c5b038bcea0622f46b316a81104ed504d0c89402bb48117a7231717fe31f8a6
tmp/compensation_extraction_readable_parse_text_1826_independent_bounded_review_relay_2026-07-25_30fc55db984e7a4de8837e6534b327a87a42403c.zip,758167,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_extraction_readable_parse_text_1826_targeted_conflict_qa_relay_2026-07-25_f28c7f2,3242573,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_extraction_readable_parse_text_1826_targeted_conflict_qa_relay_2026-07-25_f28c7f2.zip,4a4361cf8736d456af5d0f47959f498a257e0e713f42605a72ee6688b9332ff2
tmp/compensation_extraction_readable_parse_text_1826_targeted_conflict_qa_relay_2026-07-25_f28c7f2.zip,756207,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_extraction_remaining_parse_text_onecase_relay_2026-07-25_61814d1,2800831,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_extraction_remaining_parse_text_onecase_relay_2026-07-25_61814d1.zip,2dda9e4ad850bf5ebcc9603d6071211175547d7e70d8014d8b2f97e105bf38b1
tmp/compensation_extraction_remaining_parse_text_onecase_relay_2026-07-25_61814d1.zip,717662,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_extraction_remaining_parse_text_relay_2026-07-25_16c33b1,5850161,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/compensation_extraction_remaining_parse_text_relay_2026-07-25_16c33b1.zip,bd0eb2299aa067f6c387202df072a171ade980b26fa071373319cd0337963b85
tmp/compensation_extraction_remaining_parse_text_relay_2026-07-25_16c33b1.zip,1215697,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/compensation_extraction_selection_probe,1193226,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/content_triage_framework_relay_2026-07-24_eccbd0d,4813684,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/content_triage_framework_relay_2026-07-24_eccbd0d.zip,fd3e2baa5d6b2ffa3eaff44c929aba0eb4e82d6a9618649a8f99331728336ed8
tmp/content_triage_framework_relay_2026-07-24_eccbd0d.zip,991519,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/content_triage_framework_validation_2026-07-24,14249,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/content_triage_full_universe_metadata_relay_2026-07-24_0097d30,14815948,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/content_triage_full_universe_metadata_relay_2026-07-24_0097d30.zip,78aad65e885d5fb5d2a7658b82a099a5a156cb37fb5bdb4d6b496def7e1e10c8
tmp/content_triage_full_universe_metadata_relay_2026-07-24_0097d30.zip,2548137,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/content_triage_full_universe_metadata_serial_merge_relay_2026-07-24_79df80c,17260983,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/content_triage_full_universe_metadata_serial_merge_relay_2026-07-24_79df80c.zip,e90e7ab351c22f0b3f4b76499ba00e73d333d552dbb4cb4055f6e52f7016fd1f
tmp/content_triage_full_universe_metadata_serial_merge_relay_2026-07-24_79df80c.zip,2243117,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/content_triage_full_universe_metadata_serial_merge_validation_2026-07-24,18232,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/content_triage_round1_metadata_only_relay_2026-07-24_4a49f93,4088616,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/content_triage_round1_metadata_only_relay_2026-07-24_4a49f93.zip,e5373fae3418924e1b0146183fd81509ae0536afd10cc4e50d969669a3105413
tmp/content_triage_round1_metadata_only_relay_2026-07-24_4a49f93.zip,816649,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/content_triage_rounds,8358477,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/coordinator_150row_serial_live_direct_sdk_2026-07-21,4041283,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/coordinator_150row_serial_live_dry_run_2026-07-21,1144537,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/coordinator_150row_serial_live_evidence_2026-07-21,17343,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/coordinator_150row_serial_live_relay_2026-07-21_f6f4376,22567516,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/coordinator_150row_serial_live_relay_2026-07-21_f6f4376.zip,163cb30457ee7dafe0bcdb1195d0643107ecf10871f8e6df8f6c6a98b008933e
tmp/coordinator_150row_serial_live_relay_2026-07-21_f6f4376.zip,1866938,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/coordinator_150row_serial_live_smoke_2026-07-21,5283,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
