state,municipality,unit_type,contract_or_document_period,verification_queue_rows,verified_source_leads,mechanism_families,coverage_status
IL,Lyons,safety_and_non_safety_bargaining_units,Effective 2019-01-01 through 2027-12-31 (expiration shown as 12-31-27),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Lyons,safety_and_non_safety_bargaining_units,Interest arbitration award issued 2019-08-17 (covers disputed contract terms; document also references issues such as time off requests and vacation week),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Mattoon,non_safety_comparator,"Two-year contract renewal dated Aug. 6, 2024 (successor renewal referenced in ordinance text)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,McHenry,safety_and_non_safety_bargaining_units,"Award dated March 20, 2014; successor CBA negotiations following expiration of 2008-2012 CBA (exact term dates not extracted here)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Montgomery,non_safety_comparator,"Existing agreement through April 30, 2015 (exact start date not confirmed in lead snippet)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IL,Mount Prospect,non_safety_comparator,"2022–2027 (document indicates the parties’ current CBA spans multiple years, covering 2023–2025)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Mount Prospect,non_safety_comparator,"January 1, 2023 through December 31, 2025 (CBA; includes Appendix/Sergeant Wage Schedule 2023–2025)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IL,Mount Vernon,safety_and_non_safety_compensation_units,"May 1, 2022 through April 30, 2026",1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,New Trier,safety_and_non_safety_bargaining_units,2019–2023,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,New Trier,safety_and_non_safety_bargaining_units,2019–2024,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,New Trier,safety_and_non_safety_bargaining_units,2024–2029,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Oak Park,safety_and_non_safety_bargaining_units,2024–2027 (as indicated by file title),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Palos,safety_and_non_safety_bargaining_units,2022-01-01 to 2025-12-31 (title indicates 2022-2025),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Palos,safety_and_non_safety_bargaining_units,2022-2025 (document title indicates 2022-2025),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Peoria City,safety_and_non_safety_bargaining_units,"January 1, 2014 through December 31, 2016",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Proviso,safety_and_non_safety_bargaining_units,2017-2021,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Proviso,safety_and_non_safety_bargaining_units,2021-2025,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Quincy,safety_and_non_safety_bargaining_units,"Existing agreements expired April 30, 2021; successor CBA terms resolved by interest arbitration (Section 14) (period not explicitly confirmed in snippet)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Quincy,safety_and_non_safety_bargaining_units,Includes multiple contract periods; snippet indicates an example: May 2022–April 2026 for a listed police unit (exact other periods depend on linked PDFs on the page),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Round Lake,non_safety_municipal_units,"Fiscal Year End April 30, 2017 (ordinance/plan confirmation packet)",1,1,fiscal_constraint_signal,verified_locator_metadata_only
IL,Round Lake,non_safety_municipal_units,"Fiscal Year Ended April 30, 2020",1,1,fiscal_constraint_signal,verified_locator_metadata_only
IL,Round Lake Beach,non_safety_comparator,"January 1, 2026 through December 31, 2028",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Rutland,safety_and_non_safety_bargaining_units,FY09 (2009) — outside 2014-2024 target window,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Schaumburg,safety_and_non_safety_bargaining_units,Not specified in target window (document appears to address successor agreement period earlier than 2014-2024),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Shiloh,safety_and_non_safety_compensation_units,"FY 2020 annual reporting (covers interest arbitration awards dataset, including Shiloh reference)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,Skokie,non_safety_comparator,"School Years 2021-22, 2022-23, 2023-24, 2024-25, and 2025-26",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Skokie,non_safety_comparator,"School Years 2022-2023, 2023-2024, 2024-2025, 2025-2026, and 2026-2027",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,St. Charles,safety_and_non_safety_bargaining_units,5/1/22 to 4/30/26,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,St. Charles,safety_and_non_safety_bargaining_units,5/1/24 to 4/30/27,2,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Sterling,safety_and_non_safety_compensation_units,"May 1, 2016 – April 30, 2020",1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,Stickney,safety_and_non_safety_bargaining_units,"CBA exhibit indicates term through April 30, 2027; ordinance page references the agreement (dated 1-28-20 final)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Stickney,safety_and_non_safety_bargaining_units,"May 1, 2014 through April 30, 2017 (CBA effective dates stated in ordinance page text)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Sycamore,safety_and_non_safety_compensation_units,2015-2019,1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,Thornton,safety_and_non_safety_bargaining_units,"May 1, 2024 through April 30, 2026 (shown within packet)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Tinley Park,non_safety_comparator,2016-2021 (as indicated by filename/title),1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Tinley Park,non_safety_comparator,2021-2026 (as indicated by filename/title),1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Vernon,safety_and_non_safety_bargaining_units,2014-2024 target window,2,2,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Vernon Hills,non_safety_comparator,02/29/2024 (MOU; term not specified in locator title),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IL,Warrenville,safety_and_non_safety_compensation_units,"May 1, 2020 through April 30, 2024",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
IL,Waukegan,safety_and_non_safety_bargaining_units,"May 1, 2022 - April 30, 2026",3,3,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Westchester,safety_and_non_safety_compensation_units,FY2024 (expected to cover a fiscal year within 2014-2024 window),1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,Western Springs,safety_and_non_safety_compensation_units,2022-2025,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
IL,Western Springs,safety_and_non_safety_compensation_units,2023-2026,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
IL,Wheeling,safety_and_non_safety_bargaining_units,"May 1, 2023 to April 30, 2025",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Wheeling,safety_and_non_safety_bargaining_units,"May 1, 2023 to April 30, 2027",2,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Winfield,safety_and_non_safety_bargaining_units,"May 1, 2020 - April 30, 2024",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Winfield,safety_and_non_safety_bargaining_units,"May 1, 2022 to April 30, 2025 (referenced in agenda item)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IN,Bedford,safety_and_non_safety_compensation_units,"Ordinance 18-2022 (approving base salaries for Year 2023; effective on/after Jan 1, 2023 as stated in minutes excerpt)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
IN,Bedford,safety_and_non_safety_compensation_units,Ordinance 20-2021 (approving base salaries for Year 2022),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
IN,Bloomington,non_safety_comparator,"Beginning January 1, 2025 (ordinance establishes salary and pay schedule for the specified year)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IN,Bloomington,non_safety_comparator,Year 2023 (ordinance amending salary/pay schedule to reflect CBA execution),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IN,Cedar Creek,safety_and_non_safety_compensation_units,Order context dated for 2023 initial maximum levy request (budgeting context for district transition covering Cedar Creek unincorporated areas),1,1,market_or_comparability_pressure,verified_locator_metadata_only
IN,Centre,safety_and_non_safety_compensation_units,2024 Budget Order,1,1,market_or_comparability_pressure,verified_locator_metadata_only
IN,Elkhart,safety_and_non_safety_bargaining_units,"Collective Bargaining Agreement (referenced as approved in the packet; period appears tied to Jan 1, 2021 through Dec 31, 2024 in related Elkhart council materials)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IN,Elkhart,safety_and_non_safety_bargaining_units,"Collective Bargaining Agreement covering January 1, 2021 through December 31, 2024",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IN,Elkhart,safety_and_non_safety_bargaining_units,"Collective Bargaining Agreement from January 1, 2024 through December 31, 2027",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IN,Evansville,non_safety_comparator,"July 1, 2025 through June 30, 2027 (academic-year contract term stated in agreement)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IN,Jasper,safety_and_non_safety_compensation_units,Ordinance No. 2020-38 (for Year 2021),1,1,market_or_comparability_pressure,verified_locator_metadata_only
IN,Portage,safety_and_non_safety_bargaining_units,"January 1, 2020 through December 31, 2022",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IN,Portage,safety_and_non_safety_bargaining_units,"January 1, 2021 through December 31, 2021",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IN,Silver Creek,safety_and_non_safety_compensation_units,"July 1, 2024 - June 30, 2025",1,1,market_or_comparability_pressure,verified_locator_metadata_only
IN,Silver Creek,safety_and_non_safety_compensation_units,"July 1, 2025 - June 30, 2026",1,1,market_or_comparability_pressure,verified_locator_metadata_only
IN,Wayne,safety_and_non_safety_bargaining_units,2022-2024,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
KS,Kansas City,non_safety_comparator,2000-era memorandum of agreement referenced within PEERA decision,1,1,non_safety_constraint_signal,verified_locator_metadata_only
KS,Kansas City,non_safety_comparator,2025-2028 memorandum of agreement,1,1,non_safety_constraint_signal,verified_locator_metadata_only
KS,Kansas City,non_safety_comparator,"2025-26 negotiated agreement (signed September 23, 2025)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
KS,McPherson,safety_and_non_safety_compensation_units,2014-2024 target window,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
KY,Berea,safety_and_non_safety_compensation_units,calendar year impact stated in the ordinance document (within 2014; exact implementation dates to be confirmed in the source),1,1,market_or_comparability_pressure,verified_locator_metadata_only
KY,Danville,safety_and_non_safety_compensation_units,Fiscal Year 2023-2024 (FY24),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
KY,Glasgow,safety_and_non_safety_compensation_units,2023 (publication/posted date visible in URL path),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
KY,Metro Government Of Louisville-Jefferson County,non_safety_comparator,"Effective Oct 3, 2021 – June 30, 2025 (CBA title page indicates effective date/expiration)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
KY,Metro Government Of Louisville-Jefferson County,non_safety_comparator,"July 31, 2018 – June 30, 2023",1,1,non_safety_constraint_signal,verified_locator_metadata_only
LA,Alexandria,non_safety_comparator,"Fiscal Year 2025 wage adjustment effective with first full pay period commencing on/after July 1, 2024 (exact full CBA term not captured in lead snippet)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
LA,Alexandria,non_safety_comparator,"Five-year deal referenced as voted/approved April 19, 2016 (exact execution date and through-end not included in lead snippet)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
LA,Gonzales,safety_and_non_safety_compensation_units,Fiscal Year 2024,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
LA,Shreveport,non_safety_comparator,Initial two-year term with an option to renew for two additional years (as described in the council proceedings text excerpt),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
LA,Shreveport,non_safety_comparator,Resolution authorizing execution of a Collective Bargaining Agreement (specific start/end dates not provided in snippet),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
LA,Shreveport,non_safety_comparator,Resolution ratifying recognition / bargaining-unit establishment (contract details not shown in snippet),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MA,Andover,safety_and_non_safety_bargaining_units,2014-2024 (browse-linked agreement documents),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MA,Andover,safety_and_non_safety_bargaining_units,Fiscal 2015; Fiscal Year 2016; Fiscal Year 2017 (referencing contract expired in 2014 and arbitration process),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MA,Andover,safety_and_non_safety_bargaining_units,Instructional assistants CBA expired August 2020; negotiations extended terms covering 2017-2020 through 2022-2023 (per dispute background),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Bedford,safety_and_non_safety_compensation_units,FY18–FY21,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Bedford,safety_and_non_safety_compensation_units,FY19–FY21,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Billerica,safety_and_non_safety_bargaining_units,2014-2024 target window,2,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Brockton,non_safety_comparator,"July 1, 2019 – June 30, 2022",3,3,non_safety_constraint_signal,verified_locator_metadata_only
MA,Charlton,safety_and_non_safety_compensation_units,"July 1, 2015 – June 30, 2018",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Charlton,safety_and_non_safety_compensation_units,"July 1, 2024 – June 30, 2027",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Chelmsford,safety_and_non_safety_bargaining_units,2014-2024 (interest arbitration decision related to JLMC 16-5506; arbitration award period not asserted here),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MA,Chelmsford,safety_and_non_safety_bargaining_units,"2014-2024 (snippet references July 1, 2016 wage increases; arbitration outcome context)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Clinton,safety_and_non_safety_compensation_units,"JLM-14-3960 arbitration award (dated November 29, 2016)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Danvers,safety_and_non_safety_bargaining_units,FY2022–FY2024 (per listing title),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Dennis,safety_and_non_safety_compensation_units,2022 (Town Meeting article context; compensation-study action item; union agreement articles referenced),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Dennis,safety_and_non_safety_compensation_units,FY2025/FY2026 expirations and FY2027 budget context (compensation/market-adjustment narrative),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Dennis,safety_and_non_safety_compensation_units,FY2026 context referenced (packet mentions compensation market adjustments approval dates for study findings),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Duxbury,safety_and_non_safety_compensation_units,"July 1, 2019 — June 30, 2022",1,1,market_or_comparability_pressure,verified_locator_metadata_only
MA,Duxbury,safety_and_non_safety_compensation_units,"July 1, 2022 — June 30, 2025",2,2,market_or_comparability_pressure,verified_locator_metadata_only
MA,Fairhaven,safety_and_non_safety_compensation_units,FY24 (non-union classification/compensation scale; publicly labeled FY24),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MA,Fall River,non_safety_comparator,2017-20,1,1,non_safety_constraint_signal,verified_locator_metadata_only
MA,Fall River,non_safety_comparator,2024-2027 (at least one item shown on page snippet),1,1,non_safety_constraint_signal,verified_locator_metadata_only
MA,Falmouth,safety_and_non_safety_bargaining_units,"July 1, 2024–June 30, 2027 (spans 2024 in the target window)",2,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Foxborough,non_safety_municipal_units,"Contract dated July 1, 2022 to June 30, 2023 (referenced in Annual Town Meeting articles)",1,1,fiscal_constraint_signal,verified_locator_metadata_only
MA,Hanover,safety_and_non_safety_compensation_units,"July 1, 2017 to June 30, 2020 (agreement page indicates 2017-2020; contains municipal union pay scale)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Holden,non_safety_municipal_units,"FY 2025 (July 1, 2024 through June 30, 2025) budget cycle document",1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
MA,Holliston,safety_and_non_safety_compensation_units,Not stated in search snippet (implied around FY2017 based on archive context),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MA,Holliston,safety_and_non_safety_compensation_units,Revised 2/2/2016 (period not fully specified in snippet),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MA,Kingston,safety_and_non_safety_compensation_units,2020-2023 (as listed on Kingston 'Union Contracts' page),2,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Kingston,safety_and_non_safety_compensation_units,"Effective July 1, 2023 – June 30, 2024 (FY24) (as listed on Kingston site)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Longmeadow,safety_and_non_safety_compensation_units,"July 1, 2022 - June 30, 2025",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Longmeadow,safety_and_non_safety_compensation_units,"July 1, 2024 - June 30, 2027",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Lynn,non_safety_comparator,2016-2018 (paraprofessional contract; PDF filename indicates 16-18),1,1,non_safety_constraint_signal,verified_locator_metadata_only
MA,Lynn,non_safety_comparator,7/1/2015 to 6/30/2018,1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MA,Mashpee,safety_and_non_safety_compensation_units,"Effective July 1, 2020 (for additional FY2021 expenditures related to newly negotiated contract)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Mashpee,safety_and_non_safety_compensation_units,"Effective July 1, 2023 (for Fiscal Year 2024 expenditures related to a newly negotiated contract)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Milford,safety_and_non_safety_bargaining_units,Referenced as a collective bargaining agreement cost items supplement (exact term not captured in lead snippet),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Milford,safety_and_non_safety_bargaining_units,Referenced as retroactive to July 2018 (exact term not captured in lead snippet),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MA,Millbury,safety_and_non_safety_compensation_units,"2024 fiscal budget impact referencing contract signed Sep 26, 2023",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Natick,safety_and_non_safety_bargaining_units,FY 2015 - FY 2018,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Natick,safety_and_non_safety_bargaining_units,FY 2022 - FY 2025,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Needham,safety_and_non_safety_bargaining_units,Memorandum of Agreement - 7/1/2019 to 6/30/2020 (MoA links for both Police and Fire referenced on page),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MA,Newton,non_safety_comparator,"September 1, 2015 – August 31, 2018",1,1,non_safety_constraint_signal,verified_locator_metadata_only
MA,North Andover,safety_and_non_safety_bargaining_units,Includes Fire Chief's Agreement 7-1-2024 – 6-30-2027 (also includes other North Andover labor agreements on the same page),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MA,North Andover,safety_and_non_safety_bargaining_units,Not explicitly stated on the event listing (JLMC procedural case reference: JLMC-24-10756).,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,North Reading,safety_and_non_safety_compensation_units,"July 1, 2013 – June 30, 2016",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Northborough,safety_and_non_safety_compensation_units,FY2023–FY2025,1,1,market_or_comparability_pressure,verified_locator_metadata_only
MA,Northborough,safety_and_non_safety_compensation_units,FY2023–FY2025 (effective wage changes include FY2023/FY2024/FY2025 step and market adjustment tables),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MA,Northborough,safety_and_non_safety_compensation_units,"July 1, 2019 — June 30, 2022",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Quincy,non_safety_comparator,"Effective Sept 1, 2015–Aug 31, 2017 and Effective Sept 1, 2017–Aug 31, 2020",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MA,Quincy,non_safety_comparator,"Successor collective bargaining agreement period Sept 1, 2025 through Aug 31, 2028 (with referenced prior period Sept 1, 2022–Aug 31, 2025)",2,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MA,Raynham,safety_and_non_safety_compensation_units,2015-2017 (continued to 2017-2019 as described),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MA,Saugus,safety_and_non_safety_bargaining_units,2017 (3(a) hearing notice; contract term not stated on page),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Saugus,safety_and_non_safety_bargaining_units,2017 (3(a) panel meeting materials; contract term not stated on file name),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Saugus,safety_and_non_safety_bargaining_units,2017 (committee minutes; Saugus police docket referenced),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Somerville,non_safety_comparator,Contract period(s) available via DESE download interface for the district/teacher contract; targeted to support finding agreements within 2012–2018,1,1,non_safety_constraint_signal,verified_locator_metadata_only
MA,Somerville,non_safety_comparator,"July 1, 2010 – June 30, 2013; and July 1, 2013 – June 30, 2016",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MA,Somerville,non_safety_comparator,"Retroactive to July 1, 2010 – June 30, 2013; and extending through June 30, 2016 (two agreements per unit)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
MA,Swampscott,safety_and_non_safety_compensation_units,"As of July 1, 2014 (plan appears embedded in 2014 ATM minutes)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
MA,Tewksbury,safety_and_non_safety_bargaining_units,"July 1, 2015 – June 30, 2018",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Wakefield,safety_and_non_safety_bargaining_units,FY24 to FY26,2,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Wellesley,safety_and_non_safety_bargaining_units,"July 1, 2023 through June 30, 2026",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MA,Westwood,safety_and_non_safety_compensation_units,2014-2024 (effective period indicated inside the agreement; exact dates not captured in search snippet),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Westwood,safety_and_non_safety_compensation_units,"2014-2024 (published timeframe suggests alignment, but exact effective dates not captured in search snippet)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Wilbraham,safety_and_non_safety_compensation_units,7/1/2020 to 6/30/2023 (signed; overlaps 2014-2024 window),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MA,Worcester,non_safety_comparator,"July 1, 2017 - June 30, 2020",1,1,non_safety_constraint_signal,verified_locator_metadata_only
MD,Hagerstown,non_safety_comparator,"July 1, 2017 through June 30, 2022",1,1,non_safety_constraint_signal,verified_locator_metadata_only
ME,Brewer,non_safety_comparator,"2021-2024 (expires June 30, 2024)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
ME,Caribou,non_safety_comparator,Successor collective bargaining agreement negotiations referenced (specific 2026-2028 term not confirmed from lead-only snippet),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
ME,Portland,non_safety_comparator,2025-2027 (agreement labeled 2025-2027; wage rates revised during term),1,1,non_safety_constraint_signal,verified_locator_metadata_only
ME,Presque Isle,non_safety_comparator,2024-2026 (as listed in locator/filename),1,1,non_safety_constraint_signal,verified_locator_metadata_only
ME,Presque Isle,non_safety_comparator,2024-2027 (as listed in locator/filename),1,1,non_safety_constraint_signal,verified_locator_metadata_only
ME,Presque Isle,non_safety_comparator,period not yet confirmed (filename does not show 2024-2026),1,1,non_safety_constraint_signal,verified_locator_metadata_only
MI,Bangor charter,safety_and_non_safety_compensation_units,2014-2024 window (contract expiration 6/30/2021; inferred cycle ~7/1/2020–6/30/2021),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MI,Bangor charter,safety_and_non_safety_compensation_units,2014-2024 window (contract expiration 6/30/2022; inferred cycle ~7/1/2021–6/30/2022),2,2,market_or_comparability_pressure,verified_locator_metadata_only
MI,Bloomfield charter,safety_and_non_safety_bargaining_units,"April 1, 2020 to March 31, 2026",2,2,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Brownstown charter,safety_and_non_safety_bargaining_units,Case initiated 10/14/2024 (mediation listing in MERC meeting packet),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Canton charter,safety_and_non_safety_bargaining_units,"January 1, 2024 - December 31, 2026",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Canton charter,safety_and_non_safety_bargaining_units,"January 1, 2024 - December 31, 2028",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Canton charter,safety_and_non_safety_bargaining_units,"wage modification effective August 1, 2023; referenced schedule period ending 10/1/25 (with broader CBA referenced)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,DeWitt charter,safety_and_non_safety_compensation_units,"Final Report concluded in 2023; proposed implementation January 1, 2024",1,1,market_or_comparability_pressure,verified_locator_metadata_only
MI,Delhi charter,safety_and_non_safety_bargaining_units,"Effective January 1, 2023 through December 31, 2024 (CBA period stated in agenda packet)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Detroit,non_safety_comparator,2022-2027,2,2,non_safety_constraint_signal,verified_locator_metadata_only
MI,Fenton charter,safety_and_non_safety_compensation_units,2017-2022 (agreement approval referenced),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MI,Fenton charter,safety_and_non_safety_compensation_units,2021-2025 (amendment referenced; lump-sum compensation described),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MI,Flint,non_safety_comparator,2014-2016 (period not confirmed in lead snippet),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MI,Gaines charter,safety_and_non_safety_bargaining_units,"July 1, 2021 through June 30, 2024",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Gaines charter,safety_and_non_safety_bargaining_units,"Term beginning July 1, 2024 and continuing through December 31, 2025",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Garfield charter,non_safety_municipal_units,Budget year 2024 (document filename indicates 2024-budget),1,1,fiscal_constraint_signal,verified_locator_metadata_only
MI,Genesee charter,non_safety_municipal_units,Budget year 2022 (with prior-year comparison shown in document tables),1,1,fiscal_constraint_signal,verified_locator_metadata_only
MI,Genoa,non_safety_municipal_units,2019-20 (fiscal year),1,1,fiscal_constraint_signal,verified_locator_metadata_only
MI,Genoa,non_safety_municipal_units,2022-23 (with proposed/recommended context into 2023-24),1,1,fiscal_constraint_signal,verified_locator_metadata_only
MI,Georgetown charter,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
