municipality,attempted_count,extracted_ok_count,empty_or_too_short_count,low_text_density_count,suspected_bad_text_layer_count,html_noisy_or_shell_count,other_document_extraction_unsupported_count,extraction_error_count
Fort Kent,1,1,0,0,0,0,0,0
Fort Laramie,1,1,0,0,0,0,0,0
Fort Madison,2,2,0,0,0,0,0,0
Fort Meade,1,1,0,0,0,0,0,0
Fort Mill,2,2,0,0,0,0,0,0
Fort Morgan,1,1,0,0,0,0,0,0
Fort Oglethorpe,2,2,0,0,0,0,0,0
Fort Payne,3,3,0,0,0,0,0,0
Fort Pierre,2,2,0,0,0,0,0,0
Fort Thomas,2,2,0,0,0,0,0,0
Fort Wayne,2,1,0,1,0,0,0,0
Fort Wright,2,2,0,0,0,0,0,0
Fort Yukon,1,1,0,0,0,0,0,0
Fortuna,1,1,0,0,0,0,0,0
Foster,1,1,0,0,0,0,0,0
Fountain Hills,4,4,0,0,0,0,0,0
Fox Lake,3,3,0,0,0,0,0,0
Foxborough,1,1,0,0,0,0,0,0
Francis,1,1,0,0,0,0,0,0
Frankenmuth,2,2,0,0,0,0,0,0
Frankfort,4,4,0,0,0,0,0,0
Franklin,5,4,0,0,0,1,0,0
Franklin Lakes,1,0,0,0,0,1,0,0
Franklin Park,4,4,0,0,0,0,0,0
Frannie,1,0,0,0,0,1,0,0
Fraser,1,1,0,0,0,0,0,0
Frederica,2,2,0,0,0,0,0,0
Frederick,1,1,0,0,0,0,0,0
Fredericktown,1,1,0,0,0,0,0,0
Fredonia,2,2,0,0,0,0,0,0
Freehold,4,4,0,0,0,0,0,0
Freeman,1,1,0,0,0,0,0,0
Freeport,1,1,0,0,0,0,0,0
Fremont,2,2,0,0,0,0,0,0
Friendsville,2,2,0,0,0,0,0,0
Froid,2,1,0,0,0,1,0,0
Fromberg,1,1,0,0,0,0,0,0
Front Royal,2,2,0,0,0,0,0,0
Fruit Heights,1,1,0,0,0,0,0,0
Fruitland,3,3,0,0,0,0,0,0
Fruitport charter,2,2,0,0,0,0,0,0
Gadsden,1,1,0,0,0,0,0,0
Gaffney,1,1,0,0,0,0,0,0
Gaines charter,1,1,0,0,0,0,0,0
Gainesville,1,1,0,0,0,0,0,0
Galena,1,1,0,0,0,0,0,0
Gambell,1,1,0,0,0,0,0,0
Gardena,2,2,0,0,0,0,0,0
Garfield charter,1,1,0,0,0,0,0,0
Garretson,2,2,0,0,0,0,0,0
Garrett,2,2,0,0,0,0,0,0
Gate City,1,1,0,0,0,0,0,0
Gatesville,1,1,0,0,0,0,0,0
Gearhart,1,1,0,0,0,0,0,0
Genesee,1,1,0,0,0,0,0,0
Genesee charter,2,2,0,0,0,0,0,0
Geneva,3,3,0,0,0,0,0,0
Genoa,4,4,0,0,0,0,0,0
Genoa City,1,1,0,0,0,0,0,0
Gentry,3,0,0,0,0,3,0,0
Gibsonburg,1,1,0,0,0,0,0,0
Gibsonville,5,4,0,0,0,1,0,0
Glade Spring,1,1,0,0,0,0,0,0
Gladstone,2,2,0,0,0,0,0,0
Glasgow,2,2,0,0,0,0,0,0
Glassboro,1,1,0,0,0,0,0,0
Glen Carbon,2,2,0,0,0,0,0,0
Glen Dale,2,2,0,0,0,0,0,0
Glen Ridge,2,2,0,0,0,0,0,0
Glen Rock,3,3,0,0,0,0,0,0
Glen Ullin,1,1,0,0,0,0,0,0
Glenarden,1,1,0,0,0,0,0,0
Glenburn,1,1,0,0,0,0,0,0
Glencoe,5,5,0,0,0,0,0,0
Glenville,1,1,0,0,0,0,0,0
Glenwood,1,1,0,0,0,0,0,0
Glocester,2,2,0,0,0,0,0,0
Gold Bar,2,2,0,0,0,0,0,0
Gold Beach,2,1,0,0,0,1,0,0
Goodland,1,1,0,0,0,0,0,0
Goodlettsville,2,2,0,0,0,0,0,0
Gordon,1,1,0,0,0,0,0,0
Gordonsville,2,2,0,0,0,0,0,0
Gorham,2,2,0,0,0,0,0,0
Goshen,7,7,0,0,0,0,0,0
Gosnell,1,1,0,0,0,0,0,0
Gothenburg,2,1,0,0,1,0,0,0
Graham,2,2,0,0,0,0,0,0
Grain Valley,4,4,0,0,0,0,0,0
Gramercy,1,1,0,0,0,0,0,0
Granbury,2,2,0,0,0,0,0,0
Granby,1,1,0,0,0,0,0,0
Grand Blanc,2,2,0,0,0,0,0,0
Grand Blanc charter,1,1,0,0,0,0,0,0
Grand Chute,5,5,0,0,0,0,0,0
Grand Haven,1,1,0,0,0,0,0,0
Grand Haven charter,1,1,0,0,0,0,0,0
Grand Island,1,1,0,0,0,0,0,0
Grand Isle,2,2,0,0,0,0,0,0
Grangeville,2,2,0,0,0,0,0,0
Granite Falls,1,1,0,0,0,0,0,0
Grantham,3,3,0,0,0,0,0,0
Grantsville,2,2,0,0,0,0,0,0
Granville,1,0,0,0,0,1,0,0
Gray,2,2,0,0,0,0,0,0
Great Bend,2,2,0,0,0,0,0,0
Great Neck,2,2,0,0,0,0,0,0
Greene,1,1,0,0,0,0,0,0
Greenland,1,1,0,0,0,0,0,0
Greensburg,2,2,0,0,0,0,0,0
Greenville,1,1,0,0,0,0,0,0
Greenwich,3,3,0,0,0,0,0,0
Greenwood,3,3,0,0,0,0,0,0
Greenwood Village,1,1,0,0,0,0,0,0
Gregory,2,2,0,0,0,0,0,0
Gretna,4,4,0,0,0,0,0,0
Gridley,1,1,0,0,0,0,0,0
Griffin,1,1,0,0,0,0,0,0
Grosse Pointe Farms,3,3,0,0,0,0,0,0
Grosse Pointe Park,2,2,0,0,0,0,0,0
Grosse Pointe Woods,1,1,0,0,0,0,0,0
Grottoes,4,3,0,0,0,1,0,0
Grove City,2,2,0,0,0,0,0,0
Grovetown,4,4,0,0,0,0,0,0
Grundy Center,3,3,0,0,0,0,0,0
Guadalupe,2,2,0,0,0,0,0,0
Guernsey,3,3,0,0,0,0,0,0
Guilford,2,2,0,0,0,0,0,0
Gulf Breeze,1,1,0,0,0,0,0,0
Gulf Shores,1,1,0,0,0,0,0,0
Gustavus,1,1,0,0,0,0,0,0
Gwinner,3,1,0,0,0,2,0,0
Gypsum,1,1,0,0,0,0,0,0
Hackettstown,1,1,0,0,0,0,0,0
Hailey,1,1,0,0,0,0,0,0
Haledon,1,1,0,0,0,0,0,0
Hales Corners,3,3,0,0,0,0,0,0
Hallowell,1,1,0,0,0,0,0,0
Halstead,1,1,0,0,0,0,0,0
Hamburg,2,2,0,0,0,0,0,0
Hamilton,1,1,0,0,0,0,0,0
Hampden,1,0,0,0,1,0,0,0
Hampton,2,1,0,0,0,1,0,0
Hancock,1,1,0,0,0,0,0,0
Hanover,8,7,0,0,0,1,0,0
Hanover Park,1,1,0,0,0,0,0,0
Hardwick,2,2,0,0,0,0,0,0
Harlan,1,1,0,0,0,0,0,0
Harlem,1,1,0,0,0,0,0,0
Harlowton,2,2,0,0,0,0,0,0
Harper Woods,1,1,0,0,0,0,0,0
Harpswell,1,1,0,0,0,0,0,0
Harrah,1,1,0,0,0,0,0,0
Harriman,1,1,0,0,0,0,0,0
Harrington,1,0,0,0,0,1,0,0
Harrisburg,2,2,0,0,0,0,0,0
Harrison,3,3,0,0,0,0,0,0
Harrisonville,1,1,0,0,0,0,0,0
Hartford,1,1,0,0,0,0,0,0
Hartford City,1,1,0,0,0,0,0,0
Hartland,3,2,0,0,0,1,0,0
Hartselle,2,1,0,0,0,1,0,0
Harvey,4,4,0,0,0,0,0,0
Harwich,1,1,0,0,0,0,0,0
Haskell,3,3,0,0,0,0,0,0
Hastings,3,3,0,0,0,0,0,0
Hastings-on-Hudson,1,1,0,0,0,0,0,0
Hatch,2,2,0,0,0,0,0,0
Hatton,1,1,0,0,0,0,0,0
Hauser,1,1,0,0,0,0,0,0
Havelock,2,2,0,0,0,0,0,0
Hayden,1,1,0,0,0,0,0,0
Haymarket,1,1,0,0,0,0,0,0
Hazel Park,1,1,0,0,0,0,0,0
Hazen,2,2,0,0,0,0,0,0
Heavener,1,0,0,0,0,1,0,0
Heber,1,1,0,0,0,0,0,0
Hebron,3,3,0,0,0,0,0,0
Helena-West Helena,1,1,0,0,0,0,0,0
Hellertown,3,3,0,0,0,0,0,0
Henderson,2,2,0,0,0,0,0,0
Hendersonville,3,3,0,0,0,0,0,0
Henlopen Acres,1,1,0,0,0,0,0,0
Henryetta,2,2,0,0,0,0,0,0
Herington,1,1,0,0,0,0,0,0
Herkimer,1,1,0,0,0,0,0,0
Hermantown,2,2,0,0,0,0,0,0
Heyburn,2,2,0,0,0,0,0,0
Hiawatha,2,2,0,0,0,0,0,0
Hickory Hills,3,1,0,0,0,2,0,0
High Springs,2,2,0,0,0,0,0,0
Highgate,1,1,0,0,0,0,0,0
Highland,1,1,0,0,0,0,0,0
Highland Beach,2,2,0,0,0,0,0,0
Highland Park,2,2,0,0,0,0,0,0
Highland charter,2,2,0,0,0,0,0,0
Hightstown,2,2,0,0,0,0,0,0
Hillsboro,2,2,0,0,0,0,0,0
Hillsborough,2,2,0,0,0,0,0,0
Hillsdale,1,1,0,0,0,0,0,0
Hilltown,1,1,0,0,0,0,0,0
Hilton,3,3,0,0,0,0,0,0
Hilton Head Island,1,0,0,0,0,1,0,0
Hinesburg,2,2,0,0,0,0,0,0
Hinsdale,1,1,0,0,0,0,0,0
Hinton,2,2,0,0,0,0,0,0
Hoisington,2,1,0,0,0,1,0,0
Holbrook,1,1,0,0,0,0,0,0
Holdenville,1,1,0,0,0,0,0,0
Hollister,1,1,0,0,0,0,0,0
Holliston,1,0,1,0,0,0,0,0
Holly,3,0,0,0,0,3,0,0
Holly Springs,1,1,0,0,0,0,0,0
Holmdel,2,2,0,0,0,0,0,0
Honea Path,1,1,0,0,0,0,0,0
Hooksett,2,2,0,0,0,0,0,0
Hope Mills,3,3,0,0,0,0,0,0
Hopkinton,2,2,0,0,0,0,0,0
Hoquiam,2,2,0,0,0,0,0,0
Horicon,2,2,0,0,0,0,0,0
Horseheads,2,2,0,0,0,0,0,0
Horsham,1,0,0,0,0,1,0,0
Hot Springs,4,4,0,0,0,0,0,0
Houston,2,2,0,0,0,0,0,0
Howard,1,1,0,0,0,0,0,0
Howards Grove,3,3,0,0,0,0,0,0
Howell,1,1,0,0,0,0,0,0
Hudson,2,2,0,0,0,0,0,0
Hudson Falls,1,1,0,0,0,0,0,0
Hugo,1,1,0,0,0,0,0,0
Hulett,5,5,0,0,0,0,0,0
Humble,1,1,0,0,0,0,0,0
Huntertown,2,2,0,0,0,0,0,0
Huntingburg,1,1,0,0,0,0,0,0
Huntingdon,2,2,0,0,0,0,0,0
Huntington,2,2,0,0,0,0,0,0
Huntington Woods,1,1,0,0,0,0,0,0
Huntley,3,3,0,0,0,0,0,0
Hurley,2,2,0,0,0,0,0,0
Huron charter,1,1,0,0,0,0,0,0
Hurstbourne,1,1,0,0,0,0,0,0
Hutto,2,2,0,0,0,0,0,0
Hyde Park,2,2,0,0,0,0,0,0
Hyrum,1,1,0,0,0,0,0,0
Idaho Falls,1,1,0,0,0,0,0,0
Imperial Beach,1,1,0,0,0,0,0,0
Independence,1,1,0,0,0,0,0,0
Independence charter,1,1,0,0,0,0,0,0
Indian Harbour Beach,1,1,0,0,0,0,0,0
Indian Head,1,0,0,0,0,1,0,0
Indian River Shores,3,3,0,0,0,0,0,0
Indianapolis city (balance),2,2,0,0,0,0,0,0
Indio,2,2,0,0,0,0,0,0
Inglewood,2,2,0,0,0,0,0,0
Inkom,3,3,0,0,0,0,0,0
Inman,1,1,0,0,0,0,0,0
International Falls,3,3,0,0,0,0,0,0
Inver Grove Heights,1,1,0,0,0,0,0,0
Ione,1,1,0,0,0,0,0,0
Iowa,2,1,0,0,0,1,0,0
Iowa Falls,1,1,0,0,0,0,0,0
Ipswich,3,2,0,0,0,1,0,0
Iron Mountain,4,4,0,0,0,0,0,0
Irondale,2,2,0,0,0,0,0,0
Ironwood,1,1,0,0,0,0,0,0
Isanti,2,2,0,0,0,0,0,0
Island Lake,2,2,0,0,0,0,0,0
Isle of Palms,2,2,0,0,0,0,0,0
Jackson,10,9,0,0,0,1,0,0
Jacksonville,1,1,0,0,0,0,0,0
Jaffrey,3,3,0,0,0,0,0,0
James Island,1,1,0,0,0,0,0,0
Jamestown,1,1,0,0,0,0,0,0
Jasper,8,8,0,0,0,0,0,0
Jay,1,1,0,0,0,0,0,0
Jeanerette,1,1,0,0,0,0,0,0
Jeannette,2,2,0,0,0,0,0,0
Jefferson,8,8,0,0,0,0,0,0
Jefferson City,2,2,0,0,0,0,0,0
Jena,1,1,0,0,0,0,0,0
Jenks,1,1,0,0,0,0,0,0
Jennings,1,0,0,0,0,1,0,0
Jerome,3,3,0,0,0,0,0,0
Jesup,3,3,0,0,0,0,0,0
Johns Creek,1,1,0,0,0,0,0,0
Johnson,3,3,0,0,0,0,0,0
Johnson Creek,1,1,0,0,0,0,0,0
Johnstown,4,4,0,0,0,0,0,0
Joliet,1,1,0,0,0,0,0,0
Joplin,1,1,0,0,0,0,0,0
Jordan,1,1,0,0,0,0,0,0
Junction City,5,3,0,0,0,2,0,0
Jupiter,1,1,0,0,0,0,0,0
Kachemak,1,1,0,0,0,0,0,0
Kadoka,4,4,0,0,0,0,0,0
Kake,1,1,0,0,0,0,0,0
Kalamazoo charter,1,1,0,0,0,0,0,0
Kanab,1,1,0,0,0,0,0,0
Kankakee,1,0,0,0,0,1,0,0
Kansas City,1,1,0,0,0,0,0,0
Kasson,1,1,0,0,0,0,0,0
Keansburg,2,2,0,0,0,0,0,0
Kearney,1,0,0,0,1,0,0,0
Kechi,1,1,0,0,0,0,0,0
Kemmerer,3,3,0,0,0,0,0,0
Kendallville,2,2,0,0,0,0,0,0
Kenmare,1,1,0,0,0,0,0,0
Kennebunk,1,1,0,0,0,0,0,0
Kennett,1,1,0,0,0,0,0,0
Kensington,1,1,0,0,0,0,0,0
Keokuk,2,1,0,0,0,1,0,0
Kernersville,2,2,0,0,0,0,0,0
Kettle Falls,3,2,0,0,0,1,0,0
Kewanee,2,2,0,0,0,0,0,0
Kewaskum,1,1,0,0,0,0,0,0
Kiel,2,2,0,0,0,0,0,0
Kilgore,2,2,0,0,0,0,0,0
Kill Devil Hills,1,1,0,0,0,0,0,0
Killdeer,2,2,0,0,0,0,0,0
Killingly,2,2,0,0,0,0,0,0
Kimberly,3,3,0,0,0,0,0,0
Kinder,1,1,0,0,0,0,0,0
Kindred,2,1,0,0,0,1,0,0
King Cove,1,1,0,0,0,0,0,0
Kingman,1,1,0,0,0,0,0,0
Kingsburg,2,2,0,0,0,0,0,0
Kingsford,1,1,0,0,0,0,0,0
Kingsland,1,1,0,0,0,0,0,0
Kingstree,1,1,0,0,0,0,0,0
Kingsville,1,1,0,0,0,0,0,0
Kingwood,1,1,0,0,0,0,0,0
Kinnelon,1,1,0,0,0,0,0,0
Kirtland,1,1,0,0,0,0,0,0
Kittery,1,1,0,0,0,0,0,0
Kitzmiller,3,3,0,0,0,0,0,0
Kivalina,1,1,0,0,0,0,0,0
Knightdale,2,2,0,0,0,0,0,0
Kotlik,1,1,0,0,0,0,0,0
Kotzebue,1,1,0,0,0,0,0,0
La Center,3,3,0,0,0,0,0,0
La Crescent,1,1,0,0,0,0,0,0
La Grange,2,2,0,0,0,0,0,0
La Mesa,2,2,0,0,0,0,0,0
La Palma,2,2,0,0,0,0,0,0
La Pine,1,1,0,0,0,0,0,0
La Porte,1,1,0,0,0,0,0,0
LaBelle,2,2,0,0,0,0,0,0
LaSalle,3,3,0,0,0,0,0,0
Lacey,1,1,0,0,0,0,0,0
Ladysmith,3,3,0,0,0,0,0,0
Lafayette,4,4,0,0,0,0,0,0
Laguna Woods,1,1,0,0,0,0,0,0
Lake,4,4,0,0,0,0,0,0
Lake Arthur,2,2,0,0,0,0,0,0
Lake City,4,4,0,0,0,0,0,0
Lake Forest,3,3,0,0,0,0,0,0
Lake Hallie,2,2,0,0,0,0,0,0
Lake Jackson,2,2,0,0,0,0,0,0
Lake Norden,1,1,0,0,0,0,0,0
Lake Park,2,2,0,0,0,0,0,0
Lake Zurich,1,1,0,0,0,0,0,0
Lakeview,1,1,0,0,0,0,0,0
Lakeway,1,1,0,0,0,0,0,0
Lakewood,3,3,0,0,0,0,0,0
Lakota,2,2,0,0,0,0,0,0
Lancaster,6,4,0,0,0,2,0,0
Landover Hills,3,3,0,0,0,0,0,0
Landrum,2,1,0,0,0,1,0,0
Lanett,1,1,0,0,0,0,0,0
Langdon,2,2,0,0,0,0,0,0
Lansing,2,2,0,0,0,0,0,0
Lantana,1,1,0,0,0,0,0,0
Lapeer,1,1,0,0,0,0,0,0
Las Vegas,3,3,0,0,0,0,0,0
Latrobe,4,4,0,0,0,0,0,0
Laurens,1,1,0,0,0,0,0,0
Laurinburg,2,2,0,0,0,0,0,0
Lawrence,2,2,0,0,0,0,0,0
Lawrenceburg,2,2,0,0,0,0,0,0
Lead,1,1,0,0,0,0,0,0
Leander,1,1,0,0,0,0,0,0
Leavenworth,2,2,0,0,0,0,0,0
Lebanon,2,2,0,0,0,0,0,0
Leeds,3,3,0,0,0,0,0,0
Leipsic,2,2,0,0,0,0,0,0
Leitchfield,1,1,0,0,0,0,0,0
Leland,3,3,0,0,0,0,0,0
Lemmon,1,1,0,0,0,0,0,0
Lemon,1,1,0,0,0,0,0,0
Lemont,3,3,0,0,0,0,0,0
Lennox,1,1,0,0,0,0,0,0
Lenoir,2,2,0,0,0,0,0,0
Lenoir City,2,1,0,0,0,1,0,0
Leonia,1,1,0,0,0,0,0,0
Lewisburg,8,6,0,0,0,2,0,0
Lewiston,2,2,0,0,0,0,0,0
Lewistown,2,2,0,0,0,0,0,0
Lewisville,1,1,0,0,0,0,0,0
Lexington,3,3,0,0,0,0,0,0
Libby,1,1,0,0,0,0,0,0
Liberty,5,5,0,0,0,0,0,0
Lighthouse Point,3,2,0,0,0,1,0,0
Lilburn,1,1,0,0,0,0,0,0
Lima,1,1,0,0,0,0,0,0
Limestone,1,1,0,0,0,0,0,0
Limon,1,1,0,0,0,0,0,0
Lincoln,3,3,0,0,0,0,0,0
Lincoln Park,3,3,0,0,0,0,0,0
Lindenhurst,3,3,0,0,0,0,0,0
Lisbon,5,5,0,0,0,0,0,0
Lisle,1,1,0,0,0,0,0,0
Litchfield,1,1,0,0,0,0,0,0
Litchfield Park,2,2,0,0,0,0,0,0
Little Egg Harbor,3,3,0,0,0,0,0,0
Little Flock,1,1,0,0,0,0,0,0
Little Rock,6,5,0,0,1,0,0,0
Live Oak,4,4,0,0,0,0,0,0
Livingston,2,2,0,0,0,0,0,0
Lock Haven,4,4,0,0,0,0,0,0
Locust,1,1,0,0,0,0,0,0
Loganville,1,1,0,0,0,0,0,0
Lonaconing,2,2,0,0,0,0,0,0
London,1,1,0,0,0,0,0,0
Lone Tree,2,2,0,0,0,0,0,0
Long Branch,1,1,0,0,0,0,0,0
Lonoke,3,3,0,0,0,0,0,0
Lonsdale,4,4,0,0,0,0,0,0
Los Alamitos,1,1,0,0,0,0,0,0
Los Banos,2,2,0,0,0,0,0,0
Loudon,3,3,0,0,0,0,0,0
Louisa,1,1,0,0,0,0,0,0
Louisburg,1,1,0,0,0,0,0,0
Lovelock,1,1,0,0,0,0,0,0
Lovettsville,2,2,0,0,0,0,0,0
Lowell,3,3,0,0,0,0,0,0
Lower Moreland,1,1,0,0,0,0,0,0
Lower Paxton,1,1,0,0,0,0,0,0
Lower Salford,2,2,0,0,0,0,0,0
Loxley,1,1,0,0,0,0,0,0
Lucedale,2,1,0,0,0,1,0,0
Ludington,1,1,0,0,0,0,0,0
Ludlow,11,11,0,0,0,0,0,0
Lufkin,1,1,0,0,0,0,0,0
Lumberton,2,2,0,0,0,0,0,0
Luray,5,5,0,0,0,0,0,0
Lynchburg,1,1,0,0,0,0,0,0
Lyndhurst,1,1,0,0,0,0,0,0
Lyndon,2,2,0,0,0,0,0,0
Lyon charter,2,2,0,0,0,0,0,0
Lyons,1,1,0,0,0,0,0,0
Lysander,1,1,0,0,0,0,0,0
Mableton,3,3,0,0,0,0,0,0
Mabton,1,1,0,0,0,0,0,0
Macomb,3,2,0,0,0,1,0,0
Macomb City,1,1,0,0,0,0,0,0
Madawaska,2,2,0,0,0,0,0,0
Madison,3,3,0,0,0,0,0,0
Magnolia,3,3,0,0,0,0,0,0
Maize,1,1,0,0,0,0,0,0
Malad City,2,2,0,0,0,0,0,0
Malone,1,1,0,0,0,0,0,0
Malta,2,1,0,0,0,1,0,0
Malverne,1,1,0,0,0,0,0,0
Manassas Park,1,1,0,0,0,0,0,0
Manchester,5,4,0,0,0,1,0,0
Manistee,2,2,0,0,0,0,0,0
Manitou Springs,2,2,0,0,0,0,0,0
Mannford,2,2,0,0,0,0,0,0
Manokotak,1,1,0,0,0,0,0,0
Manor,2,2,0,0,0,0,0,0
Manorhaven,1,1,0,0,0,0,0,0
Mansfield,1,1,0,0,0,0,0,0
Maple Grove,1,1,0,0,0,0,0,0
Mapleton,2,2,0,0,0,0,0,0
Maplewood,1,1,0,0,0,0,0,0
Maquoketa,1,1,0,0,0,0,0,0
Marblehead,3,3,0,0,0,0,0,0
Margaret,3,3,0,0,0,0,0,0
Marianna,1,1,0,0,0,0,0,0
Marion,7,7,0,0,0,0,0,0
Marlboro,1,1,0,0,0,0,0,0
Marlow,2,2,0,0,0,0,0,0
Marple,1,1,0,0,0,0,0,0
Marshall,3,3,0,0,0,0,0,0
Marshfield,3,3,0,0,0,0,0,0
Martinsville,2,1,0,0,0,1,0,0
Marysville,6,6,0,0,0,0,0,0
Mason,2,2,0,0,0,0,0,0
Massena,1,1,0,0,0,0,0,0
Matawan,2,2,0,0,0,0,0,0
Matteson,4,4,0,0,0,0,0,0
Matthews,1,1,0,0,0,0,0,0
Mauldin,2,2,0,0,0,0,0,0
Maumelle,1,1,0,0,0,0,0,0
Maurice,1,1,0,0,0,0,0,0
Mauston,1,1,0,0,0,0,0,0
Mayfield,6,6,0,0,0,0,0,0
Mayville,3,3,0,0,0,0,0,0
Maywood,1,1,0,0,0,0,0,0
McAlester,2,2,0,0,0,0,0,0
McCleary,1,1,0,0,0,0,0,0
McCordsville,1,1,0,0,0,0,0,0
McDonough,2,2,0,0,0,0,0,0
McKenzie,1,1,0,0,0,0,0,0
McMinnville,2,2,0,0,0,0,0,0
McPherson,1,1,0,0,0,0,0,0
Mead,2,2,0,0,0,0,0,0
Mebane,1,1,0,0,0,0,0,0
Medford,5,5,0,0,0,0,0,0
Medical Lake,2,2,0,0,0,0,0,0
Medicine Lake,1,1,0,0,0,0,0,0
Medina,5,5,0,0,0,0,0,0
Meeteetse,1,1,0,0,0,0,0,0
Melvindale,2,2,0,0,0,0,0,0
Mendota,1,1,0,0,0,0,0,0
Mendota Heights,1,1,0,0,0,0,0,0
Menno,1,1,0,0,0,0,0,0
Meridian,1,1,0,0,0,0,0,0
Merrimack,3,3,0,0,0,0,0,0
Mesilla,2,2,0,0,0,0,0,0
Mexico,2,2,0,0,0,0,0,0
Miami,3,3,0,0,0,0,0,0
Middle,3,3,0,0,0,0,0,0
Middleborough,1,1,0,0,0,0,0,0
Middlebury,1,1,0,0,0,0,0,0
Middlefield,1,1,0,0,0,0,0,0
Midlothian,2,2,0,0,0,0,0,0
Midway,2,2,0,0,0,0,0,0
Mifflin,2,2,0,0,0,0,0,0
Milan,2,2,0,0,0,0,0,0
Milbank,2,2,0,0,0,0,0,0
Milford,8,8,0,0,0,0,0,0
Mill Valley,1,1,0,0,0,0,0,0
Millbrook,3,1,0,0,0,2,0,0
Millbury,1,1,0,0,0,0,0,0
Milledgeville,1,1,0,0,0,0,0,0
Millersburg,2,2,0,0,0,0,0,0
Millersville,4,4,0,0,0,0,0,0
Millington,1,1,0,0,0,0,0,0
Mills River,2,2,0,0,0,0,0,0
Millville,5,5,0,0,0,0,0,0
Milnor,2,1,0,0,0,1,0,0
Milton,8,8,0,0,0,0,0,0
Milwaukee,1,0,0,0,0,1,0,0
Minden,4,4,0,0,0,0,0,0
Minneapolis,1,0,0,0,0,1,0,0
Minnetrista,1,1,0,0,0,0,0,0
Minooka,2,2,0,0,0,0,0,0
Mint Hill,2,2,0,0,0,0,0,0
Minto,1,1,0,0,0,0,0,0
Mission,1,1,0,0,0,0,0,0
Mission Hills,2,2,0,0,0,0,0,0
Moberly,1,1,0,0,0,0,0,0
Mobridge,2,2,0,0,0,0,0,0
Mohall,2,2,0,0,0,0,0,0
Mokena,4,4,0,0,0,0,0,0
Mona,1,1,0,0,0,0,0,0
Monaca,1,1,0,0,0,0,0,0
Moncks Corner,2,0,0,0,0,2,0,0
Monclova,3,3,0,0,0,0,0,0
Mondovi,2,0,0,0,1,1,0,0
Monessen,4,4,0,0,0,0,0,0
Monmouth,1,1,0,0,0,0,0,0
Monroe,3,3,0,0,0,0,0,0
Mont Belvieu,1,1,0,0,0,0,0,0
Monterey Park,1,1,0,0,0,0,0,0
Montesano,3,3,0,0,0,0,0,0
Montevallo,1,1,0,0,0,0,0,0
Montgomery,1,1,0,0,0,0,0,0
Monticello,2,2,0,0,0,0,0,0
Montpelier,1,1,0,0,0,0,0,0
Montrose,1,1,0,0,0,0,0,0
Montvale,1,0,0,0,0,1,0,0
Moorcroft,1,1,0,0,0,0,0,0
Moorefield,1,1,0,0,0,0,0,0
Mooresville,2,0,0,0,0,2,0,0
Mora,2,2,0,0,0,0,0,0
Morehead City,1,1,0,0,0,0,0,0
Moreland Hills,2,2,0,0,0,0,0,0
Moreno Valley,2,2,0,0,0,0,0,0
Moriarty,1,1,0,0,0,0,0,0
Morrilton,1,1,0,0,0,0,0,0
Morris Plains,3,3,0,0,0,0,0,0
Morro Bay,2,2,0,0,0,0,0,0
Morton,4,4,0,0,0,0,0,0
Mosinee,1,1,0,0,0,0,0,0
Mosquero,2,2,0,0,0,0,0,0
Moultrie,3,3,0,0,0,0,0,0
Mound,1,1,0,0,0,0,0,0
Mounds View,1,1,0,0,0,0,0,0
Mount Angel,2,2,0,0,0,0,0,0
Mount Carmel,4,2,0,0,0,2,0,0
Mount Healthy,1,1,0,0,0,0,0,0
Mount Holly,2,2,0,0,0,0,0,0
Mount Joy,2,2,0,0,0,0,0,0
Mount Kisco,2,2,0,0,0,0,0,0
Mount Pleasant,1,1,0,0,0,0,0,0
Mount Vernon,5,5,0,0,0,0,0,0
Mount Washington,1,1,0,0,0,0,0,0
Mountain Home,2,2,0,0,0,0,0,0
Mountainair,1,1,0,0,0,0,0,0
Mulvane,1,1,0,0,0,0,0,0
Mundy,2,2,0,0,0,0,0,0
Munford,2,2,0,0,0,0,0,0
Munster,2,2,0,0,0,0,0,0
Muscle Shoals,1,1,0,0,0,0,0,0
Muskegon Heights,1,1,0,0,0,0,0,0
Mustang,2,2,0,0,0,0,0,0
Myrtle Beach,2,2,0,0,0,0,0,0
Myrtle Creek,2,2,0,0,0,0,0,0
Nantucket,1,1,0,0,0,0,0,0
Naples,3,3,0,0,0,0,0,0
Narragansett,2,2,0,0,0,0,0,0
Narrows,2,2,0,0,0,0,0,0
Nazareth,2,2,0,0,0,0,0,0
Nenana,1,0,0,0,0,1,0,0
Neodesha,1,1,0,0,0,0,0,0
Neosho,2,2,0,0,0,0,0,0
Nephi,1,1,0,0,0,0,0,0
Neptune Beach,2,2,0,0,0,0,0,0
New Baltimore,1,0,0,0,1,0,0,0
New Bern,1,1,0,0,0,0,0,0
New Brighton,3,3,0,0,0,0,0,0
New Canaan,3,3,0,0,0,0,0,0
New Castle,5,5,0,0,0,0,0,0
New Concord,2,2,0,0,0,0,0,0
New England,2,2,0,0,0,0,0,0
New Hampton,2,2,0,0,0,0,0,0
New Haven,2,2,0,0,0,0,0,0
New Hyde Park,1,1,0,0,0,0,0,0
New Lebanon,1,1,0,0,0,0,0,0
New Llano,2,2,0,0,0,0,0,0
New London,4,4,0,0,0,0,0,0
