selection_rank,extraction_case_id,document_identity_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,content_artifact_path,content_hash,pdf_page_count,text_layer_status,wage_table_signal,extraction_pilot_priority,candidate_wage_pages,selection_score,selection_reason_codes,matched_group_id,matched_non_safety_selected,matched_non_safety_case_id,planned_lane,gate3_category,gate3_confidence,existing_rendered_page_count,selection_status,cumulative_cohort,requires_gabriel,seed_selection_rank,inventory_rows_for_content_hash,duplicate_hash_representative_rule,excluded_duplicate_detection_ids
115,cexrem_09fa2059d7673388bae572a4,doc_787db7dd91c3575d16cb2460,ttd_4e6ca2273690f8cc12f2fd5e,pr_d6cb0c7d11ff8db178d3f754,sr_49ecbefa7d8aff9065068b65,NSCQ-DC-20260720-0003,TRI-90e31b9ff86304a5a6d7,VER-07f5e7ab1a631808aaf8,DC,Washington,CITY OF WASHINGTON DC,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0004_sr_49ecbefa7d8aff9065068b65.pdf,c57f698cb68fe93edf610c9767bbe7880e0191dcfa041be03749d370070434fb,64,partial,possible,p2,"22,29,33,36",62.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_79228c3233e176b4f5c8f437,no,,mixed,qual_mechanism_ready,medium,2,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
116,cexrem_87e7c3d145be78e94ee4ac26,doc_8296861d58345dcfa637b41f,ttd_97b8b58d334ef6a6effb5991,pr_04ee5be1bedc1985441c4d3c,sr_0543f34f4c51b2b4f3ed7601,NSCQ-DC-20260720-0002,TRI-e25c7a2363eec5d755e1,VER-e0291116b404789ff785,DC,Washington,CITY OF WASHINGTON DC,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0036_sr_0543f34f4c51b2b4f3ed7601.pdf,b216b343c8e5a4e346240bae277118f3723f02254e08869b5602560a63794444,40,present,possible,p2,"1,5,21",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_79228c3233e176b4f5c8f437,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
117,cexrem_14c020965f446057788c02c8,doc_a5609eb593cf8d7063d93b2b,ttd_fa0a45ed5b869e67611449b0,pr_17f9666fd12246990bd23e4a,sr_0c7496cb87bef660439694be,NSCQ-DE-20260720-0016,TRI-5eb364ca513c927ede7f,VER-6992899da87270d23b02,DE,Seaford,CITY OF SEAFORD,police,arbitration_award,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0474_sr_0c7496cb87bef660439694be.pdf,0f391b9dd2257a2756c105c056ef184e9f6391600faae8be10d752a42e2da389,21,present,likely,p1,"3,5,8,10,11,12",92.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_fee869600660fab765ba7b5d,no,,mixed,mixed_quant_qual_ready,high,3,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
118,cexrem_887a521e2988f42588be8222,doc_484ca48a74bb54fd8dcd377a,ttd_6fed83850b0ba4f7b6c6fd0e,pr_9ddb9681bec2377962364205,sr_32b02ef52fac44686f8dccf2,NSCQ-DE-20260720-0012,TRI-35e0159409f196218471,VER-0775af8d64199e312a67,DE,Smyrna,TOWN OF SMYRNA,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0073_sr_32b02ef52fac44686f8dccf2.pdf,7c35644c553c51f06ee8d0f0140ef8dd0198d28e722fbcd5e6cb0a0e2f6988c0,32,present,likely,p1,"2,11,15,17,31,32",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_a620b0fdf9283ea843606322,yes,cexrem_887a521e2988f42588be8222,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
119,cexrem_a9e55bc0aa6bfdef69a5909e,doc_be62b7a63f90e16d399bcf4c,ttd_9ded6041128bb846db55dcbc,pr_e2d785f7bbcbc28ba7b4f38e,sr_c559293254377ab55982205c,NSCQ-DE-20260720-0001,TRI-e766e0284a359d19636b,VER-22fa56a1b450040839c9,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,0094bb520eec210ab6ead99f4dfc57f0cbbdd2050c694afa17fb212e99cfc74e,17,present,likely,p1,"3,5,6,8,9,10,16,17",92.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_7d69548404433a858c9106e5,no,,mixed,quant_table_ready,high,2,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
120,cexrem_f27242366243758c09f91f85,doc_2067a1eaf2a0fb13e21b8461,ttd_3b4c0405f991eefc4d96df43,pr_dd0bff18441aa4e417166f7d,sr_c26534b096a28f59b7213b8d,NSCQ-FL-20260720-0103,TRI-8a4514ca3a830ef45e1e,VER-0fd89694159410db3e9b,FL,Bradenton,CITY OF BRADENTON,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0097_sr_c26534b096a28f59b7213b8d.pdf,6f67e6e89fdbe127a4c7abd66f2c202e16100c8e085d0c4098ff544ce39d8597,60,partial,possible,p2,"27,31",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_daff44fd49fa5f05226804a9,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
121,cexrem_cf655c3fb02cfafdadc490eb,doc_bf1edddff2318edc7063d7ac,ttd_3974a4c8c103a90951dc755d,pr_7a6cc0bfc9777e4c4687b166,sr_54a1dd075ebaefd3532b8b67,NSCQ-FL-20260720-0019,TRI-53ca1041b371efc3601d,VER-02032203bb789f1dd65b,FL,Cape Coral,CITY OF CAPE CORAL,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0192_sr_54a1dd075ebaefd3532b8b67.pdf,a22b5a2c34b1ae24735269c355fee72c5437e70a50dede9d2f957dde8edbece9,57,present,possible,p2,,12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|MATCHED_NON_SAFETY_OPPORTUNITY,match_d43f620e792b02cb4df2bc7d,yes,cexrem_cf655c3fb02cfafdadc490eb,reference_and_exclusion,not_compensation_relevant,high,1,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
122,cexrem_c074ee6d46246fac4aaf4560,doc_3a6145072714dcde8ae909b2,ttd_cbb66e555eeae6392cbdac02,pr_c6f1dc7bd9059f749473f062,sr_c108cebd5c4cb1c74b61bb53,NSCQ-FL-20260720-0050,TRI-93292dab5d3007c815d8,VER-5ce8b301bc1469df2bcd,FL,Clearwater,CITY OF CLEARWATER,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0088_sr_c108cebd5c4cb1c74b61bb53.pdf,9cff77b8fcfe04fc4f5d0ed17c83aa4b94ad9bacb46f651f604d9ed283baa6a8,61,present,likely,p1,"2,14,21,28,34,60,61",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_4452275de7fe9334d129f7dd,yes,cexrem_c074ee6d46246fac4aaf4560,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
123,cexrem_478b0ea6125275edd9c189c9,doc_3fa616bcc49c2f7107188bb4,ttd_642b8a685e7b3b6cd6a0879e,pr_30c5375fbf06a268314c9747,sr_928a1a719d1ca7f5133b80b1,NSCQ-FL-20260720-0156,TRI-7fd84669e01909674b36,VER-bb094ca206dd95024d14,FL,Coconut Creek,CITY OF COCONUT CREEK,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0117_sr_928a1a719d1ca7f5133b80b1.pdf,854048e8b8512d4518e4890e86ba18403f5be997cd665c5afe208327f03305cd,81,present,likely,p1,"10,37,41,45",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_41c7d1bfdd9dab38fe4feb27,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
124,cexrem_81c4d27b98f279b7471da444,doc_9501004da94d365b12f7f1af,ttd_7fd081383782b2ff5604d370,pr_cf65578c1bf6778f7440ca90,sr_a6272cb0ace25c12022d3657,NSCQ-FL-20260720-0155,TRI-0538f6a22a6d65293bb9,VER-43c9791f57b7dfacc585,FL,Coconut Creek,CITY OF COCONUT CREEK,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0152_sr_a6272cb0ace25c12022d3657.pdf,55ed61a9d7563c9bbd0983b02795b3b1eeaad2fe797d33bb3b6d265606882a6e,96,present,likely,p1,"2,49,54,95",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_41c7d1bfdd9dab38fe4feb27,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
125,cexrem_f9e86991a17f2331474a3c02,doc_8805c93e5c2573b2d809a7ad,ttd_b8c950fb9d9b34ffbbeb7a83,pr_a9561eecd65de2ef73093748,sr_95fc36e1493060132c33315e,NSCQ-FL-20260720-0041,TRI-96455638b34e038a08ea,VER-ecbef92a94f3cb49d08e,FL,Coral Springs,CITY OF CORAL SPRINGS,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0416_sr_95fc36e1493060132c33315e.pdf,eec69e18d560d071df9d1bca0428ce9b4e5fdff73713748a502ce46157ea2917,192,present,possible,p2,"1,86,97,107",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_316e539cf05ca894bc7a0b7a,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
126,cexrem_7af30c827c93c34ccaee92ca,doc_0a3a497e310c64dda69af9c5,ttd_b07579d3a11bf7c9e6f2801c,pr_0e876acab74c1fa0e76de67a,sr_4ed758c8b2142655eabb793f,NSCQ-FL-20260720-0039,TRI-ffdef650bc1a809486c4,VER-b51906c1153b34bb8a66,FL,Coral Springs,CITY OF CORAL SPRINGS,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0150_sr_4ed758c8b2142655eabb793f.pdf,afbc076ed9e804eb20fa0a4e1a9e96cfe578d3ddf290e68774ae295e4f839d13,119,present,likely,p1,"27,40",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_316e539cf05ca894bc7a0b7a,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
127,cexrem_0e451de7d2cc071459e9925e,doc_6d8b408a91d4b1a7bc507a6b,ttd_f7eaa4c5105d9020b2ecf367,pr_89c9089d1690e61dc1022184,sr_619954c9a46a066236139857,NSCQ-FL-20260720-0058,TRI-813a70f32bff8e056716,VER-b1fae3b6090dc2c481b3,FL,Davie,TOWN OF DAVIE,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0128_sr_619954c9a46a066236139857.pdf,4cd2e406ab74c986fc6a6efac09fda0f405de56cee4ae11b553f76af78326e0e,66,present,likely,p1,"23,30,34,37",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_30ea1db2d05ac17593f6123f,yes,cexrem_0e451de7d2cc071459e9925e,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
128,cexrem_ce26b64091aa0e4e7c18d845,doc_2c7c0df5b1957a1ad3783342,ttd_efe2a35ba1aab54ae3b8f894,pr_f139a4171ba268b98153bd03,sr_09a3df847502cc31584ec46c,NSCQ-FL-20260720-0082,TRI-025cd1b7ec2e15a68bdf,VER-16e066a6f8b3632bd654,FL,Daytona Beach,CITY OF DAYTONA BEACH,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0244_sr_09a3df847502cc31584ec46c.pdf,55e750c08d613006c31400277bcec8facd716e212df687308c8b824f41c25b36,50,present,possible,p2,"2,17,23,49",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|MATCHED_NON_SAFETY_OPPORTUNITY,match_c0c71772ef7d4903f124d547,yes,cexrem_ce26b64091aa0e4e7c18d845,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
129,cexrem_7627e2b6ee65d131d6e91d9b,doc_fb36edec0fca07cfcadc86d7,ttd_1883e1fd6921ead28afa5c8f,pr_8690e67e92e2bb51a0dd1857,sr_e8a9c988f4f67b657eeaa3bc,NSCQ-FL-20260720-0073,TRI-4424a1c5f4405fae6ff2,VER-c1f1da89377a125ad45b,FL,Deerfield Beach,CITY OF DEERFIELD BEACH,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0123_sr_e8a9c988f4f67b657eeaa3bc.pdf,300bc890bec6a9942c749c3b62258548b4471a82426f481f817a8d409bbd1529,98,present,likely,p1,"23,33,55,97,98",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_482144717d265e6231622d81,yes,cexrem_7627e2b6ee65d131d6e91d9b,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
130,cexrem_f5ec171068921abba0ae8aeb,doc_8667a1c549cfcdec10592a2a,ttd_d56a6e830a627b78a81fac76,pr_2124f3fbb7b0348d84dfd462,sr_2260803be26cc119dc9e1fe1,NSCQ-FL-20260720-0100,TRI-d252f8e9e449928848b7,VER-a130c598f3696b03c054,FL,Delray Beach,CITY OF DELRAY BEACH,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0101_sr_2260803be26cc119dc9e1fe1.pdf,41ca49cc275222d923a5b6c1783efb9407c825ceaceab516bad10fa45de1bd89,129,present,likely,p1,"2,29,65",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_4475256a651783ee9ada28af,yes,cexrem_f5ec171068921abba0ae8aeb,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
131,cexrem_e4c22a5e3dce95c706562572,doc_cff8a366d95098b99901195f,ttd_c235776dcf5a9b034edf3c9a,pr_1b801d1376b571014d51813e,sr_07907a017b98b603ff950418,NSCQ-FL-20260720-0094,TRI-41aa6685ae8b0c4e1d84,VER-f39d9f4a5fd082383949,FL,Doral,CITY OF DORAL,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0411_sr_07907a017b98b603ff950418.pdf,7521e1b6c4de305a6ca1b66695914d6b402be07c985bc071fe47a34107639a45,61,partial,likely,p1,"14,31,34",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_f9b41f7aa21c3931637f62fe,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
132,cexrem_83c30636416e940fd5e9550b,doc_155ec74a228216484e5ecb15,ttd_86fac7baf99a6c7e0563536e,pr_ceffe227ce8526d3fe80ddef,sr_fe36cb2880f690e767047125,NSCQ-FL-20260720-0095,TRI-34a563a284c595864726,VER-c4c97ebadad68f732d8b,FL,Doral,CITY OF DORAL,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0133_sr_fe36cb2880f690e767047125.pdf,88426e6f4666b6f3f3bc9a08ee8785c7ecc22541ed82e49aff446d97194dfea5,65,present,possible,p2,"37,64,65",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_f9b41f7aa21c3931637f62fe,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
133,cexrem_8d801ada0f56702017bde407,doc_ddb8af4fb4827755ac6f40dd,ttd_ae32914d637c4b06fdb28989,pr_8b3b22c8a9f3aae25725f333,sr_c3f687ca1b5b3edd39bbbe71,NSCQ-FL-20260720-0157,TRI-3381f0fe11723b3edb93,VER-5f2cbea9bc986ea8a1cb,FL,Dunedin,CITY OF DUNEDIN,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0086_sr_c3f687ca1b5b3edd39bbbe71.pdf,35b498ad1a45a27ded49e1bc89cdf092fd7012ee771686eb542f26de198d0967,48,present,likely,p1,"17,47,48",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_46f4319726a4d7d50eb0cf1f,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
134,cexrem_8943afa8cafb39ea65c69855,doc_e67f91e3b8c0f60eabcdca1d,ttd_a980bbb157304ee020142f76,pr_eb24e42de532238b00ab749a,sr_5c862a4b561ce5aebf7a045b,NSCQ-FL-20260720-0177,TRI-00b391d36dba3c7bd18d,VER-b0c6abdb83eb707fdb22,FL,Eustis,CITY OF EUSTIS,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0122_sr_5c862a4b561ce5aebf7a045b.pdf,27688a8961dfbd3cea1a9475dcd0126c2cab9785e3d7439dc61edb5e9ae093cc,39,present,likely,p1,"9,18,20,22",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_e1499aeb09251f37078e0ed5,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
135,cexrem_5f2d5b6e71c1c902b1462734,doc_b13f87e7deb562a8ab1e38ce,ttd_8fd8e5acfd18bfab10fe27b1,pr_e1ca4ff4b393d3e4083c5aee,sr_7932d027bb443c0c711750b1,NSCQ-FL-20260720-0024,TRI-2f0c3eb6a464a0b0066d,VER-490130f636671379d22a,FL,Fort Lauderdale,CITY OF FORT LAUDERDALE,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0088_sr_7932d027bb443c0c711750b1.pdf,31a96036e4c45e0783190802bfb2e4862a4df94aa1d7aefcf4c438ec0835a2ed,134,present,likely,p1,"2,16,31,45,60,68,75,133,134",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_e9059852ee8577cb1082238e,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
136,cexrem_ec6c1f2f623227b31e9793f1,doc_f755a9cdde7d20a7aae5a63b,ttd_37ef1c408d3d4578b9ad5c7e,pr_6f34318987367d20129283fd,sr_76b99d1e24dd0387b9eae9f9,NSCQ-FL-20260720-0023,TRI-1b3d885f461171567896,VER-88541bbc172218d7ff27,FL,Fort Lauderdale,CITY OF FORT LAUDERDALE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0122_sr_76b99d1e24dd0387b9eae9f9.pdf,7495645f88cae492c89bb5924bf67871b9172b9cae954c49fa6a8baf04523a28,104,present,likely,p1,"24,35,58,103",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_e9059852ee8577cb1082238e,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
137,cexrem_a98173af2e3ebccef60aa4c3,doc_bb6c8acff414d0298828402f,ttd_e1098b16aa7d0d64689906b4,pr_0a9857b44d673ce5a311279e,sr_e317c6fd88a1543dfa7b1ef1,NSCQ-FL-20260720-0161,TRI-441835d88c8c414809e9,VER-61516f2cfec4306d111b,FL,Fort Pierce,CITY OF FORT PIERCE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0115_sr_e317c6fd88a1543dfa7b1ef1.pdf,669e8e90d8a4e583bef711502ffa5c98832f7e1cc84548b08d11c75c59610ef3,50,present,possible,p2,"6,23,49,50",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_a487d28c7308ac48b942b9a7,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
138,cexrem_be7a35553475ac742cff23c7,doc_fb03b86d7a179b1c754b3491,ttd_b6f3192b1822d6e83b5df21a,pr_edb3151eae3ff0d88161458f,sr_982152c600bd7a81712237df,NSCQ-FL-20260720-0181,TRI-df131c3c2ffe089e067c,VER-cd368064dd72b94e9254,FL,Hallandale Beach,CITY OF HALLANDALE BEACH,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0045_sr_982152c600bd7a81712237df.pdf,5cbf2b0316e24b1a44d19d88aa9df7252c1037389dd423aeb54f899b2a71f49c,65,partial,possible,p2,"2,8,15,22",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_63ff5a70b7c57623f8ed4d9b,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
139,cexrem_0b4d1de0c905c0e502656083,doc_9206a36b41bfc718d868adcf,ttd_9c2e815c85a7b327f30cf008,pr_294315aaa52f28b484112aee,sr_4051e7236ed55cae88d2a779,NSCQ-FL-20260720-0180,TRI-7305a68278fb2c32e704,VER-66d22111e4fd4c016a85,FL,Hallandale Beach,CITY OF HALLANDALE BEACH,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0158_sr_4051e7236ed55cae88d2a779.pdf,e9473ef9e360169af67540d5dc4c11ee25955534905e3634b99645fae7a95b61,59,present,likely,p1,"2,30",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_63ff5a70b7c57623f8ed4d9b,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
