figure_id,kind,title,mechanism_tags,claim_ids,event_count,mapped_event_count,lower48_event_count,alaska_event_count,side_counts,fixed_extent,projection,hex_radius_km,input_unit,png_path,svg_path,thumbnail_path,data_path,outside_fixed_extent,all_events_accounted_for,northern_records_present,alaska_explicit,qa_status
corrected-category-map-contract-ratification,category,Contract Ratification,contract_ratification,CLAIM-A,9,9,9,0,"{'non_safety': 1, 'safety': 5, 'unresolved': 2, 'side_independent': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-contract-ratification.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-contract-ratification.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-contract-ratification.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-contract-ratification.csv,0,True,True,True,pass
corrected-category-map-vacancy-pressure,category,Vacancy Pressure,vacancy_pressure,CLAIM-D,8,8,8,0,"{'non_safety': 2, 'safety': 2, 'side_independent': 1, 'unresolved': 2, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-vacancy-pressure.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-vacancy-pressure.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-vacancy-pressure.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-vacancy-pressure.csv,0,True,True,True,pass
corrected-category-map-reimbursement,category,Reimbursement,reimbursement,CLAIM-C,7,7,7,0,"{'non_safety': 1, 'unresolved': 3, 'safety': 2, 'side_independent': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-reimbursement.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-reimbursement.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-reimbursement.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-reimbursement.csv,0,True,True,True,pass
corrected-category-map-comparability-parity,category,Comparability Parity,comparability_parity,CLAIM-A|CLAIM-D,6,6,6,0,"{'side_independent': 1, 'safety': 4, 'unresolved': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-comparability-parity.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-comparability-parity.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-comparability-parity.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-comparability-parity.csv,0,True,True,True,pass
corrected-category-map-classification-civil-service,category,Classification Civil Service,classification_civil_service,CLAIM-F,4,4,4,0,"{'safety': 2, 'unresolved': 2}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-classification-civil-service.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-classification-civil-service.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-classification-civil-service.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-classification-civil-service.csv,0,True,True,True,pass
corrected-category-map-interest-arbitration,category,Interest Arbitration,interest_arbitration,CLAIM-A,1,1,1,0,{'safety': 1},"[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-interest-arbitration.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-interest-arbitration.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-interest-arbitration.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-interest-arbitration.csv,0,True,True,True,pass
corrected-profile-map-retroactivity-payroll,profile,Retroactivity and payroll timing,retroactive|retroactive_pay|payroll_effective_date,CLAIM-E,2253,2253,2247,6,"{'unresolved': 893, 'safety': 945, 'non_safety': 114, 'side_independent': 297, 'mixed': 4}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-retroactivity-payroll.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-retroactivity-payroll.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-profile-map-retroactivity-payroll.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-profile-map-retroactivity-payroll.csv,0,True,True,True,pass
corrected-profile-map-non-base-compensation,profile,Non-base and one-time compensation,non_base_compensation_other|stipend_or_premium|uniform_or_equipment_allowance|overtime|holiday_pay|longevity|benefit_cost_change|reimbursement|one_time|lump_sum,CLAIM-C,890,890,887,3,"{'unresolved': 329, 'safety': 452, 'non_safety': 37, 'side_independent': 67, 'mixed': 5}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-non-base-compensation.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-non-base-compensation.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-profile-map-non-base-compensation.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-profile-map-non-base-compensation.csv,0,True,True,True,pass
corrected-profile-map-scheduled-base-growth,profile,Scheduled base-wage growth,across_the_board_raise|base_wage_change|step_progression|cola_cpi_adjustment|inflation_indexing|recurring,CLAIM-B|CLAIM-G,809,809,804,5,"{'unresolved': 357, 'side_independent': 33, 'safety': 384, 'non_safety': 32, 'mixed': 3}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-scheduled-base-growth.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-scheduled-base-growth.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-profile-map-scheduled-base-growth.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-profile-map-scheduled-base-growth.csv,0,True,True,True,pass
corrected-profile-map-budgets-pay-plans,profile,"Budgets, pay plans, and fiscal constraint",budget_pay_plan_process|fiscal_constraint|budget_appropriation,CLAIM-F,636,636,635,1,"{'side_independent': 372, 'non_safety': 69, 'unresolved': 40, 'safety': 154, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-budgets-pay-plans.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-budgets-pay-plans.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-profile-map-budgets-pay-plans.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-profile-map-budgets-pay-plans.csv,0,True,True,True,pass
corrected-profile-map-ordinance-adoption,profile,Council and ordinance adoption,ordinance_council_adoption|ordinance_adoption,CLAIM-F,315,315,312,3,"{'unresolved': 152, 'side_independent': 66, 'safety': 76, 'non_safety': 21}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-ordinance-adoption.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-ordinance-adoption.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-profile-map-ordinance-adoption.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-profile-map-ordinance-adoption.csv,0,True,True,True,pass
corrected-profile-map-formal-bargaining,profile,Formal bargaining and impasse resolution,bargaining_leverage|collective_bargaining|settlement_or_mou|contract_ratification|interest_arbitration,CLAIM-A,81,81,81,0,"{'side_independent': 10, 'non_safety': 5, 'unresolved': 24, 'safety': 42}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-formal-bargaining.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-formal-bargaining.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-profile-map-formal-bargaining.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-profile-map-formal-bargaining.csv,0,True,True,True,pass
corrected-profile-map-classification-structure,profile,Classification and pay structure,classification_band_change|salary_range_change|classification_civil_service,CLAIM-B|CLAIM-F,57,57,57,0,"{'unresolved': 26, 'non_safety': 2, 'side_independent': 5, 'safety': 23, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-classification-structure.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-classification-structure.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-profile-map-classification-structure.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-profile-map-classification-structure.csv,0,True,True,True,pass
corrected-profile-map-staffing-market-pressure,profile,"Staffing, market, and comparability pressure",market_recruitment_retention|vacancy_pressure|comparability_parity,CLAIM-A|CLAIM-D,56,56,56,0,"{'safety': 22, 'unresolved': 23, 'side_independent': 3, 'non_safety': 7, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-staffing-market-pressure.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-profile-map-staffing-market-pressure.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-profile-map-staffing-market-pressure.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-profile-map-staffing-market-pressure.csv,0,True,True,True,pass
