aggressive_tier,caveat,claim_links,computed_percentage,corroboration_status,direction,directional_value_retained,formula,magnitude,mechanism,municipality,period,raw_values,relaxation_rule,reported_percentage,reproduced,result_id,semantic_outcome,side,source_basis,source_coordinates,source_count,source_ids,source_record_id,state,stored_percentage,strict_eligibility,unit_type
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,1.85,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Marion,->,"["""", """", ""1.85%""]",GROWTH-3,1.85,True,AGGRES-ae4abb67a987b07342b90a3d,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-fb587e43309b0d7af401afca""}",1,,B4X2500GROWTHSRC-fc0eb782dbf4962c41ad,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Union,->,"["""", """", ""3%; 3%""]",GROWTH-3,3.0,True,AGGRES-34b5df076a26d6eb6b9c02f5,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-de5e027b98be8b3d3bb8db67""}",1,,B4X2500GROWTHSRC-203366d7a5e01d692715,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Washington,->,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-de8117d886832c3f5d432162,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-433f1b512a1d19ad02926e28""}",1,,B4X2500GROWTHSRC-c9269bfcf305970b3b30,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Gun Barrel City,->,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-1f18b00647fdd8a491ad50bd,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-f004cb42e6dc46d762fb54a4""}",1,,B4X2500GROWTHSRC-09ee088e2cd304dea9b8,TX,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Gun Barrel City,->,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-85b694c2386e7ecb6c0d12cb,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-d22bc61620a817b1e74a4636""}",1,,B4X2500GROWTHSRC-3c8db6784a3d04944d8e,TX,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,1.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Biscayne Park,->,"["""", """", ""1%""]",GROWTH-3,1.0,True,AGGRES-1aa5cb3bafcf9be3799590e8,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-7c11d5a4866599cf9ccc29fc""}",1,,B4X2500GROWTHSRC-02daed166904bf015490,FL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,1.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Biscayne Park,->,"["""", """", ""1%""]",GROWTH-3,1.0,True,AGGRES-983e41110b9221c5389781e7,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-1dce5e848f6426db04642aee""}",1,,B4X2500GROWTHSRC-dc4cc7b49e34a3510912,FL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,1.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Biscayne Park,->,"["""", """", ""1%""]",GROWTH-3,1.0,True,AGGRES-a2c172b11f36d7ce38f29a05,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-9da7ba712a59f1f83d5e9ffe""}",1,,B4X2500GROWTHSRC-ff91f868f4d9fd3078fa,FL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Golden Beach,->,"["""", """", ""3%; 2%""]",GROWTH-3,2.0,True,AGGRES-e594cd645f2129160df47b4f,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-3594aad8287f47949f27ec4a""}",1,,B4X2500GROWTHSRC-122353bf0ac98a2f69cc,FL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,12.0,source_reported_direction_or_percentage,,step_schedule_progression,Golden Beach,->,"["""", """", ""$43,264.00; 12%""]",GROWTH-3,12.0,True,AGGRES-cdd8cf4c23747cdb0a6ec336,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-ef6f1efea71bfbc5a1dcdf01""}",1,,B4X2500GROWTHSRC-1320e2b9236aa1fba606,FL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Golden Beach,->,"["""", """", ""3%; 2%""]",GROWTH-3,2.0,True,AGGRES-164e20236875d87ddd0783ce,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-5467feac33adfba9bb47895f""}",1,,B4X2500GROWTHSRC-5a5035e1d7c26f2fb5f0,FL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,12.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Golden Beach,->,"["""", """", ""$80,000.00; 12%""]",GROWTH-3,12.0,True,AGGRES-e6c068dc2c60a01f03b57071,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-6364e924c8e404ae8df13b27""}",1,,B4X2500GROWTHSRC-627f9271416e543f50bd,FL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,12.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Golden Beach,->,"["""", """", ""$80,000.00; 12%""]",GROWTH-3,12.0,True,AGGRES-7b010e1518bcef49f4d67500,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-5b8cd1f1a7b57b19507cf8fb""}",1,,B4X2500GROWTHSRC-66c98b16d213aa189146,FL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Golden Beach,->,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-0bcd1f9687adc6d50664d918,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-7064622aac1d2446fabfe128""}",1,,B4X2500GROWTHSRC-d47f30e04bbd00b33875,FL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.25,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Flossmoor,->,"["""", """", ""3.25%""]",GROWTH-3,3.25,True,AGGRES-7c6f1f8de9fe23359a150a4f,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-b4499ec183a67b12e7baf4bc""}",1,,B4X2500GROWTHSRC-111f74fdc15c3d08fafb,IL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.75,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wilmington,->,"["""", """", ""2.5%; 2.75%; 2.5%""]",GROWTH-3,2.75,True,AGGRES-ca76f23b48fff1e198c695de,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-da31d80765032e4e7230c5a7""}",1,,B4X2500GROWTHSRC-3c3752df2795279a93de,IL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Plymouth charter,->,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-9ed7eb89f1475fa3506824ff,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-35bef0df35ab8d528ac9f625""}",1,,B4X2500GROWTHSRC-466317898ad17ebb6725,MI,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.75,source_reported_direction_or_percentage,,step_schedule_progression,Tonka Bay,->,"["""", """", ""2.75%""]",GROWTH-3,2.75,True,AGGRES-5cab8aa6aa24867a45d28cf0,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-ed59504ff8ea6c0555e44ec1""}",1,,B4X2500GROWTHSRC-498c572fdad889bbfd65,MN,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,COLA_CPI,Boiling Springs,->,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-6d59c8b6f248ee590d466840,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-32cf017725b03d49d596c16e""}",1,,B4X2500GROWTHSRC-601ab105b902709d6a5a,NC,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Boiling Springs,->,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-679c1c451b36b8f15cfa62f7,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-5d71fa73a1a0c406608ea64c""}",1,,B4X2500GROWTHSRC-a5646ff91fd2b44ea500,NC,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Bedminster,->,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-0a21c560a692ea5b34c57c46,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e029e94c9f4e69a8c53d0788""}",1,,B4X2500GROWTHSRC-9c814449db894bfbe4d7,NJ,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,0.72,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Berlin,->,"["""", """", ""$217,398.63; $1,555.00; 0.72%""]",GROWTH-3,0.72,True,AGGRES-46b31be9b29e5b1d5d07bfbc,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-16899962c45749b3da75878e""}",1,,B4X2500GROWTHSRC-45825a783e132cbf456e,NJ,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,0.72,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Berlin,->,"["""", """", ""$217,398.63; $1,555.00; 0.72%""]",GROWTH-3,0.72,True,AGGRES-46e502a0ccd42a41997acf8b,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-42da7f825507c574f738df01""}",1,,B4X2500GROWTHSRC-a5b05eb2e8bbcad4614f,NJ,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Mendham,->,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-eb3aedf70c7dfc36cfc52e06,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-ae2bf86269049d82297a52c0""}",1,,B4X2500GROWTHSRC-478b10d626b717a458a9,NJ,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Mendham,->,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-815ed5bf701d6a414476b45e,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-bfb1b3b448aa02d909f779d2""}",1,,B4X2500GROWTHSRC-b6073cc23fc41bc32f0a,NJ,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Mendham,->,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-9f80ee9e89f6c04f7dbd1020,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-6cc9603dc1d4a94aecddf3ef""}",1,,B4X2500GROWTHSRC-deff61048025a0a43919,NJ,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,South Glens Falls,->,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-b49a008a1e4a8d56bf7e9f56,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-9ba01582dbd028ffc15ba4a3""}",1,,B4X2500GROWTHSRC-88ea4813e2ee71b2060b,NY,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,step_schedule_progression,Watkins Glen,->,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-6560fcdd1417d0cf0140e5a7,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-b5b5b98c289fc4229b777871""}",1,,B4X2500GROWTHSRC-08f9f4a1a630e93e6c2d,NY,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,step_schedule_progression,Watkins Glen,->,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-58517e7eaad735fe5025708e,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-cc5c8181cf01f4985e460c8e""}",1,,B4X2500GROWTHSRC-2edcce81f553faf2508a,NY,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,step_schedule_progression,Watkins Glen,->,"["""", """", ""$0.40; 3%""]",GROWTH-3,3.0,True,AGGRES-2509d53f1bfa1704f6d0889b,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-6baca24c7ce25a9ef43e6a95""}",1,,B4X2500GROWTHSRC-8a200d91a3997360a17a,NY,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Champion,->,"["""", """", ""$28.00; 2%""]",GROWTH-3,2.0,True,AGGRES-6724986878d6cf07de39d6ef,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-351e83483206df7a8e40ec7f""}",1,,B4X2500GROWTHSRC-80769427f0d0e5bf9591,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Liberty,->,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-32eb83ab43ed5baeed20aa36,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-fcb6fd8567517d7c42969307""}",1,,B4X2500GROWTHSRC-89489736e4c8a0a4353d,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Washington,->,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-463a92c4bdbd401ecdc7dede,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-ffe150ca5637d58876a512b5""}",1,,B4X2500GROWTHSRC-3884d48b6747f6297aef,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,4.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Freeport,->,"["""", """", ""4%""]",GROWTH-3,4.0,True,AGGRES-86fe8f11dc8be261d187714b,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-770eb2551c6736ed58f2d608""}",1,,B4X2500GROWTHSRC-08ef1da229c6f9b117ad,TX,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,4.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Freeport,->,"["""", """", ""4%""]",GROWTH-3,4.0,True,AGGRES-b8e2bf4b1f7f2e255ec4d27e,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-991152b07969251ab84eb24b""}",1,,B4X2500GROWTHSRC-0a86b5372bd0af00e479,TX,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Freeport,->,"["""", """", ""3.5%""]",GROWTH-3,3.5,True,AGGRES-acd43161bd0901abb4105238,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-588693485a834b862aa5230f""}",1,,B4X2500GROWTHSRC-29038fd70aa2cd0a9fb9,TX,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,10.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Freeport,->,"["""", """", ""10%""]",GROWTH-3,10.0,True,AGGRES-c2ee80877fde293f4ed0fb44,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-2d665b1d9d1f202bd28481c8""}",1,,B4X2500GROWTHSRC-8e38d425f471aa274bf4,TX,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,10.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Freeport,->,"["""", """", ""10%""]",GROWTH-3,10.0,True,AGGRES-ab853a94d5b9641d7fed5bc3,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e5a87ded935cbfe106ed3643""}",1,,B4X2500GROWTHSRC-a7be87f00620c6bc29bb,TX,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Daniel,->,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-7370f8be8cad1783083fdbae,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-7390084c844b4072a6cd91a6""}",1,,B4X2500GROWTHSRC-22cde29ea4b2ca8a8ea0,UT,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Daniel,->,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-6e08c6df4cdec9e044b18962,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-b141d13eabaf3126b12f1e22""}",1,,B4X2500GROWTHSRC-a71a896f3aecc5f305b3,UT,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.75,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Fletcher,->,"["""", """", ""3.75%""]",GROWTH-3,3.75,True,AGGRES-87ee5fae2c73485b25bddb10,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-f94a414d5f42828d6ab28cfa""}",1,,B4X2500GROWTHSRC-bbaad5e7672dd440f4e9,VT,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,4.52,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Fletcher,->,"["""", """", ""4.52%""]",GROWTH-3,4.52,True,AGGRES-4ff3a5ae8eca164c97e648ed,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-3a177d31db61181ac0848b77""}",1,,B4X2500GROWTHSRC-de29e834db71fd69b09a,VT,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,0.00035297,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Butler,->,"["""", """", ""0.00035297%""]",GROWTH-3,0.00035297,True,AGGRES-3e20bc8996ebe417286ac292,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-c39f0858de81a3aa86aa84db""}",1,,B4X2500GROWTHSRC-17aeae73e4cf985d9eeb,WI,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,5.0,source_reported_direction_or_percentage,,COLA_CPI,Colma,->,"["""", """", ""5%; 2%""]",GROWTH-3,5.0,True,AGGRES-763063469fb3346fd675336b,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-2ded2c2b8e77ed4abb9285a7""}",1,,B4X2500GROWTHSRC-d6164f0274ed079f0d4c,CA,,source_reported_growth_rate,growth
