municipality,valid_rating_count,evidence_strength_counts,claim_relevance_counts
De Smet,2,"{""strong"": 1, ""weak"": 1}","{""quantitative_compensation_claim"": 2}"
De Witt,37,"{""moderate"": 5, ""not_supported"": 6, ""strong"": 16, ""weak"": 10}","{""context_only"": 8, ""direct_text_claim"": 10, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 15}"
DeWitt,19,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 3, ""weak"": 11}","{""context_only"": 6, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Deadwood,15,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 7, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Decatur,6,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Defiance,11,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 1, ""weak"": 7}","{""context_only"": 6, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3, ""source_navigation_claim"": 1}"
Del City,4,"{""not_supported"": 2, ""weak"": 2}","{""context_only"": 3, ""not_claim_ready"": 1}"
Del Rio,4,"{""not_supported"": 2, ""strong"": 1, ""weak"": 1}","{""context_only"": 3, ""quantitative_compensation_claim"": 1}"
Delafield,30,"{""moderate"": 10, ""not_supported"": 2, ""strong"": 5, ""weak"": 13}","{""context_only"": 9, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 8, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 10}"
Delcambre,3,"{""not_supported"": 2, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Delhi charter,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1}"
Dell Rapids,3,"{""strong"": 1, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
Delmar,5,"{""not_supported"": 2, ""weak"": 3}","{""context_only"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1}"
Delta Junction,15,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 6, ""weak"": 4}","{""context_only"": 1, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5, ""source_navigation_claim"": 1}"
Denison,2,"{""weak"": 2}","{""context_only"": 2}"
Derby,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Derry,6,"{""moderate"": 3, ""strong"": 1, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 1}"
Detroit,13,"{""moderate"": 3, ""strong"": 4, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 5}"
Detroit Lakes,25,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 7, ""weak"": 12}","{""context_only"": 10, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5, ""source_navigation_claim"": 1}"
Diamondville,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
Dickinson,30,"{""moderate"": 8, ""not_supported"": 3, ""strong"": 7, ""weak"": 12}","{""context_only"": 12, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 10}"
Dickson,4,"{""weak"": 4}","{""context_only"": 4}"
Dilworth,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 3, ""weak"": 4}","{""context_only"": 4, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 4}"
Dobbs Ferry,9,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 4, ""weak"": 2}","{""context_only"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Dodgeville,2,"{""weak"": 2}","{""context_only"": 2}"
Dolton,16,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 2, ""weak"": 9}","{""context_only"": 7, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Donald,8,"{""moderate"": 3, ""strong"": 2, ""weak"": 3}","{""context_only"": 3, ""quantitative_compensation_claim"": 4, ""source_navigation_claim"": 1}"
Donna,23,"{""moderate"": 2, ""not_supported"": 10, ""strong"": 7, ""weak"": 4}","{""context_only"": 7, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 6}"
Doraville,6,"{""moderate"": 3, ""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Dormont,26,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 9, ""weak"": 10}","{""context_only"": 8, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 11, ""source_navigation_claim"": 1}"
Dowagiac,16,"{""moderate"": 6, ""not_supported"": 1, ""strong"": 5, ""weak"": 4}","{""context_only"": 1, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 13}"
Downers Grove,11,"{""not_supported"": 2, ""strong"": 2, ""weak"": 7}","{""context_only"": 7, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Doylestown,4,"{""moderate"": 2, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 1}"
Driggs,1,"{""weak"": 1}","{""context_only"": 1}"
DuPont,2,"{""not_supported"": 2}","{""context_only"": 2}"
Dublin,3,"{""moderate"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Dumfries,5,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Dunbar,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Dundee,32,"{""moderate"": 7, ""not_supported"": 7, ""strong"": 8, ""weak"": 10}","{""context_only"": 7, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 12, ""source_navigation_claim"": 1}"
Dunkirk,14,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 5, ""weak"": 5}","{""context_only"": 7, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Duxbury,21,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 8, ""weak"": 8}","{""context_only"": 7, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 8}"
Eagar,9,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
East Aurora,7,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
East Bethel,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 2}"
East Chicago,7,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 3, ""weak"": 1}","{""not_claim_ready"": 4, ""quantitative_compensation_claim"": 3}"
East Goshen,10,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 4, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
East Grand Forks,15,"{""moderate"": 2, ""strong"": 4, ""weak"": 9}","{""context_only"": 5, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 8, ""source_navigation_claim"": 1}"
East Grand Rapids,15,"{""moderate"": 3, ""not_supported"": 4, ""strong"": 4, ""weak"": 4}","{""context_only"": 8, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
East Greenwich,38,"{""moderate"": 9, ""not_supported"": 6, ""strong"": 4, ""weak"": 19}","{""context_only"": 19, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 9}"
East Haddam,6,"{""moderate"": 4, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 4}"
East Hartford,14,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 4, ""weak"": 5}","{""context_only"": 6, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
East Haven,2,"{""weak"": 2}","{""context_only"": 2}"
East Helena,2,"{""moderate"": 1, ""weak"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
East Hempfield,1,"{""weak"": 1}","{""not_claim_ready"": 1}"
East Lyme,46,"{""moderate"": 11, ""not_supported"": 6, ""strong"": 11, ""weak"": 18}","{""context_only"": 14, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 22, ""source_navigation_claim"": 1}"
East Point,2,"{""moderate"": 1, ""strong"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
East Ridge,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 2, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
East Rochester,2,"{""strong"": 2}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
East Troy,2,"{""weak"": 2}","{""not_claim_ready"": 2}"
East Whiteland,10,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 1, ""weak"": 6}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Easton,15,"{""moderate"": 2, ""strong"": 6, ""weak"": 7}","{""context_only"": 6, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 6}"
Eastport,1,"{""not_supported"": 1}","{""context_only"": 1}"
Eaton Rapids,9,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3, ""weak"": 3}","{""context_only"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Eatonville,22,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 9, ""weak"": 8}","{""context_only"": 6, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 8, ""source_navigation_claim"": 1}"
Eau Claire,3,"{""weak"": 3}","{""context_only"": 2, ""source_navigation_claim"": 1}"
Economy,1,"{""weak"": 1}","{""context_only"": 1}"
Edgemont,2,"{""strong"": 2}","{""direct_text_claim"": 2}"
Edison,6,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 3}","{""context_only"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Edwardsville,12,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 5, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Effingham,20,"{""moderate"": 5, ""strong"": 4, ""weak"": 11}","{""context_only"": 9, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 5, ""quantitative_compensation_claim"": 3}"
El Dorado,23,"{""moderate"": 4, ""not_supported"": 6, ""weak"": 13}","{""context_only"": 18, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
El Mirage,30,"{""moderate"": 8, ""not_supported"": 2, ""strong"": 11, ""weak"": 9}","{""context_only"": 10, ""direct_text_claim"": 8, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 10}"
Elgin,18,"{""moderate"": 3, ""not_supported"": 6, ""strong"": 2, ""weak"": 7}","{""context_only"": 9, ""direct_text_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Elim,7,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 2}"
Eliot,5,"{""not_supported"": 1, ""weak"": 4}","{""context_only"": 5}"
Elizabeth,1,"{""weak"": 1}","{""context_only"": 1}"
Elizabeth City,9,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 1, ""weak"": 5}","{""context_only"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3, ""source_navigation_claim"": 1}"
Elizabethton,3,"{""strong"": 1, ""weak"": 2}","{""quantitative_compensation_claim"": 3}"
Elko New Market,15,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 8, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 6}"
Ellendale,1,"{""weak"": 1}","{""not_claim_ready"": 1}"
Ellettsville,7,"{""not_supported"": 1, ""strong"": 4, ""weak"": 2}","{""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Ellsworth,11,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3, ""weak"": 5}","{""context_only"": 6, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Elm Grove,8,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 3, ""weak"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 6}"
Elon,9,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 3, ""weak"": 2}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Elsmere,1,"{""not_supported"": 1}","{""not_claim_ready"": 1}"
Ely,28,"{""moderate"": 6, ""not_supported"": 3, ""strong"": 5, ""weak"": 14}","{""context_only"": 9, ""direct_text_claim"": 7, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 7}"
Emmetsburg,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Emmitsburg,7,"{""moderate"": 2, ""strong"": 4, ""weak"": 1}","{""quantitative_compensation_claim"": 7}"
Emporia,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1}"
Englewood,35,"{""moderate"": 8, ""not_supported"": 4, ""strong"": 13, ""weak"": 10}","{""context_only"": 8, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 17}"
Ennis,7,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Enterprise,1,"{""weak"": 1}","{""context_only"": 1}"
Erath,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Estherville,6,"{""moderate"": 2, ""strong"": 2, ""weak"": 2}","{""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Evans,4,"{""strong"": 4}","{""context_only"": 1, ""quantitative_compensation_claim"": 3}"
Evansdale,15,"{""moderate"": 3, ""strong"": 11, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 11}"
Evansville,16,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 3, ""weak"": 7}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Everson,27,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 10, ""weak"": 10}","{""context_only"": 6, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 14}"
Exeter,10,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 4, ""weak"": 3}","{""context_only"": 5, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4}"
Exmore,2,"{""moderate"": 1, ""weak"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Fair Haven,2,"{""weak"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Fair Oaks Ranch,8,"{""moderate"": 3, ""not_supported"": 2, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2, ""source_navigation_claim"": 1}"
Fairbury,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
Fairfax,20,"{""moderate"": 6, ""not_supported"": 1, ""strong"": 8, ""weak"": 5}","{""context_only"": 6, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 7}"
Fairfield,50,"{""moderate"": 9, ""not_supported"": 6, ""strong"": 20, ""weak"": 15}","{""context_only"": 17, ""direct_text_claim"": 9, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 23}"
Fairhaven,27,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 10, ""weak"": 12}","{""context_only"": 8, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 9}"
Fairmont,9,"{""strong"": 4, ""weak"": 5}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4, ""source_navigation_claim"": 1}"
Fairport,9,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 2, ""weak"": 3}","{""context_only"": 4, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Fairview,7,"{""strong"": 3, ""weak"": 4}","{""context_only"": 1, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Falls City,3,"{""strong"": 3}","{""quantitative_compensation_claim"": 3}"
Falmouth,32,"{""moderate"": 6, ""not_supported"": 2, ""strong"": 10, ""weak"": 14}","{""context_only"": 11, ""direct_text_claim"": 7, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 12}"
False Pass,9,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Farmerville,4,"{""not_supported"": 1, ""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Farmington,34,"{""moderate"": 5, ""not_supported"": 10, ""strong"": 9, ""weak"": 10}","{""context_only"": 17, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 9}"
Fayetteville,20,"{""moderate"": 2, ""not_supported"": 7, ""strong"": 1, ""weak"": 10}","{""context_only"": 11, ""direct_text_claim"": 2, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 2}"
Federal Heights,2,"{""moderate"": 1, ""not_supported"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
Ferriday,7,"{""not_supported"": 2, ""weak"": 5}","{""context_only"": 5, ""not_claim_ready"": 2}"
Ferrisburgh,3,"{""not_supported"": 1, ""strong"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Ferron,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1}"
Festus,10,"{""moderate"": 2, ""strong"": 3, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Fillmore,9,"{""moderate"": 2, ""not_supported"": 4, ""weak"": 3}","{""context_only"": 7, ""quantitative_compensation_claim"": 2}"
Fircrest,12,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 1, ""weak"": 6}","{""context_only"": 6, ""direct_text_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2}"
Firebaugh,27,"{""moderate"": 2, ""not_supported"": 4, ""strong"": 14, ""weak"": 7}","{""context_only"": 7, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 12}"
Flagler Beach,13,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 3, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Flandreau,2,"{""not_supported"": 1, ""strong"": 1}","{""context_only"": 1, ""direct_text_claim"": 1}"
Flemingsburg,5,"{""moderate"": 2, ""weak"": 3}","{""context_only"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Flint,6,"{""moderate"": 2, ""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 1}"
Florence,10,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 1, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Flowery Branch,7,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 4}","{""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Foley,8,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 2, ""weak"": 2}","{""context_only"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Forest Acres,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Forest City,13,"{""moderate"": 4, ""not_supported"": 3, ""strong"": 2, ""weak"": 4}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Forest Heights,3,"{""weak"": 3}","{""context_only"": 3}"
Forest Hills,3,"{""weak"": 3}","{""context_only"": 2, ""not_claim_ready"": 1}"
Forest Park,9,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 2, ""weak"": 4}","{""context_only"": 5, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Forks,6,"{""strong"": 3, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Forney,4,"{""strong"": 4}","{""quantitative_compensation_claim"": 4}"
Forrest City,2,"{""strong"": 1, ""weak"": 1}","{""quantitative_compensation_claim"": 2}"
Forsyth,1,"{""moderate"": 1}","{""quantitative_compensation_claim"": 1}"
Fort Calhoun,7,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 4}","{""context_only"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Fort Fairfield,3,"{""strong"": 1, ""weak"": 2}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Fort Kent,10,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4}"
Fort Madison,7,"{""moderate"": 3, ""strong"": 3, ""weak"": 1}","{""context_only"": 2, ""direct_text_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Fort Meade,14,"{""moderate"": 2, ""strong"": 6, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 7}"
Fort Mill,1,"{""moderate"": 1}","{""quantitative_compensation_claim"": 1}"
Fort Morgan,1,"{""moderate"": 1}","{""quantitative_compensation_claim"": 1}"
Fort Oglethorpe,12,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 3, ""weak"": 5}","{""context_only"": 8, ""quantitative_compensation_claim"": 4}"
Fort Payne,5,"{""weak"": 5}","{""context_only"": 4, ""quantitative_compensation_claim"": 1}"
Fort Pierre,4,"{""moderate"": 1, ""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Fort Thomas,11,"{""moderate"": 2, ""strong"": 6, ""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 5, ""quantitative_compensation_claim"": 5}"
Fort Wayne,10,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 3, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Fort Wright,1,"{""moderate"": 1}","{""documentary_mechanism_claim"": 1}"
Fort Yukon,3,"{""not_supported"": 1, ""strong"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Fortuna,13,"{""not_supported"": 3, ""strong"": 6, ""weak"": 4}","{""context_only"": 7, ""direct_text_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Foster,6,"{""not_supported"": 1, ""strong"": 2, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 2, ""not_claim_ready"": 2}"
Fountain Hills,21,"{""moderate"": 8, ""strong"": 8, ""weak"": 5}","{""context_only"": 6, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 9}"
Fox Lake,6,"{""not_supported"": 1, ""weak"": 5}","{""context_only"": 4, ""documentary_mechanism_claim"": 2}"
Foxborough,2,"{""weak"": 2}","{""context_only"": 1, ""not_claim_ready"": 1}"
Francis,3,"{""not_supported"": 2, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 2}"
Frankenmuth,10,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 4, ""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Franklin,25,"{""moderate"": 4, ""not_supported"": 5, ""strong"": 7, ""weak"": 9}","{""context_only"": 10, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 4}"
Franklin Park,5,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 2}","{""context_only"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2}"
Frederica,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Fredericktown,5,"{""strong"": 4, ""weak"": 1}","{""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Freehold,28,"{""moderate"": 4, ""strong"": 7, ""weak"": 17}","{""context_only"": 13, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 8}"
Freeman,3,"{""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Freeport,1,"{""weak"": 1}","{""context_only"": 1}"
