size_rank_within_published_directories,relative_path,logical_bytes,logical_human,allocated_entry_bytes,allocated_entry_human,descendant_file_count,descendant_directory_count,inclusion_reason,snapshot_generated_at
120,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_005,283431414,270.30 MiB,283443200,270.31 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
121,docs/analysis/handoff,267625024,255.23 MiB,270446592,257.92 MiB,1023,29,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
122,tmp/broad_state_external_data_available_candidate_review_2026-08-05_logs,264942099,252.67 MiB,264953856,252.68 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
123,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-GABRIEL-RATING-2026-08-02,263885894,251.66 MiB,264216576,251.98 MiB,138,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
124,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/locked_spans,256476874,244.60 MiB,256491520,244.61 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
125,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06,249482687,237.93 MiB,250007552,238.43 MiB,187,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
126,docs/dashboard,245026713,233.68 MiB,249602048,238.04 MiB,1929,143,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
127,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02,243857456,232.56 MiB,244088832,232.78 MiB,89,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
128,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-NORMALIZATION-RESCUE-GAP-GROWTH-CLAIMS-2026-07-30,241677860,230.48 MiB,241975296,230.77 MiB,123,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
129,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-POST-RECONCILIATION-NORMALIZATION-MATCHING-PREP-2026-08-03,234348005,223.49 MiB,234536960,223.67 MiB,70,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
130,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-RATING-INGESTION-CODIFICATION-2026-08-02,233960155,223.12 MiB,234209280,223.36 MiB,92,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
131,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001,233855521,223.02 MiB,233943040,223.11 MiB,35,6,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
132,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes,233855521,223.02 MiB,233943040,223.11 MiB,35,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
133,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/locked_queue,228934745,218.33 MiB,228950016,218.34 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
134,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/quarantine/unaccepted_prepare_attempt_20260806T002802Z/locked_queue,228934745,218.33 MiB,65814528,62.77 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
135,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03,227533996,216.99 MiB,227688448,217.14 MiB,54,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
136,tmp/broad_state_whole_corpus_available_external_data_source_review_download_2026-08-05_logs,217060536,207.01 MiB,217096192,207.04 MiB,21,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
137,corpus,216191337,206.18 MiB,216350720,206.33 MiB,79,19,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
138,tmp/broad_state_whole_corpus_external_data_exhaustive_pipeline_2026-08-04_logs/stage1_append_only_checkpoint_archive,213321310,203.44 MiB,213348352,203.46 MiB,15,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
139,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_003,210752057,200.99 MiB,210763776,201.00 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
140,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/administrative_observations,205147587,195.64 MiB,205152256,195.65 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
141,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_003,203786388,194.35 MiB,203788288,194.35 MiB,2,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
142,docs/analysis/compensation_extraction/COMBINED-BROAD-SPAN-EVIDENCE-EXTRACTION-3815-PARALLEL-LANES-2026-07-28,201017018,191.70 MiB,201531392,192.20 MiB,164,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
143,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_004,200465006,191.18 MiB,200470528,191.18 MiB,2,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
144,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-CANDIDATE-REVIEW-2026-08-01,197182476,188.05 MiB,197386240,188.24 MiB,79,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
145,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_005,196247322,187.16 MiB,196251648,187.16 MiB,2,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
146,.claude/worktrees/remote-diagnosis/corpus,189119138,180.36 MiB,189231104,180.46 MiB,57,16,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
147,.claude/worktrees/tx-oh-expansion-recovery/corpus,189119138,180.36 MiB,189231104,180.46 MiB,57,16,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
148,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01/lanes,184992526,176.42 MiB,615178240,586.68 MiB,131099,37452,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
149,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_002,184555294,176.01 MiB,184557568,176.01 MiB,2,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
150,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/superseded_generation_000,184345530,175.81 MiB,185028608,176.46 MiB,243,2,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
151,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30,182067064,173.63 MiB,188243968,179.52 MiB,2940,4,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
152,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_001,181711928,173.29 MiB,181714944,173.30 MiB,2,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
153,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_002,181363724,172.96 MiB,181374976,172.97 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
154,tmp/broad_state_whole_corpus_external_data_exhaustive_pipeline_2026-08-04_logs/downstream_append_only_checkpoint_archive,180733657,172.36 MiB,180744192,172.37 MiB,5,1,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
155,tmp/broad_state_whole_corpus_external_data_exhaustive_pipeline_2026-08-04_logs/downstream_append_only_checkpoint_archive/stage2_candidate_review,180733657,172.36 MiB,180744192,172.37 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
156,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_004,180304789,171.95 MiB,180314112,171.96 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
157,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-VERIFICATION-2026-07-30,178914262,170.63 MiB,179105792,170.81 MiB,72,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
158,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005,174774832,166.68 MiB,175022080,166.91 MiB,111,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
159,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004,174684797,166.59 MiB,174903296,166.80 MiB,111,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
160,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003,174632829,166.54 MiB,174862336,166.76 MiB,112,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
161,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002,174587909,166.50 MiB,174837760,166.74 MiB,112,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
162,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001,174576959,166.49 MiB,174809088,166.71 MiB,111,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
163,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx,170364328,162.47 MiB,170758144,162.85 MiB,153,3,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
164,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts,170199180,162.31 MiB,170586112,162.68 MiB,150,2,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
165,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content,170117292,162.24 MiB,170278912,162.39 MiB,75,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
166,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/lanes/classification_lane_004,165371831,157.71 MiB,165396480,157.73 MiB,11,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
167,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-RATING-INGEST-CODIFY-PI-EVIDENCE-2026-07-30,164234849,156.63 MiB,164417536,156.80 MiB,65,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
168,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_001,157610706,150.31 MiB,157618176,150.32 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
169,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/superseded_generation_000/administrative_observations,155143839,147.96 MiB,155156480,147.97 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
170,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/lanes/classification_lane_003,153879034,146.75 MiB,153911296,146.78 MiB,11,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
171,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/lanes/classification_lane_005,145847358,139.09 MiB,145866752,139.11 MiB,11,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
172,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-TEXT-EXTRACTION-2026-08-02,145663261,138.92 MiB,145965056,139.20 MiB,120,6,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
173,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-TEXT-EXTRACTION-2026-07-30,143283554,136.65 MiB,143515648,136.87 MiB,93,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
174,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,138502358,132.09 MiB,331083776,315.75 MiB,60503,20095,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
175,artifacts/handoff_packages,136292155,129.98 MiB,136499200,130.18 MiB,77,9,mandatory_root|at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
176,artifacts/handoff_packages/gabriel-wages-source-library-2026-08-06,136286007,129.97 MiB,136491008,130.17 MiB,76,8,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
177,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003,132298896,126.17 MiB,134377472,128.15 MiB,1013,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
178,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx,132096672,125.98 MiB,132481024,126.34 MiB,152,3,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
179,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts,131934370,125.82 MiB,132313088,126.18 MiB,149,2,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
180,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content,131853168,125.74 MiB,132005888,125.89 MiB,74,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
181,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/claim_links,127432524,121.53 MiB,127438848,121.54 MiB,4,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
182,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/lanes/classification_lane_002,121889598,116.24 MiB,121917440,116.27 MiB,11,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
183,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_004/reconciled_observations_basis_repaired,117019483,111.60 MiB,117051392,111.63 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
184,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_003/reconciled_observations_basis_repaired,116907381,111.49 MiB,116932608,111.52 MiB,15,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
185,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_002/reconciled_observations_basis_repaired,116883122,111.47 MiB,116916224,111.50 MiB,15,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
186,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_001/reconciled_observations_basis_repaired,116871797,111.46 MiB,116899840,111.48 MiB,15,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
187,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_005/reconciled_observations_basis_repaired,116862950,111.45 MiB,116895744,111.48 MiB,15,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
188,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_004/reconciled_observations_period_repaired,116757133,111.35 MiB,116789248,111.38 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
189,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_003/reconciled_observations_period_repaired,116731794,111.32 MiB,116764672,111.36 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
190,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_002/reconciled_observations_period_repaired,116706974,111.30 MiB,116736000,111.33 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
191,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_001/reconciled_observations_period_repaired,116701153,111.29 MiB,116736000,111.33 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
192,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_005/reconciled_observations_period_repaired,116688789,111.28 MiB,116731904,111.32 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
193,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_004/reconciled_observations,116504575,111.11 MiB,116543488,111.14 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
194,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_003/reconciled_observations,116482786,111.09 MiB,116523008,111.12 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
195,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_002/reconciled_observations,116454232,111.06 MiB,116486144,111.09 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
196,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_001/reconciled_observations,116440729,111.05 MiB,116469760,111.07 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
197,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_005/reconciled_observations,116433449,111.04 MiB,116461568,111.07 MiB,16,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
198,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/lanes/classification_lane_001,116149441,110.77 MiB,116178944,110.80 MiB,11,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
199,artifacts/handoff_packages/gabriel-wages-source-library-2026-08-06/read_me_first_tree,115906418,110.54 MiB,115970048,110.60 MiB,30,4,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
200,artifacts/handoff_packages/gabriel-wages-source-library-2026-08-06/read_me_first_tree/gabriel-wages-source-library-2026-08-06,115906418,110.54 MiB,115970048,110.60 MiB,30,3,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
201,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-VERIFICATION-2026-08-01,115497565,110.15 MiB,115744768,110.38 MiB,92,6,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
202,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers/lanes/normalization_lane_005,110767511,105.64 MiB,110841856,105.71 MiB,37,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
203,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers/lanes/normalization_lane_002,110755297,105.62 MiB,110837760,105.70 MiB,37,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
204,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers/lanes/normalization_lane_001,110745178,105.61 MiB,110817280,105.68 MiB,37,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
205,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers/lanes/normalization_lane_003,110733675,105.60 MiB,110821376,105.69 MiB,37,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
206,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers/lanes/normalization_lane_004,110726950,105.60 MiB,110788608,105.66 MiB,37,7,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
207,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-SOURCE-REVIEW-DOWNLOAD-2026-07-30,109704457,104.62 MiB,109907968,104.82 MiB,86,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
208,docs/analysis/text_table_calibration,109049729,104.00 MiB,110731264,105.60 MiB,831,158,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
209,docs/analysis/text_table_calibration/TEXT-TABLE-INDEPENDENT-ADJUDICATION-PREP1-2026-07-24,107308276,102.34 MiB,108900352,103.86 MiB,792,151,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
210,docs/analysis/text_table_calibration/TEXT-TABLE-INDEPENDENT-ADJUDICATION-PREP1-2026-07-24/rendered_pages,106889932,101.94 MiB,108466176,103.44 MiB,785,150,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
211,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,106479708,101.55 MiB,106696704,101.75 MiB,85,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
212,docs/dashboard/public/reports,102765422,98.00 MiB,104472576,99.63 MiB,755,35,mandatory_root,2026-08-07T15:30:16.438726+00:00
