period_rescue_id,normalization_id,original_period_status,original_period_label,period_rescue_status,cleaned_period_label,period_evidence_basis,period_rescue_confidence,source_title,raw_period_tokens,source_locator_lineage
BRMPERRES-43fa7932cef3e3bf7a098f10,BRMQNORM-20260803-31ee09582f7c13fb12e7e879,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,"Council Agenda (Item #19): Resolution approving Memorandum of Agreement amending terms/conditions for employees within Law Enforcement Labor Services (LELS), Local 73 Labor Agreement (select portion: group health insurance provider/plan administrator effective 1/1/2026)","[""2026"",""January 1, 2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-12522-02"", ""final"": ""https://ci.austin.mn.us/Council/archiveagendas/2025/12_15_25.pdf"", ""original"": ""https://www.ci.austin.mn.us/Council/archiveagendas/2025/12_15_25.pdf"", ""scout_target_id"": ""BRM5-20260731-12522""}"
BRMPERRES-2a582bc8071d6ad1f876c1d8,BRMQNORM-20260803-320bbf93d5da9b50fb6b694c,explicit_or_bounded_repair,2000,explicit_period_rescued,2000,existing explicit or bounded normalized period,high,Plymouth Township Employee Handbook,"[""July 1, 2000""]","{""candidate_id"": ""BRM5C-BRM5-20260731-03379-01"", ""final"": ""https://plymouthtownship.org/download/Human%20Resources/Employee-Resources/employee_documents/Plymouth-Township-Employee-Handbook.pdf"", ""original"": ""https://www.plymouthtownship.org/download/Human%20Resources/Employee-Resources/employee_documents/Plymouth-Township-Employee-Handbook.pdf"", ""scout_target_id"": ""BRM5-20260731-03379""}"
BRMPERRES-0fb2b26fc81231767925cca2,BRMQNORM-20260803-320bf2c18b00656221fd3bf4,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Village of Clayton Employee Handbook (Adopted 4/12/21) — Compensation policy section,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-17901-02"", ""final"": ""https://villageofclaytonny.gov/wp-content/uploads/2021/05/Village-of-Clayton-Employee-Handbook-v2021.pdf"", ""original"": ""https://www.villageofclaytonny.gov/wp-content/uploads/2021/05/Village-of-Clayton-Employee-Handbook-v2021.pdf"", ""scout_target_id"": ""BRM5-20260731-17901""}"
BRMPERRES-8dc3acdec58a44ca4479b709,BRMQNORM-20260803-3215afb4a209e4ffb8c58d3e,explicit_or_bounded_repair,2025,explicit_period_rescued,2025,existing explicit or bounded normalized period,high,RESOLUTION ESTABLISHING RATE OF COMPENSATION FOR NON-UNION ADMINISTRATIVE PERSONNEL FOR FISCAL YEAR 2025,"[""2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10409-01"", ""final"": ""https://broomecountyny.gov/sites/default/files/dept/legis/11072024-adopted%20resos.pdf"", ""original"": ""https://broomecountyny.gov/sites/default/files/dept/legis/11072024-adopted%20resos.pdf"", ""scout_target_id"": ""BRM5-20260731-10409""}"
BRMPERRES-c81ee57b0f086d4b6989ed95,BRMQNORM-20260803-322215df7f87ebe844927301,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,01-2026 Reorganization minutes (employee wages/benefits policy statements),"[""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-03247-02"", ""final"": ""https://greenwoodtwpcrawfordpa.gov/wp-content/uploads/2026/02/01-2026-Reorganization-minutes-.pdf"", ""original"": ""https://greenwoodtwpcrawfordpa.gov/wp-content/uploads/2026/02/01-2026-Reorganization-minutes-.pdf"", ""scout_target_id"": ""BRM5-20260731-03247""}"
BRMPERRES-53c44d375f1fa6135aaaff66,BRMQNORM-20260803-3225656044d1ca898393e62c,explicit_or_bounded_repair,2025–2027,explicit_period_rescued,2025–2027,existing explicit or bounded normalized period,high,"Negotiated Agreement (Effective with first full pay period following Jan 1, 2025; January 1, 2026; January 1, 2027 wage schedule language) — Chester Township Police Department / (SERB-hosted) (Document ID 24-MED-10-1207)","[""Jan 1, 2025"",""January 1, 2026"",""January 1, 2027""]","{""candidate_id"": ""BRM5C-BRM5-20260731-05964-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2024/24-MED-10-1207.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2024/24-MED-10-1207.pdf"", ""scout_target_id"": ""BRM5-20260731-05964""}"
BRMPERRES-7154a83936f9f302e43281f8,BRMQNORM-20260803-32374b2bde85b41420caf2d8,explicit_or_bounded_repair,1995–2022,explicit_period_rescued,1995–2022,existing explicit or bounded normalized period,high,"Collective Bargaining Agreement between the City of Oakwood, Montgomery County, Ohio and Fraternal Order of Police, Oakwood Lodge No. 107 (Effective from and after October 27, 2019 through October 26, 2022)","[""January 1, 1995"",""October 26, 2022"",""October 27, 2019""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06104-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-CON-02-1726.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-CON-02-1726.pdf"", ""scout_target_id"": ""BRM5-20260731-06104""}"
BRMPERRES-8e0f1ba4e3c477bc83de855d,BRMQNORM-20260803-32394e393de013bd386d36a4,explicit_or_bounded_repair,2025,explicit_period_rescued,2025,existing explicit or bounded normalized period,high,"City of Franklin, Indiana Budgetary Ordinance No. 24-22 (Schedule of Total Compensation) — 2025 Base Pay Rate Schedule (Police/merit police titles and base wages)","[""2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-04329-01"", ""final"": ""https://franklin.in.gov/egov/documents/1733852781_74171.pdf"", ""original"": ""https://www.franklin.in.gov/egov/documents/1733852781_74171.pdf"", ""scout_target_id"": ""BRM5-20260731-04329""}"
BRMPERRES-5da37da39a4526d1559c5e1f,BRMQNORM-20260803-32397cf86057a6aba30f1457,explicit_or_bounded_repair,2025,explicit_period_rescued,2025,existing explicit or bounded normalized period,high,"City of Franklin, Indiana Budgetary Ordinance No. 24-20 (Schedule of total compensation for 2025, includes Police Department pay)","[""2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-08055-01"", ""final"": ""https://franklin.in.gov/egov/documents/1726499898_46214.pdf"", ""original"": ""https://www.franklin.in.gov/egov/documents/1726499898_46214.pdf"", ""scout_target_id"": ""BRM5-20260731-08055""}"
BRMPERRES-232a75ad3d8e18be6d571a44,BRMQNORM-20260803-3239e3255ac587cf796a3e19,explicit_or_bounded_repair,2021,explicit_period_rescued,2021,existing explicit or bounded normalized period,high,TOWN OF BIG FLATS — 2021 Minutes ALL (Resolution: WAGES SET FOR EMPLOYEES APPROVED; Resolution No. 20-21),"[""2021"",""August 12, 2021"",""February 10, 2021""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17882-02"", ""final"": ""https://cms8.revize.com/revize/townofbigflatsny/Document_Center/Agenda%20%26%20Minutes/Town%20Board%20%26%20Water%20Board/2021/2021%20Minutes%20ALL.pdf"", ""original"": ""https://cms8.revize.com/revize/townofbigflatsny/Document_Center/Agenda%20%26%20Minutes/Town%20Board%20%26%20Water%20Board/2021/2021%20Minutes%20ALL.pdf"", ""scout_target_id"": ""BRM5-20260731-17882""}"
BRMPERRES-7d5e0764fb143217936853b0,BRMQNORM-20260803-323bd516fed9deadb97fa710,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,"Master Contract — City of Jackson, Ohio Employees Local #3619 & AFSCME (OAPSE/AFSCME Local 4, Local #410)",[],"{""candidate_id"": ""BRM5C-BRM5-20260731-09770-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-06-0636.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-06-0636.pdf"", ""scout_target_id"": ""BRM5-20260731-09770""}"
BRMPERRES-5896cb77bc95633bc0d968b5,BRMQNORM-20260803-324661df4fb788f3588aa1d5,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Village of Stockbridge Regular Council Meeting Packet (contains Employee Handbook Appendix II – Pay structure reference),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-08735-01"", ""final"": ""https://villageofstockbridgemi.gov/wp-content/uploads/2025/06/06-19-2025-VOS-Regular-Agenda-Template-combined-1.pdf"", ""original"": ""https://villageofstockbridgemi.gov/wp-content/uploads/2025/06/06-19-2025-VOS-Regular-Agenda-Template-combined-1.pdf"", ""scout_target_id"": ""BRM5-20260731-08735""}"
BRMPERRES-64a2725c460a935e79545064,BRMQNORM-20260803-324e1c466d49e6d124e24d74,explicit_or_bounded_repair,2025,explicit_period_rescued,2025,existing explicit or bounded normalized period,high,"Ordinance 25-104: Establishing the 2025 Wage Rates for Police Officers of the Village Effective January 1, 2025 (title/cover appearance in council minutes packet)","[""2025"",""January 1, 2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-09820-01"", ""final"": ""https://middlefieldohio.com/wp-content/uploads/2025/03/02.13.2025.pdf"", ""original"": ""https://www.middlefieldohio.com/wp-content/uploads/2025/03/02.13.2025.pdf"", ""scout_target_id"": ""BRM5-20260731-09820""}"
BRMPERRES-ca67fd0c516372b12b28926a,BRMQNORM-20260803-325d00237db63ebae14c674e,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,"City of Elmwood, IL — Revised Code (PDF) (Article III: Salaries of City Officials)",[],"{""candidate_id"": ""BRM5C-BRM5-20260731-03959-01"", ""final"": ""https://elmwoodil.com/_files/ugd/12daac_35e479452691452386f1a373c17fc3c4.pdf"", ""original"": ""https://www.elmwoodil.com/_files/ugd/12daac_35e479452691452386f1a373c17fc3c4.pdf"", ""scout_target_id"": ""BRM5-20260731-03959""}"
BRMPERRES-2d0450867fbf3e2ce12274cb,BRMQNORM-20260803-32600a4280d9d8242a2e3356,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Kinross Charter Township v. AFSCME Council 25 (MERC Decision and Order; Case No. C10 I-237),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-08638-01"", ""final"": ""https://gsaindexed.apps.lara.state.mi.us/MERC/2012/03/C10i237.pdf"", ""original"": ""https://gsaindexed.apps.lara.state.mi.us/MERC/2012/03/C10i237.pdf"", ""scout_target_id"": ""BRM5-20260731-08638""}"
BRMPERRES-c7f9a5b34e7ea393d02c7afc,BRMQNORM-20260803-3261e00238ec88177c3a72e6,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,"Fact-Finding Report and Recommendations (SERB) — Fraternal Order of Police, Lodge #166 (Police Officers and Supervisors) vs. City of Fairfield, Ohio","[""April 1, 2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-13479-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2024/24-MED-12-1397.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2024/24-MED-12-1397.pdf"", ""scout_target_id"": ""BRM5-20260731-13479""}"
BRMPERRES-29169d1927f02a5dbda67a59,BRMQNORM-20260803-32644080a15292263ddc1678,explicit_or_bounded_repair,2023,period_not_applicable,2023,existing explicit or bounded normalized period,high,RESOLUTION ESTABLISHING ASSIGNMENT OF WAGE INCREASE SCHEDULE 2023 (City of Madison; “continuing thereafter until modified therein”),"[""2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-01481-01"", ""final"": ""https://ci.madison.mn.us/wp-content/uploads/2023/02/AP10242022reduced.pdf"", ""original"": ""https://www.ci.madison.mn.us/wp-content/uploads/2023/02/AP10242022reduced.pdf"", ""scout_target_id"": ""BRM5-20260731-01481""}"
BRMPERRES-ccafded38ead3e884eef87c5,BRMQNORM-20260803-326459db69547ffc85727415,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Collective Bargaining Agreement (Springfield Township Trustees / Teamsters Local 377) — 18-MED-03-0185,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-17388-04"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-03-0185.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-03-0185.pdf"", ""scout_target_id"": ""BRM5-20260731-17388""}"
BRMPERRES-d4569d055bbc5063feef9ae0,BRMQNORM-20260803-326d7fc84899e53044af5e17,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,City of Amsterdam and Amsterdam Police Benevolent Association — Opinion and Award (PERB Case IA93-026),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-06652-01"", ""final"": ""https://perb.ny.gov/system/files/documents/2024/03/ia93-026-award-6-30-95.pdf"", ""original"": ""https://perb.ny.gov/system/files/documents/2024/03/ia93-026-award-6-30-95.pdf"", ""scout_target_id"": ""BRM5-20260731-06652""}"
BRMPERRES-16786b08faea9268106106ab,BRMQNORM-20260803-327602c44e9089c6e73eb090,explicit_or_bounded_repair,2023,explicit_period_rescued,2023,existing explicit or bounded normalized period,high,Resolution 2023-01.01 salary resolution (shown within Elkton City Council Minutes),"[""2023-01""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02511-02"", ""final"": ""https://elktonsd.com/pdf/minutes/2023/January-9.pdf"", ""original"": ""https://elktonsd.com/pdf/minutes/2023/January-9.pdf"", ""scout_target_id"": ""BRM5-20260731-02511""}"
BRMPERRES-5c3cf7a8f8f494204aa6c8f1,BRMQNORM-20260803-327ef137dd680a1ecaacfd26,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Agreement Between the City of Delaware and the International Association of Fire Fighters Local 606,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-13468-03"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-12-1502.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-12-1502.pdf"", ""scout_target_id"": ""BRM5-20260731-13468""}"
BRMPERRES-aec23b798d9e449b391d87bd,BRMQNORM-20260803-32992f753161ddeeeb1b5ab0,explicit_or_bounded_repair,2019–2023,period_not_applicable,2019–2023,existing explicit or bounded normalized period,high,"Police Officers Association of Michigan (POAM) Collective Bargaining Agreement (May 10, 2019 – June 30, 2023)","[""June 30, 2023"",""May 10, 2019""]","{""candidate_id"": ""BRM5C-BRM5-20260731-12267-02"", ""final"": ""https://mackinac.org/archives/2023/S2023-06_Bay_City_Officers_2019-2023.pdf"", ""original"": ""https://www.mackinac.org/archives/2023/S2023-06_Bay_City_Officers_2019-2023.pdf"", ""scout_target_id"": ""BRM5-20260731-12267""}"
BRMPERRES-8ede57cbd7f2a10dd42f28a2,BRMQNORM-20260803-329c8d9d87173889fd15c6e4,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Collective Bargaining Agreement Between the City of Avon Lake and Avon Lake Firefighters Local 1361,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-09787-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2024/24-MED-09-1139.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2024/24-MED-09-1139.pdf"", ""scout_target_id"": ""BRM5-20260731-09787""}"
BRMPERRES-5662491388532b909e1be6d0,BRMQNORM-20260803-329dda28c4fd77481953adcf,explicit_or_bounded_repair,2024,explicit_period_rescued,2024,existing explicit or bounded normalized period,high,Position Classifications and Wage Scale Pertaining to 2024 Budget — Pay Grade Classification (effective first paycheck of 2024 budget year; includes non-represented employees wage scale and grade list),"[""2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02742-04"", ""final"": ""https://mccmeetingspublic.blob.core.usgovcloudapi.net/kaukaunawi-meet-a10928ecd8564fe5903af0e603b7aaad/ITEM-Attachment-001-7200237e6c694e0d9560845f6a9cad3c.pdf"", ""original"": ""https://mccmeetingspublic.blob.core.usgovcloudapi.net/kaukaunawi-meet-a10928ecd8564fe5903af0e603b7aaad/ITEM-Attachment-001-7200237e6c694e0d9560845f6a9cad3c.pdf"", ""scout_target_id"": ""BRM5-20260731-02742""}"
BRMPERRES-e305034a32eee4b26bece6e6,BRMQNORM-20260803-32a761f2e4e35465b514b213,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,CHAPTER 12 - EMPLOYEE POLICY (collective bargaining agreement exemption language),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-00228-02"", ""final"": ""https://fisher.il.us/file/462/18%20-%20CHAPTER%2012%20-%20EMPLOYEE%20POLICY.pdf"", ""original"": ""https://fisher.il.us/file/462/18%20-%20CHAPTER%2012%20-%20EMPLOYEE%20POLICY.pdf"", ""scout_target_id"": ""BRM5-20260731-00228""}"
BRMPERRES-616037974c0386a221f4b9a7,BRMQNORM-20260803-32a9b5e2339ed0d538051710,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Impass between Annsville Town and Teamsters Local 182 (PERB document PDF),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-10394-02"", ""final"": ""https://perb.ny.gov/system/files/documents/2024/05/m2011-269.pdf"", ""original"": ""https://perb.ny.gov/impasse-between-annsville-town-and-teamsters-local-182"", ""scout_target_id"": ""BRM5-20260731-10394""}"
BRMPERRES-8095d627a4b81cc9162066ae,BRMQNORM-20260803-32abe12cd254d7ccad23a2d6,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,City of Amsterdam and Amsterdam Police Benevolent Association — Opinion and Award (PERB Case IA93-026),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-06652-01"", ""final"": ""https://perb.ny.gov/system/files/documents/2024/03/ia93-026-award-6-30-95.pdf"", ""original"": ""https://perb.ny.gov/system/files/documents/2024/03/ia93-026-award-6-30-95.pdf"", ""scout_target_id"": ""BRM5-20260731-06652""}"
BRMPERRES-683c6a66ab1d23cdb6381117,BRMQNORM-20260803-32ac932a9bbb1aa92123ab8c,explicit_or_bounded_repair,2025–2027,explicit_period_rescued,2025–2027,existing explicit or bounded normalized period,high,"Unapproved Minutes (City Council) — Collective Bargaining Agreement with FOP #19 for Police Officers and Detectives (runs Jan 1, 2025–Dec 31, 2027)","[""Dec 31, 2027"",""Jan 1, 2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10094-01"", ""final"": ""https://vermillion.us/AgendaCenter/ViewFile/Minutes/_11182024-1031"", ""original"": ""https://www.vermillion.us/AgendaCenter/ViewFile/Minutes/_11182024-1031"", ""scout_target_id"": ""BRM5-20260731-10094""}"
BRMPERRES-6e15b7081b33da3dcef4e4b6,BRMQNORM-20260803-32acb8591d7f81342bd20a97,explicit_or_bounded_repair,2024,explicit_period_rescued,2024,existing explicit or bounded normalized period,high,2-5-24 Regular Meeting Minutes (Appointment/Compensation for Police Chief; Police Officer Compensation Increase),"[""2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-13717-01"", ""final"": ""https://static1.squarespace.com/static/600788ba9c24b70ab403e016/t/65ca5533cbdd022f46e20949/1707758900429/2-5-24%2BMeeting%2BMinutes.pdf"", ""original"": ""https://static1.squarespace.com/static/600788ba9c24b70ab403e016/t/65ca5533cbdd022f46e20949/1707758900429/2-5-24%2BMeeting%2BMinutes.pdf"", ""scout_target_id"": ""BRM5-20260731-13717""}"
BRMPERRES-464bb1a1bcecb3bc31a56f22,BRMQNORM-20260803-32ae2a792fc99eaf9b58da0d,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,"Title 1 (Administration and Personnel), Chapter 1.08 Schedule of Compensation to Employees (Town of Troy, Indiana) (includes base wage setting for 2026; amended salary ordinance for changes)","[""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-04462-01"", ""final"": ""https://ind15rpc.org/wp-content/themes/region15/codes/troy/Troy-Title1.pdf"", ""original"": ""https://www.ind15rpc.org/wp-content/themes/region15/codes/troy/Troy-Title1.pdf"", ""scout_target_id"": ""BRM5-20260731-04462""}"
BRMPERRES-dc5d642b58eb4a8d97ebcd25,BRMQNORM-20260803-32aeface149003b304b7552c,explicit_or_bounded_repair,2017,explicit_period_rescued,2017,existing explicit or bounded normalized period,high,"PERB Report and Recommendations (M2015-259): Town of Barker - and - International Brotherhood of Teamsters, Local 317","[""2017""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02921-02"", ""final"": ""https://perb.ny.gov/system/files/documents/2024/05/m2015-259.pdf"", ""original"": ""https://perb.ny.gov/system/files/documents/2024/05/m2015-259.pdf"", ""scout_target_id"": ""BRM5-20260731-02921""}"
BRMPERRES-2f892920888b9be4320b0c20,BRMQNORM-20260803-32aff475f266a284bccc5444,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,Regular Town Board Meeting (includes resolution: “Adopt Collective Bargaining Agreement Highway Department”),"[""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06648-01"", ""final"": ""https://www4.erie.gov/alden/sites/www4.erie.gov.alden/files/2025-10/regular-meeting-no-25-20-october-20-mtg.pdf"", ""original"": ""https://www4.erie.gov/alden/sites/www4.erie.gov.alden/files/2025-10/regular-meeting-no-25-20-october-20-mtg.pdf"", ""scout_target_id"": ""BRM5-20260731-06648""}"
BRMPERRES-77c1f15664f336e025bff577,BRMQNORM-20260803-32bf3e202934d1573bc97b3c,explicit_or_bounded_repair,2021–2023,explicit_period_rescued,2021–2023,existing explicit or bounded normalized period,high,EMPLOYMENT CONTRACT (Town of Kinderhook) — TEAMSTERS LOCAL 294 (affiliated with International Brotherhood of Teamsters) (binding CBA-style agreement; police/fire not indicated in snippet),"[""2021"",""2022"",""2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14215-01"", ""final"": ""https://cf003.cdn.4science.cloud/4s-assetstore-prod--cornell--ecommons/85/44/59/85445921641594557227811551705330764477"", ""original"": ""https://ecommons.cornell.edu/bitstreams/44ef4a8a-2af2-4125-8c8c-dd37fd019615/download"", ""scout_target_id"": ""BRM5-20260731-14215""}"
BRMPERRES-737b3cd66d99145613c2e24d,BRMQNORM-20260803-32c0b28944efd0661d8f6e2b,explicit_or_bounded_repair,2025–2026,explicit_period_rescued,2025–2026,existing explicit or bounded normalized period,high,City of Mosinee 2026 Budget (includes salary lines; mentions police labor agreement expiration and projected salary increase for full-time City employees),"[""2025"",""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17739-01"", ""final"": ""https://mosinee.wi.us/_files/ugd/3fe12a_3793d7597f884b7aaedee602c7f89f3e.pdf"", ""original"": ""https://www.mosinee.wi.us/_files/ugd/3fe12a_3793d7597f884b7aaedee602c7f89f3e.pdf"", ""scout_target_id"": ""BRM5-20260731-17739""}"
BRMPERRES-4f072c22c084cd73ee099688,BRMQNORM-20260803-32c5c63347c88b2f0a55269d,explicit_or_bounded_repair,2018,explicit_period_rescued,2018,existing explicit or bounded normalized period,high,"Regular Meeting – Marion Common Council – December 18, 2018 (minutes text includes narrative reference to a police collective bargaining agreement, but appears not to provide the full executed CBA or wage schedule as an attachment)","[""December 18, 2018""]","{""candidate_id"": ""BRM5C-BRM5-20260731-08121-04"", ""final"": ""https://s3.us-east-2.amazonaws.com/marion-prod/downloads/meeting/regular-meeting-115/12-18-18.m.pdf"", ""original"": ""https://s3.us-east-2.amazonaws.com/marion-prod/downloads/meeting/regular-meeting-115/12-18-18.m.pdf"", ""scout_target_id"": ""BRM5-20260731-08121""}"
BRMPERRES-a8e26ee631a33a5c4e692b2d,BRMQNORM-20260803-32cbbcb3ba9132f09f6218f5,explicit_or_bounded_repair,2015–2016,explicit_period_rescued,2015–2016,existing explicit or bounded normalized period,high,Resolution 2015-41 Ratify 2016 Highway Employees Contract and Approve Supplemental Pay (Teamsters Local #346; highway employees represented; base wage rates fixed by 2016 labor agreement; supplemental pay approved),"[""2015-41"",""2016""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17818-02"", ""final"": ""https://townofwascott.org/Ord-Res/Employees%20%26%20Officers/Res%202015-41%20Ratify%202016%20Hwy%20Employee%20Contract.pdf"", ""original"": ""https://www.townofwascott.org/Ord-Res/Employees%20%26%20Officers/Res%202015-41%20Ratify%202016%20Hwy%20Employee%20Contract.pdf"", ""scout_target_id"": ""BRM5-20260731-17818""}"
BRMPERRES-90501184dc8a4cc7ec0aa83d,BRMQNORM-20260803-32d575b5e7a3ff9e8f32771f,explicit_or_bounded_repair,2021,explicit_period_rescued,2021,existing explicit or bounded normalized period,high,"Fact-Finding BETWEEN Ohio Patrolmen's Benevolent Association and CITY OF WADSWORTH, OHIO (SERB Case# 2021 MED 10-1339)","[""2021""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06184-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2021/21-MED-10-1339.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2021/21-MED-10-1339.pdf"", ""scout_target_id"": ""BRM5-20260731-06184""}"
BRMPERRES-e761c2a76918b12cf704d2e9,BRMQNORM-20260803-32dd1263037026e8d185cae9,explicit_or_bounded_repair,2023–2024,explicit_period_rescued,2023–2024,existing explicit or bounded normalized period,high,"Amended Special Ordinance #5, 2023 — Salary Ordinance for Appointed and Elected Officers and Employees of the City of Wabash, Indiana, for the Year 2024","[""2023"",""2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-15693-01"", ""final"": ""https://cityofwabash.com/egov/documents/1704736584_95379.pdf"", ""original"": ""https://www.cityofwabash.com/egov/documents/1704736584_95379.pdf"", ""scout_target_id"": ""BRM5-20260731-15693""}"
BRMPERRES-96beb92d691542e3774d147f,BRMQNORM-20260803-32dee3256f6c677c67c763c7,explicit_or_bounded_repair,2020–2023,explicit_period_rescued,2020–2023,existing explicit or bounded normalized period,high,"CITY OF SALEM, OHIO SALEM UTILITY WORKERS COLLECTIVE BARGAINING AGREEMENT (July 01, 2020 through June 30, 2023)","[""July 01, 2020"",""June 30, 2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02403-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-04-0499.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-04-0499.pdf"", ""scout_target_id"": ""BRM5-20260731-02403""}"
BRMPERRES-359366193135b118761763c1,BRMQNORM-20260803-32ebb981f5ceb68160f011ce,explicit_or_bounded_repair,2017–2026,explicit_period_rescued,2017–2026,existing explicit or bounded normalized period,high,2026-01A01.pdf (Town of Denning Organizational Meeting; Resolution No. 20 of 2026 / salary fixed listing incl. highway employees and other town positions),"[""2017"",""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14169-02"", ""final"": ""https://denningny.gov/wp-content/uploads/2025/12/2026-01A01.pdf"", ""original"": ""https://www.denningny.gov/wp-content/uploads/2025/12/2026-01A01.pdf"", ""scout_target_id"": ""BRM5-20260731-14169""}"
