non_base_wage_observation_id,extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,non_base_wage_type,value_text,effective_date,eligibility_or_implementation_rule,bounded_evidence_pointer,confidence,reason_code,qa_status,source_quantitative_observation_id,qa_original_status,qa_resolution_id,qa_resolution_classification,qa_resolution_status,canonical_observation_id,duplicate_of,active_in_corrected_lane
nobs_0b8de5be3d2a3b266ae9b099,cex_0a02958beaecbaffb097a4b8,doc_251feabf17f46cdef34aef61,ttd_f4043023cd9c1e89a761ed43,sr_4df04157d9e133f1c21c1eec,NSCQ-FL-20260720-0079,FL,Boynton Beach,CITY OF BOYNTON BEACH,police,cba,,,29,healthcare_contributions,New Hires ... will accrue one hundred and twenty-five dollars ($125.00) per active month of service ... throughSeptember,plan year/contract year/fiscal year (October 1st through September 30th),Applies to bargaining unit members hired on or after October 1st each year who elect to be covered on the Citys HDHP; initial deposit with the first check of the month in which the member becomes enrolled in the Citys HDHP.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0023_sr_4df04157d9e133f1c21c1eec.pdf#page=29,high,HSA_NEW_HIRE_125_PER_MONTH,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_0b8de5be3d2a3b266ae9b099,,true
nobs_0be42f46144cf8d5b760a52d,cex_0a02958beaecbaffb097a4b8,doc_251feabf17f46cdef34aef61,ttd_f4043023cd9c1e89a761ed43,sr_4df04157d9e133f1c21c1eec,NSCQ-FL-20260720-0079,FL,Boynton Beach,CITY OF BOYNTON BEACH,police,cba,,,29,healthcare_contributions,"convert ... up to one thousand five hundred dollars ($1,500.00) ... at the 100% conversion rate ... to help fund their H","2025, 2026, 2027, and 2028","Leave Time Conversion to HSA: after pension deduction, any combination of sick and vacation time up to $1,500.00 annualized total; conversion windows: (i) October 1st 3ovember 15th, (ii) April 1st 30th.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0023_sr_4df04157d9e133f1c21c1eec.pdf#page=29,high,HSA_LEAVE_CONVERSION_1500_100PCT,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_0be42f46144cf8d5b760a52d,,true
nobs_3182599c90ebc7d9a53ce7a8,cex_0265647a9dfb1ada78c6c015,doc_1c68791f41fa5c82883168c3,ttd_c827e9b6910e23eaf962a0ce,sr_a2c650a660a27851bfc80165,NSCQ-FL-20260720-0220,FL,Cocoa,CITY OF COCOA,fire,cba,,,29,other,$261.00 bi-weekly,,for bargaining unit employees with valid Florida Paramedic certification and approved 'solo status' Paramedic; continues so long as certification and 'solo status' maintained in good standing,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0039_sr_a2c650a660a27851bfc80165.pdf#page=29,high,INCENTIVE_PAY_MINIMUM_VALUE_AND_CONDIT,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_3182599c90ebc7d9a53ce7a8,,true
nobs_c378eca908a151025bb9b314,cex_0265647a9dfb1ada78c6c015,doc_1c68791f41fa5c82883168c3,ttd_c827e9b6910e23eaf962a0ce,sr_a2c650a660a27851bfc80165,NSCQ-FL-20260720-0220,FL,Cocoa,CITY OF COCOA,fire,cba,,,29,other,$30 bi-weekly above the Rank and File Solo Pay,,incentive pay differential shall not be less than $30 bi-weekly above the Rank and File Solo Pay,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0039_sr_a2c650a660a27851bfc80165.pdf#page=29,high,MINIMUM_DIFFERENTIAL_TOKEN_VISIBLE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_c378eca908a151025bb9b314,,true
nobs_ea4d139789a09f1b45d96e0a,cex_4f48453a1fd3e5f8fe647c58,doc_3dfbbe82d038e660da2fa635,ttd_03b10d7e1528b2b72affa267,sr_3a2b29ef1791aa0e409ed1ba,NSCQ-FL-20260720-0219,FL,Cocoa,CITY OF COCOA,fire,cba,,,15,leave,time off with pay,,Safety and Health Committee members may be allowed time off with pay,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0047_sr_3a2b29ef1791aa0e409ed1ba.pdf#page=15,medium,S1,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_ea4d139789a09f1b45d96e0a,,true
nobs_2d2c0c6b5ba0afd03d0df102,cex_668f1e5f56bf5165dfdd3942,doc_1fb540e261107289f0890e28,ttd_f5fdf180de65a8468c4ae820,sr_989da61c2ae0b373cf838a0b,NSCQ-FL-20260720-0221,FL,Cocoa,CITY OF COCOA,non_safety,cba,,,19,benefits,back wages reduced by unemployment compensation and interim earnings,,Reduction applies to all claims for back wages for the period involved.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0010_sr_989da61c2ae0b373cf838a0b.pdf#page=19,medium,BACK_WAGES_NETTING_WITH_UNEMPLOYMENT_AND,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_2d2c0c6b5ba0afd03d0df102,,true
nobs_7fdabb1309f7d1ff3fe70c34,cex_668f1e5f56bf5165dfdd3942,doc_1fb540e261107289f0890e28,ttd_f5fdf180de65a8468c4ae820,sr_989da61c2ae0b373cf838a0b,NSCQ-FL-20260720-0221,FL,Cocoa,CITY OF COCOA,non_safety,cba,,,24,other,straight time holiday pay for number of hours equal to regularly scheduled shift,,"Employees not working a holiday receive straight time holiday pay for hours equal to their regularly scheduled shift; paid holiday unless on unpaid leave/no-pay suspension/layoff, or scheduled but does not report, or fails to work approved/",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0010_sr_989da61c2ae0b373cf838a0b.pdf#page=24,medium,HOLIDAY_PAY_STRAIGHT_TIME_HOURS_RULE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_7fdabb1309f7d1ff3fe70c34,,true
nobs_3f9acbe0d8d6729de0c2807c,cex_668f1e5f56bf5165dfdd3942,doc_1fb540e261107289f0890e28,ttd_f5fdf180de65a8468c4ae820,sr_989da61c2ae0b373cf838a0b,NSCQ-FL-20260720-0221,FL,Cocoa,CITY OF COCOA,non_safety,cba,,,24,overtime,overtime pay for all hours worked plus straight time based on regularly scheduled shift for holiday pay,,Applies when an employee performs work on a holiday; excludes stand-by and call-ins.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0010_sr_989da61c2ae0b373cf838a0b.pdf#page=24,medium,HOLIDAY_WORK_OVERTIME_PLUS_STRAIGHT_TIME,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_3f9acbe0d8d6729de0c2807c,,true
nobs_42b006078eb3dfd2a6022ca6,cex_668f1e5f56bf5165dfdd3942,doc_1fb540e261107289f0890e28,ttd_f5fdf180de65a8468c4ae820,sr_989da61c2ae0b373cf838a0b,NSCQ-FL-20260720-0221,FL,Cocoa,CITY OF COCOA,non_safety,cba,,,24,leave,"unpaid leave of absence, no-pay suspension, layoff; approved vacation; approved medical absence (sick leave)",,Holiday pay is not provided if on unpaid leave/no-pay suspension/layoff on the holiday; exceptions include approved vacation and excused/approved medical absence (may require physician statement).,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0010_sr_989da61c2ae0b373cf838a0b.pdf#page=24,medium,HOLIDAY_PAY_EXCLUSIONS_AND_EXCEPTIONS_VS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_42b006078eb3dfd2a6022ca6,,true
nobs_a12de788a77be69d324cf8a1,cex_bf14fcc0362b1e89b8e0f227,doc_f99ad6ebefee24f0094243ef,ttd_19fdf2fe96feb56fa51f394d,sr_a5c1d08d331fb46a292d657e,NSCQ-FL-20260720-0217,FL,Cocoa,CITY OF COCOA,police,cba,,,29,pension,Pension compensation for purposes of pension = base pay including state funded incentives and holiday pay; excludes: (1),"October 27, 2015",Defines what compensation is included/excluded for pension purposes (excludes overtime pay in excess of 150 hours per fiscal year; excludes special detail pay and other forms of pay; excludes payments for unused sick and annual leave except,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0004_sr_a5c1d08d331fb46a292d657e.pdf#page=29,medium,PENSION_2037_COMP_INCLUDE_EXCLUDE_FROM_P,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_a12de788a77be69d324cf8a1,,true
nobs_d190924ed189afb933af9305,cex_ab6951301079f9f6cae23f9b,doc_df604ea66c22039c894290af,ttd_2f450534cbf5d9f21db5a67c,sr_8adbc05d5063632cf7339e1a,NSCQ-FL-20260720-0186,FL,Edgewater,CITY OF EDGEWATER,fire,cba,,,13,other,"membership dues, initiation fees, and uniform assessments deducted from wages each pay period",,City may deduct after union provides a properly executed dues deduction card or written statement; changes applied in the first pay period not yet processed after notice,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0099_sr_8adbc05d5063632cf7339e1a.pdf#page=13,medium,DUES_DEDUCTION_TOKENS_VISIBLE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_d190924ed189afb933af9305,,true
nobs_8b008b7aa59e608bc6454098,cex_ab6951301079f9f6cae23f9b,doc_df604ea66c22039c894290af,ttd_2f450534cbf5d9f21db5a67c,sr_8adbc05d5063632cf7339e1a,NSCQ-FL-20260720-0186,FL,Edgewater,CITY OF EDGEWATER,fire,cba,,,15,reimbursements,reimburse the City for all physicals/drug tests and education/training expenses incurred,,If an individual does not successfully complete the probationary period,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0099_sr_8adbc05d5063632cf7339e1a.pdf#page=15,medium,PROBATION_FAILS_REIMBURSEMENT_TOKENS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_8b008b7aa59e608bc6454098,,true
nobs_cfee3b25aaf4a976aecb20cf,cex_9d5ab0eca65dcd30b7e60329,doc_afb3063b072ce7f4d2574fec,ttd_1d4b84443d95278fcb7b3278,sr_f4492b75ac7908ec77e015a6,NSCQ-FL-20260720-0034,FL,Gainesville,CITY OF GAINESVILLE,non_safety,cba,,,22,leave,vacation (annual leave) accrual schedule by Years Of Continuous Service: 1 to 5 years=3 Hrs. 42 Mins.; 5 to 10 years=4 H,,"for regular and probationary full-time employees hired prior to 10/01/00, covered by the Agreement, who have not elected the PTO option; accrual based on leave progression date; limited to schedule; includes part-time proportional accrual",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0052_sr_f4492b75ac7908ec77e015a6.pdf#page=22,medium,PTO1100,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_cfee3b25aaf4a976aecb20cf,,true
nobs_45b024ad06430c6c71fd74b5,cex_9d5ab0eca65dcd30b7e60329,doc_afb3063b072ce7f4d2574fec,ttd_1d4b84443d95278fcb7b3278,sr_f4492b75ac7908ec77e015a6,NSCQ-FL-20260720-0034,FL,Gainesville,CITY OF GAINESVILLE,non_safety,cba,,,22,leave,vacation (annual leave) accrual schedule continued: 10 to 15 years=5 Hrs. 14 Mins.; 15 to 20 years=5 Hrs. 51 Mins.; 20-<,,full-time accrual limited to schedule tied to continuous service; part-time accrual earned in proportion to workweek; accrual rate changed if average workweek over a four (4) week period is higher/lower than normal until it returns to,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0052_sr_f4492b75ac7908ec77e015a6.pdf#page=22,low,HRS,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_45b024ad06430c6c71fd74b5,,true
nobs_cdcfa030920d308a778586af,cex_9d5ab0eca65dcd30b7e60329,doc_afb3063b072ce7f4d2574fec,ttd_1d4b84443d95278fcb7b3278,sr_f4492b75ac7908ec77e015a6,NSCQ-FL-20260720-0034,FL,Gainesville,CITY OF GAINESVILLE,non_safety,cba,,,22,leave,vacation (annual leave) maximum hours at anniversary of adjusted service date: 1 to 5 years=160 hours; (table continues),,"maximum number of vacation hours allowed as of the anniversary of adjusted service date (leave progression date or regular employment date, whichever is later)",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0052_sr_f4492b75ac7908ec77e015a6.pdf#page=22,medium,MAXVAC160,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_cdcfa030920d308a778586af,,true
nobs_b4e826dc9a60ceff074cfb9a,cex_9d5ab0eca65dcd30b7e60329,doc_afb3063b072ce7f4d2574fec,ttd_1d4b84443d95278fcb7b3278,sr_f4492b75ac7908ec77e015a6,NSCQ-FL-20260720-0034,FL,Gainesville,CITY OF GAINESVILLE,non_safety,cba,,,23,leave,maximum vacation hours by Years of Continuous Service (remaining table tokens): 5 to 10 years=192; 10 to 20 years=240; 1,,employees with balances above the maximum as of the anniversary of adjusted service date have balances reduced during the pay period in which the anniversary occurs,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0052_sr_f4492b75ac7908ec77e015a6.pdf#page=23,low,MAXVAC192_240,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_b4e826dc9a60ceff074cfb9a,,true
nobs_a24cd76ecdaeafed8bf8985e,cex_9d5ab0eca65dcd30b7e60329,doc_afb3063b072ce7f4d2574fec,ttd_1d4b84443d95278fcb7b3278,sr_f4492b75ac7908ec77e015a6,NSCQ-FL-20260720-0034,FL,Gainesville,CITY OF GAINESVILLE,non_safety,cba,,,23,leave,sick leave incentive time added to vacation (annual leave) balance after maximum hours have been adjusted,,applies after maximum-hours adjustment; incentive time is added to vacation balance post-adjustment,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0052_sr_f4492b75ac7908ec77e015a6.pdf#page=23,medium,SICKINCENTIVEADDED,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_a24cd76ecdaeafed8bf8985e,,true
nobs_837638798274753283c7c179,cex_64a011f8a0a7458830e04777,doc_ffb270b444ad8de5aa5438ff,ttd_313eb3eec04ea712460cad1e,sr_0dd442298f0f0c9bd1b95faa,NSCQ-FL-20260720-0032,FL,Gainesville,CITY OF GAINESVILLE,police,cba,,,26,leave,forty-eight (48) hours,,Newly hired employees earn sick leave at the stated rate.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_0dd442298f0f0c9bd1b95faa.pdf#page=26,high,SICK_LEAVE_EARN_RATE_EXPLICIT,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_837638798274753283c7c179,,true
nobs_2fbbd2f960af47d11b4dcade,cex_64a011f8a0a7458830e04777,doc_ffb270b444ad8de5aa5438ff,ttd_313eb3eec04ea712460cad1e,sr_0dd442298f0f0c9bd1b95faa,NSCQ-FL-20260720-0032,FL,Gainesville,CITY OF GAINESVILLE,police,cba,,,27,leave,more than two (2) days,,Sick leave will not be granted for any sickness/injury except as charged; employees must notify supervisor early and sick leave is charged only against time for absence of more than two (2) days (unless waived).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_0dd442298f0f0c9bd1b95faa.pdf#page=27,medium,SICK_LEAVE_GRANT_LIMIT_NUMERIC_TOKEN,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_2fbbd2f960af47d11b4dcade,,true
nobs_0940a3838826f9de8aa7d8c8,cex_64a011f8a0a7458830e04777,doc_ffb270b444ad8de5aa5438ff,ttd_313eb3eec04ea712460cad1e,sr_0dd442298f0f0c9bd1b95faa,NSCQ-FL-20260720-0032,FL,Gainesville,CITY OF GAINESVILLE,police,cba,,,27,leave,doctor’s certificate,,Management may require confirmation of illness from the employee via a doctor’s certificate (or other appropriate means).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_0dd442298f0f0c9bd1b95faa.pdf#page=27,medium,SICK_LEAVE_CONFIRMATION_METHOD,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_0940a3838826f9de8aa7d8c8,,true
nobs_f834311718aee4b4c4a54dde,cex_64a011f8a0a7458830e04777,doc_ffb270b444ad8de5aa5438ff,ttd_313eb3eec04ea712460cad1e,sr_0dd442298f0f0c9bd1b95faa,NSCQ-FL-20260720-0032,FL,Gainesville,CITY OF GAINESVILLE,police,cba,,,27,leave,waive restrictions on the amount of time,,City Manager/designee may waive restrictions on the amount of time that may be used under the paragraph upon finding special circumstances.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_0dd442298f0f0c9bd1b95faa.pdf#page=27,medium,SICK_LEAVE_TIME_RESTRICTION_WAIVER,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_f834311718aee4b4c4a54dde,,true
nobs_12e39c748e2ff93788fd98cd,cex_b145311e9977de3808faa0b4,doc_850ab2f4e608a6d3d14bdc7a,ttd_3b19aa870672ae4326b99368,sr_2d62152f8f0b61bcfcd231a3,NSCQ-FL-20260720-0031,FL,Hollywood,CITY OF HOLLYWOOD,non_safety,cba,,,15,education_or_certification,Certification pay calculated using base pay + wage increases due to COLA + longevity pay (sum called adjusted base rate),,"Certification pay uses the sum of base pay, COLA-related wage increases, and longevity pay as the adjusted base rate of pay.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0105_sr_2d62152f8f0b61bcfcd231a3.pdf#page=15,high,ARTICLE_11_7_CERT_PAY_CALC_METHOD,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_12e39c748e2ff93788fd98cd,,true
nobs_f0b2a748748d5120e177f65b,cex_b145311e9977de3808faa0b4,doc_850ab2f4e608a6d3d14bdc7a,ttd_3b19aa870672ae4326b99368,sr_2d62152f8f0b61bcfcd231a3,NSCQ-FL-20260720-0031,FL,Hollywood,CITY OF HOLLYWOOD,non_safety,cba,,,16,other,"Assignment pay: adjusted base rate of pay plus Enhancements, plus 5% increase (category tiers: General to Confidential 5",,Applied for time actually assigned when duties are in a higher pay grade category.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0105_sr_2d62152f8f0b61bcfcd231a3.pdf#page=16,low,ARTICLE_12_PARTIAL_TEXT_TIER_VALUES_IN_B,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_f0b2a748748d5120e177f65b,,true
nobs_e0280e92634dd29fba805b81,cex_b145311e9977de3808faa0b4,doc_850ab2f4e608a6d3d14bdc7a,ttd_3b19aa870672ae4326b99368,sr_2d62152f8f0b61bcfcd231a3,NSCQ-FL-20260720-0031,FL,Hollywood,CITY OF HOLLYWOOD,non_safety,cba,,,16,other,Assignment pay category tier text visible: General to Professional 10%; General to Supervisory 15%; General to Manager/5,,Increase depends on moving from General to specified higher classification category.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0105_sr_2d62152f8f0b61bcfcd231a3.pdf#page=16,low,ARTICLE_12_TIER_VALUES_PARTIALLY_CUT_OFF,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_e0280e92634dd29fba805b81,,true
nobs_e812a9bd8aabd45128a1e665,cex_8879c772cec318f4f100a441,doc_a2f3c5b50be64c73d1b52bd4,ttd_b3186bd051ef12b019d439e3,sr_bf1eda5abe8737085475275c,NSCQ-FL-20260720-0029,FL,Hollywood,CITY OF HOLLYWOOD,police,cba,,,40,leave,1 to 3 years = 80 hours/year annual leave (vacation hours),,Earned upon completion of continuous years of service; based on anniversary date,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0166_sr_bf1eda5abe8737085475275c.pdf#page=40,high,E3_26_1_TABLE_TOKEN_YEARS_1_3_80,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_e812a9bd8aabd45128a1e665,,true
nobs_8dee9ad271a8dcca2e264472,cex_8879c772cec318f4f100a441,doc_a2f3c5b50be64c73d1b52bd4,ttd_b3186bd051ef12b019d439e3,sr_bf1eda5abe8737085475275c,NSCQ-FL-20260720-0029,FL,Hollywood,CITY OF HOLLYWOOD,police,cba,,,40,leave,4 to 10 years = 132 hours/year annual leave (vacation hours),,Earned upon completion of continuous years of service; based on anniversary date,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0166_sr_bf1eda5abe8737085475275c.pdf#page=40,high,E3_26_1_TABLE_TOKEN_YEARS_4_10_132,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_8dee9ad271a8dcca2e264472,,true
nobs_df3f8f3cabe74c585676dade,cex_8879c772cec318f4f100a441,doc_a2f3c5b50be64c73d1b52bd4,ttd_b3186bd051ef12b019d439e3,sr_bf1eda5abe8737085475275c,NSCQ-FL-20260720-0029,FL,Hollywood,CITY OF HOLLYWOOD,police,cba,,,40,leave,11 to 15 years = 164 hours/year annual leave (vacation hours),,Earned upon completion of continuous years of service; based on anniversary date,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0166_sr_bf1eda5abe8737085475275c.pdf#page=40,high,E3_26_1_TABLE_TOKEN_YEARS_11_15_164,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_df3f8f3cabe74c585676dade,,true
nobs_cf69538354edf01db1c981a6,cex_8879c772cec318f4f100a441,doc_a2f3c5b50be64c73d1b52bd4,ttd_b3186bd051ef12b019d439e3,sr_bf1eda5abe8737085475275c,NSCQ-FL-20260720-0029,FL,Hollywood,CITY OF HOLLYWOOD,police,cba,,,40,leave,16 to 20 years = 180 hours/year annual leave (vacation hours),,Earned upon completion of continuous years of service; based on anniversary date,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0166_sr_bf1eda5abe8737085475275c.pdf#page=40,high,E3_26_1_TABLE_TOKEN_YEARS_16_20_180,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_cf69538354edf01db1c981a6,,true
nobs_71d79699ad88b047eaddd40a,cex_8879c772cec318f4f100a441,doc_a2f3c5b50be64c73d1b52bd4,ttd_b3186bd051ef12b019d439e3,sr_bf1eda5abe8737085475275c,NSCQ-FL-20260720-0029,FL,Hollywood,CITY OF HOLLYWOOD,police,cba,,,40,leave,21 years and over = 220 hours/year annual leave (vacation hours),,Earned upon completion of continuous years of service; based on anniversary date,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0166_sr_bf1eda5abe8737085475275c.pdf#page=40,high,E3_26_1_TABLE_TOKEN_YEARS_21PLUS_220S_24,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_71d79699ad88b047eaddd40a,,true
nobs_323971bf7ffcee0473442d36,cex_199dce975a1cf929f727da38,doc_29ab90590d15a8990d3376e9,ttd_965320bed8f5d7d82e1fceed,sr_e0c2f6c228ae0a4b145d66d5,NSCQ-FL-20260720-0172,FL,Key West,CITY OF KEY WEST,fire,cba,,,21,other,assignment pay of $100.00 per pay period,,Assigned as Fire Inspector; assignment pay prorated for assignments less than a full pay period; salary reduced by the assignment pay increment when no longer serving in Fire Inspector capacity.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0127_sr_e0c2f6c228ae0a4b145d66d5.pdf#page=21,high,FIRE_INSPECTOR_ASSIGNMENT_PAY,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_323971bf7ffcee0473442d36,,true
nobs_dc3837dd4635802924ba26ab,cex_199dce975a1cf929f727da38,doc_29ab90590d15a8990d3376e9,ttd_965320bed8f5d7d82e1fceed,sr_e0c2f6c228ae0a4b145d66d5,NSCQ-FL-20260720-0172,FL,Key West,CITY OF KEY WEST,fire,cba,,,21,other,$50.00 per day,"Beginning October 1, 2022",Fire Inspectors assigned to remain in standby status while not on duty receive standby pay; take home vehicle assigned for use when called out during nightly/weekend standby duty.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0127_sr_e0c2f6c228ae0a4b145d66d5.pdf#page=21,high,FIRE_INSPECTOR_STANDBY_PAY,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_dc3837dd4635802924ba26ab,,true
nobs_8c96ca7415ab8eddbabd2d05,cex_199dce975a1cf929f727da38,doc_29ab90590d15a8990d3376e9,ttd_965320bed8f5d7d82e1fceed,sr_e0c2f6c228ae0a4b145d66d5,NSCQ-FL-20260720-0172,FL,Key West,CITY OF KEY WEST,fire,cba,,,22,education_or_certification,"City will pay for books, registration, renewal fees and tuition for EMT and EMT-P Certification and recertification",,City pays these costs for EMT/EMT-P certification and recertification; City makes every reasonable effort to schedule recertification during regular duty days and does not pay for off duty time spent in training or recertification.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0127_sr_e0c2f6c228ae0a4b145d66d5.pdf#page=22,high,EMT_EMTP_EDUCATION_COSTS_PAID,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_8c96ca7415ab8eddbabd2d05,,true
nobs_40f0ec88f159f50e91e0afe9,cex_199dce975a1cf929f727da38,doc_29ab90590d15a8990d3376e9,ttd_965320bed8f5d7d82e1fceed,sr_e0c2f6c228ae0a4b145d66d5,NSCQ-FL-20260720-0172,FL,Key West,CITY OF KEY WEST,fire,cba,,,32,leave,leave with pay; not exceed two (2) working days,,Death in immediate family; Fire Chief grants leave with pay; up to and including one (1) additional day travel time may be granted for out-of-state deaths; separate allowance of up to four (4) hours for non-immediate family funeral.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0127_sr_e0c2f6c228ae0a4b145d66d5.pdf#page=32,high,DEATH_IN_FAMILY_LEAVE_WITH_PAY,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_40f0ec88f159f50e91e0afe9,,true
