selection_rank,extraction_case_id,document_identity_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,content_artifact_path,content_hash,pdf_page_count,text_layer_status,wage_table_signal,extraction_pilot_priority,candidate_wage_pages,selection_score,selection_reason_codes,matched_group_id,matched_non_safety_selected,matched_non_safety_case_id,planned_lane,gate3_category,gate3_confidence,existing_rendered_page_count,selection_status,cumulative_cohort,requires_gabriel,seed_selection_rank
266,cex_70aec99dae2eb1e809d9aac2,doc_a218e700b99f71cda4a228c0,ttd_bb9503f46ed5fdb5a5f08f3b,pr_39438498d22c85c52f6f1e7b,sr_02bcdd1aac35807207f4ff39,NSCQ-MN-20260720-0010,TRI-977c4543c617e2fd22c8,VER-e82bdbe3c4e25591debb,MN,St. Cloud,CITY OF ST CLOUD,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0210_sr_02bcdd1aac35807207f4ff39.pdf,28c57e190e87e7ecbf49e8e7bc7c7f6049d3576b6e527462c924ff714612e8ce,40,partial,likely,p1,"2,5,10,14,18,21,39",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_f592bf3ba6eac754434b366e,yes,cex_70aec99dae2eb1e809d9aac2,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,266
267,cex_f57d0c45d1dfbdbcc96ed385,doc_15166d3f5a99e552d73501c1,ttd_7333992e450655889b33059d,pr_2353db3b16eb95e41b1eb8ce,sr_d8f719ff0383b215f54a8de9,NSCQ-MN-20260720-0008,TRI-bc43985f03eade892d57,VER-72bb5c1750f796b738e6,MN,St. Cloud,CITY OF ST CLOUD,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0172_sr_d8f719ff0383b215f54a8de9.pdf,9cdf4e15108ffda7adb5ef3883ef01e8c8b0bfb390c4d0cf9aecdfc91829633a,41,present,likely,p1,"19,21",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_f592bf3ba6eac754434b366e,yes,cex_70aec99dae2eb1e809d9aac2,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,267
268,cex_241fc7520c17a85d9a2d32f5,doc_e56792c63036e7f64ee47982,ttd_4c5571bc447b9f3f5b9e826d,pr_4535782390cba93aa80a13be,sr_d7d60ba67c635fc6c5097f70,NSCQ-MN-20260720-0100,TRI-e940a2be0f79d3ac67e5,VER-bb5863cb252531d944ee,MN,West St. Paul,CITY OF WEST ST PAUL,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0015_sr_d7d60ba67c635fc6c5097f70.pdf,9b502a2249d0c982f11cc55e44947fafcba47d68054fc9f4fb1a22477561ad07,21,present,likely,p1,"3,8,10,12,20",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_ef7241a79c8da19bfad2bee7,yes,cex_241fc7520c17a85d9a2d32f5,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,268
269,cex_367aa00bca878b86dd646c99,doc_5f9d3216c6b8b9b85e014052,ttd_628317cf6603129745b172b7,pr_64acdd61a72c2ae0c064ac04,sr_e15b94b5b4cf990c4826f615,NSCQ-MN-20260720-0099,TRI-3529399a57266bcdc1e4,VER-5669c4972f47540fdf6b,MN,West St. Paul,CITY OF WEST ST PAUL,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0244_sr_e15b94b5b4cf990c4826f615.pdf,669e2a8e82d6b5df593bf755f681b54cf2f4d057128fe015ae761e1c7500685c,20,present,likely,p1,"2,3,5,7,9,11,19,20",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_ef7241a79c8da19bfad2bee7,yes,cex_241fc7520c17a85d9a2d32f5,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,269
270,cex_4c0db0aef26dce6ded2d1639,doc_3288f702801e493e050fcbee,ttd_a5dd8a9f31782b145e395f94,pr_0a844031bfd13d21c21f2add,sr_08d9c4c2ccb5bfacd5b57c08,NSCQ-MO-20260720-0008,TRI-50986033fb4dbc4bc101,VER-8a385929cb5e6c59f405,MO,Columbia,CITY OF COLUMBIA,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0026_sr_08d9c4c2ccb5bfacd5b57c08.pdf,bd2eff50f23f89da7b0532c0ee7484bbcac52e6601d0ba005f6652f2bc0cb40b,14,present,likely,p1,"4,10,11,14",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_260c3ee3b2c9cec68d342969,yes,cex_4c0db0aef26dce6ded2d1639,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,270
271,cex_6a65fad8a5e72e665a4271aa,doc_8a5a2e030badeb8f58e5f9fe,ttd_8d2ed01f65bef8787227d0d5,pr_f0f4ec6a8bde10bae3d40480,sr_952118c54eec2305e424bae1,NSCQ-MO-20260720-0007,TRI-f11e29171a65fd39888d,VER-0ce152a54da06ab84830,MO,Columbia,CITY OF COLUMBIA,police,memorandum_or_settlement,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0467_sr_952118c54eec2305e424bae1.pdf,fe59afb27333c05ab29b7c70997754e0c29e4f7c5ec7a3403d68719f6db74a47,4,present,likely,p1,2,92.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY|GATE3_CALIBRATION_CASE|SOURCE_DIVERSITY,match_260c3ee3b2c9cec68d342969,yes,cex_4c0db0aef26dce6ded2d1639,mixed,mixed_quant_qual_ready,high,3,frozen_seed_reused_no_api,corrected_500_seed,no,271
272,cex_9523cb185bb9f74794fe3c5e,doc_26a4defecd261e14e343642a,ttd_b38ad45dd15718668d197716,pr_63d4cd5ae4952f47ee4c7e3e,sr_7e2e05a20d98374ddf9bdbb1,NSCQ-MO-20260720-0004,TRI-146b4b2b4e77e472d325,VER-2b069e652e526540d4b3,MO,Independence,CITY OF INDEPENDENCE,non_safety,memorandum_or_settlement,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0483_sr_7e2e05a20d98374ddf9bdbb1.pdf,323284e2cd394c127ebc11b4714ff0e6c880d3a2b5d1a41c17a0b6a5bb191e9a,68,present,possible,p2,"8,16,31,38",74.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|GATE3_CALIBRATION_CASE|SOURCE_DIVERSITY,match_d5d7a262aab3b4f165c35962,yes,cex_9523cb185bb9f74794fe3c5e,mixed,mixed_quant_qual_ready,medium,2,frozen_seed_reused_no_api,corrected_500_seed,no,272
273,cex_c07790febc2c17a3e884495b,doc_81ee9e4a6f241086c94be670,ttd_21b5581a5e83217bf95fdb14,pr_b4ba2a006114834543e238e4,sr_26cdf81fcc82b5b83049effe,NSCQ-MO-20260720-0003,TRI-41f79537ec7d5d7ad064,VER-e6a7a3fe2f48bc3b054a,MO,Independence,CITY OF INDEPENDENCE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0020_sr_26cdf81fcc82b5b83049effe.pdf,f3b616596f7bebbe74723c3e3a86f239e9b30552ed34b57a2a5d4a368c7fd516,39,present,possible,p2,"5,14",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_d5d7a262aab3b4f165c35962,yes,cex_9523cb185bb9f74794fe3c5e,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,273
274,cex_99249fb9b54c956f04c2bd8d,doc_99f1ab2edf6df597071828a4,ttd_dac9f19c60fd61f2b00fd658,pr_e7da7c37013b5972474119a3,sr_b2c279760a2f5003f3d198e1,NSCQ-MO-20260720-0006,TRI-30988c53b65c7bebf54e,VER-b3ed21e7917aff7e663a,MO,Lee's Summit,CITY OF LEES SUMMIT,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0090_sr_b2c279760a2f5003f3d198e1.pdf,c86d3156f8c2777efc21af04ee690e402136698b04fe4133ff9ed01ca74a1cca,63,present,possible,p2,"15,22,32,35,62,63",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_c60bda55e754f945c3ba79d6,yes,cex_99249fb9b54c956f04c2bd8d,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,274
275,cex_84b3a7643a20b710bf2c383e,doc_495c2bb01b63a8aa6a0be843,ttd_74b490c2e8e3dfe8186da294,pr_88ca35b8b0ab229794c47c74,sr_72a5ab1c7f8b04d3e12b1a76,NSCQ-MO-20260720-0005,TRI-872502e44716f90c32bf,VER-0b14dbcff5f26cb60a3b,MO,Lee's Summit,CITY OF LEES SUMMIT,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0063_sr_72a5ab1c7f8b04d3e12b1a76.pdf,65230645b5552d8d8d5e35572c6ff9239f42cf93008e18297fc9d9776a2c3ef5,54,present,likely,p1,"2,7,19,25,28,30,53,54",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_c60bda55e754f945c3ba79d6,yes,cex_99249fb9b54c956f04c2bd8d,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,275
276,cex_5e2e8d155227ce4ce0db2b0e,doc_63ab4fed36d39b64c2f2532a,ttd_ac941cf2800965a277f216bd,pr_0290d351d2d30b20fb48b805,sr_8b7154f7a0d917b4848ffa1f,NSCQ-MS-20260720-0011,TRI-ed9743639225fc8f5fc5,VER-64b4ae8eba52492f7b26,MS,Pascagoula,CITY OF PASCAGOULA,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0042_sr_8b7154f7a0d917b4848ffa1f.pdf,4f2d4b68922242957127e3ded4d722fa91cb54223b9672fbf2ce0ee095f8a296,9,present,possible,p2,"4,5,6,7",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_05bbad129bb78b19fc26014c,yes,cex_81d23325352187eb25cf01c8,quantitative,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,276
277,cex_81d23325352187eb25cf01c8,doc_56a5c5d6310d7ebf75ea2041,ttd_49e5daa617aaf705e84ed58b,pr_6621e817facedf93e46caff7,sr_7dbc51c5f8a21beb1f0f6721,NSCQ-MS-20260720-0012,TRI-55afe6b2cf102902bd87,VER-b5bcbd435d527b425106,MS,Pascagoula,CITY OF PASCAGOULA,non_safety,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0474_sr_7dbc51c5f8a21beb1f0f6721.pdf,abb6e10396e3ed423a4d8ddef4c2d86957d1b51c7a43f51cf4f5643061711fc9,7,present,possible,p2,"1,2,3,4,5,6,7",74.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|GATE3_CALIBRATION_CASE|SOURCE_DIVERSITY,match_05bbad129bb78b19fc26014c,yes,cex_81d23325352187eb25cf01c8,mixed,mixed_quant_qual_ready,medium,4,frozen_seed_reused_no_api,corrected_500_seed,no,277
278,cex_a3f210e7216d30f778c0634f,doc_62843307a951fb2a39a12fb6,ttd_88951dbc36a632264f379c5c,pr_cda85d12b3b598d015912e15,sr_3edc8ae83800ab05db636786,NSCQ-MT-20260720-0026,TRI-872f274c0d5d4ec863ce,VER-0f2fd5739db1da55a032,MT,Belgrade,CITY OF BELGRADE,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0382_sr_3edc8ae83800ab05db636786.pdf,64874c10407f7355a1ee1aeb77b1bf1e65f4da62c5cd5725247b010e139332a5,28,present,likely,p1,"2,16,27,28",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_fb43abb318d069c85801297e,yes,cex_a3f210e7216d30f778c0634f,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,278
279,cex_7ed821d25d407095ec0fd2e4,doc_02b2fa3c25b8c8961594b650,ttd_294967b35b523a4c83cc9185,pr_d4e092dd259b5952e785a882,sr_cb1f7d077c71c782a0121ef0,NSCQ-MT-20260720-0025,TRI-a9744b1dee161db6f899,VER-758df77a921ec27bdbd3,MT,Belgrade,CITY OF BELGRADE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0372_sr_cb1f7d077c71c782a0121ef0.pdf,6d03105741db3489fb064a83ab0189453a14aea1625524232371f42a9ba41381,26,present,likely,p1,"9,14,15,26",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_fb43abb318d069c85801297e,yes,cex_a3f210e7216d30f778c0634f,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,279
280,cex_f3a8c0b1342ee737a245e29e,doc_87a09626448314cd6cf6b33a,ttd_5fc76fd3227256e33bd0558a,pr_da7744290fc278365cb066f5,sr_34f4448c2daa632a2159217b,NSCQ-MT-20260720-0003,TRI-0fc691334038df1e9e11,VER-87311458f5e44cbb7e3d,MT,Billings,CITY OF BILLINGS,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0024_sr_34f4448c2daa632a2159217b.pdf,8acaaaf80deccc9c7b4b3383d82f2a8ac92ffb584190ef41fc2cebed0a2ed734,87,present,possible,p2,"11,20",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_b1ad42e9559077ee9a26f534,yes,cex_f3a8c0b1342ee737a245e29e,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,280
281,cex_c6e7e5d5d28aba07a1596a07,doc_325f9092b54e27c285ea4d09,ttd_a938ca9fa23bdf230c439d5f,pr_d3f935f07c771d0e54a8bbef,sr_9f37963ca71b05bb825044ba,NSCQ-MT-20260720-0001,TRI-e5bd31a6e8a18c7d0fa0,VER-78fc14663b00a2a47b13,MT,Billings,CITY OF BILLINGS,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0018_sr_9f37963ca71b05bb825044ba.pdf,ab5e09ee7ca5ab33f43c9544e6938665aa2988f3b8774227b57c01b3dfd965f3,42,present,likely,p1,"2,10,15,19,41",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_b1ad42e9559077ee9a26f534,yes,cex_f3a8c0b1342ee737a245e29e,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,281
282,cex_a39dc36e5d0353772358cb6f,doc_ae6ef3ab86de62c0144d9139,ttd_97f97bd4ff7a3bb845850c5a,pr_6b1fcd3374cbde8819fdf341,sr_c3230c5176346f281993f8fc,NSCQ-MT-20260720-0009,TRI-963044138a4fa602b784,VER-b4d5fe5449f7c84320e5,MT,Great Falls,CITY OF GREAT FALLS,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0053_sr_c3230c5176346f281993f8fc.pdf,b72dd37eb5c5bb5c0537973872435311a96078c71ebbf3bc799c4ecadb729b2e,33,present,likely,p1,"2,5,8,12,15,17,32",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4a9985bce2284b41ec2ce770,yes,cex_7a8dfc53274becceb7ea7f85,quantitative,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,282
283,cex_7a8dfc53274becceb7ea7f85,doc_a272944429edd8ef95dd4448,ttd_5cdc5c0224485393f57bd8f9,pr_f8e697330a72e679f2492768,sr_dd172d3771e214914ba50677,NSCQ-MT-20260720-0010,TRI-69e7f600c9e83676ba3a,VER-278ffa590eaafe3875f9,MT,Great Falls,CITY OF GREAT FALLS,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0398_sr_dd172d3771e214914ba50677.pdf,f91fef254c520cceee9529c9ee30918687f459d662b228b4bed45ab2fd5e1012,46,present,likely,p1,"2,11,16,21,24,26",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4a9985bce2284b41ec2ce770,yes,cex_7a8dfc53274becceb7ea7f85,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,283
284,cex_ad7f5c422f9d6418a27c898f,doc_402b0152c8ef9aa650d89957,ttd_215d81ff29a04f7c400fc0b2,pr_4f5cfbc597777715edf48fea,sr_e9ad5c6322946be86acbc110,NSCQ-MT-20260720-0008,TRI-2d7d1124a8594cf80288,VER-c0d9c56c39b60e57a4b4,MT,Great Falls,CITY OF GREAT FALLS,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0182_sr_e9ad5c6322946be86acbc110.pdf,3f1fc36206330390d3e53e2d3e6ddbaa253765b7b347b10ab792744693bb483d,32,present,likely,p1,"2,4,8,11,15,17,18",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4a9985bce2284b41ec2ce770,yes,cex_7a8dfc53274becceb7ea7f85,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,284
285,cex_a77466ed39cd0e75324d91ec,doc_4c78b008da2ea74e7c931fbb,ttd_2047a754a1d91125bc9b9260,pr_1a661b60fd0ee1095ba82eea,sr_1f90d83fb5b164600507a048,NSCQ-MT-20260720-0021,TRI-03139eecc19644cf5fa5,VER-29d9609f8eefd72b7df9,MT,Kalispell,CITY OF KALISPELL,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0061_sr_1f90d83fb5b164600507a048.pdf,609cc34f714ef24111f8296b77e58900e115a9302138393dd95ac3718e61ed90,22,present,likely,p1,"2,6,8,12,13,21,22",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_98bc59021b4ef8b37555a6a8,yes,cex_2a077e71191385e92b633afe,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,285
286,cex_2a077e71191385e92b633afe,doc_aed43c8f9f8b3eb2a84f3d35,ttd_c6dbf96a2c31389794e84bb1,pr_385d9e1c5ad4e9ae85b9ea6b,sr_101d64b4de5175a63f7b20a3,NSCQ-MT-20260720-0022,TRI-634656acb9b5ffb22c46,VER-f3da8362ea71c1e6ea01,MT,Kalispell,CITY OF KALISPELL,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_101d64b4de5175a63f7b20a3.pdf,f30a827ca7afc180d51f86bbf4bbf6d918301ec1f56855ff82511ced96f5b0dc,30,present,likely,p1,"4,29,30",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_98bc59021b4ef8b37555a6a8,yes,cex_2a077e71191385e92b633afe,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,286
287,cex_88c7246be86ef029ee9ffdb6,doc_4a9b165f460020e364a5c569,ttd_20e6d556de8e2533ec8b0a6b,pr_26401ffbf2c19ed9a42f1248,sr_710af0ea4068fac7e2b7f3c0,NSCQ-MT-20260720-0043,TRI-7933ccba5e8734b72b80,VER-efa3698e92851425b581,MT,Whitefish,CITY OF WHITEFISH,non_safety,ordinance_or_policy,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0500_sr_710af0ea4068fac7e2b7f3c0.pdf,ecc2efd18223431443231157ae2f35820a6a194813309c86628cc19dba932ed4,72,partial,possible,p2,"2,9,17,25,40",74.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|GATE3_CALIBRATION_CASE|SOURCE_DIVERSITY,match_4867425d67dcc0f69adf188f,yes,cex_88c7246be86ef029ee9ffdb6,mixed,qual_mechanism_ready,high,2,frozen_seed_reused_no_api,corrected_500_seed,no,287
288,cex_cba212433b28e2332af5a304,doc_07c571f514fbd5c8dcddfce1,ttd_f03426b4892b87d38a790bf0,pr_8e32053d4a2f4b5aa0eddc74,sr_f071e09d1c895d37c9cd1ec3,NSCQ-MT-20260720-0042,TRI-d1600e4aa41b2fa4473a,VER-a0fa4170904b7839f0a5,MT,Whitefish,CITY OF WHITEFISH,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0084_sr_f071e09d1c895d37c9cd1ec3.pdf,8b4032e9de84d04dc45a70ca88fae2297ba18bed74712fc5f5b5057207cb33e7,15,present,likely,p1,"2,6,7,8,14,15",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4867425d67dcc0f69adf188f,yes,cex_88c7246be86ef029ee9ffdb6,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,288
289,cex_b6605fd61e2b4c4900508ccc,doc_fae75c03baa92b699afd7556,ttd_ebae2ef4b0db0e395ab34163,pr_1c9e194b79585a2623c288b9,sr_ff98ef097e4e3d7fad24a658,NSCQ-MT-20260720-0041,TRI-375e4a63a385c4db1bdd,VER-c4c4ee87335315f004a8,MT,Whitefish,CITY OF WHITEFISH,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0234_sr_ff98ef097e4e3d7fad24a658.pdf,e8d4a15340426ec8c4135aa0dd5642888d6bafba8fc858cb9d4019795cb343ab,16,partial,likely,p1,"2,6,8",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4867425d67dcc0f69adf188f,yes,cex_88c7246be86ef029ee9ffdb6,mixed,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,289
290,cex_ac7f0dc61e465dc39972f6c8,doc_00a5e237175d41f61fb0fe40,ttd_00db69e7e7d1ac5ff95dc5ad,pr_d0661a96e1474a0c2a1e11be,sr_c98e0a0b1ee43b114fbab537,NSCQ-NE-20260720-0028,TRI-48c1d4402a6508cbed49,VER-8346ffc460dc1ea3b1c3,NE,Beatrice,CITY OF BEATRICE,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0058_sr_c98e0a0b1ee43b114fbab537.pdf,7afe4e7eb0ad048ad9742a043b9fde7abc818f56b27cc501d96752fc67fe8401,31,present,possible,p2,"8,30,31",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_9fe90f12a3e4a38ca370fcbd,yes,cex_44df6e0011dd33cae7cc142b,quantitative,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,290
291,cex_44df6e0011dd33cae7cc142b,doc_62a3b5ea2758ef8e4f764ce4,ttd_66c61831af5bbd01fa5e3a23,pr_c6ced6824bec0d9b0d9fe7fa,sr_c5b38c45bdcebf19d8b8c190,NSCQ-NE-20260720-0029,TRI-a5471376b749497aad15,VER-82da3ec6d25060ac8425,NE,Beatrice,CITY OF BEATRICE,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0093_sr_c5b38c45bdcebf19d8b8c190.pdf,36cb74a790208e6c1007b74af4e936c25898bace6bc9714bb60da60104ecf92a,36,present,likely,p1,"13,17,19,20,35,36",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_9fe90f12a3e4a38ca370fcbd,yes,cex_44df6e0011dd33cae7cc142b,quantitative,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,291
292,cex_470cfefab424214bb4fbdc85,doc_f3f2ae6df6a41757ebb9d1a1,ttd_53591d16961a80c4e322d24f,pr_9349feb01e22dad0bccaad28,sr_25ce75fc274bb14776ba5d6d,NSCQ-NE-20260720-0026,TRI-d60b39f2f5872b9ac71f,VER-00f232b91b6bd428e192,NE,Beatrice,CITY OF BEATRICE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0374_sr_25ce75fc274bb14776ba5d6d.pdf,65f917c6eb90e47320428a2c8cb3afa513d16b662a14414497a9657fa4df9741,42,present,likely,p1,"15,24,42",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_9fe90f12a3e4a38ca370fcbd,yes,cex_44df6e0011dd33cae7cc142b,quantitative,,,0,frozen_seed_reused_no_api,corrected_500_seed,no,292
