non_base_wage_observation_id,extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,non_base_wage_type,value_text,effective_date,eligibility_or_implementation_rule,bounded_evidence_pointer,confidence,reason_code,qa_status
nobs_1184a123fb1465adb0ff0afd,cexrem_4047fdd6ca2bd9fc24ee4be1,doc_ea3cc9089e7dab3107a09995,ttd_28595da5d9975defbccd9686,sr_042fc15b14e622a60bd2e10c,NSCQ-IA-20260720-0012,IA,Davenport,CITY OF DAVENPORT,police,cba,,,23,other,"Shift Differential computation references overtime, holiday and vacation pay",,"Stated that shift differential is utilized in the computation of overtime, holiday and vacation pay.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0174_sr_042fc15b14e622a60bd2e10c.pdf#page=23,low,SHIFT_DIFF_REFERENCES_OTHER_PAY_TYPES,needs_review
nobs_f917c5091533aa662cc283a0,cexrem_4047fdd6ca2bd9fc24ee4be1,doc_ea3cc9089e7dab3107a09995,ttd_28595da5d9975defbccd9686,sr_042fc15b14e622a60bd2e10c,NSCQ-IA-20260720-0012,IA,Davenport,CITY OF DAVENPORT,police,cba,,,23,education_or_certification,Training Officers: 7.0% above regular rate during training assignments; and 2.0% (for active and stand by employees),,No pyramiding; does not apply to overtime or deferred compensation. Additional above regular rate of pay for the period of training assignments; also references active and stand by employees.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0174_sr_042fc15b14e622a60bd2e10c.pdf#page=23,low,TRAINING_OFFICER_SUPPLEMENT_PCT_ABOVE_HO,needs_review
nobs_a7088790fff070891a50c41b,cexrem_4047fdd6ca2bd9fc24ee4be1,doc_ea3cc9089e7dab3107a09995,ttd_28595da5d9975defbccd9686,sr_042fc15b14e622a60bd2e10c,NSCQ-IA-20260720-0012,IA,Davenport,CITY OF DAVENPORT,police,cba,,,23,other,"K-9 Officers: equipment (dog run, dog food, veterinary care, insurance coverage) and pool of proper safety equipment",,City provides K-9 officers equipment and recommended insurance coverage and safety equipment.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0174_sr_042fc15b14e622a60bd2e10c.pdf#page=23,low,K9_EQUIPMENT_AND_INSURANCE_PROVISION,needs_review
nobs_c94e116c927fc0d4b9ca6e9f,cexrem_4047fdd6ca2bd9fc24ee4be1,doc_ea3cc9089e7dab3107a09995,ttd_28595da5d9975defbccd9686,sr_042fc15b14e622a60bd2e10c,NSCQ-IA-20260720-0012,IA,Davenport,CITY OF DAVENPORT,police,cba,,,22,reimbursements,Allowance for Personal Items: other items max $50.00 per item; Dentures 100%; Glasses 100%; Watches $100.00; Flashlights,,Reimbursed for repair/replacement in line of duty where damage occurred; exceptions list specific item caps/amounts.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0174_sr_042fc15b14e622a60bd2e10c.pdf#page=22,medium,PERSONAL_ITEM_REIMBURSEMENT_AMOUNTS,provisional_unverified
nobs_d33ea515b4176866492b00eb,cexrem_9dbf7710355ded47959c1c9d,doc_71bf36b61d95f191d3b7a1e3,ttd_b254cdb153cce98748e1ac73,sr_cbf56f506c650a1e07c95f61,NSCQ-IA-20260720-0004,IA,Des Moines,CITY OF DES MOINES,non_safety,cba,,,6,overtime,Overtime is all time worked in excess of a full-time employee’s regularly scheduled number of daily hours (forty (40) in,,Applies to time worked in excess of the regularly scheduled weekly hours threshold (40 hours per work week).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0160_sr_cbf56f506c650a1e07c95f61.pdf#page=6,medium,OVERTIME_DEFINITION_ONLY_NO_RATE,provisional_unverified
nobs_55377aeba2dc31c908dcbd65,cexrem_c9a3a7065c794a7102c1f5f7,doc_107eba6563e4c58908a327aa,ttd_b700fd514bb9ec49b5579209,sr_bc9b295228d24d1405ee8985,NSCQ-IA-20260720-0034,IA,Marion,CITY OF MARION,fire,cba,,,9,overtime,overtime paid at prevailing overtime rate; first hour at double the regular hourly rate; succeeding hours at time and 1/,,overtime or compensatory time off allowed; employee chooses whether to be paid overtime or take compensatory time off when the time card is submitted,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0096_sr_bc9b295228d24d1405ee8985.pdf#page=9,medium,ARTICLE_5_OVERTIME_RATE_DOUBLE_THEN_TIME,provisional_unverified
nobs_a9da8677ddb91811e06c5ae1,cexrem_b825de58157f3ac5c320fa6c,doc_ea2f111c62e2b2c09fcc727b,ttd_b4b9ac4354bc6f5444c37a76,sr_14a719294983d39462d4aa03,NSCQ-IA-20260720-0033,IA,Marion,CITY OF MARION,police,cba,,,31,overtime,OVERTIME $47.341 (STEP 1),"EFFECTIVE JULY 1, 2025",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0373_sr_14a719294983d39462d4aa03.pdf#page=31,high,OVERTIME_ROW_REMOVED_FROM_BASE,provisional_unverified
nobs_3ab68b031670fb399f538869,cexrem_b825de58157f3ac5c320fa6c,doc_ea2f111c62e2b2c09fcc727b,ttd_b4b9ac4354bc6f5444c37a76,sr_14a719294983d39462d4aa03,NSCQ-IA-20260720-0033,IA,Marion,CITY OF MARION,police,cba,,,32,overtime,OVERTIME $50.181 (STEP 1),"EFFECTIVE JULY 1, 2026",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0373_sr_14a719294983d39462d4aa03.pdf#page=32,high,OVERTIME_ROW_REMOVED_FROM_BASE,provisional_unverified
nobs_84133ed6229a2a77f948a42c,cexrem_4f571a264e7cea38fa6f69bf,doc_2fa564f0f14844d2b83ab003,ttd_717141c0c8e30800fecf4c08,sr_055ab6593bdaf9e0a5a9e767,NSCQ-IA-20260720-0073,IA,Oskaloosa,CITY OF OSKALOOSA,police,cba,,,11,overtime,time and one-half (1½) the employee's current hourly straight time rate of pay for all hours worked; hours worked up to/,,"In context of eligibility for receiving holiday pay; employee receives pay at time and one-half for hours worked, with a maximum of eight (8) hours referenced.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0023_sr_055ab6593bdaf9e0a5a9e767.pdf#page=11,medium,HOLIDAY_PAY_TIME_AND_HALF_RULE_FOUND_IN_,provisional_unverified
nobs_c946f7a982648954fd5cd984,cexrem_4f571a264e7cea38fa6f69bf,doc_2fa564f0f14844d2b83ab003,ttd_717141c0c8e30800fecf4c08,sr_055ab6593bdaf9e0a5a9e767,NSCQ-IA-20260720-0073,IA,Oskaloosa,CITY OF OSKALOOSA,police,cba,,,11,other,eighty-eight (88) hours of additional pay per year,,Referenced as applying to each shift employee; additional pay is associated with holiday pay/holiday comp time around December 1 (text partially visible).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0023_sr_055ab6593bdaf9e0a5a9e767.pdf#page=11,low,ADDITIONAL_PAY_PER_YEAR_TOKEN_VISIBLE_B,needs_review
nobs_02d814444744cf465fcb1417,cexrem_124cff3ebc16660233a8855c,doc_7ba0eef607f43d2cc4a12eba,ttd_018732d6ac9f0a17e6bc7d78,sr_6e545935248b508a6da74d38,NSCQ-ID-20260720-0001,ID,Boise City,CITY OF BOISE,police,cba,,,23,other,"one-time signing bonus equal to three percent (3%) of base annual wages as of June 24, 2025","on ratification (forfeiture if not ratified no later than October 15, 2025)",eligible members; must be actively employed in the bargaining unit on the date of ratification; paid no sooner than fourteen (14) calendar days after ratification (or next following regular payday if first regular payday falls within 14 (14,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0373_sr_6e545935248b508a6da74d38.pdf#page=23,medium,EVID_SIGNING_BONUS_BASE_WAGE_PCT_FOR_ELG,provisional_unverified
nobs_1cea7f93d396d336b1068019,cexrem_124cff3ebc16660233a8855c,doc_7ba0eef607f43d2cc4a12eba,ttd_018732d6ac9f0a17e6bc7d78,sr_6e545935248b508a6da74d38,NSCQ-ID-20260720-0001,ID,Boise City,CITY OF BOISE,police,cba,,,23,other,"total signing bonus cap of $1,200,000 for the entire bargaining unit (pro-rated if aggregate exceeds cap)",upon ratification,"if aggregate bonuses exceed cap, each member’s bonus pro-rated",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0373_sr_6e545935248b508a6da74d38.pdf#page=23,medium,EVID_SIGNING_BONUS_TOTAL_CAP_PRO_RATION,provisional_unverified
nobs_317b682222af6329a6750790,cexrem_124cff3ebc16660233a8855c,doc_7ba0eef607f43d2cc4a12eba,ttd_018732d6ac9f0a17e6bc7d78,sr_6e545935248b508a6da74d38,NSCQ-ID-20260720-0001,ID,Boise City,CITY OF BOISE,police,cba,,,23,uniform_or_equipment,"$1,200 total per fiscal year uniform allowance (paid in two (2) equal installments per year in October)",upon ratification (within Section 5 benefits; installments in October),paid in two equal installments per year in member’s October,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0373_sr_6e545935248b508a6da74d38.pdf#page=23,medium,EVID_UNIFORM_ALLOWANCE_1200_PER_FISCAL_Y,provisional_unverified
nobs_a3891d399acd22d49485a9f7,cexrem_124cff3ebc16660233a8855c,doc_7ba0eef607f43d2cc4a12eba,ttd_018732d6ac9f0a17e6bc7d78,sr_6e545935248b508a6da74d38,NSCQ-ID-20260720-0001,ID,Boise City,CITY OF BOISE,police,cba,,,24,uniform_or_equipment,$480 per member per year for cleaning,in November,BOISE CITY provides the cleaning amount per member per year in November,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0373_sr_6e545935248b508a6da74d38.pdf#page=24,medium,EVID_UNIFORM_CLEANING_480_PER_YEAR_IN_N,provisional_unverified
nobs_77ac1d6e2b4d2e4ab00153aa,cexrem_124cff3ebc16660233a8855c,doc_7ba0eef607f43d2cc4a12eba,ttd_018732d6ac9f0a17e6bc7d78,sr_6e545935248b508a6da74d38,NSCQ-ID-20260720-0001,ID,Boise City,CITY OF BOISE,police,cba,,,22,other,Detective incentive of two and three-quarters percent (2.75%) added to base pay,,remains in place as long as the member is a Detective,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0373_sr_6e545935248b508a6da74d38.pdf#page=22,medium,EVID_DETECTIVE_INCENTIVE_2_75_PCT,provisional_unverified
nobs_1542090aec0ae417a714cb2e,cexrem_bc003451d8f670262c031511,doc_741d42489c0a63ac3f92c94c,ttd_061738b35675f91a4a62378e,sr_d52b4b96c793e8aab32ecf55,NSCQ-ID-20260720-0016,ID,Lewiston,CITY OF LEWISTON,fire,cba,,,13,other,Paramedic premium pay shall be 10 percent of the step 10 firefighter pay grade.,,Employees holding current Paramedic certifications for the State of Idaho and Washington shall be paid Paramedic premium pay; must maintain specified requirements.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0067_sr_d52b4b96c793e8aab32ecf55.pdf#page=13,medium,PARAMEDIC_PREMIUM_DIFFERENTIAL_REMOVED,provisional_unverified
nobs_29cffb2730f0f7e4e9210da8,cexrem_bc003451d8f670262c031511,doc_741d42489c0a63ac3f92c94c,ttd_061738b35675f91a4a62378e,sr_d52b4b96c793e8aab32ecf55,NSCQ-ID-20260720-0016,ID,Lewiston,CITY OF LEWISTON,fire,cba,,,13,reimbursements,City shall contribute $75.00 per member per month into a Medical Expense Reimbursement Program (MERP) for the remaining ,,MERP contribution for the remaining years of this contract.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0067_sr_d52b4b96c793e8aab32ecf55.pdf#page=13,medium,MERP_NON_BASE_COMPENSATION,provisional_unverified
nobs_9082b7601a968656a2b6e652,cexrem_bc003451d8f670262c031511,doc_741d42489c0a63ac3f92c94c,ttd_061738b35675f91a4a62378e,sr_d52b4b96c793e8aab32ecf55,NSCQ-ID-20260720-0016,ID,Lewiston,CITY OF LEWISTON,fire,cba,,,13,stipend,one dollar ($1.00) per hour for the time they have a non-LFD employee paramedic student riding along with them.,,Members selected by fire administration to serve as a paramedic student preceptor.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0067_sr_d52b4b96c793e8aab32ecf55.pdf#page=13,medium,PARAMEDIC_PRECEPTOR_PAY_STIPEND,provisional_unverified
nobs_6f7a5e8b058f98271ae2222d,cexrem_2cbf5ad5f1a9237b3a761feb,doc_06b718cb90e09c0cdcd92864,ttd_dd427968c7e3d16189f9862f,sr_c12bb57fd17f3bd9781f4cda,NSCQ-IL-20260720-0077,IL,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,police,cba,,,20,pension,disability pension exceeding 30 calendar days,,Seniority shall be interrupted when an employee is placed on a disability pension exceeding 30 calendar days.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0221_sr_c12bb57fd17f3bd9781f4cda.pdf#page=20,high,PENSION_RULE_SENIORITY_INTERRUPTION,provisional_unverified
nobs_198001a96c81c94f7ab96c46,cexrem_2cbf5ad5f1a9237b3a761feb,doc_06b718cb90e09c0cdcd92864,ttd_dd427968c7e3d16189f9862f,sr_c12bb57fd17f3bd9781f4cda,NSCQ-IL-20260720-0077,IL,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,police,cba,,,20,leave,unpaid leave of absence exceeding 30 calendar days,,Seniority shall be interrupted when an employee is granted an unpaid leave of absence exceeding 30 calendar days.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0221_sr_c12bb57fd17f3bd9781f4cda.pdf#page=20,high,UNPAID_LEAVE_SENIORITY_INTERRUPTION,provisional_unverified
nobs_ffbb5b2663248f220119e149,cexrem_25819538917f7933234fc695,doc_0bc0421fcd3acbc3fdb208d4,ttd_606a26fe11c7bde70be797df,sr_411288c38cf86c1b8b216b6f,NSCQ-IL-20260720-0005,IL,Aurora,CITY OF AURORA,fire,cba,,,9,overtime,Overtime rate = 1-1/2 × regular straight-time hourly rate; straight-time hourly rate derived from base salary in App. A÷,,Overtime paid for regular hours over 212 overtime rate; alternatively option to use time as compensatory time off at straight-time hourly rate (min. 8 hours). Compensatory time earned at ≥1-1/2 hours per 1 hour actual overtime; option to (1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0182_sr_411288c38cf86c1b8b216b6f.pdf#page=9,medium,FLSA_MANDATORY_OVERTIME_AND_COMP_TIME_ME,provisional_unverified
nobs_5a868553070ffe922fc5308b,cexrem_25819538917f7933234fc695,doc_0bc0421fcd3acbc3fdb208d4,ttd_606a26fe11c7bde70be797df,sr_411288c38cf86c1b8b216b6f,NSCQ-IL-20260720-0005,IL,Aurora,CITY OF AURORA,fire,cba,,,10,stipend,Holiday stipend: first 8 recognized 24-hour holidays = 24 hours × applicable straight-time hourly rate,,"Eligible for holiday pay only if work day before and/or day after holiday due to vacation leave, sick leave, or other approved leave with pay; payments spread in equal amounts over 26 pay periods (as requested by the Union).",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0182_sr_411288c38cf86c1b8b216b6f.pdf#page=10,medium,HOLIDAY_STIPEND_AMOUNT_FORMULA_AND_ELIG,provisional_unverified
nobs_195e34192aa1e2fdeaf07e12,cexrem_25819538917f7933234fc695,doc_0bc0421fcd3acbc3fdb208d4,ttd_606a26fe11c7bde70be797df,sr_411288c38cf86c1b8b216b6f,NSCQ-IL-20260720-0005,IL,Aurora,CITY OF AURORA,fire,cba,,,10,stipend,"Effective Jan 1, 2019: stipend for first 9 recognized 24-hour holidays = 24 hours × applicable straight-time hourly rate","January 1, 2019",Same eligibility for holiday pay described above.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0182_sr_411288c38cf86c1b8b216b6f.pdf#page=10,medium,HOLIDAY_STIPEND_EFFECTIVE_2019,provisional_unverified
nobs_f9db87f9ee76359c90bd50c2,cexrem_25819538917f7933234fc695,doc_0bc0421fcd3acbc3fdb208d4,ttd_606a26fe11c7bde70be797df,sr_411288c38cf86c1b8b216b6f,NSCQ-IL-20260720-0005,IL,Aurora,CITY OF AURORA,fire,cba,,,10,stipend,"Effective Jan 1, 2020: stipend for first 10 recognized 24-hour holidays = 24 hours × applicable straight-time hourly |","January 1, 2020",Same eligibility for holiday pay described above.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0182_sr_411288c38cf86c1b8b216b6f.pdf#page=10,medium,HOLIDAY_STIPEND_EFFECTIVE_2020,provisional_unverified
nobs_ea201e85ff9f7758ffa0e016,cexrem_25819538917f7933234fc695,doc_0bc0421fcd3acbc3fdb208d4,ttd_606a26fe11c7bde70be797df,sr_411288c38cf86c1b8b216b6f,NSCQ-IL-20260720-0005,IL,Aurora,CITY OF AURORA,fire,cba,,,18,leave,Emergency Leave: Battalion Chief may excuse members from duty up to 8 hours to visit sick/injured family or address unfo,,If excuse longer than 8 hours: granted by designated shift commander/Battalion Chief or designee. Also provides possibility of 8 hours of time off with full pay to make,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0182_sr_411288c38cf86c1b8b216b6f.pdf#page=18,low,EMERGENCY_LEAVE_WITH_FULL_PAY_REFERENCE,needs_review
nobs_8a6637cd27ac6ce0bf85eaf4,cexrem_604ab10c49d4522e77676217,doc_ecc9af1bebcd536dba05e3ec,ttd_dd52f43049637d8e79cd25e7,sr_5d683c7bf52fed7a28d3adf0,NSCQ-IL-20260720-0183,IL,Batavia,CITY OF BATAVIA,non_safety,cba,,,91,leave,maximum of six months leave of absence,,available when employees receive wage compensation under the Illinois Worker's Compensation Act (820 ILCS 305),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0202_sr_5d683c7bf52fed7a28d3adf0.pdf#page=91,medium,ARTICLE_IX_9_2_LEAVE_OF_ABSENCE_WC_ACT,provisional_unverified
nobs_ccd0d91ef463eb644fafb35f,cexrem_604ab10c49d4522e77676217,doc_ecc9af1bebcd536dba05e3ec,ttd_dd52f43049637d8e79cd25e7,sr_5d683c7bf52fed7a28d3adf0,NSCQ-IL-20260720-0183,IL,Batavia,CITY OF BATAVIA,non_safety,cba,,,91,leave,Sick leave and vacation leave shall be accrued,,accrued while on temporary disability arising out of and in the course of employment,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0202_sr_5d683c7bf52fed7a28d3adf0.pdf#page=91,medium,ARTICLE_IX_9_3_ACCRUAL_TEMPORARY_DISB,provisional_unverified
nobs_8bd0ef3bd7694f5a4386f5bf,cexrem_bc66f8789880f27c65cd1a08,doc_d11fd63b4d803df64c61892b,ttd_22efac623cde05ad29d92744,sr_91411f1b3b0a3ad94dc8c2b0,NSCQ-IL-20260720-0065,IL,Belleville,CITY OF BELLEVILLE,non_safety,cba,,,4,leave,"Sick leave accumulation: 10 hours per month of service; maximum accrual 1,920 hours; additional sick leave beyond 1,920:",,"Employees receive 10 hours sick leave each month; sick leave cannot be taken before earned; max accrual 1,920 hours; upon reaching 1,920, additional accrued sick leave is credited toward pension credits in the IMRF (subject to policies/tern",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0065_sr_91411f1b3b0a3ad94dc8c2b0.pdf#page=4,medium,SICK_LEAVE_ACCRUAL_AND_LIMITS,provisional_unverified
nobs_bfd1d56503bfa0c1d3ea9fe8,cexrem_bc66f8789880f27c65cd1a08,doc_d11fd63b4d803df64c61892b,ttd_22efac623cde05ad29d92744,sr_91411f1b3b0a3ad94dc8c2b0,NSCQ-IL-20260720-0065,IL,Belleville,CITY OF BELLEVILLE,non_safety,cba,,,5,leave,Payment for unused sick leave: Employer will pay $2.00 for each hour of unused accumulated sick leave for each hour of (,,"There shall be no pay upon separation for any unused sick leave; (text indicates a payment formula for unused accumulated sick leave, but surrounding terms are truncated on the page)",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0065_sr_91411f1b3b0a3ad94dc8c2b0.pdf#page=5,low,UNUSED_SICK_LEAVE_PAYOUT_TRUNCATED,needs_review
nobs_c934510c437f32fa683f74dd,cexrem_bc66f8789880f27c65cd1a08,doc_d11fd63b4d803df64c61892b,ttd_22efac623cde05ad29d92744,sr_91411f1b3b0a3ad94dc8c2b0,NSCQ-IL-20260720-0065,IL,Belleville,CITY OF BELLEVILLE,non_safety,cba,,,5,overtime,Overtime pay: workday 8 hours; work week 40 hours; all work performed on Sundays paid at double time,,Applies to all work performed on Sundays,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0065_sr_91411f1b3b0a3ad94dc8c2b0.pdf#page=5,high,SUNDAY_DOUBLE_TIME,provisional_unverified
nobs_eece637616693236e2460823,cexrem_381fd878d4942b2ce9624aac,doc_6c768171fc4e1e9fdbe4e73c,ttd_4b9717b8cbb628a8df3e5b35,sr_ab7ae5dfea2af7e36402cf40,NSCQ-IL-20260720-0188,IL,Belvidere,CITY OF BELVIDERE,fire,cba,,,16,leave,Vacation pay paid at the Firefighter’s regular straight-time rate of pay in effect for his regular job on the day before,,"Vacation pay is calculated as: (a) Salary divided by work periods per year (17-3); (b) work period salary divided by number of work shifts per work period (7); and (c) accumulated work shifts multiplied by shift salary. Unused vacation may,",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0035_sr_ab7ae5dfea2af7e36402cf40.pdf#page=16,medium,P16_CITATION_VACATION_PAY_CALC_USING_REG,provisional_unverified
nobs_0940aba7841d66f0218acf2f,cexrem_381fd878d4942b2ce9624aac,doc_6c768171fc4e1e9fdbe4e73c,ttd_4b9717b8cbb628a8df3e5b35,sr_ab7ae5dfea2af7e36402cf40,NSCQ-IL-20260720-0188,IL,Belvidere,CITY OF BELVIDERE,fire,cba,,,16,leave,Payment for unused vacation at the Firefighter’s regular straight-time rate of pay in effect for the contract,,"If operational requirements prohibit taking vacation during the applicable vacation year, the Fire Chief requests City Council permission to either carry unused vacation to the following vacation year or pay for unused vacation; City &  is ",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0035_sr_ab7ae5dfea2af7e36402cf40.pdf#page=16,low,P16_UNUSED_VACATION_CARRY_OR_PAY_DECIDED,needs_review
nobs_dcff415a41992b8b1c961497,cexrem_381fd878d4942b2ce9624aac,doc_6c768171fc4e1e9fdbe4e73c,ttd_4b9717b8cbb628a8df3e5b35,sr_ab7ae5dfea2af7e36402cf40,NSCQ-IL-20260720-0188,IL,Belvidere,CITY OF BELVIDERE,fire,cba,,,16,leave,Payment upon separation from employment prorated at one/three-hundred-and-sixtyfifth (1/365) of the benefit for each day,,Calculation of pay shall be in accordance with Article 5.3.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0035_sr_ab7ae5dfea2af7e36402cf40.pdf#page=16,medium,P16_SEPARATION_VACATION_OR_BENEFIT_PROR_,provisional_unverified
nobs_77735ff5db941eed6e359daa,cexrem_381fd878d4942b2ce9624aac,doc_6c768171fc4e1e9fdbe4e73c,ttd_4b9717b8cbb628a8df3e5b35,sr_ab7ae5dfea2af7e36402cf40,NSCQ-IL-20260720-0188,IL,Belvidere,CITY OF BELVIDERE,fire,cba,,,15,overtime,A Firefighter is entitled to time off from work with full pay,,Overtime Pay (Article 4.11) provides time off from work with full pay.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0035_sr_ab7ae5dfea2af7e36402cf40.pdf#page=15,low,P15_OVERTIME_PAY_TIME_OFF_WITH_FULL_PAY,needs_review
nobs_b164ccb90726da3fb6bd514f,cexrem_d56365371ee012b2e4cc7c43,doc_46396899084a492622062a03,ttd_d34c02e52143406126ab9a34,sr_6c73132088cff331af95f017,NSCQ-IL-20260720-0281,IL,Blue Island,CITY OF BLUE ISLAND,fire,cba,,,24,education_or_certification,Certified Firefighter III or Advanced Firefighter - 40 points or 2%,,Merit points awarded to candidates based on educational or professional certification; listed under Lieutenant Exam merit points.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0044_sr_6c73132088cff331af95f017.pdf#page=24,medium,T1234_1_12_12_1_9_1_1,provisional_unverified
nobs_1b66664bdbca75b6514f73b9,cexrem_d56365371ee012b2e4cc7c43,doc_46396899084a492622062a03,ttd_d34c02e52143406126ab9a34,sr_6c73132088cff331af95f017,NSCQ-IL-20260720-0281,IL,Blue Island,CITY OF BLUE ISLAND,fire,cba,,,24,education_or_certification,Paramedic - 3%,,Merit points awarded to candidates based on educational or professional certification; listed under Lieutenant Exam merit points.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0044_sr_6c73132088cff331af95f017.pdf#page=24,medium,T1234_1_12_12_1_9_1_2,provisional_unverified
nobs_bb3fb6f8a738083605fa3ef7,cexrem_d56365371ee012b2e4cc7c43,doc_46396899084a492622062a03,ttd_d34c02e52143406126ab9a34,sr_6c73132088cff331af95f017,NSCQ-IL-20260720-0281,IL,Blue Island,CITY OF BLUE ISLAND,fire,cba,,,24,education_or_certification,Fire Officer I or Provisional Fire Officer I - 60 points or 3%,,Merit points awarded to candidates based on educational or professional certification; listed under Lieutenant Exam merit points.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0044_sr_6c73132088cff331af95f017.pdf#page=24,medium,T1234_1_12_12_1_9_1_3,provisional_unverified
