scout_target_id,state,region,municipality,municipality_id,scout_outcome,candidate_row_count,failure_type
BSSS-20260727-0321,NY,Northeast,Babylon,cog_2025_184112,candidate_positive,4,
BSSS-20260727-0322,NY,Northeast,Brookhaven,cog_2025_171023,candidate_positive,2,
BSSS-20260727-0323,NY,Northeast,Hempstead,cog_2025_170895,candidate_positive,1,
BSSS-20260727-0324,NY,Northeast,Huntington,cog_2025_171024,failed_or_stopped,0,outer_timeout
BSSS-20260727-0325,NY,Northeast,Islip,cog_2025_109708,candidate_positive,2,
BSSS-20260727-0326,NY,Northeast,North Hempstead,cog_2025_131387,candidate_positive,3,
BSSS-20260727-0327,NY,Northeast,Oyster Bay,cog_2025_170896,candidate_positive,2,
BSSS-20260727-0328,NY,Northeast,Ramapo,cog_2025_109689,candidate_positive,2,
BSSS-20260727-0329,NY,Northeast,Smithtown,cog_2025_171026,candidate_positive,3,
BSSS-20260727-0330,OH,Midwest,Anderson,cog_2025_172895,candidate_positive,3,
BSSS-20260727-0331,OH,Midwest,Beavercreek,cog_2025_202343,candidate_positive,3,
BSSS-20260727-0332,OH,Midwest,Cincinnati,oh_cincinnati,candidate_positive,4,
BSSS-20260727-0333,OH,Midwest,Cleveland,oh_cleveland,candidate_positive,3,
BSSS-20260727-0334,OH,Midwest,Columbus,oh_columbus,candidate_positive,4,
BSSS-20260727-0335,OH,Midwest,Jackson,cog_2025_172858,candidate_positive,1,
BSSS-20260727-0336,OH,Midwest,Liberty,cog_2025_172755,candidate_positive,4,
BSSS-20260727-0337,OH,Midwest,Miami,cog_2025_173086,candidate_positive,2,
BSSS-20260727-0338,OH,Midwest,Toledo,oh_toledo,candidate_positive,5,
BSSS-20260727-0339,OH,Midwest,Washington,cog_2025_173087,candidate_positive,4,
BSSS-20260727-0340,OK,South,Ardmore,cog_2025_173383,candidate_positive,3,
BSSS-20260727-0341,OK,South,Bethany,cog_2025_173523,candidate_positive,2,
BSSS-20260727-0342,OK,South,Claremore,cog_2025_184225,candidate_positive,3,
BSSS-20260727-0343,OK,South,Del City,cog_2025_173524,candidate_positive,5,
BSSS-20260727-0344,OK,South,Duncan,cog_2025_133044,candidate_positive,1,
BSSS-20260727-0345,OK,South,Jenks,cog_2025_173595,candidate_positive,2,
BSSS-20260727-0346,OK,South,Mustang,cog_2025_173382,candidate_positive,5,
BSSS-20260727-0347,OK,South,Ponca City,cog_2025_205185,candidate_positive,2,
BSSS-20260727-0348,OK,South,Shawnee,cog_2025_133035,candidate_positive,1,
BSSS-20260727-0349,OK,South,Yukon,cog_2025_193934,candidate_positive,2,
BSSS-20260727-0350,OR,West,Creswell,cog_2025_173663,parseable_no_candidates,0,
BSSS-20260727-0351,OR,West,Estacada,cog_2025_111591,parseable_no_candidates,0,
BSSS-20260727-0352,OR,West,Junction City,cog_2025_209199,candidate_positive,4,
BSSS-20260727-0353,OR,West,Philomath,cog_2025_173629,candidate_positive,3,
BSSS-20260727-0354,OR,West,Sheridan,cog_2025_209216,candidate_positive,2,
BSSS-20260727-0355,OR,West,Talent,cog_2025_209195,candidate_positive,2,
BSSS-20260727-0356,OR,West,Tillamook,cog_2025_173690,candidate_positive,2,
BSSS-20260727-0357,OR,West,Veneta,cog_2025_212769,candidate_positive,2,
BSSS-20260727-0358,OR,West,Warrenton,cog_2025_209190,candidate_positive,2,
BSSS-20260727-0359,OR,West,Winston,cog_2025_111598,candidate_positive,3,
BSSS-20260727-0360,PA,Northeast,Abington,cog_2025_174627,candidate_positive,3,
BSSS-20260727-0361,PA,Northeast,Bensalem,cog_2025_194869,candidate_positive,5,
BSSS-20260727-0362,PA,Northeast,Bristol,cog_2025_174278,candidate_positive,2,
BSSS-20260727-0363,PA,Northeast,Haverford,cog_2025_174434,candidate_positive,3,
BSSS-20260727-0364,PA,Northeast,Lower Merion,cog_2025_133845,candidate_positive,4,
BSSS-20260727-0365,PA,Northeast,Lower Paxton,cog_2025_211235,candidate_positive,2,
BSSS-20260727-0366,PA,Northeast,Manheim,cog_2025_133804,candidate_positive,2,
BSSS-20260727-0367,PA,Northeast,Middletown,cog_2025_209316,candidate_positive,2,
BSSS-20260727-0368,PA,Northeast,Millcreek,cog_2025_133760,candidate_positive,2,
BSSS-20260727-0369,PA,Northeast,Upper Darby,cog_2025_174437,candidate_positive,4,
BSSS-20260727-0370,RI,Northeast,Coventry,cog_2025_112813,candidate_positive,2,
BSSS-20260727-0371,RI,Northeast,Cumberland,cog_2025_174840,candidate_positive,3,
BSSS-20260727-0372,RI,Northeast,Johnston,cog_2025_174841,candidate_positive,4,
BSSS-20260727-0373,RI,Northeast,Lincoln,cog_2025_174842,candidate_positive,4,
BSSS-20260727-0374,RI,Northeast,North Kingstown,cog_2025_187439,candidate_positive,3,
BSSS-20260727-0375,RI,Northeast,North Providence,cog_2025_134389,candidate_positive,4,
BSSS-20260727-0376,RI,Northeast,Smithfield,cog_2025_183885,candidate_positive,4,
BSSS-20260727-0377,RI,Northeast,South Kingstown,cog_2025_174845,candidate_positive,4,
BSSS-20260727-0378,RI,Northeast,West Warwick,cog_2025_174837,candidate_positive,4,
BSSS-20260727-0379,RI,Northeast,Westerly,cog_2025_174846,candidate_positive,3,
BSSS-20260727-0380,SC,South,Aiken,cog_2025_134420,candidate_positive,3,
BSSS-20260727-0381,SC,South,Anderson,cog_2025_174876,parseable_no_candidates,0,
BSSS-20260727-0382,SC,South,Bluffton,cog_2025_174885,candidate_positive,3,
BSSS-20260727-0383,SC,South,Florence,cog_2025_174911,candidate_positive,2,
BSSS-20260727-0384,SC,South,Fort Mill,cog_2025_174977,candidate_positive,3,
BSSS-20260727-0385,SC,South,Goose Creek,cog_2025_209438,parseable_no_candidates,0,
BSSS-20260727-0386,SC,South,Hilton Head Island,cog_2025_174887,candidate_positive,4,
BSSS-20260727-0387,SC,South,Myrtle Beach,cog_2025_174923,candidate_positive,3,
BSSS-20260727-0388,SC,South,Spartanburg,cog_2025_184064,candidate_positive,6,
BSSS-20260727-0389,SC,South,Sumter,cog_2025_174971,candidate_positive,3,
BSSS-20260727-0390,SD,Midwest,Big Sioux,cog_2025_134780,parseable_no_candidates,0,
BSSS-20260727-0391,SD,Midwest,Canton,cog_2025_184195,candidate_positive,4,
BSSS-20260727-0392,SD,Midwest,Dell Rapids,cog_2025_134591,candidate_positive,3,
BSSS-20260727-0393,SD,Midwest,Hartford,cog_2025_175093,candidate_positive,2,
BSSS-20260727-0394,SD,Midwest,Hot Springs,cog_2025_134572,candidate_positive,2,
BSSS-20260727-0395,SD,Midwest,Lead,cog_2025_134584,candidate_positive,2,
BSSS-20260727-0396,SD,Midwest,Milbank,cog_2025_187483,candidate_positive,2,
BSSS-20260727-0397,SD,Midwest,Mobridge,cog_2025_209493,candidate_positive,2,
BSSS-20260727-0398,SD,Midwest,North Sioux City,cog_2025_209492,candidate_positive,1,
BSSS-20260727-0399,SD,Midwest,Split Rock,cog_2025_209496,parseable_no_candidates,0,
BSSS-20260727-0400,SD,Midwest,Summerset,cog_2025_217917,candidate_positive,2,
BSSS-20260727-0401,TN,South,Brentwood,cog_2025_175847,candidate_positive,2,
BSSS-20260727-0402,TN,South,Bristol,cog_2025_175827,candidate_positive,2,
BSSS-20260727-0403,TN,South,Columbia,cog_2025_194104,candidate_positive,2,
BSSS-20260727-0404,TN,South,Dickson,cog_2025_175733,candidate_positive,1,
BSSS-20260727-0405,TN,South,East Ridge,cog_2025_175760,candidate_positive,3,
BSSS-20260727-0406,TN,South,Goodlettsville,cog_2025_113324,candidate_positive,3,
BSSS-20260727-0407,TN,South,La Vergne,cog_2025_134916,candidate_positive,2,
BSSS-20260727-0408,TN,South,Sevierville,cog_2025_175824,candidate_positive,2,
BSSS-20260727-0409,TN,South,Shelbyville,cog_2025_184267,candidate_positive,2,
BSSS-20260727-0410,TN,South,Springfield,cog_2025_175820,parseable_no_candidates,0,
BSSS-20260727-0411,TX,South,Converse,cog_2025_175994,candidate_positive,1,
BSSS-20260727-0412,TX,South,Deer Park,cog_2025_176168,candidate_positive,1,
BSSS-20260727-0413,TX,South,Del Rio,cog_2025_194817,candidate_positive,1,
BSSS-20260727-0414,TX,South,Forney,cog_2025_187676,candidate_positive,5,
BSSS-20260727-0415,TX,South,Greenville,cog_2025_187672,candidate_positive,2,
BSSS-20260727-0416,TX,South,Harker Heights,cog_2025_194835,parseable_no_candidates,0,
BSSS-20260727-0417,TX,South,Lufkin,cog_2025_135080,candidate_positive,3,
BSSS-20260727-0418,TX,South,Nacogdoches,cog_2025_205474,parseable_no_candidates,0,
BSSS-20260727-0419,TX,South,Sachse,cog_2025_113584,candidate_positive,4,
BSSS-20260727-0420,TX,South,Southlake,cog_2025_194830,candidate_positive,3,
BSSS-20260727-0421,UT,West,Brigham City,cog_2025_176446,candidate_positive,3,
BSSS-20260727-0422,UT,West,Clinton,cog_2025_209649,candidate_positive,2,
BSSS-20260727-0423,UT,West,Cottonwood Heights,cog_2025_215764,candidate_positive,2,
BSSS-20260727-0424,UT,West,Highland,cog_2025_135844,candidate_positive,3,
BSSS-20260727-0425,UT,West,Holladay,cog_2025_184199,candidate_positive,3,
BSSS-20260727-0426,UT,West,Magna metro,cog_2025_248442,candidate_positive,1,
BSSS-20260727-0427,UT,West,North Ogden,cog_2025_209666,candidate_positive,3,
BSSS-20260727-0428,UT,West,North Salt Lake,cog_2025_209651,candidate_positive,3,
BSSS-20260727-0429,UT,West,Payson,cog_2025_176516,candidate_positive,2,
BSSS-20260727-0430,UT,West,South Salt Lake,cog_2025_135829,candidate_positive,2,
BSSS-20260727-0431,VA,South,Bristol,cog_2025_114559,candidate_positive,2,
BSSS-20260727-0432,VA,South,Christiansburg,cog_2025_176743,candidate_positive,6,
BSSS-20260727-0433,VA,South,Colonial Heights,cog_2025_176778,candidate_positive,3,
BSSS-20260727-0434,VA,South,Culpeper,cog_2025_176720,candidate_positive,2,
BSSS-20260727-0435,VA,South,Hopewell,cog_2025_212135,candidate_positive,4,
BSSS-20260727-0436,VA,South,Manassas Park,cog_2025_202753,candidate_positive,2,
BSSS-20260727-0437,VA,South,Radford,cog_2025_136058,candidate_positive,2,
BSSS-20260727-0438,VA,South,Vienna,cog_2025_136028,candidate_positive,3,
BSSS-20260727-0439,VA,South,Waynesboro,cog_2025_205578,candidate_positive,2,
BSSS-20260727-0440,VA,South,Williamsburg,cog_2025_176789,candidate_positive,1,
BSSS-20260727-0441,VT,Northeast,Barre,cog_2025_135964,candidate_positive,3,
BSSS-20260727-0442,VT,Northeast,Bennington,cog_2025_135944,parseable_no_candidates,0,
BSSS-20260727-0443,VT,Northeast,Brattleboro,cog_2025_194169,candidate_positive,6,
BSSS-20260727-0444,VT,Northeast,Colchester,cog_2025_187832,candidate_positive,2,
BSSS-20260727-0445,VT,Northeast,Essex,cog_2025_176590,candidate_positive,3,
BSSS-20260727-0446,VT,Northeast,Hartford,cog_2025_176661,candidate_positive,6,
BSSS-20260727-0447,VT,Northeast,Middlebury,cog_2025_176573,candidate_positive,3,
BSSS-20260727-0448,VT,Northeast,Milton,cog_2025_114415,candidate_positive,5,
BSSS-20260727-0449,VT,Northeast,Springfield,cog_2025_176664,candidate_positive,4,
BSSS-20260727-0450,VT,Northeast,Williston,cog_2025_135947,candidate_positive,4,
BSSS-20260727-0451,WA,West,Airway Heights,cog_2025_176877,candidate_positive,2,
BSSS-20260727-0452,WA,West,DuPont,cog_2025_176864,candidate_positive,4,
BSSS-20260727-0453,WA,West,Ephrata,cog_2025_184248,candidate_positive,1,
BSSS-20260727-0454,WA,West,Hoquiam,cog_2025_184249,candidate_positive,2,
BSSS-20260727-0455,WA,West,Orting,cog_2025_205593,candidate_positive,2,
BSSS-20260727-0456,WA,West,Othello,cog_2025_136100,candidate_positive,6,
BSSS-20260727-0457,WA,West,Selah,cog_2025_209751,candidate_positive,4,
BSSS-20260727-0458,WA,West,Snohomish,cog_2025_184256,candidate_positive,3,
BSSS-20260727-0459,WA,West,Stanwood,cog_2025_136131,candidate_positive,6,
BSSS-20260727-0460,WA,West,Toppenish,cog_2025_176901,candidate_positive,3,
BSSS-20260727-0461,WI,Midwest,Delafield,cog_2025_140817,candidate_positive,5,
BSSS-20260727-0462,WI,Midwest,Grand Chute,cog_2025_177618,candidate_positive,4,
BSSS-20260727-0463,WI,Midwest,Hudson,cog_2025_177698,candidate_positive,4,
BSSS-20260727-0464,WI,Midwest,Ledgeview,cog_2025_191851,candidate_positive,3,
BSSS-20260727-0465,WI,Midwest,Merton,cog_2025_209926,candidate_positive,3,
BSSS-20260727-0466,WI,Midwest,Oconomowoc,cog_2025_115300,candidate_positive,5,
BSSS-20260727-0467,WI,Midwest,Pewaukee,cog_2025_177272,candidate_positive,3,
BSSS-20260727-0468,WI,Midwest,Sheboygan,cog_2025_177738,candidate_positive,5,
BSSS-20260727-0469,WI,Midwest,St. Francis,cog_2025_205664,candidate_positive,3,
BSSS-20260727-0470,WI,Midwest,Waukesha,cog_2025_194266,candidate_positive,4,
BSSS-20260727-0471,WV,South,Bluefield,cog_2025_177008,candidate_positive,1,
BSSS-20260727-0472,WV,South,Bridgeport,cog_2025_136387,candidate_positive,1,
BSSS-20260727-0473,WV,South,Charles Town,cog_2025_194201,candidate_positive,2,
BSSS-20260727-0474,WV,South,Dunbar,cog_2025_184057,candidate_positive,3,
BSSS-20260727-0475,WV,South,Elkins,cog_2025_205636,candidate_positive,3,
BSSS-20260727-0476,WV,South,Hurricane,cog_2025_114935,candidate_positive,3,
BSSS-20260727-0477,WV,South,Moundsville,cog_2025_177005,candidate_positive,2,
BSSS-20260727-0478,WV,South,Oak Hill,cog_2025_114903,candidate_positive,2,
BSSS-20260727-0479,WV,South,St. Albans,cog_2025_184056,candidate_positive,2,
BSSS-20260727-0480,WV,South,Vienna,cog_2025_209766,candidate_positive,2,
BSSS-20260727-0481,WY,West,Bar Nunn,cog_2025_115498,candidate_positive,5,
BSSS-20260727-0482,WY,West,Buffalo,cog_2025_177860,candidate_positive,3,
BSSS-20260727-0483,WY,West,Douglas,cog_2025_177852,candidate_positive,2,
BSSS-20260727-0484,WY,West,Evansville,cog_2025_115497,candidate_positive,2,
BSSS-20260727-0485,WY,West,Mills,cog_2025_177867,candidate_positive,4,
BSSS-20260727-0486,WY,West,Newcastle,cog_2025_209942,parseable_no_candidates,0,
BSSS-20260727-0487,WY,West,Powell,cog_2025_191904,candidate_positive,2,
BSSS-20260727-0488,WY,West,Torrington,cog_2025_209938,candidate_positive,1,
BSSS-20260727-0489,WY,West,Wheatland,cog_2025_177873,candidate_positive,2,
BSSS-20260727-0490,WY,West,Worland,cog_2025_177879,parseable_no_candidates,0,
