municipality,state,region,county,shard_id,scout_target_count,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_diversification_opportunity_flags,matched_safety_non_safety_opportunity_flag,planned_search_query_families,dashboard_map_inclusion_rule,notes
Malta,MT,West,Phillips County (30071; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Manhattan,MT,West,Gallatin County (30031; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Medicine Lake,MT,West,Sheridan County (30091; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Moore,MT,West,Fergus County (30027; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Ronan,MT,West,Lake County (30047; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Townsend,MT,West,Broadwater County (30007; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Twin Bridges,MT,West,Madison County (30057; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
West Yellowstone,MT,West,Gallatin County (30031; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Whitehall,MT,West,Jefferson County (30043; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Angel Fire,NM,West,Colfax County (35007; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Capitan,NM,West,Lincoln County (35027; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Cuba,NM,West,Sandoval County (35043; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Des Moines,NM,West,Union County (35059; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Folsom,NM,West,Union County (35059; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Fort Sumner,NM,West,De Baca County (35011; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Jal,NM,West,Lea County (35025; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Lake Arthur,NM,West,Chaves County (35005; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Logan,NM,West,Quay County (35037; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Magdalena,NM,West,Socorro County (35053; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Roy,NM,West,Harding County (35021; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Ruidoso Downs,NM,West,Lincoln County (35027; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
San Ysidro,NM,West,Sandoval County (35043; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Taos Ski Valley,NM,West,Taos County (35055; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Texico,NM,West,Curry County (35009; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Wagon Mound,NM,West,Mora County (35033; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Amity,OR,West,Yamhill County (41071; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Bandon,OR,West,Coos County (41011; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Brownsville,OR,West,Linn County (41043; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Burns,OR,West,Harney County (41025; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Cascade Locks,OR,West,Hood River County (41027; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Clatskanie,OR,West,Columbia County (41009; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Culver,OR,West,Jefferson County (41031; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Enterprise,OR,West,Wallowa County (41063; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Gold Hill,OR,West,Jackson County (41029; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Harrisburg,OR,West,Linn County (41043; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Heppner,OR,West,Morrow County (41049; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Irrigon,OR,West,Morrow County (41049; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Island City,OR,West,Union County (41061; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
John Day,OR,West,Grant County (41023; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Lafayette,OR,West,Yamhill County (41071; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Prairie City,OR,West,Grant County (41023; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Riddle,OR,West,Douglas County (41019; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Scio,OR,West,Linn County (41043; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Toledo,OR,West,Lincoln County (41041; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Union,OR,West,Union County (41061; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Waldport,OR,West,Lincoln County (41041; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Wood Village,OR,West,Multnomah County (41051; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Alpine,UT,West,Utah County (49049; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Delta,UT,West,Millard County (49027; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
East Carbon,UT,West,Carbon County (49007; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Elk Ridge,UT,West,Utah County (49049; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Enterprise,UT,West,Washington County (49053; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Ferron,UT,West,Emery County (49015; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Gunnison,UT,West,Sanpete County (49039; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Ivins,UT,West,Washington County (49053; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Kamas,UT,West,Summit County (49043; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Kanab,UT,West,Kane County (49025; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Midway,UT,West,Wasatch County (49051; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Monroe,UT,West,Sevier County (49041; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Naples,UT,West,Uintah County (49047; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
North Logan,UT,West,Cache County (49005; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Panguitch,UT,West,Garfield County (49017; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Providence,UT,West,Cache County (49005; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Santa Clara,UT,West,Washington County (49053; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
South Ogden,UT,West,Weber County (49057; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Toquerville,UT,West,Washington County (49053; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Washington Terrace,UT,West,Weber County (49057; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Wellsville,UT,West,Cache County (49005; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
West Point,UT,West,Davis County (49011; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Algona,WA,West,King County (53033; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Benton City,WA,West,Benton County (53005; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Carnation,WA,West,King County (53033; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Clarkston,WA,West,Asotin County (53003; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Connell,WA,West,Franklin County (53021; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Coulee Dam,WA,West,Okanogan County (53047; primary); Douglas County (53017); Grant County (53025),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Deer Park,WA,West,Spokane County (53063; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Fircrest,WA,West,Pierce County (53053; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Forks,WA,West,Clallam County (53009; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Friday Harbor,WA,West,San Juan County (53055; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Kalama,WA,West,Cowlitz County (53015; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Kettle Falls,WA,West,Stevens County (53065; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Leavenworth,WA,West,Chelan County (53007; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
McCleary,WA,West,Grays Harbor County (53027; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Medina,WA,West,King County (53033; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Moxee,WA,West,Yakima County (53077; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Normandy Park,WA,West,King County (53033; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Pacific,WA,West,King County (53033; primary); Pierce County (53053),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Pomeroy,WA,West,Garfield County (53023; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Prosser,WA,West,Benton County (53005; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
White Salmon,WA,West,Klickitat County (53039; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Afton,WY,West,Lincoln County (56023; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Basin,WY,West,Big Horn County (56003; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Burlington,WY,West,Big Horn County (56003; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Burns,WY,West,Laramie County (56021; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Dayton,WY,West,Sheridan County (56033; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Diamondville,WY,West,Lincoln County (56023; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Edgerton,WY,West,Natrona County (56025; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Fort Laramie,WY,West,Goshen County (56015; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Greybull,WY,West,Big Horn County (56003; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Hartville,WY,West,Platte County (56031; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
La Barge,WY,West,Lincoln County (56023; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Manville,WY,West,Niobrara County (56027; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Midwest,WY,West,Natrona County (56025; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Mountain View,WY,West,Uinta County (56041; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Pavillion,WY,West,Fremont County (56013; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Riverside,WY,West,Carbon County (56007; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Rolling Hills,WY,West,Converse County (56009; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Thermopolis,WY,West,Hot Springs County (56017; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Upton,WY,West,Weston County (56045; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Bloomfield,IA,Midwest,Davis County (19051; primary),broad_shard_002,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Centerville,IA,Midwest,Appanoose County (19007; primary),broad_shard_002,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Chariton,IA,Midwest,Lucas County (19117; primary),broad_shard_002,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Eagle Grove,IA,Midwest,Wright County (19197; primary),broad_shard_002,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Estherville,IA,Midwest,Emmet County (19063; primary),broad_shard_002,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Glenwood,IA,Midwest,Mills County (19129; primary),broad_shard_002,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Hiawatha,IA,Midwest,Linn County (19113; primary),broad_shard_002,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Kalona,IA,Midwest,Washington County (19183; primary),broad_shard_002,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Knoxville,IA,Midwest,Marion County (19125; primary),broad_shard_002,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Le Claire,IA,Midwest,Scott County (19163; primary),broad_shard_002,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Maquoketa,IA,Midwest,Jackson County (19097; primary); Clinton County (19045),broad_shard_002,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Mount Vernon,IA,Midwest,Linn County (19113; primary),broad_shard_002,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Perry,IA,Midwest,Dallas County (19049; primary),broad_shard_002,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Polk City,IA,Midwest,Polk County (19153; primary),broad_shard_002,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Postville,IA,Midwest,Allamakee County (19005; primary); Clayton County (19043),broad_shard_002,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Robins,IA,Midwest,Linn County (19113; primary),broad_shard_002,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Shenandoah,IA,Midwest,Page County (19145; primary); Fremont County (19071),broad_shard_002,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Story City,IA,Midwest,Story County (19169; primary),broad_shard_002,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Tiffin,IA,Midwest,Johnson County (19103; primary),broad_shard_002,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Vinton,IA,Midwest,Benton County (19011; primary),broad_shard_002,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Webster City,IA,Midwest,Hamilton County (19079; primary),broad_shard_002,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
West Liberty,IA,Midwest,Muscatine County (19139; primary),broad_shard_002,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Alsip,IL,Midwest,Cook County (17031; primary),broad_shard_002,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Antioch,IL,Midwest,Lake County (17097; primary),broad_shard_002,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Bourbonnais,IL,Midwest,Kankakee County (17091; primary),broad_shard_002,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Cary,IL,Midwest,McHenry County (17111; primary),broad_shard_002,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Charleston,IL,Midwest,Coles County (17029; primary),broad_shard_002,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Chatham,IL,Midwest,Sangamon County (17167; primary),broad_shard_002,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Country Club Hills,IL,Midwest,Cook County (17031; primary),broad_shard_002,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Effingham,IL,Midwest,Effingham County (17049; primary),broad_shard_002,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
